2026-03-10 12:25:02.008+0000 INFO  CREATE USER neo4j PASSWORD ****** CHANGE NOT REQUIRED
2026-03-10 12:25:02.248+0000 INFO  CREATE ROLE admin
2026-03-10 12:25:02.249+0000 INFO  GRANT TRANSACTION MANAGEMENT ON DATABASE * TO admin
2026-03-10 12:25:02.252+0000 INFO  GRANT START ON DATABASE * TO admin
2026-03-10 12:25:02.252+0000 INFO  GRANT STOP ON DATABASE * TO admin
2026-03-10 12:25:02.253+0000 INFO  GRANT ALL ON DBMS TO admin
2026-03-10 12:25:02.253+0000 INFO  GRANT CONSTRAINT MANAGEMENT ON DATABASE * TO admin
2026-03-10 12:25:02.253+0000 INFO  GRANT INDEX MANAGEMENT ON DATABASE * TO admin
2026-03-10 12:25:02.253+0000 INFO  GRANT NAME MANAGEMENT ON DATABASE * TO admin
2026-03-10 12:25:02.253+0000 INFO  GRANT WRITE ON GRAPH * TO admin
2026-03-10 12:25:02.254+0000 INFO  GRANT MATCH {*} ON GRAPH * TO admin
2026-03-10 12:25:02.254+0000 INFO  GRANT ACCESS ON DATABASE * TO admin
2026-03-10 12:25:02.254+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO admin
2026-03-10 12:25:02.254+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO admin
2026-03-10 12:25:02.254+0000 INFO  GRANT LOAD ON ALL DATA TO admin
2026-03-10 12:25:02.254+0000 INFO  CREATE ROLE architect
2026-03-10 12:25:02.256+0000 INFO  GRANT CONSTRAINT MANAGEMENT ON DATABASE * TO architect
2026-03-10 12:25:02.256+0000 INFO  GRANT INDEX MANAGEMENT ON DATABASE * TO architect
2026-03-10 12:25:02.256+0000 INFO  GRANT NAME MANAGEMENT ON DATABASE * TO architect
2026-03-10 12:25:02.256+0000 INFO  GRANT WRITE ON GRAPH * TO architect
2026-03-10 12:25:02.256+0000 INFO  GRANT MATCH {*} ON GRAPH * TO architect
2026-03-10 12:25:02.256+0000 INFO  GRANT ACCESS ON DATABASE * TO architect
2026-03-10 12:25:02.256+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO architect
2026-03-10 12:25:02.256+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO architect
2026-03-10 12:25:02.256+0000 INFO  CREATE ROLE publisher
2026-03-10 12:25:02.257+0000 INFO  GRANT NAME MANAGEMENT ON DATABASE * TO publisher
2026-03-10 12:25:02.257+0000 INFO  GRANT WRITE ON GRAPH * TO publisher
2026-03-10 12:25:02.258+0000 INFO  GRANT MATCH {*} ON GRAPH * TO publisher
2026-03-10 12:25:02.258+0000 INFO  GRANT ACCESS ON DATABASE * TO publisher
2026-03-10 12:25:02.258+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO publisher
2026-03-10 12:25:02.258+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO publisher
2026-03-10 12:25:02.258+0000 INFO  CREATE ROLE editor
2026-03-10 12:25:02.259+0000 INFO  GRANT WRITE ON GRAPH * TO editor
2026-03-10 12:25:02.259+0000 INFO  GRANT MATCH {*} ON GRAPH * TO editor
2026-03-10 12:25:02.259+0000 INFO  GRANT ACCESS ON DATABASE * TO editor
2026-03-10 12:25:02.259+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO editor
2026-03-10 12:25:02.259+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO editor
2026-03-10 12:25:02.259+0000 INFO  CREATE ROLE reader
2026-03-10 12:25:02.260+0000 INFO  GRANT MATCH {*} ON GRAPH * TO reader
2026-03-10 12:25:02.260+0000 INFO  GRANT ACCESS ON DATABASE * TO reader
2026-03-10 12:25:02.260+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO reader
2026-03-10 12:25:02.260+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO reader
2026-03-10 12:25:02.260+0000 INFO  CREATE ROLE PUBLIC
2026-03-10 12:25:02.260+0000 INFO  GRANT ACCESS ON HOME DATABASE TO PUBLIC
2026-03-10 12:25:02.261+0000 INFO  GRANT EXECUTE PROCEDURE * ON DBMS TO PUBLIC
2026-03-10 12:25:02.261+0000 INFO  GRANT EXECUTE FUNCTION * ON DBMS TO PUBLIC
2026-03-10 12:25:02.261+0000 INFO  GRANT LOAD ON ALL DATA TO PUBLIC
2026-03-10 12:25:02.261+0000 INFO  GRANT ROLE admin TO neo4j
2026-03-10 12:25:13.983+0000 INFO  [neo4j]: logged in
2026-03-10 12:25:17.845+0000 INFO  [neo4j]: logged in
2026-03-10 12:25:18.494+0000 INFO  [neo4j]: logged in
2026-03-10 12:25:18.506+0000 INFO  [neo4j]: logged in
2026-03-10 12:25:18.526+0000 INFO  [neo4j]: logged in
2026-03-10 12:25:18.540+0000 INFO  [neo4j]: logged in
2026-03-10 12:25:18.552+0000 INFO  [neo4j]: logged in
2026-03-10 12:25:18.569+0000 INFO  [neo4j]: logged in
2026-03-10 12:25:18.585+0000 INFO  [neo4j]: logged in
2026-03-10 12:34:40.991+0000 INFO  [neo4j]: logged in
2026-03-10 12:34:44.414+0000 INFO  [neo4j]: logged in
2026-03-10 12:34:45.020+0000 INFO  [neo4j]: logged in
2026-03-10 12:34:45.031+0000 INFO  [neo4j]: logged in
2026-03-10 12:34:45.085+0000 INFO  [neo4j]: logged in
2026-03-10 12:34:45.085+0000 INFO  [neo4j]: logged in
2026-03-10 12:34:45.085+0000 INFO  [neo4j]: logged in
2026-03-10 12:34:45.103+0000 INFO  [neo4j]: logged in
2026-03-10 12:34:45.127+0000 INFO  [neo4j]: logged in
2026-03-10 13:35:03.402+0000 INFO  [neo4j]: logged in
2026-03-10 13:36:47.793+0000 INFO  [neo4j]: logged in
2026-03-10 13:36:47.809+0000 INFO  [neo4j]: logged in
2026-03-10 13:36:47.834+0000 INFO  [neo4j]: logged in
2026-03-11 05:27:32.221+0000 INFO  [neo4j]: logged in
2026-03-11 05:27:36.166+0000 INFO  [neo4j]: logged in
2026-03-11 05:27:36.744+0000 INFO  [neo4j]: logged in
2026-03-11 05:27:36.759+0000 INFO  [neo4j]: logged in
2026-03-11 05:27:36.777+0000 INFO  [neo4j]: logged in
2026-03-11 05:27:36.790+0000 INFO  [neo4j]: logged in
2026-03-11 05:27:36.808+0000 INFO  [neo4j]: logged in
2026-03-11 05:27:36.822+0000 INFO  [neo4j]: logged in
2026-03-11 05:27:36.838+0000 INFO  [neo4j]: logged in
