t,value
1773145530,67
1773145560,67
1773145590,67
1773145620,67
1773145650,67
1773145680,67
1773145710,67
1773145740,67
1773145770,67
1773145800,67
1773145830,67
1773145860,67
1773145890,67
1773145920,67
1773145950,67
1773145980,67
1773146100,25
1773146131,25
1773146161,25
1773146191,25
1773146221,25
1773146251,25
1773146281,25
1773146311,25
1773146341,25
1773146371,25
1773146401,25
1773146431,25
1773146461,25
1773146491,25
1773146521,25
1773146551,25
1773146581,25
1773146611,25
1773146641,25
1773146671,25
1773146701,25
1773146731,25
1773146761,25
1773146791,25
1773146821,25
1773146851,25
1773146881,25
1773146911,25
1773146941,25
1773146971,25
1773147001,25
1773147031,25
1773147061,25
1773147091,25
1773147121,25
1773147151,25
1773147181,25
1773147211,25
1773147241,25
1773147271,25
1773147301,25
1773147331,25
1773147361,25
1773147392,25
1773147422,25
1773147452,25
1773147482,25
1773147512,25
1773147542,23
1773147572,23
1773147602,23
1773147632,23
1773147662,23
1773147692,23
1773147722,23
1773147752,23
1773147782,23
1773147812,23
1773147842,23
1773147872,23
1773147902,23
1773147932,23
1773147962,23
1773147992,23
1773148022,23
1773148052,23
1773148082,23
1773148112,23
1773148142,23
1773148172,23
1773148202,23
1773148232,23
1773148262,23
1773148292,23
1773148322,23
1773148352,23
1773148382,23
1773148412,23
1773148442,23
1773148472,23
1773148502,23
1773148532,23
1773148562,23
1773148592,23
1773148622,23
1773148652,23
1773148682,23
1773148712,23
1773148742,23
1773148772,23
1773148802,23
1773148832,23
1773148862,23
1773148892,23
1773148922,23
1773148952,23
1773148982,23
1773149012,23
1773149042,23
1773149072,23
1773149102,23
1773149132,23
1773149162,23
1773149192,23
1773149222,23
1773149252,23
1773149282,23
1773149312,23
1773149342,23
1773149372,23
1773149402,23
1773149432,23
1773149462,23
1773149492,23
1773149522,23
1773149552,23
1773149582,23
1773149612,23
1773149642,23
1773149672,23
1773149702,23
1773149732,23
1773149762,23
1773149792,23
1773149822,23
1773149852,23
1773149882,23
1773149912,23
1773149942,23
1773149972,23
1773150002,23
1773150032,23
1773150062,23
1773150092,23
1773150122,23
1773150152,23
1773150182,23
1773150212,23
1773150242,23
1773150272,23
1773150302,23
1773150333,23
1773150363,23
1773150393,23
1773150423,23
1773150453,23
1773150483,23
1773150513,23
1773150543,23
1773150573,23
1773150603,23
1773150633,23
1773150663,23
1773150693,23
1773150723,23
1773150753,23
1773150783,23
1773150813,23
1773150843,23
1773150873,23
1773150903,23
1773150933,23
1773150963,23
1773150993,23
1773151023,23
1773151053,23
1773151083,23
1773151113,23
1773151143,23
1773151173,23
1773151203,23
1773151233,23
1773151263,23
1773151293,23
1773151323,23
1773151353,23
1773151383,23
1773151413,23
1773151443,23
1773151473,23
1773151503,23
1773151533,23
1773151563,23
1773151593,23
1773151623,23
1773151653,23
1773151683,23
1773151713,23
1773151743,23
1773151773,23
1773151803,23
1773151833,23
1773151863,23
1773151893,23
1773151923,23
1773151953,23
1773151983,23
1773152013,23
1773152043,23
1773152073,23
1773152103,23
1773152133,23
1773152163,23
1773152193,23
1773152223,23
1773152253,23
1773152283,23
1773152313,23
1773152343,23
1773152373,23
1773152403,23
1773152433,23
1773152463,23
1773152493,23
1773152523,23
1773152553,23
1773152583,23
1773152613,23
1773152643,23
1773152673,23
1773152703,23
1773152733,23
1773152763,23
1773152793,23
1773152823,23
1773152853,23
1773152883,23
1773152913,23
1773206880,0
1773206912,0
1773206942,0
1773206972,0
1773207002,0
1773207032,0
1773207062,0
1773207092,0
1773207122,0
1773207152,0
1773207182,0
1773207212,0
1773207242,0
1773207272,0
1773207302,0
1773207332,0
1773207362,0
1773207392,0
1773207422,0
1773207452,0
1773207482,0
1773207512,0
1773207542,0
1773207572,0
1773207602,0
1773207632,0
1773207662,0
1773207693,0
1773207723,0
1773207753,0
1773207783,0
1773207813,0
1773207843,0
1773207873,35
1773207903,35
1773207933,35
1773207963,35
1773207993,35
1773208023,35
1773208053,35
1773208083,35
1773208113,35
1773208143,35
1773208173,35
1773208203,35
1773211140,42
1773211173,42
1773211203,42
1773211233,42
1773211263,42
1773211293,42
1773211323,42
1773211353,42
1773211383,42
1773211413,42
1773211443,42
1773211473,42
1773211503,42
1773211533,42
1773211563,42
1773211593,42
1773211623,42
1773211653,42
1773211683,42
1773211713,42
1773211743,42
1773211773,42
1773211803,42
1773211833,42
1773211863,42
1773211893,42
1773211923,42
1773211953,42
1773211983,42
1773212013,42
1773212043,42
1773212073,42
1773212103,42
1773212133,42
1773212163,42
1773212193,42
1773212223,42
1773212253,42
1773212283,42
1773212313,42
1773212343,42
1773212373,31
1773212403,31
1773212433,31
1773212670,0
1773212820,0
1773212851,0
1773212881,0
1773212911,0
1773212941,0
1773212971,0
1773213001,0
1773213031,0
1773213061,0
1773213091,0
1773213121,0
1773213151,0
1773213181,0
1773213211,0
1773213241,0
1773213271,0
1773213301,0
1773213331,0
1773213361,0
1773213391,0
1773213421,0
1773213451,0
1773213481,0
1773213511,0
1773213541,0
1773213571,0
1773213601,0
1773213631,0
1773213661,0
1773213691,0
1773213721,0
1773213751,0
1773213781,0
1773213811,0
1773213841,0
1773213871,0
1773213901,0
1773213931,0
1773213961,0
1773213991,0
1773214021,0
1773214051,0
1773214081,0
1773214111,0
1773214141,0
1773214171,0
1773214201,0
1773214231,0
1773214261,0
1773214291,0
1773214321,0
1773214352,0
1773214382,0
1773214412,0
1773214442,40
1773214472,40
1773214502,40
1773214532,40
1773214562,40
1773214592,40
1773214622,40
1773214652,40
1773214682,40
1773214712,40
1773214742,40
1773214772,40
1773214802,40
1773214832,40
1773214862,40
1773214892,40
1773214922,40
1773214952,40
1773214982,40
1773215012,40
1773215042,40
1773215072,40
1773215102,40
1773215132,40
1773215162,40
1773215192,40
1773215222,40
1773215252,40
1773215282,40
1773215312,40
1773215342,40
1773215372,40
1773215402,40
1773215432,40
1773215462,40
1773215492,40
1773215522,40
1773215552,40
1773215582,40
1773215612,40
1773215642,40
1773215672,40
1773215702,40
1773215732,40
1773215762,40
1773215792,40
1773215822,40
1773215852,40
1773215882,40
1773215912,40
1773215942,40
1773215972,40
1773216002,40
1773216032,40
1773216062,40
1773216092,40
1773216122,40
1773216152,40
