t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,1,0.0368660151829808,0.0,0.0,0.0,events/second
1773145560,1,0.017473137676161838,0.0,0.0,0.0,events/second
1773145590,1,0.01146134030431,0.0,0.0,0.0,events/second
1773145620,1,0.008527931629552711,0.0,0.0,0.0,events/second
1773145650,1,0.006789691407350919,0.0,0.0,0.0,events/second
1773145680,1,0.005639757702022522,0.0,0.0,0.0,events/second
1773145710,1,0.004823375431746063,0.0,0.0,0.0,events/second
1773145740,1,0.004213518737281446,0.0,0.0,0.0,events/second
1773145770,1,0.003740333312868598,0.0,0.0,0.0,events/second
1773145800,1,0.003362822432147967,0.0,0.0,0.0,events/second
1773145830,1,0.0030543457702599374,0.0,0.0,0.0,events/second
1773145860,1,0.0027978111133384518,0.0,0.0,0.0,events/second
1773145890,1,0.002581104447345278,0.0,0.0,0.0,events/second
1773145920,1,0.0023955371922096047,0.0,0.0,0.0,events/second
1773145950,1,0.002234861588713914,0.0,0.0,0.0,events/second
1773145980,1,0.0020944009174736007,0.0,0.0,0.0,events/second
1773146100,1,0.03344871310826033,0.0,0.0,0.0,events/second
1773146131,1,0.016557822632945047,0.0,0.0,0.0,events/second
1773146161,1,0.011061497639438794,0.0,0.0,0.0,events/second
1773146191,1,0.008304654351420675,0.0,0.0,0.0,events/second
1773146221,1,0.006647785219355826,0.0,0.0,0.0,events/second
1773146251,1,0.005542220999541763,0.0,0.0,0.0,events/second
1773146281,1,0.004751906330103093,0.0,0.0,0.0,events/second
1773146311,1,0.0041588797673398886,0.0,0.0,0.0,events/second
1773146341,1,0.0036974121474806056,0.0,0.0,0.0,events/second
1773146371,1,0.0033281243062628888,0.0,0.0,0.0,events/second
1773146401,1,0.0030258888178487523,0.0,0.0,0.0,events/second
1773146431,1,0.002774010544316446,0.0,0.0,0.0,events/second
1773146461,1,0.0025608346960793826,0.0,0.0,0.0,events/second
1773146491,1,0.002378091547013145,0.0,0.0,0.0,events/second
1773146521,1,0.0022196705427316513,0.0,0.0,0.0,events/second
1773146551,1,0.0020810511083150345,0.0,0.0,0.0,events/second
1773146581,1,0.0019587270051423713,0.0,0.0,0.0,events/second
1773146611,1,0.0018499807867655418,0.0,0.0,0.0,events/second
1773146641,1,0.001752676838096278,0.0,0.0,0.0,events/second
1773146671,1,0.0016650933612993935,0.0,0.0,0.0,events/second
1773146701,1,0.001585841943890661,0.0,0.0,0.0,events/second
1773146731,1,0.001513804576794492,0.0,0.0,0.0,events/second
1773146761,1,0.0014480209013094227,0.0,0.0,0.0,events/second
1773146791,1,0.0013877170456850461,0.0,0.0,0.0,events/second
1773146821,1,0.001332239297711525,0.0,0.0,0.0,events/second
1773146851,1,0.0012810315741846037,0.0,0.0,0.0,events/second
1773146881,1,0.0012336176364313163,0.0,0.0,0.0,events/second
1773146911,1,0.0011895854115011293,0.0,0.0,0.0,events/second
