t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,1277952,47112.2944138834,0.0,0.0,0.0,events/second
1773145560,1277952,22330.079001632268,0.0,0.0,0.0,events/second
1773145590,1277952,14647.150859917414,0.0,0.0,0.0,events/second
1773145620,1277952,10898.34600156301,0.0,0.0,0.0,events/second
1773145650,1277952,8676.937966092559,0.0,0.0,0.0,events/second
1773145680,1277952,7207.366584307286,0.0,0.0,0.0,events/second
1773145710,1277952,6164.06263994241,0.0,0.0,0.0,events/second
1773145740,1277952,5384.690214006738,0.0,0.0,0.0,events/second
1773145770,1277952,4779.9766626789815,0.0,0.0,0.0,events/second
1773145800,1277952,4297.534471324375,0.0,0.0,0.0,events/second
1773145830,1277952,3903.3149206910443,0.0,0.0,0.0,events/second
1773145860,1277952,3575.4750182634107,0.0,0.0,0.0,events/second
1773145890,1277952,3298.533048076976,0.0,0.0,0.0,events/second
1773145920,1277952,3061.3863112740146,0.0,0.0,0.0,events/second
1773145950,1277952,2856.0502239714456,0.0,0.0,0.0,events/second
1773145980,1277952,2676.547707582636,0.0,0.0,0.0,events/second
1773146100,1228800,41080.60869600597,0.0,0.0,0.0,events/second
1773146131,1228800,20346.46439084265,0.0,0.0,0.0,events/second
1773146161,1228800,13592.431086606683,0.0,0.0,0.0,events/second
1773146191,1228800,10204.804276355122,0.0,0.0,0.0,events/second
1773146221,1228800,8168.831739135761,0.0,0.0,0.0,events/second
1773146251,1228800,6810.3055809719335,0.0,0.0,0.0,events/second
1773146281,1228800,5839.160656162031,0.0,0.0,0.0,events/second
1773146311,1228800,5110.4452092687425,0.0,0.0,0.0,events/second
1773146341,1228800,4543.390700615497,0.0,0.0,0.0,events/second
1773146371,1228800,4089.608066643281,0.0,0.0,0.0,events/second
1773146401,1228800,3718.2188579167973,0.0,0.0,0.0,events/second
1773146431,1228800,3408.7103144719376,0.0,0.0,0.0,events/second
1773146461,1228800,3146.758694881217,0.0,0.0,0.0,events/second
1773146491,1228800,2922.203360653578,0.0,0.0,0.0,events/second
1773146521,1228800,2727.5351157149958,0.0,0.0,0.0,events/second
1773146551,1228800,2557.198653337984,0.0,0.0,0.0,events/second
1773146581,1228800,2406.886750313556,0.0,0.0,0.0,events/second
1773146611,1228800,2273.2590991102606,0.0,0.0,0.0,events/second
1773146641,1228800,2153.691746562284,0.0,0.0,0.0,events/second
1773146671,1228800,2046.0689211752292,0.0,0.0,0.0,events/second
1773146701,1228800,1948.6845952231736,0.0,0.0,0.0,events/second
1773146731,1228800,1860.1648667209538,0.0,0.0,0.0,events/second
1773146761,1228800,1779.3296768406767,0.0,0.0,0.0,events/second
1773146791,1228800,1705.2281915841625,0.0,0.0,0.0,events/second
1773146821,1228800,1637.0570461455998,0.0,0.0,0.0,events/second
1773146851,1228800,1574.1329139317515,0.0,0.0,0.0,events/second
1773146881,1228800,1515.870573881857,0.0,0.0,0.0,events/second
1773146911,1228800,1461.7636828895409,0.0,0.0,0.0,events/second
1773146941,1228800,1411.387941027991,0.0,0.0,0.0,events/second
1773146971,1228800,1364.3663989833678,0.0,0.0,0.0,events/second
1773147001,1228800,1320.3727637445922,0.0,0.0,0.0,events/second
1773147031,1228800,1279.1300443366533,0.0,0.0,0.0,events/second
1773147061,1228800,1240.369701201504,0.0,0.0,0.0,events/second
1773147091,1228800,1203.9064793623309,0.0,0.0,0.0,events/second
1773147121,1228800,1169.5226071333968,0.0,0.0,0.0,events/second
1773147151,1228800,1137.0488289338355,0.0,0.0,0.0,events/second
1773147181,1228800,1106.3330551990905,0.0,0.0,0.0,events/second
1773147211,1228800,1077.2331878142168,0.0,0.0,0.0,events/second
1773147241,1228800,1049.6244817737938,0.0,0.0,0.0,events/second
1773147271,1228800,1023.395419263248,0.0,0.0,0.0,events/second
1773147301,1228800,998.4438911503955,0.0,0.0,0.0,events/second
1773147331,1228800,974.6780184837066,0.0,0.0,0.0,events/second
1773147361,1228800,952.0146586463263,0.0,0.0,0.0,events/second
1773147392,1228800,930.3850014431086,0.0,0.0,0.0,events/second
1773147422,1228800,909.7103009445717,0.0,0.0,0.0,events/second
1773147452,1228800,889.9401599297179,0.0,0.0,0.0,events/second
1773147482,1228800,871.0109503510854,0.0,0.0,0.0,events/second
1773147512,1228800,852.871722850651,0.0,0.0,0.0,events/second
1773147542,1654784,1125.0905935981857,0.0,0.0,0.0,events/second
1773147572,1654784,1102.5910314951766,0.0,0.0,0.0,events/second
1773147602,1654784,1080.9762796967593,0.0,0.0,0.0,events/second
1773147632,1654784,1060.1950375893389,0.0,0.0,0.0,events/second
1773147662,1654784,1040.1965457427852,0.0,0.0,0.0,events/second
