t,value
1773145530,600
1773145560,600
1773145590,600
1773145620,600
1773145650,600
1773145680,600
1773145710,600
1773145740,600
1773145770,600
1773145800,600
1773145830,600
1773145860,600
1773145890,600
1773145920,600
1773145950,600
1773145980,600
1773146100,600
1773146131,600
1773146161,600
1773146191,600
1773146221,600
1773146251,600
1773146281,600
1773146311,600
1773146341,600
1773146371,600
1773146401,600
1773146431,600
1773146461,600
1773146491,600
1773146521,600
1773146551,600
1773146581,600
1773146611,600
1773146641,600
1773146671,600
1773146701,600
1773146731,600
1773146761,600
1773146791,600
1773146821,600
1773146851,600
1773146881,600
1773146911,600
1773146941,600
1773146971,600
1773147001,600
1773147031,600
1773147061,600
1773147091,600
1773147121,600
1773147151,600
1773147181,600
1773147211,600
1773147241,600
1773147271,600
1773147301,600
1773147331,600
1773147361,600
1773147392,600
1773147422,600
1773147452,600
1773147482,600
1773147512,600
1773147542,600
1773147572,600
1773147602,600
1773147632,600
1773147662,600
1773147692,600
1773147722,600
1773147752,600
1773147782,600
1773147812,600
1773147842,600
1773147872,600
1773147902,600
1773147932,600
1773147962,600
1773147992,600
1773148022,600
1773148052,600
1773148082,600
1773148112,600
1773148142,600
1773148172,600
1773148202,600
1773148232,600
1773148262,600
1773148292,600
1773148322,600
1773148352,600
1773148382,600
1773148412,600
1773148442,600
1773148472,600
1773148502,600
1773148532,600
1773148562,600
1773148592,600
1773148622,600
1773148652,600
1773148682,600
1773148712,600
1773148742,600
1773148772,600
1773148802,600
1773148832,600
1773148862,600
1773148892,600
1773148922,600
1773148952,600
1773148982,600
1773149012,600
1773149042,600
1773149072,600
1773149102,600
1773149132,600
1773149162,600
1773149192,600
1773149222,600
1773149252,600
1773149282,600
1773149312,600
1773149342,600
1773149372,600
1773149402,600
1773149432,600
1773149462,600
1773149492,600
1773149522,600
1773149552,600
1773149582,600
1773149612,600
1773149642,600
1773149672,600
1773149702,600
1773149732,600
1773149762,600
1773149792,600
1773149822,600
1773149852,600
1773149882,600
1773149912,600
1773149942,600
1773149972,600
1773150002,600
1773150032,600
1773150062,600
1773150092,600
1773150122,600
1773150152,600
1773150182,600
1773150212,600
1773150242,600
1773150272,600
1773150302,600
1773150333,600
1773150363,600
1773150393,600
1773150423,600
1773150453,600
1773150483,600
1773150513,600
1773150543,600
1773150573,600
1773150603,600
1773150633,600
1773150663,600
1773150693,600
1773150723,600
1773150753,600
1773150783,600
1773150813,600
1773150843,600
1773150873,600
1773150903,600
1773150933,600
1773150963,600
1773150993,600
1773151023,600
1773151053,600
1773151083,600
1773151113,600
1773151143,600
1773151173,600
1773151203,600
1773151233,600
1773151263,600
1773151293,600
1773151323,600
1773151353,600
1773151383,600
1773151413,600
1773151443,600
1773151473,600
1773151503,600
1773151533,600
1773151563,600
1773151593,600
1773151623,600
1773151653,600
1773151683,600
1773151713,600
1773151743,600
1773151773,600
1773151803,600
1773151833,600
1773151863,600
1773151893,600
1773151923,600
1773151953,600
1773151983,600
1773152013,600
1773152043,600
1773152073,600
1773152103,600
1773152133,600
1773152163,600
1773152193,600
1773152223,600
1773152253,600
1773152283,600
1773152313,600
1773152343,600
1773152373,600
1773152403,600
1773152433,600
1773152463,600
1773152493,600
1773152523,600
1773152553,600
1773152583,600
1773152613,600
1773152643,600
1773152673,600
1773152703,600
1773152733,600
1773152763,600
1773152793,600
1773152823,600
1773152853,600
1773152883,600
1773152913,600
1773206880,0
1773206912,0
1773206942,0
1773206972,0
1773207002,0
1773207032,0
1773207062,0
1773207092,0
1773207122,0
1773207152,0
1773207182,0
1773207212,0
1773207242,0
1773207272,0
1773207302,0
1773207332,0
1773207362,0
1773207392,0
1773207422,0
1773207452,0
1773207482,0
1773207512,0
1773207542,0
1773207572,0
1773207602,0
1773207632,0
1773207662,0
1773207693,0
1773207723,0
1773207753,0
1773207783,0
1773207813,0
1773207843,0
1773207873,600
1773207903,600
1773207933,600
1773207963,600
1773207993,600
1773208023,600
1773208053,600
1773208083,600
1773208113,600
1773208143,600
1773208173,600
1773208203,600
1773211140,600
1773211173,600
1773211203,600
1773211233,600
1773211263,600
1773211293,600
1773211323,600
1773211353,600
1773211383,600
1773211413,600
1773211443,600
1773211473,600
1773211503,600
1773211533,600
1773211563,600
1773211593,600
1773211623,600
1773211653,600
1773211683,600
1773211713,600
1773211743,600
1773211773,600
1773211803,600
1773211833,600
1773211863,600
1773211893,600
1773211923,600
1773211953,600
1773211983,600
1773212013,600
1773212043,600
1773212073,600
1773212103,600
1773212133,600
1773212163,600
1773212193,600
1773212223,600
1773212253,600
1773212283,600
1773212313,600
1773212343,600
1773212373,600
1773212403,600
1773212433,600
1773212670,0
1773212820,0
1773212851,0
1773212881,0
1773212911,0
1773212941,0
1773212971,0
1773213001,0
1773213031,0
1773213061,0
1773213091,0
1773213121,0
1773213151,0
1773213181,0
1773213211,0
1773213241,0
1773213271,0
1773213301,0
1773213331,0
1773213361,0
1773213391,0
1773213421,0
1773213451,0
1773213481,0
1773213511,0
