t,value
1773145530,63
1773145560,63
1773145590,63
1773145620,63
1773145650,63
1773145680,63
1773145710,63
1773145740,63
1773145770,63
1773145800,63
1773145830,63
1773145860,63
1773145890,63
1773145920,63
1773145950,63
1773145980,63
1773146100,38
1773146131,38
1773146161,38
1773146191,38
1773146221,38
1773146251,38
1773146281,38
1773146311,38
1773146341,38
1773146371,38
1773146401,38
1773146431,38
1773146461,38
1773146491,38
1773146521,38
1773146551,38
1773146581,38
1773146611,38
1773146641,38
1773146671,38
1773146701,38
1773146731,38
1773146761,38
1773146791,38
1773146821,38
1773146851,38
1773146881,38
1773146911,38
1773146941,38
1773146971,38
1773147001,38
1773147031,38
1773147061,38
1773147091,38
1773147121,38
1773147151,38
1773147181,38
1773147211,38
1773147241,38
1773147271,38
1773147301,38
1773147331,38
1773147361,38
1773147392,38
1773147422,38
1773147452,38
1773147482,38
1773147512,38
1773147542,52
1773147572,52
1773147602,52
1773147632,52
1773147662,52
1773147692,52
1773147722,52
1773147752,52
1773147782,52
1773147812,52
1773147842,52
1773147872,52
1773147902,52
1773147932,52
1773147962,52
1773147992,52
1773148022,52
1773148052,52
1773148082,52
1773148112,52
1773148142,52
1773148172,52
1773148202,52
1773148232,52
1773148262,52
1773148292,52
1773148322,52
1773148352,52
1773148382,52
1773148412,52
1773148442,52
1773148472,52
1773148502,52
1773148532,52
1773148562,52
1773148592,52
1773148622,52
1773148652,52
1773148682,52
1773148712,52
1773148742,52
1773148772,52
1773148802,52
1773148832,52
1773148862,52
1773148892,52
1773148922,52
1773148952,52
1773148982,52
1773149012,52
1773149042,52
1773149072,52
1773149102,52
1773149132,52
1773149162,52
1773149192,52
1773149222,52
1773149252,52
1773149282,52
1773149312,52
1773149342,52
1773149372,52
1773149402,52
1773149432,52
1773149462,52
1773149492,52
1773149522,52
1773149552,52
1773149582,52
1773149612,52
1773149642,52
1773149672,52
1773149702,52
1773149732,52
1773149762,52
1773149792,52
1773149822,52
1773149852,52
1773149882,52
1773149912,52
1773149942,52
1773149972,52
1773150002,52
1773150032,52
1773150062,52
1773150092,52
1773150122,52
1773150152,52
1773150182,52
1773150212,52
1773150242,52
1773150272,52
1773150302,52
1773150333,52
1773150363,52
1773150393,52
1773150423,52
1773150453,52
1773150483,52
1773150513,52
1773150543,52
1773150573,52
1773150603,52
1773150633,52
1773150663,52
1773150693,52
1773150723,52
1773150753,52
1773150783,52
1773150813,52
1773150843,52
1773150873,52
1773150903,52
1773150933,52
1773150963,52
1773150993,52
1773151023,52
1773151053,52
1773151083,52
1773151113,52
1773151143,52
1773151173,52
1773151203,52
1773151233,52
1773151263,52
1773151293,52
1773151323,52
1773151353,52
1773151383,52
1773151413,52
1773151443,52
1773151473,52
1773151503,52
1773151533,52
1773151563,52
1773151593,52
1773151623,52
1773151653,52
1773151683,52
1773151713,52
1773151743,52
1773151773,52
1773151803,52
1773151833,52
1773151863,52
1773151893,52
1773151923,52
1773151953,52
1773151983,52
1773152013,52
1773152043,52
1773152073,52
1773152103,52
1773152133,52
1773152163,52
1773152193,52
1773152223,52
1773152253,52
1773152283,52
1773152313,52
1773152343,52
1773152373,52
1773152403,52
1773152433,52
1773152463,52
1773152493,52
1773152523,52
1773152553,52
1773152583,52
1773152613,52
1773152643,52
1773152673,52
1773152703,52
1773152733,52
1773152763,52
1773152793,52
1773152823,52
1773152853,52
1773152883,52
1773152913,52
1773206880,0
1773206912,0
1773206942,0
1773206972,0
1773207002,0
