t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,8,0.2948416730621204,0.0,0.0,0.0,events/second
1773145560,8,0.13977832164590875,0.0,0.0,0.0,events/second
1773145590,8,0.09168798324409441,0.0,0.0,0.0,events/second
1773145620,8,0.0682219909919325,0.0,0.0,0.0,events/second
1773145650,8,0.0543165494960019,0.0,0.0,0.0,events/second
1773145680,8,0.04511741538623663,0.0,0.0,0.0,events/second
1773145710,8,0.03858655420369776,0.0,0.0,0.0,events/second
1773145740,8,0.033707588221881545,0.0,0.0,0.0,events/second
1773145770,8,0.029922364342369105,0.0,0.0,0.0,events/second
1773145800,8,0.02690233815245756,0.0,0.0,0.0,events/second
1773145830,8,0.024434391514056044,0.0,0.0,0.0,events/second
1773145860,8,0.022382335321102658,0.0,0.0,0.0,events/second
1773145890,8,0.0206487037339769,0.0,0.0,0.0,events/second
1773145920,8,0.019164178625473257,0.0,0.0,0.0,events/second
1773145950,8,0.017878797261296247,0.0,0.0,0.0,events/second
1773145980,8,0.01675512376480882,0.0,0.0,0.0,events/second
1773146100,2,0.06678056470400134,0.0,0.0,0.0,events/second
1773146131,6,0.09934238536402412,0.0,0.0,0.0,events/second
1773146161,6,0.0663668958047899,0.0,0.0,0.0,events/second
1773146191,9,0.07474022937092106,0.0,0.0,0.0,events/second
1773146221,9,0.05982905144844721,0.0,0.0,0.0,events/second
1773146251,10,0.05542144136354835,0.0,0.0,0.0,events/second
1773146281,10,0.04751849949237531,0.0,0.0,0.0,events/second
1773146311,10,0.04158836314347348,0.0,0.0,0.0,events/second
1773146341,13,0.048065906420943785,0.0,0.0,0.0,events/second
1773146371,13,0.04326525778653015,0.0,0.0,0.0,events/second
1773146401,13,0.03933624168599862,0.0,0.0,0.0,events/second
1773146431,13,0.03606188696596986,0.0,0.0,0.0,events/second
1773146461,14,0.03585144857328537,0.0,0.0,0.0,events/second
1773146491,14,0.03329307751597797,0.0,0.0,0.0,events/second
1773146521,14,0.031075215997905463,0.0,0.0,0.0,events/second
1773146551,14,0.029134551983848282,0.0,0.0,0.0,events/second
1773146581,14,0.027422042233600005,0.0,0.0,0.0,events/second
1773146611,14,0.025899611005065947,0.0,0.0,0.0,events/second
1773146641,14,0.02453736729782955,0.0,0.0,0.0,events/second
1773146671,14,0.023311208804923832,0.0,0.0,0.0,events/second
1773146701,14,0.022201699052671754,0.0,0.0,0.0,events/second
1773146731,14,0.021193182608444976,0.0,0.0,0.0,events/second
1773146761,14,0.02027221660461241,0.0,0.0,0.0,events/second
1773146791,14,0.019427968307674858,0.0,0.0,0.0,events/second
1773146821,14,0.01865128744917985,0.0,0.0,0.0,events/second
1773146851,14,0.017934384526486453,0.0,0.0,0.0,events/second
1773146881,14,0.017270593936517458,0.0,0.0,0.0,events/second
1773146911,14,0.016654145990492374,0.0,0.0,0.0,events/second
1773146941,14,0.016080207350194,0.0,0.0,0.0,events/second
1773146971,14,0.015544481243962033,0.0,0.0,0.0,events/second
1773147001,14,0.015043258668629723,0.0,0.0,0.0,events/second
1773147031,14,0.014573373809214947,0.0,0.0,0.0,events/second
1773147061,14,0.014131771056218122,0.0,0.0,0.0,events/second
1773147091,14,0.013716340225879893,0.0,0.0,0.0,events/second
1773147121,14,0.013324597544445857,0.0,0.0,0.0,events/second
1773147151,14,0.012954620272671996,0.0,0.0,0.0,events/second
1773147181,14,0.012604670236156761,0.0,0.0,0.0,events/second
1773147211,14,0.012273130794818262,0.0,0.0,0.0,events/second
1773147241,14,0.011958580162663221,0.0,0.0,0.0,events/second
1773147271,14,0.011659748012192711,0.0,0.0,0.0,events/second
1773147301,14,0.0113754707690943,0.0,0.0,0.0,events/second
1773147331,14,0.011104702086943816,0.0,0.0,0.0,events/second
1773147361,14,0.010846494091185783,0.0,0.0,0.0,events/second
1773147392,14,0.010600063843185093,0.0,0.0,0.0,events/second
1773147422,14,0.010364513770580463,0.0,0.0,0.0,events/second
1773147452,14,0.010139268833807084,0.0,0.0,0.0,events/second
1773147482,14,0.009923604724601529,0.0,0.0,0.0,events/second
1773147512,14,0.009716941562476272,0.0,0.0,0.0,events/second
1773147542,14,0.009518603926236983,0.0,0.0,0.0,events/second
1773147572,14,0.009328251694218777,0.0,0.0,0.0,events/second
1773147602,14,0.009145384617790202,0.0,0.0,0.0,events/second
1773147632,14,0.008969569435295397,0.0,0.0,0.0,events/second
1773147662,14,0.008800376915013907,0.0,0.0,0.0,events/second
1773147692,14,0.008637472264846738,0.0,0.0,0.0,events/second
1773147722,14,0.008480460823937944,0.0,0.0,0.0,events/second
1773147752,14,0.008329046911796997,0.0,0.0,0.0,events/second
1773147782,14,0.008182957726058097,0.0,0.0,0.0,events/second
1773147812,14,0.0080419046847841,0.0,0.0,0.0,events/second
1773147842,14,0.00790561020575111,0.0,0.0,0.0,events/second
1773147872,14,0.0077738791203904554,0.0,0.0,0.0,events/second
1773147902,14,0.00764646948946754,0.0,0.0,0.0,events/second
1773147932,14,0.007523188050681053,0.0,0.0,0.0,events/second
1773147962,14,0.00740381269964728,0.0,0.0,0.0,events/second
1773147992,14,0.007288159047672025,0.0,0.0,0.0,events/second
1773148022,14,0.0071760689164673715,0.0,0.0,0.0,events/second
1773148052,14,0.007067350427981122,0.0,0.0,0.0,events/second
1773148082,14,0.006961880566526788,0.0,0.0,0.0,events/second
1773148112,14,0.006859487940466811,0.0,0.0,0.0,events/second
1773148142,14,0.006760096611198354,0.0,0.0,0.0,events/second
1773148172,14,0.006663509472397706,0.0,0.0,0.0,events/second
1773148202,14,0.0065696553392915824,0.0,0.0,0.0,events/second
1773148232,14,0.0064784242422987574,0.0,0.0,0.0,events/second
1773148262,14,0.006389676627253069,0.0,0.0,0.0,events/second
1773148292,14,0.006303356163273372,0.0,0.0,0.0,events/second
1773148322,14,0.00621931859264244,0.0,0.0,0.0,events/second
1773148352,14,0.0061374735291955815,0.0,0.0,0.0,events/second
1773148382,14,0.0060577935047055,0.0,0.0,0.0,events/second
1773148412,14,0.005980139688611018,0.0,0.0,0.0,events/second
1773148442,14,0.00590446155218533,0.0,0.0,0.0,events/second
1773148472,14,0.005830655787842536,0.0,0.0,0.0,events/second
1773148502,14,0.005758666176160758,0.0,0.0,0.0,events/second
1773148532,14,0.005688456640498931,0.0,0.0,0.0,events/second
1773148562,14,0.00561993189842234,0.0,0.0,0.0,events/second
1773148592,14,0.005553023505085636,0.0,0.0,0.0,events/second
1773148622,14,0.005487689624401015,0.0,0.0,0.0,events/second
1773148652,14,0.005423895871443303,0.0,0.0,0.0,events/second
1773148682,14,0.005361572450500843,0.0,0.0,0.0,events/second
1773148712,14,0.005300645613645563,0.0,0.0,0.0,events/second
1773148742,14,0.005241106337044418,0.0,0.0,0.0,events/second
1773148772,14,0.005182889830127967,0.0,0.0,0.0,events/second
1773148802,14,0.005125944525270808,0.0,0.0,0.0,events/second
1773148832,14,0.005070227528833222,0.0,0.0,0.0,events/second
1773148862,14,0.005015705236784146,0.0,0.0,0.0,events/second
1773148892,14,0.004962342893737499,0.0,0.0,0.0,events/second
1773148922,14,0.004910117097075073,0.0,0.0,0.0,events/second
1773148952,14,0.0048589816178764116,0.0,0.0,0.0,events/second
1773148982,14,0.004808889010126324,0.0,0.0,0.0,events/second
1773149012,14,0.004759821205217729,0.0,0.0,0.0,events/second
1773149042,14,0.004711734029013675,0.0,0.0,0.0,events/second
1773149072,14,0.004664626859859089,0.0,0.0,0.0,events/second
1773149102,14,0.004618432045341061,0.0,0.0,0.0,events/second
1773149132,14,0.00457316575067135,0.0,0.0,0.0,events/second
1773149162,14,0.004528777976640221,0.0,0.0,0.0,events/second
1773149192,14,0.004485236416060533,0.0,0.0,0.0,events/second
1773149222,14,0.00444251863095213,0.0,0.0,0.0,events/second
1773149252,14,0.00440059840454857,0.0,0.0,0.0,events/second
1773149282,14,0.004359463391928477,0.0,0.0,0.0,events/second
1773149312,14,0.004319107099759589,0.0,0.0,0.0,events/second
1773149342,14,0.0042794917333796095,0.0,0.0,0.0,events/second
1773149372,14,0.004240582385172514,0.0,0.0,0.0,events/second
1773149402,14,0.004202375782303087,0.0,0.0,0.0,events/second
1773149432,14,0.004164858697787334,0.0,0.0,0.0,events/second
1773149462,14,0.004128009600108561,0.0,0.0,0.0,events/second
1773149492,14,0.004091796531298796,0.0,0.0,0.0,events/second
1773149522,14,0.004056213772744269,0.0,0.0,0.0,events/second
1773149552,14,0.004021251434440778,0.0,0.0,0.0,events/second
1773149582,14,0.003986878378930704,0.0,0.0,0.0,events/second
1773149612,14,0.003953088672106022,0.0,0.0,0.0,events/second
1773149642,14,0.0039198662545710606,0.0,0.0,0.0,events/second
1773149672,14,0.003887206856042123,0.0,0.0,0.0,events/second
1773149702,14,0.0038550823162466883,0.0,0.0,0.0,events/second
1773149732,14,0.003823477389772316,0.0,0.0,0.0,events/second
1773149762,14,0.0037923881932420615,0.0,0.0,0.0,events/second
1773149792,14,0.003761803450319353,0.0,0.0,0.0,events/second
1773149822,14,0.0037317163750553253,0.0,0.0,0.0,events/second
1773149852,14,0.003702108246170055,0.0,0.0,0.0,events/second
1773149882,14,0.0036729647603474303,0.0,0.0,0.0,events/second
1773149912,14,0.003644274881387608,0.0,0.0,0.0,events/second
1773149942,14,0.0036160302513751686,0.0,0.0,0.0,events/second
1773149972,14,0.0035882176876591535,0.0,0.0,0.0,events/second
1773150002,14,0.0035608312159832703,0.0,0.0,0.0,events/second
1773150032,14,0.0035338573524444604,0.0,0.0,0.0,events/second
1773150062,14,0.003507287285798877,0.0,0.0,0.0,events/second
1773150092,14,0.0034811204146106395,0.0,0.0,0.0,events/second
1773150122,14,0.0034553402685669754,0.0,0.0,0.0,events/second
1773150152,14,0.003429940556319323,0.0,0.0,0.0,events/second
1773150182,14,0.003404911462353557,0.0,0.0,0.0,events/second
1773150212,14,0.003380240933548915,0.0,0.0,0.0,events/second
1773150242,14,0.0033559234353386057,0.0,0.0,0.0,events/second
1773150272,14,0.0033319601548871,0.0,0.0,0.0,events/second
1773150302,14,0.0033083364915865495,0.0,0.0,0.0,events/second
