t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,2,0.07370963045621488,0.0,0.0,0.0,events/second
1773145560,2,0.03494458346428671,0.0,0.0,0.0,events/second
1773145590,2,0.022922012414241015,0.0,0.0,0.0,events/second
1773145620,2,0.017055510808954278,0.0,0.0,0.0,events/second
1773145650,2,0.013579144574549841,0.0,0.0,0.0,events/second
1773145680,2,0.011279358910069592,0.0,0.0,0.0,events/second
1773145710,2,0.009646643278254631,0.0,0.0,0.0,events/second
1773145740,2,0.008426900258139592,0.0,0.0,0.0,events/second
1773145770,2,0.0074805913653885015,0.0,0.0,0.0,events/second
1773145800,2,0.006725586462799829,0.0,0.0,0.0,events/second
1773145830,2,0.006108598247932217,0.0,0.0,0.0,events/second
1773145860,2,0.005595585383279793,0.0,0.0,0.0,events/second
1773145890,2,0.0051621772698948,0.0,0.0,0.0,events/second
1773145920,2,0.004791045607816317,0.0,0.0,0.0,events/second
1773145950,2,0.004469700361183704,0.0,0.0,0.0,events/second
1773145980,2,0.004188781840429044,0.0,0.0,0.0,events/second
1773146100,2,0.06674798707427901,0.0,0.0,0.0,events/second
1773146131,2,0.033114147150786095,0.0,0.0,0.0,events/second
1773146161,2,0.022122301953960394,0.0,0.0,0.0,events/second
1773146191,2,0.01660894362565199,0.0,0.0,0.0,events/second
1773146221,2,0.013295347992305398,0.0,0.0,0.0,events/second
1773146251,2,0.01108429068693762,0.0,0.0,0.0,events/second
1773146281,2,0.00950370134360027,0.0,0.0,0.0,events/second
1773146311,2,0.008317673984695005,0.0,0.0,0.0,events/second
1773146341,2,0.007394755840147631,0.0,0.0,0.0,events/second
1773146371,2,0.006656194391718381,0.0,0.0,0.0,events/second
1773146401,2,0.006051729898504904,0.0,0.0,0.0,events/second
1773146431,2,0.0055479831934323745,0.0,0.0,0.0,events/second
1773146461,2,0.005121635881640142,0.0,0.0,0.0,events/second
1773146491,2,0.004756154281479525,0.0,0.0,0.0,events/second
1773146521,2,0.004439316964294643,0.0,0.0,0.0,events/second
1773146551,2,0.004162078613181022,0.0,0.0,0.0,events/second
1773146581,2,0.003917434884869885,0.0,0.0,0.0,events/second
1773146611,2,0.0036999446989800537,0.0,0.0,0.0,events/second
1773146641,2,0.0035053384078061,0.0,0.0,0.0,events/second
1773146671,2,0.003330172867185517,0.0,0.0,0.0,events/second
1773146701,2,0.0031716714828603854,0.0,0.0,0.0,events/second
1773146731,2,0.003027597663986964,0.0,0.0,0.0,events/second
1773146761,2,0.002896031058837248,0.0,0.0,0.0,events/second
1773146791,2,0.0027754241256051273,0.0,0.0,0.0,events/second
1773146821,2,0.002664469761611449,0.0,0.0,0.0,events/second
1773146851,2,0.0025620550537915347,0.0,0.0,0.0,events/second
1773146881,2,0.002467227829091561,0.0,0.0,0.0,events/second
1773146911,2,0.0023791638145320253,0.0,0.0,0.0,events/second
1773146941,2,0.002297172576223673,0.0,0.0,0.0,events/second
1773146971,2,0.0022206401902835314,0.0,0.0,0.0,events/second
1773147001,2,0.0021490370450285893,0.0,0.0,0.0,events/second
1773147031,2,0.002081910623708917,0.0,0.0,0.0,events/second
1773147061,2,0.0020188245087416337,0.0,0.0,0.0,events/second
1773147091,2,0.0019594772538364938,0.0,0.0,0.0,events/second
1773147121,2,0.0019035139704298171,0.0,0.0,0.0,events/second
1773147151,2,0.0018506601084794792,0.0,0.0,0.0,events/second
1773147181,2,0.0018006672412797507,0.0,0.0,0.0,events/second
1773147211,2,0.00175330446273943,0.0,0.0,0.0,events/second
1773147241,2,0.00170836865347442,0.0,0.0,0.0,events/second
1773147271,2,0.0016656783426683382,0.0,0.0,0.0,events/second
1773147301,2,0.0016250672992066055,0.0,0.0,0.0,events/second
1773147331,2,0.001586386054699772,0.0,0.0,0.0,events/second
1773147361,2,0.0015494991861356242,0.0,0.0,0.0,events/second
1773147392,2,0.0015142948698249877,0.0,0.0,0.0,events/second
1773147422,2,0.0014806448461821135,0.0,0.0,0.0,events/second
1773147452,2,0.0014484670099319638,0.0,0.0,0.0,events/second
1773147482,2,0.0014176578567894412,0.0,0.0,0.0,events/second
1773147512,2,0.0013881345354202965,0.0,0.0,0.0,events/second
1773147542,2,0.0013598005334324935,0.0,0.0,0.0,events/second
1773147572,2,0.0013326074198724937,0.0,0.0,0.0,events/second
1773147602,2,0.0013064835258737378,0.0,0.0,0.0,events/second
1773147632,2,0.0012813670731037022,0.0,0.0,0.0,events/second
1773147662,2,0.001257196734783069,0.0,0.0,0.0,events/second
1773147692,2,0.001233924639943605,0.0,0.0,0.0,events/second
1773147722,2,0.0012114944256556449,0.0,0.0,0.0,events/second
1773147752,2,0.001189863870805073,0.0,0.0,0.0,events/second
1773147782,2,0.001168993963188572,0.0,0.0,0.0,events/second
1773147812,2,0.001148843542169834,0.0,0.0,0.0,events/second
1773147842,2,0.0011293729124919546,0.0,0.0,0.0,events/second
1773147872,2,0.0011105541775690733,0.0,0.0,0.0,events/second
1773147902,2,0.001092352808790282,0.0,0.0,0.0,events/second
1773147932,2,0.0010747411693291847,0.0,0.0,0.0,events/second
1773147962,2,0.0010576875486576927,0.0,0.0,0.0,events/second
1773147992,2,0.0010411655986185453,0.0,0.0,0.0,events/second
1773148022,2,0.0010251527237916187,0.0,0.0,0.0,events/second
1773148052,2,0.001009621490578024,0.0,0.0,0.0,events/second
1773148082,2,9.945543868745646E-4,0.0,0.0,0.0,events/second
1773148112,2,9.799268668349793E-4,0.0,0.0,0.0,events/second
1773148142,2,9.65728095241412E-4,0.0,0.0,0.0,events/second
1773148172,2,9.519299401690695E-4,0.0,0.0,0.0,events/second
1773148202,2,9.38522207094117E-4,0.0,0.0,0.0,events/second
1773148232,2,9.254891947731617E-4,0.0,0.0,0.0,events/second
1773148262,2,9.128109587072006E-4,0.0,0.0,0.0,events/second
1773148292,2,9.004794681134612E-4,0.0,0.0,0.0,events/second
1773148322,2,8.884740997010131E-4,0.0,0.0,0.0,events/second
1773148352,2,8.767819484246561E-4,0.0,0.0,0.0,events/second
1773148382,2,8.653990859931695E-4,0.0,0.0,0.0,events/second
1773148412,2,8.543056830116452E-4,0.0,0.0,0.0,events/second
1773148442,2,8.434945215068363E-4,0.0,0.0,0.0,events/second
1773148472,2,8.329508399822923E-4,0.0,0.0,0.0,events/second
1773148502,2,8.226666094193814E-4,0.0,0.0,0.0,events/second
1773148532,2,8.126366752444751E-4,0.0,0.0,0.0,events/second
1773148562,2,8.028474262103654E-4,0.0,0.0,0.0,events/second
1773148592,2,7.932890833253002E-4,0.0,0.0,0.0,events/second
1773148622,2,7.839556721214837E-4,0.0,0.0,0.0,events/second
1773148652,2,7.748422795968065E-4,0.0,0.0,0.0,events/second
1773148682,2,7.659389336146998E-4,0.0,0.0,0.0,events/second
1773148712,2,7.572350992464326E-4,0.0,0.0,0.0,events/second
1773148742,2,7.48729487932548E-4,0.0,0.0,0.0,events/second
1773148772,2,7.404128388509255E-4,0.0,0.0,0.0,events/second
1773148802,2,7.322777765621091E-4,0.0,0.0,0.0,events/second
1773148832,2,7.243182292122661E-4,0.0,0.0,0.0,events/second
1773148862,2,7.165293289874149E-4,0.0,0.0,0.0,events/second
1773148892,2,7.089061358180616E-4,0.0,0.0,0.0,events/second
1773148922,2,7.014453093242585E-4,0.0,0.0,0.0,events/second
1773148952,2,6.941402408822727E-4,0.0,0.0,0.0,events/second
1773148982,2,6.869841533887445E-4,0.0,0.0,0.0,events/second
1773149012,2,6.799744663495314E-4,0.0,0.0,0.0,events/second
1773149042,2,6.731048697600797E-4,0.0,0.0,0.0,events/second
1773149072,2,6.663752741090167E-4,0.0,0.0,0.0,events/second
1773149102,2,6.59776014769843E-4,0.0,0.0,0.0,events/second
1773149132,2,6.533094002302146E-4,0.0,0.0,0.0,events/second
1773149162,2,6.469682893881879E-4,0.0,0.0,0.0,events/second
1773149192,2,6.407480670941274E-4,0.0,0.0,0.0,events/second
1773149222,2,6.346454830417288E-4,0.0,0.0,0.0,events/second
1773149252,2,6.286569223852095E-4,0.0,0.0,0.0,events/second
1773149282,2,6.227804895839402E-4,0.0,0.0,0.0,events/second
1773149312,2,6.170152978717621E-4,0.0,0.0,0.0,events/second
1773149342,2,6.113559665646364E-4,0.0,0.0,0.0,events/second
1773149372,2,6.057974886605436E-4,0.0,0.0,0.0,events/second
1773149402,2,6.003393972916659E-4,0.0,0.0,0.0,events/second
1773149432,2,5.949798188017325E-4,0.0,0.0,0.0,events/second
1773149462,2,5.897156611750466E-4,0.0,0.0,0.0,events/second
1773149492,2,5.845423683283177E-4,0.0,0.0,0.0,events/second
1773149522,2,5.794591166542023E-4,0.0,0.0,0.0,events/second
1773149552,2,5.74464497482093E-4,0.0,0.0,0.0,events/second
1773149582,2,5.695540462826757E-4,0.0,0.0,0.0,events/second
1773149612,2,5.647269596479547E-4,0.0,0.0,0.0,events/second
1773149642,2,5.599808998914761E-4,0.0,0.0,0.0,events/second
1773149672,2,5.553152715630756E-4,0.0,0.0,0.0,events/second
1773149702,2,5.507260493939569E-4,0.0,0.0,0.0,events/second
1773149732,2,5.462110614398472E-4,0.0,0.0,0.0,events/second
1773149762,2,5.41769747292389E-4,0.0,0.0,0.0,events/second
1773149792,2,5.374004982744315E-4,0.0,0.0,0.0,events/second
1773149822,2,5.331023450628394E-4,0.0,0.0,0.0,events/second
1773149852,2,5.288726119800671E-4,0.0,0.0,0.0,events/second
1773149882,2,5.247092568607065E-4,0.0,0.0,0.0,events/second
1773149912,2,5.206107028566593E-4,0.0,0.0,0.0,events/second
1773149942,2,5.165757550397894E-4,0.0,0.0,0.0,events/second
