t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,1,0.036852404850849625,0.0,0.0,0.0,events/second
1773145560,1,0.01747199964418622,0.0,0.0,0.0,events/second
1773145590,1,0.011460884416370942,0.0,0.0,0.0,events/second
1773145620,1,0.008527690390957448,0.0,0.0,0.0,events/second
1773145650,1,0.006789529895550422,0.0,0.0,0.0,events/second
1773145680,1,0.005639650743918885,0.0,0.0,0.0,events/second
1773145710,1,0.0048233012991205125,0.0,0.0,0.0,events/second
1773145740,1,0.004213432391960319,0.0,0.0,0.0,events/second
1773145770,1,0.003740283094703964,0.0,0.0,0.0,events/second
1773145800,1,0.0033627828379015267,0.0,0.0,0.0,events/second
1773145830,1,0.0030542888138739947,0.0,0.0,0.0,events/second
1773145860,1,0.0027977858409026896,0.0,0.0,0.0,events/second
1773145890,1,0.0025810828430014765,0.0,0.0,0.0,events/second
1773145920,1,0.0023955174975016807,0.0,0.0,0.0,events/second
1773145950,1,0.0022348458478235033,0.0,0.0,0.0,events/second
1773145980,1,0.0020943871294311343,0.0,0.0,0.0,events/second
1773146100,1,0.033354348685447247,0.0,0.0,0.0,events/second
1773146131,1,0.016556924035181803,0.0,0.0,0.0,events/second
1773146161,1,0.011061079550059662,0.0,0.0,0.0,events/second
1773146191,1,0.008304433234402591,0.0,0.0,0.0,events/second
1773146221,1,0.006647649615753188,0.0,0.0,0.0,events/second
1773146251,1,0.005542128757215945,0.0,0.0,0.0,events/second
1773146281,1,0.004751838462779649,0.0,0.0,0.0,events/second
1773146311,1,0.004158827642191399,0.0,0.0,0.0,events/second
1773146341,1,0.003697370440901779,0.0,0.0,0.0,events/second
1773146371,1,0.003328091212489991,0.0,0.0,0.0,events/second
1773146401,1,0.0030258598979736443,0.0,0.0,0.0,events/second
1773146431,1,0.002773987422169032,0.0,0.0,0.0,events/second
1773146461,1,0.002560814273054202,0.0,0.0,0.0,events/second
1773146491,1,0.002378074002645186,0.0,0.0,0.0,events/second
1773146521,1,0.002219655837891948,0.0,0.0,0.0,events/second
1773146551,1,0.002081035408512604,0.0,0.0,0.0,events/second
1773146581,1,0.001958715368001567,0.0,0.0,0.0,events/second
1773146611,1,0.0018499705031083137,0.0,0.0,0.0,events/second
1773146641,1,0.0017526675199168607,0.0,0.0,0.0,events/second
