t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,9,0.33166135963041365,0.0,0.0,0.0,events/second
1773145560,9,0.15724673930584276,0.0,0.0,0.0,events/second
1773145590,9,0.10314744113335135,0.0,0.0,0.0,events/second
1773145620,9,0.07674893974494977,0.0,0.0,0.0,events/second
1773145650,9,0.061105590247435906,0.0,0.0,0.0,events/second
1773145680,9,0.05075673970477856,0.0,0.0,0.0,events/second
1773145710,9,0.043409626328793444,0.0,0.0,0.0,events/second
1773145740,9,0.03792081401992393,0.0,0.0,0.0,events/second
1773145770,9,0.0336624943165694,0.0,0.0,0.0,events/second
1773145800,9,0.030265002062992007,0.0,0.0,0.0,events/second
1773145830,9,0.027488562005531642,0.0,0.0,0.0,events/second
1773145860,9,0.025180043761785755,0.0,0.0,0.0,events/second
1773145890,9,0.02322972142400562,0.0,0.0,0.0,events/second
1773145920,9,0.02155963550710079,0.0,0.0,0.0,events/second
1773145950,9,0.02011359446130501,0.0,0.0,0.0,events/second
1773145980,9,0.01884946825521247,0.0,0.0,0.0,events/second
1773146100,4,0.133330101856098,0.0,0.0,0.0,events/second
1773146131,8,0.1324549446806725,0.0,0.0,0.0,events/second
1773146161,8,0.08848841852461992,0.0,0.0,0.0,events/second
1773146191,11,0.09134860710722092,0.0,0.0,0.0,events/second
1773146221,11,0.07312404991376119,0.0,0.0,0.0,events/second
1773146251,12,0.06650547317626354,0.0,0.0,0.0,events/second
1773146281,12,0.05702200871627781,0.0,0.0,0.0,events/second
1773146311,12,0.0499058912340468,0.0,0.0,0.0,events/second
1773146341,15,0.05546051629910941,0.0,0.0,0.0,events/second
1773146371,15,0.04992133598888305,0.0,0.0,0.0,events/second
1773146401,15,0.04538786924422012,0.0,0.0,0.0,events/second
1773146431,15,0.041609788686144504,0.0,0.0,0.0,events/second
1773146461,16,0.040973007625340487,0.0,0.0,0.0,events/second
1773146491,16,0.03804916540267438,0.0,0.0,0.0,events/second
1773146521,16,0.03551447813691591,0.0,0.0,0.0,events/second
1773146551,16,0.03329654992014808,0.0,0.0,0.0,events/second
1773146581,16,0.03133943386883605,0.0,0.0,0.0,events/second
1773146611,16,0.029599517377353203,0.0,0.0,0.0,events/second
1773146641,16,0.028042670557583468,0.0,0.0,0.0,events/second
1773146671,16,0.026641348509573295,0.0,0.0,0.0,events/second
1773146701,16,0.025373342106916996,0.0,0.0,0.0,events/second
1773146731,16,0.024220753746886533,0.0,0.0,0.0,events/second
1773146761,16,0.023168222749487533,0.0,0.0,0.0,events/second
1773146791,16,0.022203368792863585,0.0,0.0,0.0,events/second
1773146821,16,0.02131573694238275,0.0,0.0,0.0,events/second
1773146851,16,0.020496421011040027,0.0,0.0,0.0,events/second
1773146881,16,0.0197378048410419,0.0,0.0,0.0,events/second
1773146911,16,0.019033293695765636,0.0,0.0,0.0,events/second
1773146941,16,0.01837736499832039,0.0,0.0,0.0,events/second
1773146971,16,0.017765105868544726,0.0,0.0,0.0,events/second
1773147001,16,0.017192282858001378,0.0,0.0,0.0,events/second
1773147031,16,0.01665527211492257,0.0,0.0,0.0,events/second
1773147061,16,0.016150583952212454,0.0,0.0,0.0,events/second
1773147091,16,0.01567580681767491,0.0,0.0,0.0,events/second
1773147121,16,0.015228100341149907,0.0,0.0,0.0,events/second
1773147151,16,0.014805270879339283,0.0,0.0,0.0,events/second
1773147181,16,0.014405328458538012,0.0,0.0,0.0,events/second
1773147211,16,0.014026426729306577,0.0,0.0,0.0,events/second
1773147241,16,0.013666940688201063,0.0,0.0,0.0,events/second
1773147271,16,0.013325418594355867,0.0,0.0,0.0,events/second
1773147301,16,0.01300053049964757,0.0,0.0,0.0,events/second
1773147331,16,0.012691080922973172,0.0,0.0,0.0,events/second
1773147361,16,0.012395986043270373,0.0,0.0,0.0,events/second
1773147392,16,0.012114352014213297,0.0,0.0,0.0,events/second
1773147422,16,0.011845151830364017,0.0,0.0,0.0,events/second
1773147452,16,0.01158772974584567,0.0,0.0,0.0,events/second
1773147482,16,0.011341256920721517,0.0,0.0,0.0,events/second
1773147512,16,0.011105070455596179,0.0,0.0,0.0,events/second
1773147542,16,0.010878398288350933,0.0,0.0,0.0,events/second
1773147572,16,0.01066085392348389,0.0,0.0,0.0,events/second
1773147602,16,0.010451862991391298,0.0,0.0,0.0,events/second
1773147632,16,0.010250931050310772,0.0,0.0,0.0,events/second
1773147662,16,0.010057569259918187,0.0,0.0,0.0,events/second
1773147692,16,0.00987139265963876,0.0,0.0,0.0,events/second
1773147722,16,0.009691950929879234,0.0,0.0,0.0,events/second
1773147752,16,0.009518906775745377,0.0,0.0,0.0,events/second
1773147782,16,0.009351947055425145,0.0,0.0,0.0,events/second
1773147812,16,0.009190744207840492,0.0,0.0,0.0,events/second
1773147842,16,0.00903497956277148,0.0,0.0,0.0,events/second
1773147872,16,0.00888442962189602,0.0,0.0,0.0,events/second
1773147902,16,0.008738818979396332,0.0,0.0,0.0,events/second
1773147932,16,0.008597925873720212,0.0,0.0,0.0,events/second
1773147962,16,0.008461497022414482,0.0,0.0,0.0,events/second
1773147992,16,0.008329321505218694,0.0,0.0,0.0,events/second
1773148022,16,0.008201218720754076,0.0,0.0,0.0,events/second
1773148052,16,0.008076968750822257,0.0,0.0,0.0,events/second
1773148082,16,0.007956432213835145,0.0,0.0,0.0,events/second
1773148112,16,0.007839412085023194,0.0,0.0,0.0,events/second
1773148142,16,0.007725821787959492,0.0,0.0,0.0,events/second
1773148172,16,0.007615436660754245,0.0,0.0,0.0,events/second
1773148202,16,0.007508175090032872,0.0,0.0,0.0,events/second
1773148232,16,0.007403911031079309,0.0,0.0,0.0,events/second
1773148262,16,0.007302485078665651,0.0,0.0,0.0,events/second
1773148292,16,0.007203833374917296,0.0,0.0,0.0,events/second
1773148322,16,0.007107790456605085,0.0,0.0,0.0,events/second
1773148352,16,0.007014253307603117,0.0,0.0,0.0,events/second
1773148382,16,0.00692319046845986,0.0,0.0,0.0,events/second
1773148412,16,0.0068344432923873035,0.0,0.0,0.0,events/second
1773148442,16,0.006747954078872331,0.0,0.0,0.0,events/second
1773148472,16,0.006663604691999558,0.0,0.0,0.0,events/second
1773148502,16,0.006581330429742486,0.0,0.0,0.0,events/second
1773148532,16,0.006501091444594913,0.0,0.0,0.0,events/second
1773148562,16,0.00642277751982186,0.0,0.0,0.0,events/second
1773148592,16,0.006346310807376662,0.0,0.0,0.0,events/second
1773148622,16,0.006271643545750481,0.0,0.0,0.0,events/second
1773148652,16,0.006198736481022045,0.0,0.0,0.0,events/second
1773148682,16,0.006127509753517075,0.0,0.0,0.0,events/second
1773148712,16,0.006057879119629336,0.0,0.0,0.0,events/second
1773148742,16,0.005989834265175531,0.0,0.0,0.0,events/second
1773148772,16,0.005923301060692237,0.0,0.0,0.0,events/second
1773148802,16,0.0058582204826170105,0.0,0.0,0.0,events/second
1773148832,16,0.005794544302808067,0.0,0.0,0.0,events/second
1773148862,16,0.005732233105621756,0.0,0.0,0.0,events/second
1773148892,16,0.005671247596590843,0.0,0.0,0.0,events/second
1773148922,16,0.005611561038667151,0.0,0.0,0.0,events/second
1773148952,16,0.0055531205212693635,0.0,0.0,0.0,events/second
1773148982,16,0.005495871838075229,0.0,0.0,0.0,events/second
1773149012,16,0.005439794358311516,0.0,0.0,0.0,events/second
1773149042,16,0.00538483757331734,0.0,0.0,0.0,events/second
1773149072,16,0.0053310008814862605,0.0,0.0,0.0,events/second
1773149102,16,0.005278206832444011,0.0,0.0,0.0,events/second
1773149132,16,0.0052264738937450326,0.0,0.0,0.0,events/second
1773149162,16,0.005175745032446141,0.0,0.0,0.0,events/second
1773149192,16,0.005125983317067349,0.0,0.0,0.0,events/second
1773149222,16,0.005077162613798663,0.0,0.0,0.0,events/second
1773149252,16,0.0050292542280737165,0.0,0.0,0.0,events/second
1773149282,16,0.004982242712457937,0.0,0.0,0.0,events/second
1773149312,16,0.004936121052324281,0.0,0.0,0.0,events/second
1773149342,16,0.004890846549654015,0.0,0.0,0.0,events/second
1773149372,16,0.004846378839140004,0.0,0.0,0.0,events/second
1773149402,16,0.0048027140841367345,0.0,0.0,0.0,events/second
1773149432,16,0.004759837456975869,0.0,0.0,0.0,events/second
1773149462,16,0.004717724206461778,0.0,0.0,0.0,events/second
1773149492,16,0.004676337950122679,0.0,0.0,0.0,events/second
1773149522,16,0.004635671937331508,0.0,0.0,0.0,events/second
1773149552,16,0.004595714978344256,0.0,0.0,0.0,events/second
1773149582,16,0.0045564312730388065,0.0,0.0,0.0,events/second
1773149612,16,0.004517814723750954,0.0,0.0,0.0,events/second
1773149642,16,0.00447984628348246,0.0,0.0,0.0,events/second
1773149672,16,0.004442521274393289,0.0,0.0,0.0,events/second
1773149702,16,0.004405807351317439,0.0,0.0,0.0,events/second
1773149732,16,0.004369687619392395,0.0,0.0,0.0,events/second
1773149762,16,0.004334157106131721,0.0,0.0,0.0,events/second
1773149792,16,0.004299203136317054,0.0,0.0,0.0,events/second
1773149822,16,0.0042648179308717536,0.0,0.0,0.0,events/second
1773149852,16,0.004230980071826116,0.0,0.0,0.0,events/second
1773149882,16,0.004197673234542922,0.0,0.0,0.0,events/second
1773149912,16,0.0041648848312129255,0.0,0.0,0.0,events/second
1773149942,16,0.004132605246918528,0.0,0.0,0.0,events/second
1773149972,16,0.0041008194749521925,0.0,0.0,0.0,events/second
1773150002,16,0.004069520671465236,0.0,0.0,0.0,events/second
1773150032,16,0.004038693311313665,0.0,0.0,0.0,events/second
1773150062,16,0.004008327634454062,0.0,0.0,0.0,events/second
1773150092,16,0.0039784226349539095,0.0,0.0,0.0,events/second
1773150122,16,0.003948959591156019,0.0,0.0,0.0,events/second
1773150152,16,0.003919931380199814,0.0,0.0,0.0,events/second
1773150182,16,0.003891326613851047,0.0,0.0,0.0,events/second
1773150212,16,0.0038631318543211374,0.0,0.0,0.0,events/second
1773150242,16,0.0038353404261384574,0.0,0.0,0.0,events/second
1773150272,16,0.003807953830143157,0.0,0.0,0.0,events/second
1773150302,16,0.0037809553609303537,0.0,0.0,0.0,events/second
1773150333,16,0.003754325960540543,0.0,0.0,0.0,events/second
1773150363,16,0.0037280799725936276,0.0,0.0,0.0,events/second
1773150393,16,0.003702193727741198,0.0,0.0,0.0,events/second
1773150423,16,0.0036766580066375206,0.0,0.0,0.0,events/second
1773150453,16,0.0036514823514860583,0.0,0.0,0.0,events/second
1773150483,16,0.0036266467572560355,0.0,0.0,0.0,events/second
1773150513,16,0.0036021463489700326,0.0,0.0,0.0,events/second
1773150543,16,0.003577976761192821,0.0,0.0,0.0,events/second
1773150573,16,0.003554125181211479,0.0,0.0,0.0,events/second
1773150603,16,0.0035305945641698915,0.0,0.0,0.0,events/second
1773150633,16,0.003507368323556007,0.0,0.0,0.0,events/second
1773150663,16,0.003484449280650979,0.0,0.0,0.0,events/second
1773150693,16,0.0034618249257036475,0.0,0.0,0.0,events/second
1773150723,16,0.0034394917446212664,0.0,0.0,0.0,events/second
1773150753,16,0.0034174406230041794,0.0,0.0,0.0,events/second
1773150783,16,0.0033956770387973765,0.0,0.0,0.0,events/second
1773150813,16,0.0033741882965326736,0.0,0.0,0.0,events/second
1773150843,16,0.003352971919896009,0.0,0.0,0.0,events/second
1773150873,16,0.0033320213937811467,0.0,0.0,0.0,events/second
1773150903,16,0.00331132717204815,0.0,0.0,0.0,events/second
1773150933,16,0.0032908835154877372,0.0,0.0,0.0,events/second
1773150963,16,0.003270694409731852,0.0,0.0,0.0,events/second
1773150993,16,0.003250752485856516,0.0,0.0,0.0,events/second
1773151023,16,0.003231056431310196,0.0,0.0,0.0,events/second
1773151053,16,0.0032115966465498433,0.0,0.0,0.0,events/second
1773151083,16,0.0031923655992189583,0.0,0.0,0.0,events/second
1773151113,16,0.003173362746457801,0.0,0.0,0.0,events/second
1773151143,16,0.0031545881495736727,0.0,0.0,0.0,events/second
1773151173,16,0.0031360336158518173,0.0,0.0,0.0,events/second
1773151203,16,0.0031176985045259045,0.0,0.0,0.0,events/second
1773151233,16,0.003099576006946478,0.0,0.0,0.0,events/second
1773151263,16,0.003081660149078782,0.0,0.0,0.0,events/second
1773151293,16,0.0030639482924617774,0.0,0.0,0.0,events/second
1773151323,16,0.0030464433451122567,0.0,0.0,0.0,events/second
1773151353,16,0.0030291347596327826,0.0,0.0,0.0,events/second
1773151383,16,0.003012024750747204,0.0,0.0,0.0,events/second
1773151413,16,0.002995107917813217,0.0,0.0,0.0,events/second
1773151443,16,0.0029783794787920943,0.0,0.0,0.0,events/second
1773151473,16,0.0029618327056629805,0.0,0.0,0.0,events/second
1773151503,16,0.002945473031015683,0.0,0.0,0.0,events/second
1773151533,16,0.0029292933062119784,0.0,0.0,0.0,events/second
1773151563,16,0.002913290082351887,0.0,0.0,0.0,events/second
1773151593,16,0.002897461022406042,0.0,0.0,0.0,events/second
1773151623,16,0.002881796593447454,0.0,0.0,0.0,events/second
1773151653,16,0.0028663052707593264,0.0,0.0,0.0,events/second
1773151683,16,0.002850976551539408,0.0,0.0,0.0,events/second
1773151713,16,0.0028358149105456006,0.0,0.0,0.0,events/second
1773151743,16,0.0028208132669477136,0.0,0.0,0.0,events/second
1773151773,16,0.002805962027142223,0.0,0.0,0.0,events/second
1773151803,16,0.0027912716624029434,0.0,0.0,0.0,events/second
1773151833,16,0.0027767366178219404,0.0,0.0,0.0,events/second
1773151863,16,0.0027623517600284127,0.0,0.0,0.0,events/second
1773151893,16,0.0027481139247608794,0.0,0.0,0.0,events/second
1773151923,16,0.0027340247670019115,0.0,0.0,0.0,events/second
1773151953,16,0.0027200792899821735,0.0,0.0,0.0,events/second
1773151983,16,0.002706269165465232,0.0,0.0,0.0,events/second
1773152013,16,0.002692604142081883,0.0,0.0,0.0,events/second
1773152043,16,0.002679076789090291,0.0,0.0,0.0,events/second
1773152073,16,0.0026656841976559716,0.0,0.0,0.0,events/second
1773152103,16,0.002652424721540692,0.0,0.0,0.0,events/second
1773152133,16,0.002639294616625749,0.0,0.0,0.0,events/second
1773152163,16,0.002626295145934503,0.0,0.0,0.0,events/second
1773152193,16,0.002613420099514827,0.0,0.0,0.0,events/second
1773152223,16,0.002600674251902082,0.0,0.0,0.0,events/second
1773152253,16,0.00258805273860163,0.0,0.0,0.0,events/second
1773152283,16,0.002575549205429493,0.0,0.0,0.0,events/second
1773152313,16,0.002563169420915135,0.0,0.0,0.0,events/second
