t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,8,0.2947978421402291,0.0,0.0,0.0,events/second
1773145560,8,0.139773805099511,0.0,0.0,0.0,events/second
1773145590,8,0.0916861810961473,0.0,0.0,0.0,events/second
1773145620,8,0.06822106917396742,0.0,0.0,0.0,events/second
1773145650,8,0.05431593768701275,0.0,0.0,0.0,events/second
1773145680,8,0.04511701364242506,0.0,0.0,0.0,events/second
1773145710,8,0.03858627060333272,0.0,0.0,0.0,events/second
1773145740,8,0.0337073346946254,0.0,0.0,0.0,events/second
1773145770,8,0.029922164725889194,0.0,0.0,0.0,events/second
1773145800,8,0.026902188665659122,0.0,0.0,0.0,events/second
1773145830,8,0.024434234501142477,0.0,0.0,0.0,events/second
1773145860,8,0.022382239379700856,0.0,0.0,0.0,events/second
1773145890,8,0.020648623433024073,0.0,0.0,0.0,events/second
1773145920,8,0.019164101986600953,0.0,0.0,0.0,events/second
1773145950,8,0.01787873715105417,0.0,0.0,0.0,events/second
1773145980,8,0.016755070772892205,0.0,0.0,0.0,events/second
1773146100,0,0.0,0.0,0.0,0.0,events/second
1773146131,9,0.14901148487972762,0.0,0.0,0.0,events/second
1773146161,13,0.1437934230766448,0.0,0.0,0.0,events/second
1773146191,21,0.1743925948067757,0.0,0.0,0.0,events/second
1773146221,25,0.16619088785891722,0.0,0.0,0.0,events/second
1773146251,29,0.16072145667220955,0.0,0.0,0.0,events/second
1773146281,33,0.15681043656517354,0.0,0.0,0.0,events/second
1773146311,37,0.15387642316207342,0.0,0.0,0.0,events/second
1773146341,41,0.15159200883169127,0.0,0.0,0.0,events/second
1773146371,45,0.14976395064745598,0.0,0.0,0.0,events/second
1773146401,50,0.15129283961599663,0.0,0.0,0.0,events/second
1773146431,54,0.1497951894065508,0.0,0.0,0.0,events/second
1773146461,58,0.14852710635324703,0.0,0.0,0.0,events/second
1773146491,62,0.14744046316642706,0.0,0.0,0.0,events/second
1773146521,66,0.14649718517999955,0.0,0.0,0.0,events/second
1773146551,70,0.1456723102874266,0.0,0.0,0.0,events/second
1773146581,74,0.1449448480857257,0.0,0.0,0.0,events/second
1773146611,78,0.14429761579502481,0.0,0.0,0.0,events/second
1773146641,82,0.1437186558769215,0.0,0.0,0.0,events/second
1773146671,86,0.1431972171708192,0.0,0.0,0.0,events/second
1773146701,90,0.1427250223718975,0.0,0.0,0.0,events/second
1773146731,94,0.1422969006260303,0.0,0.0,0.0,events/second
1773146761,98,0.14190533670342967,0.0,0.0,0.0,events/second
1773146791,102,0.14154644606033204,0.0,0.0,0.0,events/second
1773146821,106,0.1412167339711505,0.0,0.0,0.0,events/second
1773146851,110,0.1409128725366101,0.0,0.0,0.0,events/second
1773146881,114,0.14063183968040938,0.0,0.0,0.0,events/second
1773146911,118,0.14037052036728603,0.0,0.0,0.0,events/second
1773146941,122,0.14012738876621206,0.0,0.0,0.0,events/second
1773146971,126,0.13990018631564835,0.0,0.0,0.0,events/second
1773147001,130,0.1396872810952559,0.0,0.0,0.0,events/second
1773147031,134,0.1394878863932107,0.0,0.0,0.0,events/second
1773147061,138,0.13929876902567104,0.0,0.0,0.0,events/second
1773147091,142,0.1391227700363774,0.0,0.0,0.0,events/second
1773147121,146,0.13895639556349557,0.0,0.0,0.0,events/second
1773147151,150,0.13879939991641402,0.0,0.0,0.0,events/second
