t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,9,0.3316430372108131,0.0,0.0,0.0,events/second
1773145560,9,0.1572456370594966,0.0,0.0,0.0,events/second
1773145590,9,0.10314701544110821,0.0,0.0,0.0,events/second
1773145620,9,0.07674874942006087,0.0,0.0,0.0,events/second
1773145650,9,0.061105454665927345,0.0,0.0,0.0,events/second
1773145680,9,0.05075666361974227,0.0,0.0,0.0,events/second
1773145710,9,0.043409568666362905,0.0,0.0,0.0,events/second
1773145740,9,0.0379207594723191,0.0,0.0,0.0,events/second
1773145770,9,0.03366244516252565,0.0,0.0,0.0,events/second
1773145800,9,0.030264969057563058,0.0,0.0,0.0,events/second
1773145830,9,0.027488517029361708,0.0,0.0,0.0,events/second
1773145860,9,0.025180025050734016,0.0,0.0,0.0,events/second
1773145890,9,0.02322970659645781,0.0,0.0,0.0,events/second
1773145920,9,0.021559618195230865,0.0,0.0,0.0,events/second
1773145950,9,0.020113583169684843,0.0,0.0,0.0,events/second
1773145980,9,0.01884945803435077,0.0,0.0,0.0,events/second
1773146100,4,0.13317872260283112,0.0,0.0,0.0,events/second
1773146131,8,0.1324547376581101,0.0,0.0,0.0,events/second
1773146161,8,0.08848827865788969,0.0,0.0,0.0,events/second
1773146191,10,0.08304411400580645,0.0,0.0,0.0,events/second
1773146221,10,0.06647637198036423,0.0,0.0,0.0,events/second
1773146251,11,0.060963325578406675,0.0,0.0,0.0,events/second
1773146281,11,0.05227015590396541,0.0,0.0,0.0,events/second
1773146311,11,0.045747052828674147,0.0,0.0,0.0,events/second
1773146341,11,0.04067103291008806,0.0,0.0,0.0,events/second
1773146371,11,0.03660897072135897,0.0,0.0,0.0,events/second
1773146401,11,0.03328442850236243,0.0,0.0,0.0,events/second
1773146431,11,0.0305138383580188,0.0,0.0,0.0,events/second
1773146461,11,0.02816893685617465,0.0,0.0,0.0,events/second
1773146491,11,0.026158793873851612,0.0,0.0,0.0,events/second
1773146521,11,0.024416199882085647,0.0,0.0,0.0,events/second
1773146551,11,0.022891364531462812,0.0,0.0,0.0,events/second
1773146581,11,0.021545857569018202,0.0,0.0,0.0,events/second
1773146611,11,0.020349665369695666,0.0,0.0,0.0,events/second
1773146641,11,0.019279333180094768,0.0,0.0,0.0,events/second
1773146671,11,0.018315924215262697,0.0,0.0,0.0,events/second
1773146701,11,0.01744417052968259,0.0,0.0,0.0,events/second
1773146731,11,0.016651765864258972,0.0,0.0,0.0,events/second
1773146761,11,0.015928150783113066,0.0,0.0,0.0,events/second
1773146791,11,0.015264813333651475,0.0,0.0,0.0,events/second
1773146821,11,0.014654567482550087,0.0,0.0,0.0,events/second
1773146851,11,0.01409128797751846,0.0,0.0,0.0,events/second
1773146881,11,0.013569739638016205,0.0,0.0,0.0,events/second
1773146911,11,0.01308538810050113,0.0,0.0,0.0,events/second
1773146941,11,0.012634437271053423,0.0,0.0,0.0,events/second
1773146971,11,0.01221350871427318,0.0,0.0,0.0,events/second
1773147001,11,0.011819693568222787,0.0,0.0,0.0,events/second
1773147031,11,0.011450498618301747,0.0,0.0,0.0,events/second
1773147061,11,0.011103525498772592,0.0,0.0,0.0,events/second
1773147091,11,0.010777116453318396,0.0,0.0,0.0,events/second
1773147121,11,0.010469317717089385,0.0,0.0,0.0,events/second
1773147151,11,0.010178623069303335,0.0,0.0,0.0,events/second
1773147181,11,0.009903662691974919,0.0,0.0,0.0,events/second
1773147211,11,0.00964316778971155,0.0,0.0,0.0,events/second
1773147241,11,0.009396021154902458,0.0,0.0,0.0,events/second
1773147271,11,0.009161224721301767,0.0,0.0,0.0,events/second
1773147301,11,0.008937864099032581,0.0,0.0,0.0,events/second
1773147331,11,0.00872511754836091,0.0,0.0,0.0,events/second
1773147361,11,0.008522239619699513,0.0,0.0,0.0,events/second
1773147392,11,0.008328616397460312,0.0,0.0,0.0,events/second
1773147422,11,0.008143541082142089,0.0,0.0,0.0,events/second
1773147452,11,0.00796656365734491,0.0,0.0,0.0,events/second
1773147482,11,0.007797113712957961,0.0,0.0,0.0,events/second
1773147512,11,0.007634735431106429,0.0,0.0,0.0,events/second
1773147542,11,0.007478898188645486,0.0,0.0,0.0,events/second
1773147572,11,0.007329336727127358,0.0,0.0,0.0,events/second
1773147602,11,0.007185655203876061,0.0,0.0,0.0,events/second
1773147632,11,0.00704751457738636,0.0,0.0,0.0,events/second
1773147662,11,0.006914578561939397,0.0,0.0,0.0,events/second
1773147692,11,0.006786582153707896,0.0,0.0,0.0,events/second
1773147722,11,0.006663215859055227,0.0,0.0,0.0,events/second
1773147752,11,0.006544248101915904,0.0,0.0,0.0,events/second
1773147782,11,0.006429462911011825,0.0,0.0,0.0,events/second
1773147812,11,0.0063186362069801135,0.0,0.0,0.0,events/second
1773147842,11,0.0062115482059796395,0.0,0.0,0.0,events/second
1773147872,11,0.006108045006216309,0.0,0.0,0.0,events/second
1773147902,11,0.006007937826184701,0.0,0.0,0.0,events/second
1773147932,11,0.005911073746903476,0.0,0.0,0.0,events/second
1773147962,11,0.0058172789574107995,0.0,0.0,0.0,events/second
1773147992,11,0.005726408271311398,0.0,0.0,0.0,events/second
1773148022,11,0.0056383376713920845,0.0,0.0,0.0,events/second
