t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,0,0.0,0.0,0.0,0.0,events/second
1773145560,0,0.0,0.0,0.0,0.0,events/second
1773145590,0,0.0,0.0,0.0,0.0,events/second
1773145620,0,0.0,0.0,0.0,0.0,events/second
1773145650,0,0.0,0.0,0.0,0.0,events/second
1773145680,0,0.0,0.0,0.0,0.0,events/second
1773145710,0,0.0,0.0,0.0,0.0,events/second
1773145740,0,0.0,0.0,0.0,0.0,events/second
1773145770,0,0.0,0.0,0.0,0.0,events/second
1773145800,0,0.0,0.0,0.0,0.0,events/second
1773145830,0,0.0,0.0,0.0,0.0,events/second
1773145860,0,0.0,0.0,0.0,0.0,events/second
1773145890,0,0.0,0.0,0.0,0.0,events/second
1773145920,0,0.0,0.0,0.0,0.0,events/second
1773145950,0,0.0,0.0,0.0,0.0,events/second
1773145980,0,0.0,0.0,0.0,0.0,events/second
1773146100,0,0.0,0.0,0.0,0.0,events/second
1773146131,0,0.0,0.0,0.0,0.0,events/second
1773146161,0,0.0,0.0,0.0,0.0,events/second
1773146191,1,0.008304422703672494,0.0,0.0,0.0,events/second
1773146221,1,0.006647644887293293,0.0,0.0,0.0,events/second
1773146251,1,0.00554212580241613,0.0,0.0,0.0,events/second
1773146281,1,0.004751836272523687,0.0,0.0,0.0,events/second
1773146311,1,0.004158825921255299,0.0,0.0,0.0,events/second
1773146341,1,0.003697368995925401,0.0,0.0,0.0,events/second
1773146371,1,0.0033280901923731015,0.0,0.0,0.0,events/second
1773146401,1,0.0030258586948983075,0.0,0.0,0.0,events/second
1773146431,1,0.00277398664035662,0.0,0.0,0.0,events/second
1773146461,1,0.0025608135720288083,0.0,0.0,0.0,events/second
1773146491,1,0.002378073116470041,0.0,0.0,0.0,events/second
1773146521,1,0.002219655401371171,0.0,0.0,0.0,events/second
1773146551,1,0.002081033862450864,0.0,0.0,0.0,events/second
1773146581,1,0.001958714991634525,0.0,0.0,0.0,events/second
1773146611,1,0.001849970176954522,0.0,0.0,0.0,events/second
1773146641,1,0.0017526671792494897,0.0,0.0,0.0,events/second
1773146671,1,0.0016650844676062311,0.0,0.0,0.0,events/second
1773146701,1,0.0015858341208463997,0.0,0.0,0.0,events/second
1773146731,1,0.0015137972819656872,0.0,0.0,0.0,events/second
1773146761,1,0.001448014056663643,0.0,0.0,0.0,events/second
1773146791,1,0.0013877106061707491,0.0,0.0,0.0,events/second
1773146821,1,0.001332233711180748,0.0,0.0,0.0,events/second
1773146851,1,0.0012810264630159134,0.0,0.0,0.0,events/second
1773146881,1,0.0012336129625063772,0.0,0.0,0.0,events/second
1773146911,1,0.0011895809792408028,0.0,0.0,0.0,events/second
1773146941,1,0.0011485854338977983,0.0,0.0,0.0,events/second
1773146971,1,0.0011103191728768368,0.0,0.0,0.0,events/second
1773147001,1,0.0010745178008959948,0.0,0.0,0.0,events/second
1773147031,1,0.0010409546065475324,0.0,0.0,0.0,events/second
1773147061,1,0.001009411583926443,0.0,0.0,0.0,events/second
1773147091,1,9.797380289085266E-4,0.0,0.0,0.0,events/second
1773147121,1,9.5175629849707E-4,0.0,0.0,0.0,events/second
1773147151,1,9.253295041086235E-4,0.0,0.0,0.0,events/second
1773147181,1,9.003331146632474E-4,0.0,0.0,0.0,events/second
1773147211,1,8.766517530436665E-4,0.0,0.0,0.0,events/second
1773147241,1,8.541838694777923E-4,0.0,0.0,0.0,events/second
1773147271,1,8.328387314399091E-4,0.0,0.0,0.0,events/second
1773147301,1,8.125332126759431E-4,0.0,0.0,0.0,events/second
1773147331,1,7.931926122335165E-4,0.0,0.0,0.0,events/second
1773147361,1,7.747491553152649E-4,0.0,0.0,0.0,events/second
1773147392,1,7.571470426798317E-4,0.0,0.0,0.0,events/second
1773147422,1,7.403220024967831E-4,0.0,0.0,0.0,events/second
1773147452,1,7.242331480867167E-4,0.0,0.0,0.0,events/second
1773147482,1,7.088286066835272E-4,0.0,0.0,0.0,events/second
1773147512,1,6.9406693830376E-4,0.0,0.0,0.0,events/second
1773147542,1,6.798999080917355E-4,0.0,0.0,0.0,events/second
