t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,1,0.03684395818459811,0.0,0.0,0.0,events/second
1773145560,1,0.017471992073474368,0.0,0.0,0.0,events/second
1773145590,1,0.01146090430307881,0.0,0.0,0.0,events/second
1773145620,1,0.008527716803489292,0.0,0.0,0.0,events/second
1773145650,1,0.006789538483565814,0.0,0.0,0.0,events/second
1773145680,1,0.005639665501783982,0.0,0.0,0.0,events/second
1773145710,1,0.0048233105792418775,0.0,0.0,0.0,events/second
1773145740,1,0.004213437071659617,0.0,0.0,0.0,events/second
1773145770,1,0.0037402814397211005,0.0,0.0,0.0,events/second
1773145800,1,0.0033627700245060857,0.0,0.0,0.0,events/second
1773145830,1,0.0030542799106076045,0.0,0.0,0.0,events/second
1773145860,1,0.0027977894502162937,0.0,0.0,0.0,events/second
1773145890,1,0.0025810864291549453,0.0,0.0,0.0,events/second
1773145920,1,0.0023955191565043594,0.0,0.0,0.0,events/second
1773145950,1,0.002234848407526116,0.0,0.0,0.0,events/second
1773145980,1,0.0020943894467991683,0.0,0.0,0.0,events/second
1773146100,1,0.033254868802941484,0.0,0.0,0.0,events/second
1773146131,1,0.016556994076136006,0.0,0.0,0.0,events/second
1773146161,1,0.011061087771816485,0.0,0.0,0.0,events/second
1773146191,1,0.008304446358198572,0.0,0.0,0.0,events/second
1773146221,1,0.0066476607696422454,0.0,0.0,0.0,events/second
1773146251,1,0.005542135858577241,0.0,0.0,0.0,events/second
1773146281,1,0.004751845458064274,0.0,0.0,0.0,events/second
1773146311,1,0.004158833021206885,0.0,0.0,0.0,events/second
1773146341,1,0.0036973744368073293,0.0,0.0,0.0,events/second
1773146371,1,0.003328094796749297,0.0,0.0,0.0,events/second
1773146401,1,0.003025861990997401,0.0,0.0,0.0,events/second
1773146431,1,0.0027739897252863047,0.0,0.0,0.0,events/second
1773146461,1,0.0025608158980705746,0.0,0.0,0.0,events/second
1773146491,1,0.0023780751319963443,0.0,0.0,0.0,events/second
1773146521,1,0.0022196574588340323,0.0,0.0,0.0,events/second
1773146551,1,0.0020810346376467993,0.0,0.0,0.0,events/second
1773146581,1,0.001958716518972011,0.0,0.0,0.0,events/second
1773146611,1,0.0018499715366709316,0.0,0.0,0.0,events/second
1773146641,1,0.0017526683619095507,0.0,0.0,0.0,events/second
1773146671,1,0.0016650854418655094,0.0,0.0,0.0,events/second
1773146701,1,0.0015858351303158036,0.0,0.0,0.0,events/second
1773146731,1,0.0015137981135813284,0.0,0.0,0.0,events/second
1773146761,1,0.0014480148064599388,0.0,0.0,0.0,events/second
1773146791,1,0.0013877111721461795,0.0,0.0,0.0,events/second
1773146821,1,0.0013322343934321541,0.0,0.0,0.0,events/second
1773146851,1,0.0012810271131918536,0.0,0.0,0.0,events/second
1773146881,1,0.0012336135990760392,0.0,0.0,0.0,events/second
1773146911,1,0.0011895815198103585,0.0,0.0,0.0,events/second
1773146941,1,0.001148585957771616,0.0,0.0,0.0,events/second
1773146971,1,0.0011103195649101308,0.0,0.0,0.0,events/second
1773147001,1,0.0010745182832832885,0.0,0.0,0.0,events/second
1773147031,1,0.001040955031313611,0.0,0.0,0.0,events/second
1773147061,1,0.0010094119806908328,0.0,0.0,0.0,events/second
1773147091,1,9.797384116154659E-4,0.0,0.0,0.0,events/second
1773147121,1,9.517565592884923E-4,0.0,0.0,0.0,events/second
1773147151,1,9.253298635560865E-4,0.0,0.0,0.0,events/second
1773147181,1,9.00333451224376E-4,0.0,0.0,0.0,events/second
1773147211,1,8.76652076282581E-4,0.0,0.0,0.0,events/second
1773147241,1,8.541841737336452E-4,0.0,0.0,0.0,events/second
1773147271,1,8.328390174890407E-4,0.0,0.0,0.0,events/second
1773147301,1,8.125334424951863E-4,0.0,0.0,0.0,events/second
1773147331,1,7.931928535772637E-4,0.0,0.0,0.0,events/second
1773147361,1,7.747493535133266E-4,0.0,0.0,0.0,events/second
1773147392,1,7.571472614403544E-4,0.0,0.0,0.0,events/second
1773147422,1,7.403221677967429E-4,0.0,0.0,0.0,events/second
1773147452,1,7.242333390097366E-4,0.0,0.0,0.0,events/second
1773147482,1,7.088288105226798E-4,0.0,0.0,0.0,events/second
1773147512,1,6.940671130750543E-4,0.0,0.0,0.0,events/second
1773147542,1,6.799000410388548E-4,0.0,0.0,0.0,events/second
1773147572,1,6.663035924198879E-4,0.0,0.0,0.0,events/second
1773147602,1,6.532416096146839E-4,0.0,0.0,0.0,events/second
1773147632,1,6.406833414940032E-4,0.0,0.0,0.0,events/second
