t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,10,0.36842344893525364,0.0,0.0,0.0,events/second
1773145560,10,0.17471836081638006,0.0,0.0,0.0,events/second
1773145590,10,0.11460832296185315,0.0,0.0,0.0,events/second
1773145620,10,0.08527684791405364,0.0,0.0,0.0,events/second
1773145650,10,0.06789517601311773,0.0,0.0,0.0,events/second
1773145680,10,0.05639651787144743,0.0,0.0,0.0,events/second
1773145710,10,0.048233003941419245,0.0,0.0,0.0,events/second
1773145740,10,0.04213428383333905,0.0,0.0,0.0,events/second
1773145770,10,0.03740275502499618,0.0,0.0,0.0,events/second
1773145800,10,0.033627650771661355,0.0,0.0,0.0,events/second
1773145830,10,0.030542756297072378,0.0,0.0,0.0,events/second
1773145860,10,0.02797786078861921,0.0,0.0,0.0,events/second
1773145890,10,0.025810835971388113,0.0,0.0,0.0,events/second
1773145920,10,0.02395516637874078,0.0,0.0,0.0,events/second
1773145950,10,0.022348462748564092,0.0,0.0,0.0,events/second
1773145980,10,0.020943875865001002,0.0,0.0,0.0,events/second
1773146100,4,0.13293790068521844,0.0,0.0,0.0,events/second
1773146131,8,0.13245552079453576,0.0,0.0,0.0,events/second
1773146161,8,0.08848848977949925,0.0,0.0,0.0,events/second
1773146191,11,0.09134875662695265,0.0,0.0,0.0,events/second
1773146221,11,0.07312417489090826,0.0,0.0,0.0,events/second
1773146251,12,0.06650555853984778,0.0,0.0,0.0,events/second
1773146281,12,0.05702209320145759,0.0,0.0,0.0,events/second
1773146311,12,0.04990595648779919,0.0,0.0,0.0,events/second
1773146341,12,0.04436846158065253,0.0,0.0,0.0,events/second
1773146371,12,0.0399371122141973,0.0,0.0,0.0,events/second
1773146401,12,0.036310322302509065,0.0,0.0,0.0,events/second
1773146431,12,0.03328785890024923,0.0,0.0,0.0,events/second
1773146461,12,0.030729770835968298,0.0,0.0,0.0,events/second
1773146491,12,0.028536888072459934,0.0,0.0,0.0,events/second
1773146521,12,0.026635878272728473,0.0,0.0,0.0,events/second
1773146551,12,0.02497240566862404,0.0,0.0,0.0,events/second
1773146581,12,0.02350458933756656,0.0,0.0,0.0,events/second
1773146611,12,0.02219965055896349,0.0,0.0,0.0,events/second
1773146641,12,0.021032012863585685,0.0,0.0,0.0,events/second
1773146671,12,0.019981018674981536,0.0,0.0,0.0,events/second
1773146701,12,0.019030015754434648,0.0,0.0,0.0,events/second
1773146731,12,0.01816557190992256,0.0,0.0,0.0,events/second
1773146761,12,0.017376172647844308,0.0,0.0,0.0,events/second
1773146791,12,0.016652529222128537,0.0,0.0,0.0,events/second
1773146821,12,0.01598680855952222,0.0,0.0,0.0,events/second
1773146851,12,0.015372321569492042,0.0,0.0,0.0,events/second
1773146881,12,0.01480335972285588,0.0,0.0,0.0,events/second
1773146911,12,0.014274974921286888,0.0,0.0,0.0,events/second
1773146941,12,0.013783028418880572,0.0,0.0,0.0,events/second
1773146971,12,0.013323831732896465,0.0,0.0,0.0,events/second
1773147001,12,0.012894216764164832,0.0,0.0,0.0,events/second
1773147031,12,0.012491457855773037,0.0,0.0,0.0,events/second
1773147061,12,0.01211294138892588,0.0,0.0,0.0,events/second
1773147091,12,0.011756858753146556,0.0,0.0,0.0,events/second
1773147121,12,0.011421076418961108,0.0,0.0,0.0,events/second
1773147151,12,0.01110395641148425,0.0,0.0,0.0,events/second
1773147181,12,0.010803999564578651,0.0,0.0,0.0,events/second
1773147211,12,0.010519823162246035,0.0,0.0,0.0,events/second
1773147241,12,0.010250208417744013,0.0,0.0,0.0,events/second
1773147271,12,0.009994066619257457,0.0,0.0,0.0,events/second
1773147301,12,0.009750399761088425,0.0,0.0,0.0,events/second
1773147331,12,0.009518312760890105,0.0,0.0,0.0,events/second
1773147361,12,0.009296990776382468,0.0,0.0,0.0,events/second
1773147392,12,0.009085765786197061,0.0,0.0,0.0,events/second
1773147422,12,0.008883864767234193,0.0,0.0,0.0,events/second
1773147452,12,0.008690798811801258,0.0,0.0,0.0,events/second
1773147482,12,0.008505944563831106,0.0,0.0,0.0,events/second
1773147512,12,0.008328804211734256,0.0,0.0,0.0,events/second
1773147542,12,0.008158799330334561,0.0,0.0,0.0,events/second
1773147572,12,0.007995641890633705,0.0,0.0,0.0,events/second
1773147602,12,0.007838898304551103,0.0,0.0,0.0,events/second
1773147632,12,0.007688199090129597,0.0,0.0,0.0,events/second
1773147662,12,0.007543178540496306,0.0,0.0,0.0,events/second
1773147692,12,0.0074035459198535936,0.0,0.0,0.0,events/second
1773147722,12,0.00726896415201294,0.0,0.0,0.0,events/second
1773147752,12,0.007139181031086152,0.0,0.0,0.0,events/second
1773147782,12,0.007013959695891713,0.0,0.0,0.0,events/second
1773147812,12,0.00689305885513183,0.0,0.0,0.0,events/second
1773147842,12,0.0067762359688615294,0.0,0.0,0.0,events/second
1773147872,12,0.006663322940879858,0.0,0.0,0.0,events/second
1773147902,12,0.006554115454867587,0.0,0.0,0.0,events/second
1773147932,12,0.00644844528060054,0.0,0.0,0.0,events/second
1773147962,12,0.006346123747800849,0.0,0.0,0.0,events/second
1773147992,12,0.0062469920040474835,0.0,0.0,0.0,events/second
1773148022,12,0.006150915091397962,0.0,0.0,0.0,events/second
1773148052,12,0.006057726993072122,0.0,0.0,0.0,events/second
1773148082,12,0.005967325126566233,0.0,0.0,0.0,events/second
1773148112,12,0.005879559922524431,0.0,0.0,0.0,events/second
1773148142,12,0.005794366510801553,0.0,0.0,0.0,events/second
1773148172,12,0.005711577261502001,0.0,0.0,0.0,events/second
1773148202,12,0.00563113221649309,0.0,0.0,0.0,events/second
1773148232,12,0.005552934137205435,0.0,0.0,0.0,events/second
1773148262,12,0.005476864331430269,0.0,0.0,0.0,events/second
1773148292,12,0.005402875846105148,0.0,0.0,0.0,events/second
1773148322,12,0.005330843551243332,0.0,0.0,0.0,events/second
1773148352,12,0.005260690501220364,0.0,0.0,0.0,events/second
1773148382,12,0.005192393494812827,0.0,0.0,0.0,events/second
1773148412,12,0.005125833082792152,0.0,0.0,0.0,events/second
1773148442,12,0.005060966205678539,0.0,0.0,0.0,events/second
1773148472,12,0.00499770421232078,0.0,0.0,0.0,events/second
1773148502,12,0.004935997683431644,0.0,0.0,0.0,events/second
1773148532,12,0.004875819152031682,0.0,0.0,0.0,events/second
1773148562,12,0.004817083758260802,0.0,0.0,0.0,events/second
1773148592,12,0.004759733656805668,0.0,0.0,0.0,events/second
1773148622,12,0.004703733201377896,0.0,0.0,0.0,events/second
1773148652,12,0.004649052946317434,0.0,0.0,0.0,events/second
1773148682,12,0.004595632864781613,0.0,0.0,0.0,events/second
1773148712,12,0.004543409914789627,0.0,0.0,0.0,events/second
1773148742,12,0.004492376216367451,0.0,0.0,0.0,events/second
1773148772,12,0.004442476180198775,0.0,0.0,0.0,events/second
1773148802,12,0.00439366549500153,0.0,0.0,0.0,events/second
1773148832,12,0.004345908750588533,0.0,0.0,0.0,events/second
1773148862,12,0.0042991752641807065,0.0,0.0,0.0,events/second
1773148892,12,0.004253436156821984,0.0,0.0,0.0,events/second
1773148922,12,0.004208671277766439,0.0,0.0,0.0,events/second
1773148952,12,0.004164840871577932,0.0,0.0,0.0,events/second
1773148982,12,0.004121904322281028,0.0,0.0,0.0,events/second
1773149012,12,0.004079846046846228,0.0,0.0,0.0,events/second
1773149042,12,0.004038628536236924,0.0,0.0,0.0,events/second
1773149072,12,0.003998251064628229,0.0,0.0,0.0,events/second
1773149102,12,0.003958655514147938,0.0,0.0,0.0,events/second
1773149132,12,0.003919855773966025,0.0,0.0,0.0,events/second
1773149162,12,0.0038818090886371622,0.0,0.0,0.0,events/second
1773149192,12,0.0038444878007688164,0.0,0.0,0.0,events/second
1773149222,12,0.003807872158997485,0.0,0.0,0.0,events/second
