t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,0,0.0,0.0,0.0,0.0,events/second
1773145560,0,0.0,0.0,0.0,0.0,events/second
1773145590,0,0.0,0.0,0.0,0.0,events/second
1773145620,0,0.0,0.0,0.0,0.0,events/second
1773145650,0,0.0,0.0,0.0,0.0,events/second
1773145680,0,0.0,0.0,0.0,0.0,events/second
1773145710,0,0.0,0.0,0.0,0.0,events/second
1773145740,0,0.0,0.0,0.0,0.0,events/second
1773145770,0,0.0,0.0,0.0,0.0,events/second
1773145800,0,0.0,0.0,0.0,0.0,events/second
1773145830,0,0.0,0.0,0.0,0.0,events/second
1773145860,0,0.0,0.0,0.0,0.0,events/second
1773145890,0,0.0,0.0,0.0,0.0,events/second
1773145920,0,0.0,0.0,0.0,0.0,events/second
1773145950,0,0.0,0.0,0.0,0.0,events/second
1773145980,0,0.0,0.0,0.0,0.0,events/second
1773146100,0,0.0,0.0,0.0,0.0,events/second
1773146131,0,0.0,0.0,0.0,0.0,events/second
1773146161,0,0.0,0.0,0.0,0.0,events/second
1773146191,1,0.00830441737280228,0.0,0.0,0.0,events/second
1773146221,1,0.006647643336183146,0.0,0.0,0.0,events/second
1773146251,1,0.005542123081054431,0.0,0.0,0.0,events/second
1773146281,1,0.004751836514129143,0.0,0.0,0.0,events/second
1773146311,1,0.004158826092484053,0.0,0.0,0.0,events/second
1773146341,4,0.01478947603291554,0.0,0.0,0.0,events/second
1773146371,4,0.013312361868249982,0.0,0.0,0.0,events/second
1773146401,4,0.012103433050974503,0.0,0.0,0.0,events/second
1773146431,4,0.011095946678390511,0.0,0.0,0.0,events/second
1773146461,5,0.012804064200911574,0.0,0.0,0.0,events/second
1773146491,5,0.011890363933850382,0.0,0.0,0.0,events/second
1773146521,5,0.011098277718788631,0.0,0.0,0.0,events/second
1773146551,5,0.010405164689232057,0.0,0.0,0.0,events/second
1773146581,5,0.009793574990783423,0.0,0.0,0.0,events/second
1773146611,5,0.009249850930974872,0.0,0.0,0.0,events/second
1773146641,5,0.008763335275735362,0.0,0.0,0.0,events/second
1773146671,5,0.008325421443897975,0.0,0.0,0.0,events/second
1773146701,5,0.007929170678420661,0.0,0.0,0.0,events/second
1773146731,5,0.007568985832349762,0.0,0.0,0.0,events/second
1773146761,5,0.007240069627037181,0.0,0.0,0.0,events/second
1773146791,5,0.006938551578845541,0.0,0.0,0.0,events/second
1773146821,5,0.006661168375756808,0.0,0.0,0.0,events/second
1773146851,5,0.006405132314259053,0.0,0.0,0.0,events/second
1773146881,5,0.006168065036997532,0.0,0.0,0.0,events/second
1773146911,5,0.0059479047469106604,0.0,0.0,0.0,events/second
1773146941,5,0.005742927153658009,0.0,0.0,0.0,events/second
1773146971,5,0.005551595151820866,0.0,0.0,0.0,events/second
1773147001,5,0.005372589170740723,0.0,0.0,0.0,events/second
1773147031,5,0.005204772991019583,0.0,0.0,0.0,events/second
1773147061,5,0.005047057853402951,0.0,0.0,0.0,events/second
1773147091,5,0.004898690187257588,0.0,0.0,0.0,events/second
1773147121,5,0.004758780771436778,0.0,0.0,0.0,events/second
1773147151,5,0.004626647655828202,0.0,0.0,0.0,events/second
1773147181,5,0.004501665681126003,0.0,0.0,0.0,events/second
1773147211,5,0.0043832588897183,0.0,0.0,0.0,events/second
1773147241,5,0.0042709194440649495,0.0,0.0,0.0,events/second
1773147271,5,0.004164193732457355,0.0,0.0,0.0,events/second
1773147301,5,0.00406266587389939,0.0,0.0,0.0,events/second
1773147331,5,0.00396596299384805,0.0,0.0,0.0,events/second
1773147361,5,0.0038737454845614097,0.0,0.0,0.0,events/second
1773147392,5,0.0037857351276950496,0.0,0.0,0.0,events/second
1773147422,5,0.0037016097759888485,0.0,0.0,0.0,events/second
1773147452,5,0.0036211656048468093,0.0,0.0,0.0,events/second
1773147482,5,0.0035441430580370977,0.0,0.0,0.0,events/second
1773147512,5,0.003470334525804061,0.0,0.0,0.0,events/second
1773147542,5,0.0033994991780438304,0.0,0.0,0.0,events/second
1773147572,5,0.003331516986718556,0.0,0.0,0.0,events/second
1773147602,5,0.0032662071788356396,0.0,0.0,0.0,events/second
