t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,10,0.3683918197712279,0.0,0.0,0.0,events/second
1773145560,10,0.17471757476239713,0.0,0.0,0.0,events/second
1773145590,10,0.11460806433295392,0.0,0.0,0.0,events/second
1773145620,10,0.08527674755862884,0.0,0.0,0.0,events/second
1773145650,10,0.06789508750593853,0.0,0.0,0.0,events/second
1773145680,10,0.056396481167725505,0.0,0.0,0.0,events/second
1773145710,10,0.048232969929143804,0.0,0.0,0.0,events/second
1773145740,10,0.04213424813212905,0.0,0.0,0.0,events/second
1773145770,10,0.03740274018197192,0.0,0.0,0.0,events/second
1773145800,10,0.0336276368512865,0.0,0.0,0.0,events/second
1773145830,10,0.030542715988246608,0.0,0.0,0.0,events/second
1773145860,10,0.027977851865150137,0.0,0.0,0.0,events/second
1773145890,10,0.02581082951591896,0.0,0.0,0.0,events/second
1773145920,10,0.023955158407966984,0.0,0.0,0.0,events/second
1773145950,10,0.022348457654136625,0.0,0.0,0.0,events/second
1773145980,10,0.02094387161452274,0.0,0.0,0.0,events/second
1773146100,4,0.13283686573182035,0.0,0.0,0.0,events/second
1773146131,8,0.13245524161882505,0.0,0.0,0.0,events/second
1773146161,8,0.08848832221326212,0.0,0.0,0.0,events/second
1773146191,10,0.08304423069178724,0.0,0.0,0.0,events/second
1773146221,10,0.06647647392934287,0.0,0.0,0.0,events/second
1773146251,11,0.06096336149359393,0.0,0.0,0.0,events/second
1773146281,11,0.05227022448150225,0.0,0.0,0.0,events/second
1773146311,11,0.04574710438753774,0.0,0.0,0.0,events/second
1773146341,11,0.040671072849918465,0.0,0.0,0.0,events/second
1773146371,11,0.03660900651736465,0.0,0.0,0.0,events/second
1773146401,11,0.03328444973287147,0.0,0.0,0.0,events/second
1773146431,11,0.030513861135988946,0.0,0.0,0.0,events/second
1773146461,11,0.028168947683696946,0.0,0.0,0.0,events/second
1773146491,11,0.026158805960774394,0.0,0.0,0.0,events/second
1773146521,11,0.02441621605404215,0.0,0.0,0.0,events/second
1773146551,11,0.022891366779961918,0.0,0.0,0.0,events/second
1773146581,11,0.021545868820125224,0.0,0.0,0.0,events/second
1773146611,11,0.020349675376076997,0.0,0.0,0.0,events/second
1773146641,11,0.019279340262532585,0.0,0.0,0.0,events/second
1773146671,11,0.018315929744470674,0.0,0.0,0.0,events/second
1773146701,11,0.017444178026508737,0.0,0.0,0.0,events/second
1773146731,11,0.01665177100404768,0.0,0.0,0.0,events/second
1773146761,11,0.01592815511687379,0.0,0.0,0.0,events/second
1773146791,11,0.01526481505160422,0.0,0.0,0.0,events/second
1773146821,11,0.01465457215057365,0.0,0.0,0.0,events/second
1773146851,11,0.014091292726819407,0.0,0.0,0.0,events/second
1773146881,11,0.013569744649915096,0.0,0.0,0.0,events/second
1773146911,11,0.013085391549955474,0.0,0.0,0.0,events/second
1773146941,11,0.01263444105571315,0.0,0.0,0.0,events/second
1773146971,11,0.012213510406672545,0.0,0.0,0.0,events/second
1773147001,11,0.011819697355503776,0.0,0.0,0.0,events/second
1773147031,11,0.011450501655377684,0.0,0.0,0.0,events/second
1773147061,11,0.011103528275001157,0.0,0.0,0.0,events/second
1773147091,11,0.010777119396042548,0.0,0.0,0.0,events/second
1773147121,11,0.010469318439496661,0.0,0.0,0.0,events/second
1773147151,11,0.010178625729110703,0.0,0.0,0.0,events/second
1773147181,11,0.009903665340204064,0.0,0.0,0.0,events/second
1773147211,11,0.00964317034949218,0.0,0.0,0.0,events/second
1773147241,11,0.009396023527367525,0.0,0.0,0.0,events/second
1773147271,11,0.009161226927083743,0.0,0.0,0.0,events/second
1773147301,11,0.008937865575460535,0.0,0.0,0.0,events/second
1773147331,11,0.008725119201023868,0.0,0.0,0.0,events/second
1773147361,11,0.008522240602826334,0.0,0.0,0.0,events/second
1773147392,11,0.008328617834594874,0.0,0.0,0.0,events/second
1773147422,11,0.00814354207388671,0.0,0.0,0.0,events/second
1773147452,11,0.00796656482223717,0.0,0.0,0.0,events/second
1773147482,11,0.007797115231174769,0.0,0.0,0.0,events/second
1773147512,11,0.0076347363928781055,0.0,0.0,0.0,events/second
1773147542,11,0.007478898576623502,0.0,0.0,0.0,events/second
1773147572,11,0.007329337828370648,0.0,0.0,0.0,events/second
1773147602,11,0.007185656211670989,0.0,0.0,0.0,events/second
1773147632,11,0.007047515182877922,0.0,0.0,0.0,events/second
1773147662,11,0.006914579877187706,0.0,0.0,0.0,events/second
1773147692,11,0.0067865833160368925,0.0,0.0,0.0,events/second
1773147722,11,0.00666321659687675,0.0,0.0,0.0,events/second
1773147752,11,0.006544248733422248,0.0,0.0,0.0,events/second
1773147782,11,0.006429460855011014,0.0,0.0,0.0,events/second
1773147812,11,0.006318636719474072,0.0,0.0,0.0,events/second
1773147842,11,0.0062115492736858225,0.0,0.0,0.0,events/second
1773147872,11,0.006108045555325433,0.0,0.0,0.0,events/second
1773147902,11,0.006007938827665844,0.0,0.0,0.0,events/second
1773147932,11,0.005911074450801714,0.0,0.0,0.0,events/second
1773147962,11,0.005817279752360524,0.0,0.0,0.0,events/second
1773147992,11,0.005726408977526574,0.0,0.0,0.0,events/second
1773148022,11,0.0056383385265661255,0.0,0.0,0.0,events/second
1773148052,11,0.005552915908268238,0.0,0.0,0.0,events/second
1773148082,11,0.005470047748976211,0.0,0.0,0.0,events/second
1773148112,11,0.005389596308074672,0.0,0.0,0.0,events/second
1773148142,11,0.005311502207616983,0.0,0.0,0.0,events/second
