t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,18,0.6629916841174058,0.0,0.0,0.0,events/second
1773145560,18,0.31448282458255844,0.0,0.0,0.0,events/second
1773145590,18,0.20629088997024408,0.0,0.0,0.0,events/second
1773145620,18,0.15349622064035895,0.0,0.0,0.0,events/second
1773145650,18,0.12220982684913193,0.0,0.0,0.0,events/second
1773145680,18,0.10151284966428868,0.0,0.0,0.0,events/second
1773145710,18,0.08681873076687775,0.0,0.0,0.0,events/second
1773145740,18,0.07584117839960117,0.0,0.0,0.0,events/second
1773145770,18,0.06732457875779693,0.0,0.0,0.0,events/second
1773145800,18,0.060529453571746696,0.0,0.0,0.0,events/second
1773145830,18,0.05497653834382923,0.0,0.0,0.0,events/second
1773145860,18,0.05035993353817156,0.0,0.0,0.0,events/second
1773145890,18,0.04645932647026527,0.0,0.0,0.0,events/second
1773145920,18,0.04311913317031666,0.0,0.0,0.0,events/second
1773145950,18,0.04022709787958229,0.0,0.0,0.0,events/second
1773145980,18,0.03769885745184703,0.0,0.0,0.0,events/second
1773146100,4,0.13270444827997901,0.0,0.0,0.0,events/second
1773146131,17,0.2814636309476289,0.0,0.0,0.0,events/second
1773146161,21,0.23227948184040006,0.0,0.0,0.0,events/second
1773146191,31,0.25743531934902436,0.0,0.0,0.0,events/second
1773146221,35,0.23266643810933943,0.0,0.0,0.0,events/second
1773146251,40,0.22168388396997013,0.0,0.0,0.0,events/second
1773146281,44,0.20908010132576724,0.0,0.0,0.0,events/second
1773146311,48,0.19962306108948755,0.0,0.0,0.0,events/second
1773146341,52,0.19226268698295484,0.0,0.0,0.0,events/second
1773146371,56,0.18637263662199052,0.0,0.0,0.0,events/second
1773146401,61,0.1845769409580528,0.0,0.0,0.0,events/second
1773146431,65,0.18030877820013166,0.0,0.0,0.0,events/second
1773146461,69,0.1766957644368934,0.0,0.0,0.0,events/second
1773146491,73,0.17359900703099213,0.0,0.0,0.0,events/second
1773146521,77,0.17091321491541986,0.0,0.0,0.0,events/second
1773146551,81,0.1685634125582628,0.0,0.0,0.0,events/second
1773146581,85,0.16649054542667197,0.0,0.0,0.0,events/second
1773146611,89,0.1646471323515979,0.0,0.0,0.0,events/second
1773146641,93,0.1629978162972231,0.0,0.0,0.0,events/second
1773146671,97,0.16151297665179548,0.0,0.0,0.0,events/second
1773146701,101,0.1601690696997913,0.0,0.0,0.0,events/second
1773146731,105,0.15894852596357345,0.0,0.0,0.0,events/second
1773146761,109,0.15783334367250335,0.0,0.0,0.0,events/second
1773146791,113,0.15681108406597283,0.0,0.0,0.0,events/second
1773146821,117,0.1558711901682931,0.0,0.0,0.0,events/second
1773146851,121,0.15500406156053634,0.0,0.0,0.0,events/second
1773146881,125,0.1542014930908434,0.0,0.0,0.0,events/second
1773146911,129,0.15345580813314388,0.0,0.0,0.0,events/second
1773146941,133,0.15276173857052242,0.0,0.0,0.0,events/second
1773146971,137,0.15211357631724623,0.0,0.0,0.0,events/second
1773147001,141,0.15150690221993046,0.0,0.0,0.0,events/second
1773147031,145,0.1509383053415425,0.0,0.0,0.0,events/second
1773147061,149,0.15040221552727162,0.0,0.0,0.0,events/second
1773147091,153,0.14989981832148877,0.0,0.0,0.0,events/second
1773147121,157,0.149425596362854,0.0,0.0,0.0,events/second
1773147151,161,0.14897795950889434,0.0,0.0,0.0,events/second
1773147181,165,0.14855487555155492,0.0,0.0,0.0,events/second
1773147211,169,0.14815406068676587,0.0,0.0,0.0,events/second
1773147241,173,0.14777372388896703,0.0,0.0,0.0,events/second
1773147271,177,0.14741237335579702,0.0,0.0,0.0,events/second
1773147301,181,0.14706841595571668,0.0,0.0,0.0,events/second
1773147331,185,0.14674054679445628,0.0,0.0,0.0,events/second
1773147361,185,0.14332849795819078,0.0,0.0,0.0,events/second
1773147392,185,0.14007212273925362,0.0,0.0,0.0,events/second
1773147422,185,0.13695949105002644,0.0,0.0,0.0,events/second
1773147452,185,0.13398305575782307,0.0,0.0,0.0,events/second
1773147482,185,0.13113322776565062,0.0,0.0,0.0,events/second
1773147512,185,0.12840230972370703,0.0,0.0,0.0,events/second
1773147542,185,0.12578140204490937,0.0,0.0,0.0,events/second
1773147572,185,0.12326607088435317,0.0,0.0,0.0,events/second
1773147602,185,0.12084960891146355,0.0,0.0,0.0,events/second
1773147632,185,0.11852632810651388,0.0,0.0,0.0,events/second
1773147662,185,0.11629060398996614,0.0,0.0,0.0,events/second
1773147692,185,0.11413793684051898,0.0,0.0,0.0,events/second
1773147722,185,0.11206313211580789,0.0,0.0,0.0,events/second
1773147752,185,0.11006230984973861,0.0,0.0,0.0,events/second
1773147782,185,0.1081317783486941,0.0,0.0,0.0,events/second
1773147812,185,0.10626792983602744,0.0,0.0,0.0,events/second
1773147842,185,0.10446691893825011,0.0,0.0,0.0,events/second
1773147872,185,0.10272617290245059,0.0,0.0,0.0,events/second
1773147902,185,0.1010425644716686,0.0,0.0,0.0,events/second
1773147932,185,0.0994134816040523,0.0,0.0,0.0,events/second
