t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,0,0.0,0.0,0.0,0.0,events/second
1773145560,0,0.0,0.0,0.0,0.0,events/second
1773145590,0,0.0,0.0,0.0,0.0,events/second
1773145620,0,0.0,0.0,0.0,0.0,events/second
1773145650,0,0.0,0.0,0.0,0.0,events/second
1773145680,0,0.0,0.0,0.0,0.0,events/second
1773145710,0,0.0,0.0,0.0,0.0,events/second
1773145740,0,0.0,0.0,0.0,0.0,events/second
1773145770,0,0.0,0.0,0.0,0.0,events/second
1773145800,0,0.0,0.0,0.0,0.0,events/second
1773145830,0,0.0,0.0,0.0,0.0,events/second
1773145860,0,0.0,0.0,0.0,0.0,events/second
1773145890,0,0.0,0.0,0.0,0.0,events/second
1773145920,0,0.0,0.0,0.0,0.0,events/second
1773145950,0,0.0,0.0,0.0,0.0,events/second
1773145980,0,0.0,0.0,0.0,0.0,events/second
1773146100,0,0.0,0.0,0.0,0.0,events/second
1773146131,0,0.0,0.0,0.0,0.0,events/second
1773146161,0,0.0,0.0,0.0,0.0,events/second
1773146191,1,0.008304475350693634,0.0,0.0,0.0,events/second
1773146221,1,0.006647684239774307,0.0,0.0,0.0,events/second
1773146251,1,0.005542145868701772,0.0,0.0,0.0,events/second
1773146281,1,0.004751857100358977,0.0,0.0,0.0,events/second
1773146311,1,0.0041588417435435635,0.0,0.0,0.0,events/second
1773146341,1,0.0036973815045095236,0.0,0.0,0.0,events/second
1773146371,1,0.003328100797853392,0.0,0.0,0.0,events/second
1773146401,1,0.0030258662319887983,0.0,0.0,0.0,events/second
1773146431,1,0.002773993650521049,0.0,0.0,0.0,events/second
1773146461,1,0.002560818808415787,0.0,0.0,0.0,events/second
1773146491,1,0.002378077650277977,0.0,0.0,0.0,events/second
1773146521,1,0.0022196601311765467,0.0,0.0,0.0,events/second
1773146551,1,0.0020810368220567765,0.0,0.0,0.0,events/second
1773146581,1,0.001958718510154074,0.0,0.0,0.0,events/second
1773146611,1,0.0018499733057084368,0.0,0.0,0.0,events/second
1773146641,1,0.0017526694819054592,0.0,0.0,0.0,events/second
1773146671,1,0.0016650866681473771,0.0,0.0,0.0,events/second
1773146701,1,0.0015858364453440175,0.0,0.0,0.0,events/second
1773146731,1,0.001513799152357399,0.0,0.0,0.0,events/second
1773146761,1,0.0014480156701104935,0.0,0.0,0.0,events/second
1773146791,1,0.0013877117415884105,0.0,0.0,0.0,events/second
1773146821,1,0.001332235255299133,0.0,0.0,0.0,events/second
1773146851,1,0.0012810279596359266,0.0,0.0,0.0,events/second
1773146881,1,0.0012336144187194166,0.0,0.0,0.0,events/second
1773146911,1,0.0011895821902871025,0.0,0.0,0.0,events/second
1773146941,1,0.0011485864885060167,0.0,0.0,0.0,events/second
1773146971,1,0.0011103200140228267,0.0,0.0,0.0,events/second
1773147001,1,0.0010745189153059751,0.0,0.0,0.0,events/second
1773147031,1,0.0010409555855688496,0.0,0.0,0.0,events/second
1773147061,1,0.0010094124879057535,0.0,0.0,0.0,events/second
1773147091,1,9.797389369620968E-4,0.0,0.0,0.0,events/second
1773147121,1,9.517566070262916E-4,0.0,0.0,0.0,events/second
1773147151,1,9.253303349995138E-4,0.0,0.0,0.0,events/second
1773147181,1,9.003338921911679E-4,0.0,0.0,0.0,events/second
1773147211,1,8.766524994292712E-4,0.0,0.0,0.0,events/second
1773147241,1,8.541845633565649E-4,0.0,0.0,0.0,events/second
1773147271,1,8.328393962061856E-4,0.0,0.0,0.0,events/second
1773147301,1,8.125337384677039E-4,0.0,0.0,0.0,events/second
1773147331,1,7.931931594724955E-4,0.0,0.0,0.0,events/second
1773147361,1,7.747495930678121E-4,0.0,0.0,0.0,events/second
1773147392,1,7.571475328274048E-4,0.0,0.0,0.0,events/second
1773147422,1,7.403224664987806E-4,0.0,0.0,0.0,events/second
1773147452,1,7.242335765097217E-4,0.0,0.0,0.0,events/second
1773147482,1,7.088290741019008E-4,0.0,0.0,0.0,events/second
1773147512,1,6.940673043697555E-4,0.0,0.0,0.0,events/second
1773147542,1,6.799002010747122E-4,0.0,0.0,0.0,events/second
