t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,1,0.03623256144933724,0.014712537947741825,0.0032510706679223173,0.0011018917421948848,events/second
1773145560,1,0.0173358654260176,0.008923605347491004,0.002941690389015272,0.0010657674340390601,events/second
1773145590,1,0.011402174989507947,0.0054124402384289035,0.002661751536257776,0.0010308274215719729,events/second
1773145620,1,0.008495190094727961,0.0032828109484694876,0.002408452387520735,9.97032878962764E-4,events/second
1773145650,1,0.00676889326346516,0.0019911254902870547,0.002179257839786804,9.643462532427122E-4,events/second
1773145680,1,0.005625425259296313,0.0012076786571944484,0.001971874036987314,9.327312225758489E-4,events/second
1773145710,1,0.004812887778399099,7.324941326690163E-4,0.0017842254123197456,9.021526558976264E-4,events/second
1773145740,1,0.00420547947127326,4.442801495233718E-4,0.001614433915277544,8.72576573876787E-4,events/second
1773145770,1,0.003734012952367884,2.6946953218763824E-4,0.0014608002154894181,8.439701111570547E-4,events/second
1773145800,1,0.003357701213042996,1.6344153313022297E-4,0.0013217866952498184,8.163014798366914E-4,events/second
1773145830,1,0.0030500833457844856,9.91323009139184E-5,0.0011960020605241296,7.895399341453352E-4,events/second
1773145860,1,0.00279428046522028,6.0126779872150236E-5,0.0010821874164103408,7.636557362788709E-4,events/second
1773145890,1,0.0025781001346874533,3.646873546225158E-5,9.792036676957384E-4,7.386201233543644E-4,events/second
1773145920,1,0.0023929455299580796,2.2119406178804972E-5,8.860201184091539E-4,7.144052754483465E-4,events/second
1773145950,1,0.002232609113635428,1.3416098022082286E-5,8.01704156269254E-4,6.909842846829229E-4,events/second
1773145980,1,0.002092422211669835,8.137274784102927E-6,7.254119187873692E-4,6.683311253253649E-4,events/second
1773146100,0,0.0,0.0,0.0,0.0,events/second
1773146131,0,0.0,0.0,0.0,0.0,events/second
1773146161,0,0.0,0.0,0.0,0.0,events/second
1773146191,0,0.0,0.0,0.0,0.0,events/second
1773146221,0,0.0,0.0,0.0,0.0,events/second
1773146251,0,0.0,0.0,0.0,0.0,events/second
1773146281,0,0.0,0.0,0.0,0.0,events/second
1773146311,0,0.0,0.0,0.0,0.0,events/second
1773146341,0,0.0,0.0,0.0,0.0,events/second
1773146371,0,0.0,0.0,0.0,0.0,events/second
1773146401,0,0.0,0.0,0.0,0.0,events/second
1773146431,0,0.0,0.0,0.0,0.0,events/second
1773146461,0,0.0,0.0,0.0,0.0,events/second
1773146491,0,0.0,0.0,0.0,0.0,events/second
1773146521,0,0.0,0.0,0.0,0.0,events/second
1773146551,0,0.0,0.0,0.0,0.0,events/second
1773146581,0,0.0,0.0,0.0,0.0,events/second
1773146611,0,0.0,0.0,0.0,0.0,events/second
1773146641,0,0.0,0.0,0.0,0.0,events/second
1773146671,0,0.0,0.0,0.0,0.0,events/second
1773146701,0,0.0,0.0,0.0,0.0,events/second
1773146731,0,0.0,0.0,0.0,0.0,events/second
1773146761,0,0.0,0.0,0.0,0.0,events/second
1773146791,0,0.0,0.0,0.0,0.0,events/second
1773146821,0,0.0,0.0,0.0,0.0,events/second
1773146851,0,0.0,0.0,0.0,0.0,events/second
1773146881,0,0.0,0.0,0.0,0.0,events/second
1773146911,0,0.0,0.0,0.0,0.0,events/second
1773146941,0,0.0,0.0,0.0,0.0,events/second
1773146971,0,0.0,0.0,0.0,0.0,events/second
1773147001,0,0.0,0.0,0.0,0.0,events/second
1773147031,0,0.0,0.0,0.0,0.0,events/second
1773147061,0,0.0,0.0,0.0,0.0,events/second
1773147091,0,0.0,0.0,0.0,0.0,events/second
1773147121,0,0.0,0.0,0.0,0.0,events/second
1773147151,0,0.0,0.0,0.0,0.0,events/second
1773147181,0,0.0,0.0,0.0,0.0,events/second
1773147211,0,0.0,0.0,0.0,0.0,events/second
1773147241,0,0.0,0.0,0.0,0.0,events/second
1773147271,0,0.0,0.0,0.0,0.0,events/second
1773147301,0,0.0,0.0,0.0,0.0,events/second
1773147331,0,0.0,0.0,0.0,0.0,events/second
1773147361,0,0.0,0.0,0.0,0.0,events/second
1773147392,0,0.0,0.0,0.0,0.0,events/second
1773147422,0,0.0,0.0,0.0,0.0,events/second
1773147452,0,0.0,0.0,0.0,0.0,events/second
1773147482,0,0.0,0.0,0.0,0.0,events/second
1773147512,0,0.0,0.0,0.0,0.0,events/second
1773147542,0,0.0,0.0,0.0,0.0,events/second
1773147572,0,0.0,0.0,0.0,0.0,events/second
1773147602,0,0.0,0.0,0.0,0.0,events/second
1773147632,0,0.0,0.0,0.0,0.0,events/second
1773147662,0,0.0,0.0,0.0,0.0,events/second
1773147692,0,0.0,0.0,0.0,0.0,events/second
1773147722,0,0.0,0.0,0.0,0.0,events/second
1773147752,0,0.0,0.0,0.0,0.0,events/second
1773147782,0,0.0,0.0,0.0,0.0,events/second
1773147812,0,0.0,0.0,0.0,0.0,events/second
1773147842,0,0.0,0.0,0.0,0.0,events/second
1773147872,0,0.0,0.0,0.0,0.0,events/second
1773147902,0,0.0,0.0,0.0,0.0,events/second
1773147932,0,0.0,0.0,0.0,0.0,events/second
1773147962,0,0.0,0.0,0.0,0.0,events/second
1773147992,0,0.0,0.0,0.0,0.0,events/second
1773148022,0,0.0,0.0,0.0,0.0,events/second
1773148052,0,0.0,0.0,0.0,0.0,events/second
1773148082,0,0.0,0.0,0.0,0.0,events/second
1773148112,0,0.0,0.0,0.0,0.0,events/second
1773148142,0,0.0,0.0,0.0,0.0,events/second
1773148172,0,0.0,0.0,0.0,0.0,events/second
1773148202,0,0.0,0.0,0.0,0.0,events/second
1773148232,0,0.0,0.0,0.0,0.0,events/second
1773148262,0,0.0,0.0,0.0,0.0,events/second
1773148292,0,0.0,0.0,0.0,0.0,events/second
1773148322,0,0.0,0.0,0.0,0.0,events/second
1773148352,0,0.0,0.0,0.0,0.0,events/second
1773148382,0,0.0,0.0,0.0,0.0,events/second
1773148412,0,0.0,0.0,0.0,0.0,events/second
1773148442,0,0.0,0.0,0.0,0.0,events/second
1773148472,0,0.0,0.0,0.0,0.0,events/second
1773148502,0,0.0,0.0,0.0,0.0,events/second
1773148532,0,0.0,0.0,0.0,0.0,events/second
1773148562,0,0.0,0.0,0.0,0.0,events/second
1773148592,0,0.0,0.0,0.0,0.0,events/second
1773148622,0,0.0,0.0,0.0,0.0,events/second
1773148652,0,0.0,0.0,0.0,0.0,events/second
1773148682,0,0.0,0.0,0.0,0.0,events/second
1773148712,0,0.0,0.0,0.0,0.0,events/second
1773148742,0,0.0,0.0,0.0,0.0,events/second
1773148772,0,0.0,0.0,0.0,0.0,events/second
1773148802,0,0.0,0.0,0.0,0.0,events/second
1773148832,0,0.0,0.0,0.0,0.0,events/second
1773148862,0,0.0,0.0,0.0,0.0,events/second
1773148892,0,0.0,0.0,0.0,0.0,events/second
1773148922,0,0.0,0.0,0.0,0.0,events/second
1773148952,0,0.0,0.0,0.0,0.0,events/second
1773148982,0,0.0,0.0,0.0,0.0,events/second
1773149012,0,0.0,0.0,0.0,0.0,events/second
1773149042,0,0.0,0.0,0.0,0.0,events/second
1773149072,0,0.0,0.0,0.0,0.0,events/second
1773149102,0,0.0,0.0,0.0,0.0,events/second
1773149132,0,0.0,0.0,0.0,0.0,events/second
1773149162,0,0.0,0.0,0.0,0.0,events/second
1773149192,0,0.0,0.0,0.0,0.0,events/second
1773149222,0,0.0,0.0,0.0,0.0,events/second
1773149252,0,0.0,0.0,0.0,0.0,events/second
1773149282,0,0.0,0.0,0.0,0.0,events/second
1773149312,0,0.0,0.0,0.0,0.0,events/second
1773149342,0,0.0,0.0,0.0,0.0,events/second
1773149372,0,0.0,0.0,0.0,0.0,events/second
1773149402,0,0.0,0.0,0.0,0.0,events/second
1773149432,0,0.0,0.0,0.0,0.0,events/second
1773149462,0,0.0,0.0,0.0,0.0,events/second
1773149492,0,0.0,0.0,0.0,0.0,events/second
1773149522,0,0.0,0.0,0.0,0.0,events/second
1773149552,0,0.0,0.0,0.0,0.0,events/second
1773149582,0,0.0,0.0,0.0,0.0,events/second
1773149612,0,0.0,0.0,0.0,0.0,events/second
1773149642,0,0.0,0.0,0.0,0.0,events/second
1773149672,0,0.0,0.0,0.0,0.0,events/second
1773149702,0,0.0,0.0,0.0,0.0,events/second
1773149732,0,0.0,0.0,0.0,0.0,events/second
1773149762,0,0.0,0.0,0.0,0.0,events/second
1773149792,0,0.0,0.0,0.0,0.0,events/second
1773149822,0,0.0,0.0,0.0,0.0,events/second
1773149852,0,0.0,0.0,0.0,0.0,events/second
1773149882,0,0.0,0.0,0.0,0.0,events/second
1773149912,0,0.0,0.0,0.0,0.0,events/second
1773149942,0,0.0,0.0,0.0,0.0,events/second
1773149972,0,0.0,0.0,0.0,0.0,events/second
1773150002,0,0.0,0.0,0.0,0.0,events/second
1773150032,0,0.0,0.0,0.0,0.0,events/second
1773150062,0,0.0,0.0,0.0,0.0,events/second
1773150092,0,0.0,0.0,0.0,0.0,events/second
1773150122,0,0.0,0.0,0.0,0.0,events/second
1773150152,0,0.0,0.0,0.0,0.0,events/second
1773150182,0,0.0,0.0,0.0,0.0,events/second
1773150212,0,0.0,0.0,0.0,0.0,events/second
1773150242,0,0.0,0.0,0.0,0.0,events/second
1773150272,0,0.0,0.0,0.0,0.0,events/second
1773150302,0,0.0,0.0,0.0,0.0,events/second
1773150333,0,0.0,0.0,0.0,0.0,events/second
1773150363,0,0.0,0.0,0.0,0.0,events/second
1773150393,0,0.0,0.0,0.0,0.0,events/second
1773150423,0,0.0,0.0,0.0,0.0,events/second
1773150453,0,0.0,0.0,0.0,0.0,events/second
1773150483,0,0.0,0.0,0.0,0.0,events/second
1773150513,0,0.0,0.0,0.0,0.0,events/second
1773150543,0,0.0,0.0,0.0,0.0,events/second
1773150573,0,0.0,0.0,0.0,0.0,events/second
1773150603,0,0.0,0.0,0.0,0.0,events/second
1773150633,0,0.0,0.0,0.0,0.0,events/second
1773150663,0,0.0,0.0,0.0,0.0,events/second
1773150693,0,0.0,0.0,0.0,0.0,events/second
1773150723,0,0.0,0.0,0.0,0.0,events/second
1773150753,0,0.0,0.0,0.0,0.0,events/second
1773150783,0,0.0,0.0,0.0,0.0,events/second
1773150813,0,0.0,0.0,0.0,0.0,events/second
