t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1773145530,17,2206,328.0,3,563.8133556417407,54.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145560,17,2206,328.0,3,563.8133556417407,54.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145590,17,2206,328.0,3,563.8133556417407,54.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145620,17,2206,328.0,3,563.8133556417407,54.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145650,17,2206,328.0,3,563.8133556417407,54.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145680,17,2206,328.0,3,563.8133556417407,54.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145710,17,2206,328.0,3,563.8133556417407,54.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145740,17,2206,328.0,3,563.8133556417407,54.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145770,17,2206,328.0,3,563.8133556417407,54.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145800,17,2206,328.0,3,563.8133556417407,54.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145830,17,2206,328.0,3,563.8133556417407,54.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145860,17,2206,328.0,3,563.8133556417407,54.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145890,17,2206,328.0,3,563.8133556417407,54.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145920,17,2206,328.0,3,563.8133556417407,54.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145950,17,2206,328.0,3,563.8133556417407,54.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145980,17,2206,328.0,3,563.8133556417407,54.0,495.5,2206.0,2206.0,2206.0,2206.0
1773146100,4,1962,1310.5,683,720.3260835667876,1298.5,1948.0,1962.0,1962.0,1962.0,1962.0
1773146131,17,1962,346.8235294117647,3,640.0426973349237,13.0,540.0,1962.0,1962.0,1962.0,1962.0
1773146161,21,1962,281.6666666666667,3,588.7865770662008,10.0,252.5,1956.3999999999999,1962.0,1962.0,1962.0
1773146191,31,1962,222.16129032258064,3,504.5066961415011,9.0,106.0,1928.3999999999999,1962.0,1962.0,1962.0
1773146221,35,1962,197.22857142857143,2,479.1061583035327,8.0,94.0,1917.1999999999998,1962.0,1962.0,1962.0
1773146251,40,1962,177.425,2,451.1964088498205,7.5,81.0,1847.649999999995,1962.0,1962.0,1962.0
1773146281,44,1962,161.63636363636363,2,432.65653658177234,6.0,41.0,1614.25,1962.0,1962.0,1962.0
1773146311,48,1962,148.45833333333334,2,416.18714889794643,5.5,31.75,1380.8499999999967,1962.0,1962.0,1962.0
1773146341,52,1962,138.96153846153845,2,400.9647171186728,6.0,32.75,1147.4499999999935,1958.6399999999999,1962.0,1962.0
1773146371,56,1962,129.19642857142858,2,387.7400450462494,5.0,17.0,914.0499999999984,1954.1599999999999,1962.0,1962.0
1773146401,61,1962,118.91803278688525,2,372.8500724188373,5.0,15.0,734.1999999999999,1948.56,1962.0,1962.0
