t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1773145530,9,2206,427.8888888888889,3,702.672477838083,114.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145560,9,2206,427.8888888888889,3,702.672477838083,114.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145590,9,2206,427.8888888888889,3,702.672477838083,114.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145620,9,2206,427.8888888888889,3,702.672477838083,114.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145650,9,2206,427.8888888888889,3,702.672477838083,114.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145680,9,2206,427.8888888888889,3,702.672477838083,114.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145710,9,2206,427.8888888888889,3,702.672477838083,114.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145740,9,2206,427.8888888888889,3,702.672477838083,114.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145770,9,2206,427.8888888888889,3,702.672477838083,114.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145800,9,2206,427.8888888888889,3,702.672477838083,114.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145830,9,2206,427.8888888888889,3,702.672477838083,114.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145860,9,2206,427.8888888888889,3,702.672477838083,114.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145890,9,2206,427.8888888888889,3,702.672477838083,114.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145920,9,2206,427.8888888888889,3,702.672477838083,114.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145950,9,2206,427.8888888888889,3,702.672477838083,114.0,495.5,2206.0,2206.0,2206.0,2206.0
1773145980,9,2206,427.8888888888889,3,702.672477838083,114.0,495.5,2206.0,2206.0,2206.0,2206.0
1773146100,2,1962,1934.0,1906,39.59797974644666,1934.0,1962.0,1962.0,1962.0,1962.0,1962.0
1773146131,11,1962,408.45454545454544,3,762.8865398781609,38.0,397.0,1962.0,1962.0,1962.0,1962.0
1773146161,13,1962,346.53846153846155,3,712.6283060362553,13.0,252.5,1962.0,1962.0,1962.0,1962.0
1773146191,19,1962,287.5263157894737,3,607.8560107661693,13.0,108.0,1962.0,1962.0,1962.0,1962.0
1773146221,21,1962,260.6666666666667,3,582.8696538106383,10.0,107.0,1956.3999999999999,1962.0,1962.0,1962.0
1773146251,24,1962,236.0,3,548.4258897259858,9.5,107.5,1948.0,1962.0,1962.0,1962.0
1773146281,26,1962,218.19230769230768,3,529.7801822817286,9.0,106.5,1942.3999999999999,1962.0,1962.0,1962.0
1773146311,28,1962,202.96428571428572,3,512.8386131344763,8.5,103.0,1936.7999999999997,1962.0,1962.0,1962.0
1773146341,30,1962,191.63333333333333,2,496.7806345365877,8.5,97.0,1931.2,1962.0,1962.0,1962.0
1773146371,32,1962,179.8125,2,482.73451178776077,8.0,86.5,1925.6,1962.0,1962.0,1962.0
1773146401,35,1962,164.8,2,463.6228690497076,8.0,64.0,1917.1999999999998,1962.0,1962.0,1962.0
1773146431,37,1962,156.0810810810811,2,452.0753611203913,7.0,53.0,1911.6000000000001,1962.0,1962.0,1962.0
1773146461,39,1962,149.05128205128204,2,441.0928383433433,7.0,42.0,1906.0,1962.0,1962.0,1962.0
1773146491,41,1962,142.0,2,431.07847313453266,7.0,40.0,1789.2999999999984,1962.0,1962.0,1962.0
1773146521,43,1962,135.58139534883722,2,421.7160087387934,6.0,38.0,1672.5999999999967,1962.0,1962.0,1962.0
1773146551,45,1962,129.77777777777777,2,412.91810154782337,6.0,35.0,1555.899999999995,1962.0,1962.0,1962.0
1773146581,47,1962,124.40425531914893,2,404.6630192047865,6.0,32.0,1439.1999999999935,1962.0,1962.0,1962.0
