t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1773145530,8,813,215.625,3,367.49224967532115,7.0,624.75,813.0,813.0,813.0,813.0
1773145560,8,813,215.625,3,367.49224967532115,7.0,624.75,813.0,813.0,813.0,813.0
1773145590,8,813,215.625,3,367.49224967532115,7.0,624.75,813.0,813.0,813.0,813.0
1773145620,8,813,215.625,3,367.49224967532115,7.0,624.75,813.0,813.0,813.0,813.0
1773145650,8,813,215.625,3,367.49224967532115,7.0,624.75,813.0,813.0,813.0,813.0
1773145680,8,813,215.625,3,367.49224967532115,7.0,624.75,813.0,813.0,813.0,813.0
1773145710,8,813,215.625,3,367.49224967532115,7.0,624.75,813.0,813.0,813.0,813.0
1773145740,8,813,215.625,3,367.49224967532115,7.0,624.75,813.0,813.0,813.0,813.0
1773145770,8,813,215.625,3,367.49224967532115,7.0,624.75,813.0,813.0,813.0,813.0
1773145800,8,813,215.625,3,367.49224967532115,7.0,624.75,813.0,813.0,813.0,813.0
1773145830,8,813,215.625,3,367.49224967532115,7.0,624.75,813.0,813.0,813.0,813.0
1773145860,8,813,215.625,3,367.49224967532115,7.0,624.75,813.0,813.0,813.0,813.0
1773145890,8,813,215.625,3,367.49224967532115,7.0,624.75,813.0,813.0,813.0,813.0
1773145920,8,813,215.625,3,367.49224967532115,7.0,624.75,813.0,813.0,813.0,813.0
1773145950,8,813,215.625,3,367.49224967532115,7.0,624.75,813.0,813.0,813.0,813.0
1773145980,8,813,215.625,3,367.49224967532115,7.0,624.75,813.0,813.0,813.0,813.0
1773146100,2,691,687.0,683,5.656854249492381,687.0,691.0,691.0,691.0,691.0,691.0
1773146131,6,691,233.83333333333334,5,351.036417863826,9.5,685.0,691.0,691.0,691.0,691.0
1773146161,8,691,176.25,3,315.2580575610128,7.0,514.75,691.0,691.0,691.0,691.0
1773146191,12,691,118.66666666666667,3,265.48354968154837,5.0,9.75,691.0,691.0,691.0,691.0
1773146221,14,691,102.07142857142857,2,247.82607557774008,4.5,9.25,691.0,691.0,691.0,691.0
1773146251,16,691,89.5625,2,233.23177849512703,3.5,8.0,691.0,691.0,691.0,691.0
1773146281,18,691,79.94444444444444,2,220.86447061282846,3.5,6.0,691.0,691.0,691.0,691.0
1773146311,20,691,72.15,2,210.28984383714928,3.0,5.0,690.6,691.0,691.0,691.0
1773146341,22,691,67.13636363636364,2,200.68271462199218,3.5,9.25,689.8,691.0,691.0,691.0
1773146371,24,691,61.708333333333336,2,192.63876515535418,3.0,8.0,689.0,691.0,691.0,691.0
1773146401,26,691,57.15384615384615,2,185.47187221952385,3.0,6.0,688.2,691.0,691.0,691.0
