t,value
1773145530,1
1773145560,1
1773145590,1
1773145620,1
1773145650,1
1773145680,1
1773145710,1
1773145740,1
1773145770,1
1773145800,1
1773145830,1
1773145860,1
1773145890,1
1773145920,1
1773145950,1
1773145980,1
1773146100,1
1773146131,1
1773146161,1
1773146191,13
1773146221,13
1773146251,13
1773146281,13
1773146311,13
1773146341,13
1773146371,13
1773146401,13
1773146431,13
1773146461,13
1773146491,13
1773146521,13
1773146551,13
1773146581,13
1773146611,13
1773146641,13
1773146671,13
1773146701,13
1773146731,13
1773146761,13
1773146791,13
1773146821,13
1773146851,13
1773146881,13
1773146911,13
1773146941,13
1773146971,13
1773147001,13
1773147031,13
1773147061,13
1773147091,13
1773147121,13
1773147151,13
1773147181,13
1773147211,13
1773147241,13
1773147271,13
1773147301,13
1773147331,13
1773147361,13
1773147392,13
1773147422,13
1773147452,13
1773147482,13
1773147512,13
1773147542,13
1773147572,13
1773147602,13
1773147632,13
1773147662,13
1773147692,13
1773147722,13
1773147752,13
1773147782,13
1773147812,13
1773147842,13
1773147872,13
1773147902,13
1773147932,13
1773147962,13
1773147992,13
1773148022,13
1773148052,13
1773148082,13
1773148112,13
1773148142,13
1773148172,13
1773148202,13
1773148232,13
1773148262,13
1773148292,13
1773148322,13
1773148352,13
1773148382,13
1773148412,13
1773148442,13
1773148472,13
1773148502,13
1773148532,13
1773148562,13
1773148592,13
1773148622,13
1773148652,13
1773148682,13
1773148712,13
1773148742,13
1773148772,13
1773148802,13
1773148832,13
1773148862,13
1773148892,13
1773148922,13
1773148952,13
1773148982,13
1773149012,13
1773149042,13
1773149072,13
1773149102,13
1773149132,13
1773149162,13
1773149192,13
1773149222,13
1773149252,13
1773149282,13
1773149312,13
1773149342,13
1773149372,13
1773149402,13
1773149432,13
1773149462,13
1773149492,13
1773149522,13
1773149552,13
1773149582,13
1773149612,13
1773149642,13
1773149672,13
1773149702,13
1773149732,13
1773149762,13
1773149792,13
1773149822,13
1773149852,13
1773149882,13
1773149912,13
1773149942,13
1773149972,13
1773150002,13
1773150032,13
1773150062,13
1773150092,13
1773150122,13
1773150152,13
1773150182,13
1773150212,13
1773150242,13
1773150272,13
1773150302,13
1773150333,13
1773150363,13
1773150393,13
1773150423,13
1773150453,13
1773150483,13
1773150513,13
1773150543,13
