t,value
1773145530,256
1773145560,256
1773145590,256
1773145620,256
1773145650,256
1773145680,256
1773145710,256
1773145740,256
1773145770,256
1773145800,256
1773145830,256
1773145860,256
1773145890,256
1773145920,256
1773145950,256
1773145980,256
1773146100,0
1773146131,0
1773146161,0
1773146191,0
1773146221,0
1773146251,0
1773146281,0
1773146311,0
1773146341,0
1773146371,0
1773146401,0
1773146431,0
1773146461,0
1773146491,0
1773146521,0
1773146551,0
1773146581,0
1773146611,0
1773146641,0
1773146671,0
1773146701,0
1773146731,0
1773146761,0
1773146791,0
1773146821,0
1773146851,0
1773146881,0
1773146911,0
1773146941,0
1773146971,0
1773147001,0
1773147031,0
1773147061,0
1773147091,0
1773147121,0
1773147151,0
1773147181,0
1773147211,0
1773147241,0
1773147271,0
1773147301,0
1773147331,0
1773147361,0
1773147392,0
1773147422,0
1773147452,0
1773147482,0
1773147512,0
1773147542,0
1773147572,0
1773147602,0
1773147632,0
1773147662,0
1773147692,0
1773147722,0
1773147752,0
1773147782,0
1773147812,0
1773147842,0
1773147872,0
1773147902,0
1773147932,0
1773147962,0
1773147992,0
1773148022,0
1773148052,0
1773148082,0
1773148112,0
1773148142,0
1773148172,0
1773148202,0
1773148232,0
1773148262,0
1773148292,0
1773148322,0
1773148352,0
1773148382,0
1773148412,0
1773148442,0
1773148472,0
1773148502,0
1773148532,0
1773148562,0
1773148592,0
1773148622,0
1773148652,0
1773148682,0
1773148712,0
1773148742,0
1773148772,0
1773148802,0
1773148832,0
1773148862,0
1773148892,0
1773148922,0
1773148952,0
1773148982,0
1773149012,0
1773149042,0
1773149072,0
1773149102,0
1773149132,0
1773149162,0
1773149192,0
1773149222,0
1773149252,0
1773149282,0
1773149312,0
1773149342,0
1773149372,0
1773149402,0
1773149432,0
1773149462,0
1773149492,0
1773149522,0
1773149552,0
1773149582,0
1773149612,0
1773149642,0
1773149672,0
1773149702,0
1773149732,0
1773149762,0
1773149792,0
1773149822,0
1773149852,0
1773149882,0
1773149912,0
1773149942,0
1773149972,0
1773150002,0
1773150032,0
1773150062,0
1773150092,0
1773150122,0
1773150152,0
1773150182,0
1773150212,0
1773150242,0
1773150272,0
1773150302,0
1773150333,0
1773150363,0
1773150393,0
1773150423,0
1773150453,0
1773150483,0
1773150513,0
1773150543,0
1773150573,0
1773150603,0
1773150633,0
1773150663,0
1773150693,0
1773150723,0
1773150753,0
1773150783,0
1773150813,0
1773150843,0
1773150873,0
1773150903,0
1773150933,0
1773150963,0
1773150993,0
1773151023,0
1773151053,0
1773151083,0
1773151113,0
1773151143,0
1773151173,0
1773151203,0
1773151233,0
1773151263,0
1773151293,0
1773151323,0
1773151353,0
1773151383,0
1773151413,0
1773151443,0
1773151473,0
1773151503,0
1773151533,0
1773151563,0
1773151593,0
1773151623,0
1773151653,0
1773151683,0
1773151713,0
1773151743,0
1773151773,0
1773151803,0
1773151833,0
1773151863,0
1773151893,0
1773151923,0
1773151953,0
1773151983,0
1773152013,0
1773152043,0
1773152073,0
1773152103,0
1773152133,0
1773152163,0
1773152193,0
1773152223,0
1773152253,0
1773152283,0
1773152313,0
1773152343,0
1773152373,0
1773152403,0
1773152433,0
1773152463,0
1773152493,0
1773152523,0
1773152553,0
1773152583,0
1773152613,0
1773152643,0
1773152673,0
1773152703,0
1773152733,0
1773152763,0
1773152793,0
1773152823,0
1773152853,0
1773152883,0
1773152913,0
1773206880,256
1773206912,256
1773206942,256
1773206972,256
1773207002,256
1773207032,256
1773207062,256
1773207092,256
1773207122,256
1773207152,256
1773207182,256
1773207212,256
1773207242,256
1773207272,256
1773207302,256
1773207332,0
1773207362,0
1773207392,0
1773207422,0
1773207452,0
1773207482,0
1773207512,0
1773207542,0
1773207572,0
1773207602,0
1773207632,0
1773207662,0
1773207693,0
1773207723,0
1773207753,0
1773207783,0
1773207813,0
1773207843,0
1773207873,0
1773207903,0
1773207933,0
1773207963,0
1773207993,0
1773208023,0
1773208053,0
1773208083,0
1773208113,0
1773208143,0
1773208173,0
1773208203,0
1773211140,0
1773211173,256
1773211203,256
1773211233,256
1773211263,256
1773211293,256
1773211323,256
1773211353,256
1773211383,256
1773211413,256
1773211443,256
1773211473,256
1773211503,256
1773211533,256
1773211563,256
1773211593,256
1773211623,256
1773211653,256
1773211683,256
1773211713,256
1773211743,256
1773211773,256
1773211803,256
1773211833,256
1773211863,256
1773211893,256
1773211923,256
1773211953,256
1773211983,256
1773212013,0
1773212043,0
1773212073,0
1773212103,0
1773212133,0
1773212163,0
1773212193,0
1773212223,0
1773212253,0
1773212283,0
1773212313,0
1773212343,0
1773212373,0
1773212403,0
1773212433,0
1773212670,0
1773212820,0
1773212851,256
1773212881,256
1773212911,256
1773212941,256
1773212971,256
1773213001,256
1773213031,256
1773213061,256
1773213091,256
1773213121,256
1773213151,256
1773213181,256
1773213211,256
1773213241,256
1773213271,256
1773213301,256
1773213331,256
1773213361,256
1773213391,256
1773213421,256
1773213451,256
1773213481,256
1773213511,256
1773213541,256
1773213571,256
1773213601,256
1773213631,256
1773213661,256
1773213691,256
1773213721,256
1773213751,256
1773213781,256
1773213811,256
1773213841,256
1773213871,256
1773213901,256
1773213931,256
1773213961,256
1773213991,256
1773214021,256
1773214051,256
1773214081,256
1773214111,256
1773214141,256
1773214171,256
1773214201,256
1773214231,256
1773214261,256
1773214291,256
1773214321,256
1773214352,256
1773214382,256
1773214412,256
1773214442,256
1773214472,256
1773214502,256
1773214532,256
1773214562,256
1773214592,256
1773214622,256
1773214652,256
1773214682,256
1773214712,256
1773214742,256
1773214772,256
1773214802,256
1773214832,256
1773214862,256
1773214892,256
1773214922,256
1773214952,256
1773214982,256
1773215012,256
1773215042,256
1773215072,256
1773215102,256
1773215132,256
1773215162,256
1773215192,256
1773215222,256
1773215252,256
1773215282,256
1773215312,256
1773215342,256
1773215372,256
1773215402,256
1773215432,256
1773215462,256
1773215492,256
1773215522,256
1773215552,256
1773215582,256
1773215612,256
1773215642,256
1773215672,256
1773215702,256
1773215732,256
1773215762,256
1773215792,256
1773215822,256
1773215852,256
1773215882,256
1773215912,256
1773215942,256
1773215972,256
1773216002,256
1773216032,256
1773216062,256
1773216092,256
1773216122,256
1773216152,256
1773216182,256
1773216212,256
1773216242,256
1773216272,256
1773216302,256
1773216332,256
1773216362,256
1773216392,256
1773216422,256
1773216452,256
1773216482,256
1773216512,256
1773216542,256
1773216572,256
1773216602,256
1773216632,256
1773216662,256
1773216692,256
1773243090,256
1773243124,256
1773243154,256
1773243184,256
1773243214,256
1773243244,256
1773243274,256
1773243304,256
1773243334,256
1773243364,256
1773243394,256
1773243427,256
1773243457,256
1773243487,256
1773243517,256
1773243547,256
1773243577,256
1773243607,256
1773243637,256
1773243667,256
1773243697,256
1773243727,256
1773243757,256
1773243787,256
1773243930,256
1773243960,256
1773243990,256
1773244020,256
1773244050,256
1773244080,256
1773244110,256
1773244140,256
1773244170,256
1773244200,256
1773244230,256
1773244260,256
1773244290,256
1773244320,256
1773244350,256
1773244380,256
1773244410,256
1773244440,256
1773244470,256
1773244500,256
1773244530,256
1773244560,256
1773244590,256
1773244620,256
1773244650,256
1773244680,256
1773244710,256
1773244740,256
1773244770,256
1773244800,256
1773244830,256
1773244860,256
1773244890,256
1773244920,256
1773244950,256
1773244981,256
1773245011,256
1773245041,256
1773245071,256
1773245101,256
1773245131,256
1773245161,256
1773245191,256
1773245221,256
1773245251,256
1773245281,256
1773245311,256
1773245341,256
1773245371,256
1773245401,256
1773249690,256
1773249722,256
1773249752,256
1773249782,256
1773249812,256
1773249842,256
1773249872,256
1773249902,256
1773249932,256
1773249962,256
1773249992,256
1773250022,256
1773250052,256
1773250082,256
1773250112,256
1773250142,256
1773250173,256
1773250203,256
1773250233,256
1773250263,256
1773250293,256
1773250323,256
1773250353,256
1773250383,256
1773250413,256
1773250443,256
1773250473,256
1773250503,256
1773250533,256
1773250563,256
1773250593,256
1773250623,256
1773250653,256
1773250683,256
1773250713,256
1773250743,256
1773250773,256
1773250803,256
1773250833,256
1773250863,256
1773250893,256
1773250923,256
1773250953,256
1773250983,256
1773251013,256
1773251043,256
1773251073,256
1773251103,256
1773251133,256
1773251163,256
1773251193,256
1773251223,256
1773251253,256
1773251283,256
1773251313,256
1773251343,256
1773251373,256
1773251403,256
1773251433,256
1773251463,256
1773251493,256
1773251523,256
1773251553,256
1773251583,256
1773251613,256
1773251643,256
1773251673,256
1773251703,256
1773251733,256
1773251763,256
1773251793,256
1773251823,256
1773251853,256
1773251883,256
1773251913,256
1773251943,256
1773251973,384
1773252003,384
1773252033,384
1773252063,384
1773252093,384
1773252123,384
1773252153,384
1773252183,384
1773252213,384
1773252243,384
1773252273,384
1773252303,384
1773252333,384
1773252363,384
1773252393,384
1773252423,384
1773252453,384
1773252483,384
1773252513,384
1773252543,384
1773252573,384
1773252603,384
1773252633,384
1773252663,384
1773252693,384
1773252723,384
1773252753,256
1773252783,256
1773252813,256
1773252843,256
1773252873,256
1773252903,256
1773252933,256
1773252963,256
1773252993,256
1773253023,128
1773253053,128
1773253083,128
1773253114,128
1773253144,128
1773253174,128
1773253204,128
1773253234,128
1773253264,128
1773253294,128
1773253324,0
1773253354,0
1773253384,0
1773253414,0
1773253444,0
1773253474,0
1773253504,0
1773253534,0
1773253564,0
1773253594,0
1773253624,0
1773253654,0
1773253684,0
1773253714,0
1773253744,0
1773253774,0
1773253804,0
1773253834,0
1773253864,0
1773253894,0
1773253924,0
1773253954,0
1773253984,0
1773254014,0
1773254044,0
1773254074,0
1773254104,0
1773254134,0
1773254164,0
1773254194,0
1773254224,0
1773254254,0
1773254284,0
1773254314,0
1773254344,0
1773254374,0
1773254404,0
1773254434,0
1773254464,0
1773254494,0
1773254524,0
1773254554,0
1773254584,0
1773254614,0
1773254644,0
1773254674,0
1773254704,0
1773254734,0
1773254764,0
1773254794,0
1773254824,0
1773254854,0
1773254884,0
1773254914,0
1773254944,0
1773254974,0
1773255004,0
1773255034,0
1773255064,0
1773255094,0
1773255124,0
1773255154,0
1773255184,0
1773255214,0
1773255244,0
1773255274,0
1773255304,0
1773255334,0
1773255364,0
1773255394,0
1773255424,0
1773255454,0
1773255484,0
1773255514,0
1773255544,0
1773255574,0
1773255604,0
1773255634,0
1773255664,0
1773255694,0
1773255724,0
1773255754,0
1773255784,0
1773255814,0
1773255844,0
1773256674,0
1773256704,0
1773256734,0
1773256764,0
1773256795,0
1773256825,0
1773256855,0
1773256885,0
1773256915,0
1773256945,0
1773256975,0
1773257005,0
1773257035,0
1773257065,0
1773257095,0
1773257125,0
1773257155,0
1773257185,0
1773257215,0
1773257245,0
1773257275,0
1773257305,0
1773257335,0
1773257365,0
1773257395,0
1773257425,0
1773257455,0
1773257485,0
1773257515,0
1773257545,0
1773257575,0
1773257605,0
1773257635,0
1773257665,0
1773257695,0
1773257725,0
1773257755,0
1773257785,0
1773257815,0
1773257845,0
1773257875,0
1773257905,0
1773257935,0
1773257965,0
1773257995,0
1773258025,0
1773258055,0
1773258085,0
1773258115,0
1773258145,0
1773258175,0
1773258205,0
1773258235,0
1773258265,0
1773258295,0
1773258556,0
1773258586,0
1773258616,128
1773258646,128
1773258676,128
1773258706,128
1773258736,128
1773258766,128
1773258796,128
1773258826,128
1773258856,128
1773258886,128
1773258916,128
1773258946,128
1773258976,128
1773259006,128
1773259036,128
1773259066,128
1773259096,128
1773259126,128
1773259156,128
1773259186,128
1773259216,128
1773259246,128
1773259276,128
1773259306,128
1773259336,128
1773259366,128
1773259396,128
1773259426,128
1773259456,128
1773259486,128
1773259516,128
1773259546,128
1773259576,128
1773259606,128
1773259636,128
1773259666,128
1773259696,128
1773259726,128
1773259756,128
1773259786,128
1773259816,128
1773259846,128
1773259877,128
1773259907,128
1773259937,128
1773259967,128
1773259997,128
1773260027,128
1773260057,128
1773260087,128
1773260117,128
1773260147,128
1773260177,128
1773260207,128
1773260237,128
1773260267,128
1773260297,128
1773260327,128
1773260357,128
1773260387,128
1773260417,128
1773260447,128
1773260477,128
1773260507,128
1773260537,128
1773260567,128
1773260597,128
1773260627,128
1773260657,128
1773260687,128
1773260717,128
1773260747,128
1773260777,128
1773260807,128
1773260837,128
1773260867,128
1773260897,128
1773260927,128
1773260957,128
1773260987,128
1773261017,128
1773261047,128
1773261077,128
1773261107,128
1773261137,128
1773261167,128
1773261197,128
1773261227,128
1773261257,128
1773261287,128
1773261317,128
1773261347,128
1773261377,128
1773261407,128
1773261437,128
1773261467,128
1773261497,128
1773261527,128
1773261557,128
1773261587,128
1773261617,128
1773261647,128
1773261677,128
1773261707,128
1773261737,128
1773261767,128
1773261797,128
1773261827,128
1773261857,128
1773261887,128
1773261917,128
1773261947,128
1773261977,128
1773262007,128
1773262037,128
1773262067,128
1773262097,128
1773262127,128
1773262157,128
1773262187,128
1774428720,128
1774428752,128
1774428782,128
1774428812,128
1774428842,128
1774428872,128
1774428902,128
1774428932,128
1774428962,128
1774428992,128
1774429022,128
1774429052,128
1774429082,128
1774429112,128
1774429142,128
1774429172,128
1774429202,128
1774429232,128
1774430430,128
1774430463,128
1774430493,128
1774430523,128
1774430553,128
1774430583,128
1774430613,128
1774430643,384
1774430673,384
1774430703,384
1774430733,384
1774430763,384
1774430793,384
1774430823,384
1774430853,384
1774430883,384
1774430913,384
1774430943,384
1774431030,384
1774431063,384
1774431093,384
1774431123,384
1774431153,384
1774431183,384
1774431213,384
1774431243,384
1774431273,384
1774431303,384
1774431333,384
1774431363,384
1774431393,384
1774431423,384
1774431453,384
1774431483,384
1774431513,384
1774431543,384
1774431573,384
1774431603,384
1774431633,384
1774431663,384
1774431693,384
1774431723,384
1774431753,384
1774431783,384
1774431813,384
1774431843,384
1774431873,384
1774431903,384
1774431933,384
1774431963,384
1774431993,384
1774432023,384
1774432053,384
1774432083,384
1774432113,384
1774432143,384
1774432173,384
1774432203,384
1774432233,384
1774432263,384
1774432293,384
1774432323,384
1774432353,384
1774432384,384
1774432414,384
1774432444,384
1774432474,384
1774432504,384
1774432534,384
1774432564,384
1774432594,384
1774432624,384
1774432654,384
1774432684,384
1774432714,384
1774432744,384
1774432774,384
1774432804,384
1774432834,384
1774432864,384
1774432894,384
1774432924,384
1774432954,384
1774432984,384
1774433014,384
1774433044,384
1774433074,384
1774433104,384
1774433134,384
1774433164,384
1774433194,384
1774433224,384
1774433254,384
1774433284,384
1774433314,384
1774433344,384
1774433374,384
1774433404,384
1774433434,384
1774433464,384
1774433494,384
1774433524,384
1774433554,384
1774433584,384
1774433614,384
1774433644,384
1774433674,384
1774433704,384
1774433734,384
1774433764,384
1774433794,384
1774433824,384
1774433854,384
1774433884,384
1774433914,384
1774433944,384
1774433974,384
1774434004,384
1774434034,384
1774434064,384
1774434094,384
1774434124,384
1774434154,384
1774434184,384
1774434214,384
1774434244,384
1774434274,384
1774434304,384
1774434334,384
1774434364,384
1774434394,384
1774434424,384
1774434454,384
1774434484,384
1774434514,384
