t,value
1773145530,41960
1773145560,41960
1773145590,41960
1773145620,41960
1773145650,41960
1773145680,41960
1773145710,41960
1773145740,41960
1773145770,41960
1773145800,41960
1773145830,41960
1773145860,41960
1773145890,41960
1773145920,41960
1773145950,41960
1773145980,41960
1773146100,935455
1773146131,935455
1773146161,935455
1773146191,935455
1773146221,935455
1773146251,935455
1773146281,935455
1773146311,935455
1773146341,935455
1773146371,935455
1773146401,935455
1773146431,935455
1773146461,935455
1773146491,935455
1773146521,935455
1773146551,935455
1773146581,935455
1773146611,935455
1773146641,935455
1773146671,935455
1773146701,935455
1773146731,935455
1773146761,935455
1773146791,935455
1773146821,935455
1773146851,935455
1773146881,935455
1773146911,935455
1773146941,935455
1773146971,935455
1773147001,935455
1773147031,935455
1773147061,935455
1773147091,935455
1773147121,935455
1773147151,935455
1773147181,935455
1773147211,935455
1773147241,935455
1773147271,935455
1773147301,935455
1773147331,935455
1773147361,935455
1773147392,935455
1773147422,935455
1773147452,935455
1773147482,935455
1773147512,935455
1773147542,935455
1773147572,935455
1773147602,935455
1773147632,935455
1773147662,935455
1773147692,935455
1773147722,935455
1773147752,935455
1773147782,935455
1773147812,935455
1773147842,935455
1773147872,984607
1773147902,984607
1773147932,984607
1773147962,984607
1773147992,984607
1773148022,984607
1773148052,984607
1773148082,984607
1773148112,984607
1773148142,984607
1773148172,984607
1773148202,984607
1773148232,984607
1773148262,984607
1773148292,984607
1773148322,984607
1773148352,984607
1773148382,984607
1773148412,984607
1773148442,984607
1773148472,984607
1773148502,984607
1773148532,984607
1773148562,984607
1773148592,984607
1773148622,984607
1773148652,984607
1773148682,984607
1773148712,984607
1773148742,984607
1773148772,984607
1773148802,984607
1773148832,984607
1773148862,984607
1773148892,984607
1773148922,984607
1773148952,984607
1773148982,984607
1773149012,984607
1773149042,984607
1773149072,984607
1773149102,984607
1773149132,984607
1773149162,984607
1773149192,984607
1773149222,984607
1773149252,984607
1773149282,984607
1773149312,984607
1773149342,984607
1773149372,984607
1773149402,984607
1773149432,984607
1773149462,984607
1773149492,984607
1773149522,984607
1773149552,984607
1773149582,984607
1773149612,984607
1773149642,984607
1773149672,984607
1773149702,984607
1773149732,984607
1773149762,984607
1773149792,984607
1773149822,984607
1773149852,984607
1773149882,984607
1773149912,984607
1773149942,984607
1773149972,984607
1773150002,984607
1773150032,984607
1773150062,984607
1773150092,984607
1773150122,984607
1773150152,984607
1773150182,984607
1773150212,984607
1773150242,984607
1773150272,984607
1773150302,984607
1773150333,984607
1773150363,984607
1773150393,984607
1773150423,984607
1773150453,984607
1773150483,984607
1773150513,984607
1773150543,984607
1773150573,984607
1773150603,984607
1773150633,984607
1773150663,984607
1773150693,984607
1773150723,984607
1773150753,984607
1773150783,984607
1773150813,984607
1773150843,984607
1773150873,984607
1773150903,984607
1773150933,984607
1773150963,984607
1773150993,984607
1773151023,984607
1773151053,984607
1773151083,984607
1773151113,984607
1773151143,984607
1773151173,984607
1773151203,984607
1773151233,984607
1773151263,984607
1773151293,984607
1773151323,984607
1773151353,984607
1773151383,984607
1773151413,984607
1773151443,984607
1773151473,984607
1773151503,984607
1773151533,984607
1773151563,984607
1773151593,984607
1773151623,984607
1773151653,984607
1773151683,984607
1773151713,984607
1773151743,984607
1773151773,984607
1773151803,984607
1773151833,984607
1773151863,984607
1773151893,984607
1773151923,984607
1773151953,984607
1773151983,984607
1773152013,984607
1773152043,984607
1773152073,984607
1773152103,984607
1773152133,984607
1773152163,984607
1773152193,984607
1773152223,984607
1773152253,984607
1773152283,984607
1773152313,984607
1773152343,984607
1773152373,984607
1773152403,984607
1773152433,984607
1773152463,984607
1773152493,984607
1773152523,984607
1773152553,984607
1773152583,984607
1773152613,984607
1773152643,984607
