t,value
1773145530,41960
1773145560,41960
1773145590,41960
1773145620,41960
1773145650,41960
1773145680,41960
1773145710,41960
1773145740,41960
1773145770,41960
1773145800,41960
1773145830,41960
1773145860,41960
1773145890,41960
1773145920,41960
1773145950,41960
1773145980,41960
1773146100,938064
1773146131,938064
1773146161,938064
1773146191,938064
1773146221,938064
1773146251,938064
1773146281,938064
1773146311,938064
1773146341,938064
1773146371,938064
1773146401,938064
1773146431,938064
1773146461,938064
1773146491,938064
1773146521,938064
1773146551,938064
1773146581,938064
1773146611,938064
1773146641,938064
1773146671,941002
1773146701,941002
1773146731,941002
1773146761,941002
1773146791,941002
1773146821,941002
1773146851,941002
1773146881,941002
1773146911,941002
1773146941,941002
1773146971,941002
1773147001,941002
1773147031,941002
1773147061,941002
1773147091,941002
1773147121,941002
1773147151,941002
1773147181,941002
1773147211,941002
1773147241,941002
1773147271,941002
1773147301,941002
1773147331,941002
1773147361,941002
1773147392,941002
1773147422,941002
1773147452,941002
1773147482,941002
1773147512,941002
1773147542,941002
1773147572,941002
1773147602,941002
1773147632,941002
1773147662,941002
1773147692,941002
1773147722,941002
1773147752,941002
1773147782,941002
1773147812,941002
1773147842,941002
1773147872,990386
1773147902,990386
1773147932,990386
1773147962,990386
1773147992,990386
1773148022,990386
1773148052,990386
1773148082,990386
1773148112,990386
1773148142,990386
1773148172,990386
1773148202,990386
1773148232,990386
1773148262,990386
1773148292,990386
1773148322,990386
1773148352,990386
1773148382,990386
1773148412,990386
1773148442,990386
1773148472,990386
1773148502,990386
1773148532,990386
1773148562,990386
1773148592,990386
1773148622,990386
1773148652,990386
1773148682,990386
1773148712,990386
1773148742,990386
1773148772,990386
1773148802,990386
1773148832,990386
1773148862,990386
1773148892,990386
1773148922,990386
1773148952,990386
1773148982,990386
1773149012,990386
1773149042,990386
1773149072,990386
1773149102,990386
1773149132,990386
1773149162,990386
1773149192,990386
1773149222,990386
1773149252,990386
1773149282,990386
1773149312,990386
1773149342,990386
1773149372,990386
1773149402,990386
1773149432,990386
1773149462,990386
1773149492,990386
1773149522,990386
1773149552,990386
1773149582,990386
1773149612,990386
1773149642,990386
1773149672,990386
1773149702,990386
1773149732,990386
1773149762,990386
1773149792,990386
1773149822,990386
1773149852,990386
1773149882,990386
1773149912,990386
1773149942,990386
1773149972,990386
1773150002,990386
1773150032,990386
1773150062,990386
1773150092,990386
1773150122,990386
1773150152,990386
1773150182,990386
1773150212,990386
1773150242,990386
1773150272,990386
1773150302,990386
1773150333,990386
1773150363,990386
1773150393,990386
1773150423,990386
1773150453,990386
1773150483,990386
1773150513,990386
1773150543,990386
1773150573,990386
1773150603,990386
1773150633,990386
1773150663,990386
1773150693,990386
1773150723,990386
1773150753,990386
1773150783,990386
1773150813,990386
1773150843,990386
1773150873,990386
1773150903,990386
1773150933,990386
1773150963,990386
1773150993,990386
1773151023,990386
1773151053,990386
1773151083,990386
1773151113,990386
1773151143,990386
1773151173,990386
1773151203,990386
1773151233,990386
1773151263,990386
1773151293,990386
1773151323,990386
1773151353,990386
1773151383,990386
1773151413,990386
1773151443,990386
1773151473,990386
1773151503,990386
1773151533,990386
1773151563,990386
1773151593,990386
1773151623,990386
1773151653,990386
1773151683,990386
1773151713,990386
1773151743,990386
1773151773,990386
1773151803,990386
1773151833,990386
1773151863,990386
1773151893,990386
1773151923,990386
1773151953,990386
1773151983,990386
1773152013,990386
1773152043,990386
1773152073,990386
1773152103,990386
1773152133,990386
1773152163,990386
1773152193,990386
1773152223,990386
1773152253,990386
1773152283,990386
1773152313,990386
1773152343,990386
1773152373,990386
1773152403,990386
1773152433,990386
1773152463,990386
1773152493,990386
1773152523,990386
1773152553,990386
1773152583,990386
1773152613,990386
1773152643,990386
