t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,26,0.9576704222031497,0.0,0.0,0.0,events/second
1773145560,26,0.454323226945768,0.0,0.0,0.0,events/second
1773145590,26,0.29800590711206076,0.0,0.0,0.0,events/second
1773145620,26,0.22173355557858174,0.0,0.0,0.0,events/second
1773145650,26,0.17653552319294574,0.0,0.0,0.0,events/second
1773145680,26,0.14663747922841333,0.0,0.0,0.0,events/second
1773145710,26,0.12541047209276943,0.0,0.0,0.0,events/second
1773145740,26,0.10955270829227776,0.0,0.0,0.0,events/second
1773145770,26,0.09725004990320854,0.0,0.0,0.0,events/second
1773145800,26,0.08743418413227633,0.0,0.0,0.0,events/second
1773145830,26,0.07941247947658918,0.0,0.0,0.0,events/second
1773145860,26,0.0727440429049222,0.0,0.0,0.0,events/second
1773145890,26,0.06710955755112404,0.0,0.0,0.0,events/second
1773145920,26,0.06228457931995699,0.0,0.0,0.0,events/second
1773145950,26,0.05810703754845769,0.0,0.0,0.0,events/second
1773145980,26,0.05445497350951733,0.0,0.0,0.0,events/second
1773146100,4,0.13229232852794237,0.0,0.0,0.0,events/second
1773146131,23,0.3808523191415793,0.0,0.0,0.0,events/second
1773146161,27,0.2986693176820788,0.0,0.0,0.0,events/second
1773146191,49,0.4069393601812196,0.0,0.0,0.0,events/second
1773146221,53,0.35234188016101037,0.0,0.0,0.0,events/second
1773146251,58,0.32145500734206006,0.0,0.0,0.0,events/second
1773146281,62,0.2946238641076889,0.0,0.0,0.0,events/second
1773146311,66,0.27449067797217797,0.0,0.0,0.0,events/second
1773146341,70,0.25882266453516883,0.0,0.0,0.0,events/second
1773146371,74,0.24628457781722607,0.0,0.0,0.0,events/second
1773146401,79,0.23904790400684162,0.0,0.0,0.0,events/second
1773146431,83,0.23024545419839168,0.0,0.0,0.0,events/second
1773146461,87,0.2227947841028579,0.0,0.0,0.0,events/second
1773146491,91,0.21640824430750005,0.0,0.0,0.0,events/second
1773146521,95,0.21087063906092066,0.0,0.0,0.0,events/second
1773146551,99,0.2060252937490377,0.0,0.0,0.0,events/second
1773146581,103,0.20175046886495565,0.0,0.0,0.0,events/second
1773146611,107,0.1979494278905225,0.0,0.0,0.0,events/second
1773146641,111,0.19454840736453438,0.0,0.0,0.0,events/second
1773146671,115,0.19148693454057672,0.0,0.0,0.0,events/second
1773146701,119,0.18871637680852743,0.0,0.0,0.0,events/second
1773146731,123,0.18619902998879614,0.0,0.0,0.0,events/second
1773146761,127,0.18389963058078582,0.0,0.0,0.0,events/second
1773146791,131,0.18179176683106224,0.0,0.0,0.0,events/second
1773146821,135,0.17985324505171343,0.0,0.0,0.0,events/second
1773146851,139,0.1780643075998184,0.0,0.0,0.0,events/second
1773146881,143,0.17640822252245694,0.0,0.0,0.0,events/second
1773146911,147,0.17486987401819332,0.0,0.0,0.0,events/second
1773146941,151,0.1734377943180504,0.0,0.0,0.0,events/second
1773146971,155,0.17210075771433483,0.0,0.0,0.0,events/second
1773147001,159,0.1708496551363607,0.0,0.0,0.0,events/second
1773147031,163,0.16967686148169683,0.0,0.0,0.0,events/second
1773147061,167,0.16857293939796206,0.0,0.0,0.0,events/second
1773147091,171,0.16753638371356847,0.0,0.0,0.0,events/second
1773147121,175,0.16655837975128435,0.0,0.0,0.0,events/second
1773147151,179,0.16563508880434233,0.0,0.0,0.0,events/second
1773147181,183,0.16476202627121955,0.0,0.0,0.0,events/second
1773147211,187,0.16393491635279978,0.0,0.0,0.0,events/second
1773147241,191,0.16315012212925276,0.0,0.0,0.0,events/second
1773147271,195,0.16240452776454406,0.0,0.0,0.0,events/second
1773147301,199,0.16169502240513955,0.0,0.0,0.0,events/second
1773147331,203,0.1610190040747331,0.0,0.0,0.0,events/second
1773147361,203,0.15727491310665645,0.0,0.0,0.0,events/second
1773147392,203,0.15370166915182076,0.0,0.0,0.0,events/second
1773147422,203,0.15028615708808604,0.0,0.0,0.0,events/second
1773147452,203,0.14702007320673635,0.0,0.0,0.0,events/second
1773147482,203,0.14389293715844872,0.0,0.0,0.0,events/second
1773147512,203,0.14089626667886096,0.0,0.0,0.0,events/second
1773147542,203,0.13802030875683047,0.0,0.0,0.0,events/second
1773147572,203,0.13526023532967266,0.0,0.0,0.0,events/second
1773147602,203,0.13260862230006526,0.0,0.0,0.0,events/second
1773147632,203,0.13005925178976352,0.0,0.0,0.0,events/second
1773147662,203,0.1276059974082313,0.0,0.0,0.0,events/second
1773147692,203,0.1252438566526362,0.0,0.0,0.0,events/second
1773147722,203,0.12296715060445325,0.0,0.0,0.0,events/second
1773147752,203,0.12077163731494191,0.0,0.0,0.0,events/second
1773147782,203,0.11865321533538692,0.0,0.0,0.0,events/second
1773147812,203,0.11660803127646967,0.0,0.0,0.0,events/second
1773147842,203,0.11463177333732019,0.0,0.0,0.0,events/second
1773147872,203,0.11272163180930336,0.0,0.0,0.0,events/second
1773147902,203,0.11087421070018262,0.0,0.0,0.0,events/second
1773147932,203,0.10908660212518373,0.0,0.0,0.0,events/second
1773147962,203,0.10735565226420542,0.0,0.0,0.0,events/second
1773147992,203,0.10567866271266615,0.0,0.0,0.0,events/second
1773148022,203,0.10405335222970914,0.0,0.0,0.0,events/second
1773148052,203,0.10247689454304298,0.0,0.0,0.0,events/second
1773148082,203,0.10094760166611076,0.0,0.0,0.0,events/second
1773148112,203,0.09946289452428643,0.0,0.0,0.0,events/second
1773148142,203,0.09802167910324125,0.0,0.0,0.0,events/second
1773148172,203,0.09662116284260679,0.0,0.0,0.0,events/second
1773148202,203,0.09526029966089151,0.0,0.0,0.0,events/second
1773148232,203,0.09393744023905685,0.0,0.0,0.0,events/second
1773148262,203,0.09265057340933272,0.0,0.0,0.0,events/second
1773148292,203,0.0913989372343822,0.0,0.0,0.0,events/second
1773148322,203,0.09018038171148159,0.0,0.0,0.0,events/second
1773148352,203,0.08899361651445399,0.0,0.0,0.0,events/second
1773148382,203,0.08783825285984143,0.0,0.0,0.0,events/second
1773148412,203,0.08671226530009389,0.0,0.0,0.0,events/second
1773148442,203,0.08561492959090547,0.0,0.0,0.0,events/second
1773148472,203,0.08454474256502405,0.0,0.0,0.0,events/second
1773148502,203,0.08350084374525825,0.0,0.0,0.0,events/second
1773148532,203,0.08248283902622212,0.0,0.0,0.0,events/second
1773148562,203,0.0814892277505348,0.0,0.0,0.0,events/second
1773148592,203,0.08051904879396843,0.0,0.0,0.0,events/second
1773148622,203,0.07957170296787781,0.0,0.0,0.0,events/second
1773148652,203,0.07864669221806755,0.0,0.0,0.0,events/second
1773148682,203,0.07774299659469594,0.0,0.0,0.0,events/second
1773148712,203,0.07685955464763627,0.0,0.0,0.0,events/second
1773148742,203,0.07599622984979858,0.0,0.0,0.0,events/second
1773148772,203,0.0751520801705889,0.0,0.0,0.0,events/second
1773148802,203,0.07432635325218263,0.0,0.0,0.0,events/second
1773148832,203,0.07351847594733048,0.0,0.0,0.0,events/second
1773148862,203,0.07272789419152549,0.0,0.0,0.0,events/second
1773148892,203,0.07195413879854752,0.0,0.0,0.0,events/second
1773148922,203,0.07119686376067129,0.0,0.0,0.0,events/second
1773148952,203,0.07045539579019859,0.0,0.0,0.0,events/second
1773148982,207,0.07110301943086715,0.0,0.0,0.0,events/second
1773149012,207,0.0703775063734968,0.0,0.0,0.0,events/second
1773149042,207,0.06966650312305853,0.0,0.0,0.0,events/second
1773149072,207,0.06896998789598603,0.0,0.0,0.0,events/second
1773149102,207,0.06828696392522157,0.0,0.0,0.0,events/second
1773149132,207,0.06761766301681298,0.0,0.0,0.0,events/second
1773149162,207,0.06696135360978868,0.0,0.0,0.0,events/second
1773149192,207,0.06631755931512595,0.0,0.0,0.0,events/second
1773149222,207,0.06568593388857129,0.0,0.0,0.0,events/second
1773149252,207,0.06506612586194013,0.0,0.0,0.0,events/second
1773149282,207,0.06445790224739574,0.0,0.0,0.0,events/second
1773149312,207,0.06386120015471237,0.0,0.0,0.0,events/second
1773149342,207,0.06327545931044785,0.0,0.0,0.0,events/second
1773149372,207,0.06270016402065764,0.0,0.0,0.0,events/second
1773149402,207,0.0621352412329644,0.0,0.0,0.0,events/second
1773149432,207,0.06158052183031532,0.0,0.0,0.0,events/second
1773149462,207,0.061035676110590506,0.0,0.0,0.0,events/second
1773149492,207,0.06050025075302189,0.0,0.0,0.0,events/second
1773149522,207,0.05997412991394996,0.0,0.0,0.0,events/second
1773149552,207,0.05945718594662229,0.0,0.0,0.0,events/second
1773149582,207,0.058948940219886926,0.0,0.0,0.0,events/second
1773149612,207,0.058449344800234185,0.0,0.0,0.0,events/second
1773149642,207,0.05795813026283542,0.0,0.0,0.0,events/second
1773149672,207,0.057475234461099305,0.0,0.0,0.0,events/second
1773149702,207,0.05700023993994915,0.0,0.0,0.0,events/second
1773149732,207,0.05653294476776911,0.0,0.0,0.0,events/second
1773149762,207,0.056073263022072516,0.0,0.0,0.0,events/second
1773149792,207,0.05562104766129004,0.0,0.0,0.0,events/second
1773149822,211,0.05624239599707457,0.0,0.0,0.0,events/second
1773149852,215,0.056853902561730764,0.0,0.0,0.0,events/second
1773149882,219,0.057455762235935064,0.0,0.0,0.0,events/second
1773149912,223,0.05804818591126467,0.0,0.0,0.0,events/second
1773149942,227,0.05863144472202817,0.0,0.0,0.0,events/second
1773149972,231,0.05920568470212619,0.0,0.0,0.0,events/second
1773150002,235,0.059771194225939815,0.0,0.0,0.0,events/second
1773150032,239,0.060328083835316175,0.0,0.0,0.0,events/second
1773150062,243,0.06087658794885517,0.0,0.0,0.0,events/second
1773150092,247,0.06141700921491126,0.0,0.0,0.0,events/second
1773150122,251,0.06194941051653275,0.0,0.0,0.0,events/second
1773150152,255,0.06247401649611059,0.0,0.0,0.0,events/second
1773150182,259,0.06299095513879611,0.0,0.0,0.0,events/second
1773150212,263,0.06350034004260666,0.0,0.0,0.0,events/second
1773150242,267,0.06400235346558476,0.0,0.0,0.0,events/second
1773150272,271,0.06449733031223577,0.0,0.0,0.0,events/second
1773150302,275,0.06498527863174343,0.0,0.0,0.0,events/second
1773150333,279,0.06546616924666282,0.0,0.0,0.0,events/second
1773150363,283,0.06594052736576361,0.0,0.0,0.0,events/second
1773150393,287,0.06640820590767782,0.0,0.0,0.0,events/second
1773150423,291,0.06686932882991588,0.0,0.0,0.0,events/second
1773150453,295,0.06732431618869544,0.0,0.0,0.0,events/second
1773150483,299,0.06777306423721904,0.0,0.0,0.0,events/second
1773150513,303,0.06821575737540216,0.0,0.0,0.0,events/second
1773150543,307,0.0686525370260832,0.0,0.0,0.0,events/second
1773150573,311,0.06908342016738661,0.0,0.0,0.0,events/second
1773150603,315,0.06950869218829847,0.0,0.0,0.0,events/second
1773150633,319,0.06992826824817444,0.0,0.0,0.0,events/second
1773150663,323,0.07034243089319978,0.0,0.0,0.0,events/second
1773150693,327,0.07075115842412744,0.0,0.0,0.0,events/second
1773150723,331,0.07115459616690356,0.0,0.0,0.0,events/second
1773150753,335,0.0715527748863794,0.0,0.0,0.0,events/second
1773150783,339,0.07194601081753185,0.0,0.0,0.0,events/second
1773150813,343,0.07233427351886795,0.0,0.0,0.0,events/second
1773150843,347,0.07271768880336456,0.0,0.0,0.0,events/second
1773150873,351,0.07309632924708427,0.0,0.0,0.0,events/second
1773150903,355,0.07347018262501653,0.0,0.0,0.0,events/second
1773150933,359,0.0738393067342968,0.0,0.0,0.0,events/second
1773150963,363,0.07420398853351808,0.0,0.0,0.0,events/second
1773150993,367,0.07456424436067918,0.0,0.0,0.0,events/second
1773151023,371,0.07492023132811503,0.0,0.0,0.0,events/second
1773151053,375,0.07527190612461666,0.0,0.0,0.0,events/second
1773151083,379,0.07561926561765273,0.0,0.0,0.0,events/second
1773151113,383,0.07596246730452662,0.0,0.0,0.0,events/second
1773151143,387,0.07630169971596108,0.0,0.0,0.0,events/second
1773151173,391,0.07663693193979358,0.0,0.0,0.0,events/second
1773151203,395,0.07696829109505743,0.0,0.0,0.0,events/second
1773151233,399,0.07729578468375657,0.0,0.0,0.0,events/second
1773151263,403,0.077619422205399,0.0,0.0,0.0,events/second
1773151293,407,0.07793929295335167,0.0,0.0,0.0,events/second
1773151323,411,0.0782556210389451,0.0,0.0,0.0,events/second
1773151353,415,0.07856829061543077,0.0,0.0,0.0,events/second
1773151383,419,0.07887750428613807,0.0,0.0,0.0,events/second
1773151413,423,0.07918327374994497,0.0,0.0,0.0,events/second
1773151443,427,0.07948561085814712,0.0,0.0,0.0,events/second
1773151473,431,0.0797844738372975,0.0,0.0,0.0,events/second
1773151503,435,0.08008015490816799,0.0,0.0,0.0,events/second
1773151533,439,0.08037259017114007,0.0,0.0,0.0,events/second
1773151563,443,0.0806618231461069,0.0,0.0,0.0,events/second
1773151593,447,0.08094792488829133,0.0,0.0,0.0,events/second
1773151623,451,0.08123074776805116,0.0,0.0,0.0,events/second
1773151653,455,0.08151065762217283,0.0,0.0,0.0,events/second
1773151683,459,0.08178749347114495,0.0,0.0,0.0,events/second
1773151713,463,0.0820615008334546,0.0,0.0,0.0,events/second
1773151743,467,0.08233255257690479,0.0,0.0,0.0,events/second
1773151773,471,0.08260060545348695,0.0,0.0,0.0,events/second
1773151803,475,0.08286598349172558,0.0,0.0,0.0,events/second
1773151833,479,0.08312865437559452,0.0,0.0,0.0,events/second
1773151863,483,0.08338859580462177,0.0,0.0,0.0,events/second
1773151893,487,0.08364581673138849,0.0,0.0,0.0,events/second
1773151923,491,0.08390048754137745,0.0,0.0,0.0,events/second
1773151953,495,0.08415255741582742,0.0,0.0,0.0,events/second
1773151983,499,0.08440187054131089,0.0,0.0,0.0,events/second
1773152013,503,0.08464884671071062,0.0,0.0,0.0,events/second
1773152043,507,0.08489335026105063,0.0,0.0,0.0,events/second
1773152073,511,0.08513539169667408,0.0,0.0,0.0,events/second
1773152103,515,0.08537501539376388,0.0,0.0,0.0,events/second
1773152133,519,0.08561222270073578,0.0,0.0,0.0,events/second
1773152163,523,0.08584711921906278,0.0,0.0,0.0,events/second
1773152193,527,0.08607962725395901,0.0,0.0,0.0,events/second
1773152223,531,0.0863099781254514,0.0,0.0,0.0,events/second
1773152253,535,0.0865381160356554,0.0,0.0,0.0,events/second
1773152283,539,0.08676391210417234,0.0,0.0,0.0,events/second
1773152313,543,0.08698765904029056,0.0,0.0,0.0,events/second
1773152343,547,0.08720922841315565,0.0,0.0,0.0,events/second
1773152373,551,0.08742860235040655,0.0,0.0,0.0,events/second
1773152403,555,0.08764597817642182,0.0,0.0,0.0,events/second
