t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,15,0.5524905975953038,0.0,0.0,0.0,events/second
1773145560,15,0.26210941889445416,0.0,0.0,0.0,events/second
1773145590,15,0.17192657197207062,0.0,0.0,0.0,events/second
1773145620,15,0.1279232271788131,0.0,0.0,0.0,events/second
1773145650,15,0.10184744703149717,0.0,0.0,0.0,events/second
1773145680,15,0.0845985789645065,0.0,0.0,0.0,events/second
1773145710,15,0.07235221728487583,0.0,0.0,0.0,events/second
1773145740,15,0.0632034957263587,0.0,0.0,0.0,events/second
1773145770,15,0.056105814159118354,0.0,0.0,0.0,events/second
1773145800,15,0.050442810836155025,0.0,0.0,0.0,events/second
1773145830,15,0.04581489960412145,0.0,0.0,0.0,events/second
1773145860,15,0.041967725256399746,0.0,0.0,0.0,events/second
1773145890,15,0.03871705997836001,0.0,0.0,0.0,events/second
1773145920,15,0.0359334161215924,0.0,0.0,0.0,events/second
1773145950,15,0.03352329646744462,0.0,0.0,0.0,events/second
1773145980,15,0.03141633578606566,0.0,0.0,0.0,events/second
1773146100,4,0.1322113232605955,0.0,0.0,0.0,events/second
1773146131,16,0.26494097846071407,0.0,0.0,0.0,events/second
1773146161,20,0.22123662314467,0.0,0.0,0.0,events/second
1773146191,29,0.24084177335714307,0.0,0.0,0.0,events/second
1773146221,33,0.21938276512776128,0.0,0.0,0.0,events/second
1773146251,38,0.21060851751900786,0.0,0.0,0.0,events/second
1773146281,42,0.19958396143494997,0.0,0.0,0.0,events/second
1773146311,46,0.19131173143184022,0.0,0.0,0.0,events/second
1773146341,50,0.18487337015872582,0.0,0.0,0.0,events/second
1773146371,54,0.17972121309944417,0.0,0.0,0.0,events/second
1773146401,59,0.1785294759817406,0.0,0.0,0.0,events/second
1773146431,63,0.17476464847719184,0.0,0.0,0.0,events/second
1773146461,67,0.17157761713645536,0.0,0.0,0.0,events/second
1773146491,71,0.1688460116834829,0.0,0.0,0.0,events/second
1773146521,75,0.16647684185468525,0.0,0.0,0.0,events/second
1773146551,79,0.16440404175208206,0.0,0.0,0.0,events/second
1773146581,83,0.16257563859742669,0.0,0.0,0.0,events/second
1773146611,87,0.16094955182873022,0.0,0.0,0.0,events/second
1773146641,91,0.1594946530190511,0.0,0.0,0.0,events/second
1773146671,95,0.1581848723223899,0.0,0.0,0.0,events/second
1773146701,99,0.15699935270689297,0.0,0.0,0.0,events/second
1773146731,103,0.1559227767990734,0.0,0.0,0.0,events/second
1773146761,107,0.15493906915616545,0.0,0.0,0.0,events/second
1773146791,111,0.1540373067782564,0.0,0.0,0.0,events/second
1773146821,115,0.15320832873770518,0.0,0.0,0.0,events/second
1773146851,119,0.15244355493052253,0.0,0.0,0.0,events/second
1773146881,123,0.15173575483573865,0.0,0.0,0.0,events/second
1773146911,127,0.1510780642725977,0.0,0.0,0.0,events/second
1773146941,131,0.15046591039797075,0.0,0.0,0.0,events/second
1773146971,135,0.14989421515553827,0.0,0.0,0.0,events/second
1773147001,139,0.14935914189847965,0.0,0.0,0.0,events/second
1773147031,143,0.14885762353756296,0.0,0.0,0.0,events/second
