t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,12,0.44198104182725156,0.0,0.0,0.0,events/second
1773145560,12,0.2096894899161268,0.0,0.0,0.0,events/second
1773145590,12,0.1375422200171657,0.0,0.0,0.0,events/second
1773145620,12,0.1023391240823707,0.0,0.0,0.0,events/second
1773145650,12,0.08147829520233425,0.0,0.0,0.0,events/second
1773145680,12,0.06767910799639523,0.0,0.0,0.0,events/second
1773145710,12,0.05788195452129747,0.0,0.0,0.0,events/second
1773145740,12,0.0505629264352125,0.0,0.0,0.0,events/second
1773145770,12,0.04488476564115895,0.0,0.0,0.0,events/second
1773145800,12,0.040354338275430834,0.0,0.0,0.0,events/second
1773145830,12,0.036651989381591255,0.0,0.0,0.0,events/second
1773145860,12,0.03357424263474572,0.0,0.0,0.0,events/second
1773145890,12,0.030973702346906024,0.0,0.0,0.0,events/second
1773145920,12,0.02874677517328601,0.0,0.0,0.0,events/second
1773145950,12,0.026818677643214703,0.0,0.0,0.0,events/second
1773145980,12,0.0251331042867389,0.0,0.0,0.0,events/second
1773146100,12,0.3961934917889394,0.0,0.0,0.0,events/second
1773146131,19,0.3146203778267507,0.0,0.0,0.0,events/second
1773146161,19,0.21017603001359725,0.0,0.0,0.0,events/second
1773146191,32,0.2657577095250579,0.0,0.0,0.0,events/second
1773146221,32,0.21273562295946524,0.0,0.0,0.0,events/second
1773146251,32,0.17735510479643507,0.0,0.0,0.0,events/second
1773146281,32,0.1520643895140286,0.0,0.0,0.0,events/second
1773146311,32,0.13308674134651707,0.0,0.0,0.0,events/second
1773146341,32,0.11831920665972137,0.0,0.0,0.0,events/second
1773146371,32,0.1065016651987986,0.0,0.0,0.0,events/second
1773146401,32,0.09682971268947578,0.0,0.0,0.0,events/second
1773146431,32,0.08876948692604716,0.0,0.0,0.0,events/second
1773146461,32,0.08194764030709538,0.0,0.0,0.0,events/second
1773146491,32,0.07609971195531322,0.0,0.0,0.0,events/second
1773146521,32,0.0710302106371108,0.0,0.0,0.0,events/second
1773146551,32,0.06659412090431316,0.0,0.0,0.0,events/second
1773146581,32,0.06267983537675584,0.0,0.0,0.0,events/second
1773146611,32,0.05919989896146044,0.0,0.0,0.0,events/second
1773146641,32,0.05608608632919246,0.0,0.0,0.0,events/second
1773146671,32,0.05328337565732878,0.0,0.0,0.0,events/second
1773146701,32,0.050747312270932765,0.0,0.0,0.0,events/second
1773146731,32,0.04844206935945452,0.0,0.0,0.0,events/second
1773146761,32,0.046336955352288184,0.0,0.0,0.0,events/second
1773146791,32,0.0444071851015335,0.0,0.0,0.0,events/second
1773146821,32,0.04263191534045647,0.0,0.0,0.0,events/second
1773146851,32,0.040993255350105236,0.0,0.0,0.0,events/second
1773146881,32,0.03947599725074746,0.0,0.0,0.0,events/second
1773146911,32,0.038066939879874855,0.0,0.0,0.0,events/second
1773146941,32,0.03675505545911395,0.0,0.0,0.0,events/second
1773146971,32,0.035530502358793334,0.0,0.0,0.0,events/second
1773147001,32,0.03438486001475142,0.0,0.0,0.0,events/second
1773147031,32,0.03331081698374972,0.0,0.0,0.0,events/second
1773147061,32,0.03230142181592364,0.0,0.0,0.0,events/second
1773147091,32,0.03135185768184046,0.0,0.0,0.0,events/second
1773147121,32,0.030456407287688548,0.0,0.0,0.0,events/second
1773147151,32,0.029610759819250737,0.0,0.0,0.0,events/second
1773147181,32,0.02881086281343025,0.0,0.0,0.0,events/second
1773147211,32,0.028053049669432555,0.0,0.0,0.0,events/second
1773147241,32,0.02733406690679827,0.0,0.0,0.0,events/second
1773147271,32,0.02665101368904108,0.0,0.0,0.0,events/second
1773147301,32,0.026001222444385578,0.0,0.0,0.0,events/second
1773147331,32,0.025382318646292888,0.0,0.0,0.0,events/second
1773147361,32,0.024792116024980174,0.0,0.0,0.0,events/second
1773147392,32,0.024228845112760054,0.0,0.0,0.0,events/second
1773147422,32,0.02369044004052161,0.0,0.0,0.0,events/second
1773147452,32,0.023175588331409737,0.0,0.0,0.0,events/second
1773147482,32,0.02268264047419266,0.0,0.0,0.0,events/second
1773147512,32,0.022210258145348116,0.0,0.0,0.0,events/second
1773147542,32,0.021756904683375818,0.0,0.0,0.0,events/second
1773147572,32,0.021321819501051855,0.0,0.0,0.0,events/second
1773147602,32,0.02090383008493127,0.0,0.0,0.0,events/second
1773147632,32,0.020501957671457273,0.0,0.0,0.0,events/second
1773147662,32,0.020115239285594975,0.0,0.0,0.0,events/second
1773147692,32,0.019742881795788352,0.0,0.0,0.0,events/second
1773147722,32,0.01938399153887994,0.0,0.0,0.0,events/second
1773147752,32,0.019037900759086474,0.0,0.0,0.0,events/second
1773147782,32,0.018703961720114695,0.0,0.0,0.0,events/second
1773147812,32,0.0183815680456867,0.0,0.0,0.0,events/second
