t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,1,0.03682778253148749,0.0,0.0,0.0,events/second
1773145560,1,0.01747394727510052,0.0,0.0,0.0,events/second
1773145590,1,0.011461779964592682,0.0,0.0,0.0,events/second
1773145620,1,0.008528221814642014,0.0,0.0,0.0,events/second
1773145650,1,0.006789834426112371,0.0,0.0,0.0,events/second
1773145680,1,0.005639912357611854,0.0,0.0,0.0,events/second
1773145710,1,0.004823486070756219,0.0,0.0,0.0,events/second
1773145740,1,0.004213553815413261,0.0,0.0,0.0,events/second
1773145770,1,0.00374038761060789,0.0,0.0,0.0,events/second
1773145800,1,0.003362856802650372,0.0,0.0,0.0,events/second
1773145830,1,0.0030543264350387303,0.0,0.0,0.0,events/second
1773145860,1,0.002797850233051188,0.0,0.0,0.0,events/second
1773145890,1,0.002581139072742973,0.0,0.0,0.0,events/second
1773145920,1,0.00239556198091593,0.0,0.0,0.0,events/second
1773145950,1,0.0022348878082073995,0.0,0.0,0.0,events/second
1773145980,1,0.0020944236012666977,0.0,0.0,0.0,events/second
1773146100,0,0.0,0.0,0.0,0.0,events/second
1773146131,0,0.0,0.0,0.0,0.0,events/second
1773146161,0,0.0,0.0,0.0,0.0,events/second
1773146191,0,0.0,0.0,0.0,0.0,events/second
1773146221,0,0.0,0.0,0.0,0.0,events/second
1773146251,0,0.0,0.0,0.0,0.0,events/second
1773146281,0,0.0,0.0,0.0,0.0,events/second
1773146311,0,0.0,0.0,0.0,0.0,events/second
1773146341,0,0.0,0.0,0.0,0.0,events/second
1773146371,0,0.0,0.0,0.0,0.0,events/second
1773146401,0,0.0,0.0,0.0,0.0,events/second
1773146431,0,0.0,0.0,0.0,0.0,events/second
1773146461,0,0.0,0.0,0.0,0.0,events/second
1773146491,0,0.0,0.0,0.0,0.0,events/second
1773146521,0,0.0,0.0,0.0,0.0,events/second
1773146551,0,0.0,0.0,0.0,0.0,events/second
1773146581,0,0.0,0.0,0.0,0.0,events/second
1773146611,0,0.0,0.0,0.0,0.0,events/second
1773146641,0,0.0,0.0,0.0,0.0,events/second
1773146671,0,0.0,0.0,0.0,0.0,events/second
1773146701,0,0.0,0.0,0.0,0.0,events/second
1773146731,0,0.0,0.0,0.0,0.0,events/second
1773146761,0,0.0,0.0,0.0,0.0,events/second
1773146791,0,0.0,0.0,0.0,0.0,events/second
1773146821,0,0.0,0.0,0.0,0.0,events/second
1773146851,0,0.0,0.0,0.0,0.0,events/second
1773146881,0,0.0,0.0,0.0,0.0,events/second
1773146911,0,0.0,0.0,0.0,0.0,events/second
1773146941,0,0.0,0.0,0.0,0.0,events/second
1773146971,0,0.0,0.0,0.0,0.0,events/second
1773147001,0,0.0,0.0,0.0,0.0,events/second
1773147031,0,0.0,0.0,0.0,0.0,events/second
1773147061,0,0.0,0.0,0.0,0.0,events/second
1773147091,0,0.0,0.0,0.0,0.0,events/second
1773147121,0,0.0,0.0,0.0,0.0,events/second
1773147151,0,0.0,0.0,0.0,0.0,events/second
1773147181,0,0.0,0.0,0.0,0.0,events/second
1773147211,0,0.0,0.0,0.0,0.0,events/second
1773147241,0,0.0,0.0,0.0,0.0,events/second
1773147271,0,0.0,0.0,0.0,0.0,events/second
1773147301,0,0.0,0.0,0.0,0.0,events/second
1773147331,0,0.0,0.0,0.0,0.0,events/second
1773147361,0,0.0,0.0,0.0,0.0,events/second
1773147392,0,0.0,0.0,0.0,0.0,events/second
1773147422,0,0.0,0.0,0.0,0.0,events/second
1773147452,0,0.0,0.0,0.0,0.0,events/second
1773147482,0,0.0,0.0,0.0,0.0,events/second
1773147512,0,0.0,0.0,0.0,0.0,events/second
1773147542,0,0.0,0.0,0.0,0.0,events/second
1773147572,0,0.0,0.0,0.0,0.0,events/second
1773147602,0,0.0,0.0,0.0,0.0,events/second
1773147632,0,0.0,0.0,0.0,0.0,events/second
1773147662,0,0.0,0.0,0.0,0.0,events/second
1773147692,0,0.0,0.0,0.0,0.0,events/second
1773147722,0,0.0,0.0,0.0,0.0,events/second
1773147752,0,0.0,0.0,0.0,0.0,events/second
1773147782,0,0.0,0.0,0.0,0.0,events/second
1773147812,0,0.0,0.0,0.0,0.0,events/second
1773147842,0,0.0,0.0,0.0,0.0,events/second
1773147872,0,0.0,0.0,0.0,0.0,events/second
1773147902,0,0.0,0.0,0.0,0.0,events/second
1773147932,0,0.0,0.0,0.0,0.0,events/second
1773147962,0,0.0,0.0,0.0,0.0,events/second
1773147992,0,0.0,0.0,0.0,0.0,events/second
1773148022,0,0.0,0.0,0.0,0.0,events/second
1773148052,0,0.0,0.0,0.0,0.0,events/second
1773148082,0,0.0,0.0,0.0,0.0,events/second
1773148112,0,0.0,0.0,0.0,0.0,events/second
1773148142,0,0.0,0.0,0.0,0.0,events/second
1773148172,0,0.0,0.0,0.0,0.0,events/second
1773148202,0,0.0,0.0,0.0,0.0,events/second
1773148232,0,0.0,0.0,0.0,0.0,events/second
1773148262,0,0.0,0.0,0.0,0.0,events/second
1773148292,0,0.0,0.0,0.0,0.0,events/second
1773148322,0,0.0,0.0,0.0,0.0,events/second
1773148352,0,0.0,0.0,0.0,0.0,events/second
1773148382,0,0.0,0.0,0.0,0.0,events/second
1773148412,0,0.0,0.0,0.0,0.0,events/second
1773148442,0,0.0,0.0,0.0,0.0,events/second
1773148472,0,0.0,0.0,0.0,0.0,events/second
1773148502,0,0.0,0.0,0.0,0.0,events/second
1773148532,0,0.0,0.0,0.0,0.0,events/second
1773148562,0,0.0,0.0,0.0,0.0,events/second
1773148592,0,0.0,0.0,0.0,0.0,events/second
1773148622,0,0.0,0.0,0.0,0.0,events/second
1773148652,0,0.0,0.0,0.0,0.0,events/second
1773148682,0,0.0,0.0,0.0,0.0,events/second
1773148712,0,0.0,0.0,0.0,0.0,events/second
1773148742,0,0.0,0.0,0.0,0.0,events/second
1773148772,0,0.0,0.0,0.0,0.0,events/second
1773148802,0,0.0,0.0,0.0,0.0,events/second
1773148832,0,0.0,0.0,0.0,0.0,events/second
1773148862,0,0.0,0.0,0.0,0.0,events/second
1773148892,0,0.0,0.0,0.0,0.0,events/second
1773148922,0,0.0,0.0,0.0,0.0,events/second
1773148952,0,0.0,0.0,0.0,0.0,events/second
1773148982,0,0.0,0.0,0.0,0.0,events/second
1773149012,0,0.0,0.0,0.0,0.0,events/second
1773149042,0,0.0,0.0,0.0,0.0,events/second
1773149072,0,0.0,0.0,0.0,0.0,events/second
1773149102,0,0.0,0.0,0.0,0.0,events/second
1773149132,0,0.0,0.0,0.0,0.0,events/second
1773149162,0,0.0,0.0,0.0,0.0,events/second
1773149192,0,0.0,0.0,0.0,0.0,events/second
1773149222,0,0.0,0.0,0.0,0.0,events/second
1773149252,0,0.0,0.0,0.0,0.0,events/second
1773149282,0,0.0,0.0,0.0,0.0,events/second
1773149312,0,0.0,0.0,0.0,0.0,events/second
1773149342,0,0.0,0.0,0.0,0.0,events/second
1773149372,0,0.0,0.0,0.0,0.0,events/second
1773149402,0,0.0,0.0,0.0,0.0,events/second
1773149432,0,0.0,0.0,0.0,0.0,events/second
1773149462,0,0.0,0.0,0.0,0.0,events/second
1773149492,0,0.0,0.0,0.0,0.0,events/second
1773149522,0,0.0,0.0,0.0,0.0,events/second
1773149552,0,0.0,0.0,0.0,0.0,events/second
1773149582,0,0.0,0.0,0.0,0.0,events/second
1773149612,0,0.0,0.0,0.0,0.0,events/second
1773149642,0,0.0,0.0,0.0,0.0,events/second
1773149672,0,0.0,0.0,0.0,0.0,events/second
1773149702,0,0.0,0.0,0.0,0.0,events/second
1773149732,0,0.0,0.0,0.0,0.0,events/second
1773149762,0,0.0,0.0,0.0,0.0,events/second
1773149792,0,0.0,0.0,0.0,0.0,events/second
1773149822,0,0.0,0.0,0.0,0.0,events/second
1773149852,0,0.0,0.0,0.0,0.0,events/second
1773149882,0,0.0,0.0,0.0,0.0,events/second
1773149912,0,0.0,0.0,0.0,0.0,events/second
1773149942,0,0.0,0.0,0.0,0.0,events/second
1773149972,0,0.0,0.0,0.0,0.0,events/second
1773150002,0,0.0,0.0,0.0,0.0,events/second
1773150032,0,0.0,0.0,0.0,0.0,events/second
1773150062,0,0.0,0.0,0.0,0.0,events/second
1773150092,0,0.0,0.0,0.0,0.0,events/second
1773150122,0,0.0,0.0,0.0,0.0,events/second
1773150152,0,0.0,0.0,0.0,0.0,events/second
1773150182,0,0.0,0.0,0.0,0.0,events/second
1773150212,0,0.0,0.0,0.0,0.0,events/second
1773150242,0,0.0,0.0,0.0,0.0,events/second
1773150272,0,0.0,0.0,0.0,0.0,events/second
1773150302,0,0.0,0.0,0.0,0.0,events/second
1773150333,0,0.0,0.0,0.0,0.0,events/second
1773150363,0,0.0,0.0,0.0,0.0,events/second
1773150393,0,0.0,0.0,0.0,0.0,events/second
1773150423,0,0.0,0.0,0.0,0.0,events/second
1773150453,0,0.0,0.0,0.0,0.0,events/second
1773150483,0,0.0,0.0,0.0,0.0,events/second
1773150513,0,0.0,0.0,0.0,0.0,events/second
1773150543,0,0.0,0.0,0.0,0.0,events/second
1773150573,0,0.0,0.0,0.0,0.0,events/second
1773150603,0,0.0,0.0,0.0,0.0,events/second
1773150633,0,0.0,0.0,0.0,0.0,events/second
1773150663,0,0.0,0.0,0.0,0.0,events/second
1773150693,0,0.0,0.0,0.0,0.0,events/second
1773150723,0,0.0,0.0,0.0,0.0,events/second
1773150753,0,0.0,0.0,0.0,0.0,events/second
1773150783,0,0.0,0.0,0.0,0.0,events/second
1773150813,0,0.0,0.0,0.0,0.0,events/second
1773150843,0,0.0,0.0,0.0,0.0,events/second
1773150873,0,0.0,0.0,0.0,0.0,events/second
1773150903,0,0.0,0.0,0.0,0.0,events/second
1773150933,0,0.0,0.0,0.0,0.0,events/second
1773150963,0,0.0,0.0,0.0,0.0,events/second
1773150993,0,0.0,0.0,0.0,0.0,events/second
1773151023,0,0.0,0.0,0.0,0.0,events/second
1773151053,0,0.0,0.0,0.0,0.0,events/second
1773151083,0,0.0,0.0,0.0,0.0,events/second
1773151113,0,0.0,0.0,0.0,0.0,events/second
