t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,1277952,42840.95635548071,0.0,0.0,0.0,events/second
1773145560,1277952,21333.67764088447,0.0,0.0,0.0,events/second
1773145590,1277952,14211.877093592799,0.0,0.0,0.0,events/second
1773145620,1277952,10655.580986487366,0.0,0.0,0.0,events/second
1773145650,1277952,8522.298180676342,0.0,0.0,0.0,events/second
1773145680,1277952,7100.420756624208,0.0,0.0,0.0,events/second
1773145710,1277952,6085.664992180512,0.0,0.0,0.0,events/second
1773145740,1277952,5324.7041708553115,0.0,0.0,0.0,events/second
1773145770,1277952,4732.685477188417,0.0,0.0,0.0,events/second
1773145800,1277952,4259.256950316071,0.0,0.0,0.0,events/second
1773145830,1277952,3871.6508527500414,0.0,0.0,0.0,events/second
1773145860,1277952,3548.958466507008,0.0,0.0,0.0,events/second
1773145890,1277952,3275.954243532994,0.0,0.0,0.0,events/second
1773145920,1277952,3041.921034373805,0.0,0.0,0.0,events/second
1773145950,1277952,2839.107221767476,0.0,0.0,0.0,events/second
1773145980,1277952,2661.6615458481556,0.0,0.0,0.0,events/second
1773146070,917504,612887.2629021726,0.0,0.0,0.0,events/second
1773146100,1228800,37614.565669970165,0.0,0.0,0.0,events/second
1773146131,1228800,19605.767082338283,0.0,0.0,0.0,events/second
1773146161,1228800,13257.722625047463,0.0,0.0,0.0,events/second
1773146191,1228800,10015.03373274942,0.0,0.0,0.0,events/second
1773146221,1228800,8046.806133847713,0.0,0.0,0.0,events/second
1773146251,1228800,6725.261282763235,0.0,0.0,0.0,events/second
1773146281,1228800,5776.544987903716,0.0,0.0,0.0,events/second
1773146311,1228800,5062.419358786548,0.0,0.0,0.0,events/second
1773146341,1228800,4505.390779263712,0.0,0.0,0.0,events/second
1773146371,1228800,4058.7959037541727,0.0,0.0,0.0,events/second
1773146401,1228800,3692.7270010148204,0.0,0.0,0.0,events/second
1773146431,1228800,3387.2761862428515,0.0,0.0,0.0,events/second
1773146461,1228800,3128.4819295142456,0.0,0.0,0.0,events/second
1773146491,1228800,2906.434205978007,0.0,0.0,0.0,events/second
1773146521,1228800,2713.7951319901845,0.0,0.0,0.0,events/second
1773146551,1228800,2545.1110457684135,0.0,0.0,0.0,events/second
1773146581,1228800,2396.1804714803166,0.0,0.0,0.0,events/second
1773146611,1228800,2263.7063940384055,0.0,0.0,0.0,events/second
1773146641,1228800,2145.11403669744,0.0,0.0,0.0,events/second
1773146671,1228800,2038.325743538903,0.0,0.0,0.0,events/second
1773146701,1228800,1941.6604577880926,0.0,0.0,0.0,events/second
1773146731,1228800,1853.762671297209,0.0,0.0,0.0,events/second
1773146761,1228800,1773.4706597612278,0.0,0.0,0.0,events/second
1773146791,1228800,1699.8452706988987,0.0,0.0,0.0,events/second
1773146821,1228800,1632.0968534853241,0.0,0.0,0.0,events/second
1773146851,1228800,1569.5464050128173,0.0,0.0,0.0,events/second
1773146881,1228800,1511.6171100018428,0.0,0.0,0.0,events/second
1773146911,1228800,1457.8076065714502,0.0,0.0,0.0,events/second
1773146941,1228800,1407.6993436035202,0.0,0.0,0.0,events/second
1773146971,1228800,1360.9181440992877,0.0,0.0,0.0,events/second
1773147001,1228800,1317.1445060094475,0.0,0.0,0.0,events/second
1773147031,1228800,1276.099887682845,0.0,0.0,0.0,events/second
1773147061,1228800,1237.5200551288597,0.0,0.0,0.0,events/second
1773147091,1228800,1201.222020053185,0.0,0.0,0.0,events/second
1773147121,1228800,1166.9879473852327,0.0,0.0,0.0,events/second
1773147151,1228800,1134.653970022571,0.0,0.0,0.0,events/second
1773147181,1228800,1104.0656645037832,0.0,0.0,0.0,events/second
1773147211,1228800,1075.0834502031635,0.0,0.0,0.0,events/second
1773147241,1228800,1047.5833825297689,0.0,0.0,0.0,events/second
1773147271,1228800,1021.4549581481026,0.0,0.0,0.0,events/second
1773147301,1228800,996.596463061975,0.0,0.0,0.0,events/second
1773147331,1228800,972.9175613016959,0.0,0.0,0.0,events/second
1773147361,1228800,950.3347221271396,0.0,0.0,0.0,events/second
1773147392,1228800,928.7806639988883,0.0,0.0,0.0,events/second
1773147422,1228800,908.1764112295102,0.0,0.0,0.0,events/second
1773147452,1228800,888.4721514247387,0.0,0.0,0.0,events/second
1773147482,1228800,869.6048398202711,0.0,0.0,0.0,events/second
1773147512,1228800,851.5232176695428,0.0,0.0,0.0,events/second
1773147542,1654784,1123.347571167633,0.0,0.0,0.0,events/second
1773147572,1654784,1100.917698067068,0.0,0.0,0.0,events/second
1773147602,1654784,1079.3676031899859,0.0,0.0,0.0,events/second
1773147632,1654784,1058.647188408499,0.0,0.0,0.0,events/second
1773147662,1654784,1038.7072417230154,0.0,0.0,0.0,events/second
1773147692,1654784,1019.5065729162278,0.0,0.0,0.0,events/second
1773147722,1654784,1000.9993458177972,0.0,0.0,0.0,events/second
1773147752,1654784,983.1513357173051,0.0,0.0,0.0,events/second
1773147782,1654784,965.9290891267395,0.0,0.0,0.0,events/second
1773147812,1654784,949.3015427234939,0.0,0.0,0.0,events/second
1773147842,1654784,933.233682773511,0.0,0.0,0.0,events/second
1773147872,1654784,917.7025817888797,0.0,0.0,0.0,events/second
1773147902,1654784,902.6809456618348,0.0,0.0,0.0,events/second
1773147932,1654784,888.1449814973025,0.0,0.0,0.0,events/second
1773147962,1654784,874.0692051792689,0.0,0.0,0.0,events/second
1773147992,1654784,860.4316660706252,0.0,0.0,0.0,events/second
1773148022,1654784,847.213955471264,0.0,0.0,0.0,events/second
1773148052,1654784,834.3930109798816,0.0,0.0,0.0,events/second
1773148082,1654784,821.9552992676271,0.0,0.0,0.0,events/second
1773148112,1654784,809.8797349379165,0.0,0.0,0.0,events/second
1773148142,1654784,798.1574917006654,0.0,0.0,0.0,events/second
1773148172,1654784,786.7658936239229,0.0,0.0,0.0,events/second
1773148202,1654784,775.6966247421818,0.0,0.0,0.0,events/second
1773148232,1654784,764.9360682817547,0.0,0.0,0.0,events/second
1773148262,1654784,754.4679264393969,0.0,0.0,0.0,events/second
1773148292,1654784,744.2861780221361,0.0,0.0,0.0,events/second
1773148322,1654784,734.3731840530298,0.0,0.0,0.0,events/second
1773148352,1654784,724.7185969890645,0.0,0.0,0.0,events/second
1773148382,1654784,715.3191923584616,0.0,0.0,0.0,events/second
1773148412,1654784,706.158540573632,0.0,0.0,0.0,events/second
1773148442,1654784,697.2307797482033,0.0,0.0,0.0,events/second
1773148472,1654784,688.523680327777,0.0,0.0,0.0,events/second
1773148502,1654784,680.0301792536477,0.0,0.0,0.0,events/second
1773148532,1654784,671.7473120993394,0.0,0.0,0.0,events/second
1773148562,1654784,663.6626776244849,0.0,0.0,0.0,events/second
1773148592,1654784,655.7685165681821,0.0,0.0,0.0,events/second
1773148622,1654784,648.0599823551471,0.0,0.0,0.0,events/second
1773148652,1654784,640.533038782232,0.0,0.0,0.0,events/second
1773148682,1654784,633.1793805701477,0.0,0.0,0.0,events/second
1773148712,1654784,625.9903881348505,0.0,0.0,0.0,events/second
1773148742,1654784,618.9649606475324,0.0,0.0,0.0,events/second
1773148772,1654784,612.0954284481004,0.0,0.0,0.0,events/second
1773148802,1654784,605.375668535403,0.0,0.0,0.0,events/second
1773148832,1654784,598.8010932048888,0.0,0.0,0.0,events/second
1773148862,1654784,592.3671735409196,0.0,0.0,0.0,events/second
1773148892,1654784,586.0700564668614,0.0,0.0,0.0,events/second
1773148922,1654784,579.9069547809615,0.0,0.0,0.0,events/second
1773148952,1654784,573.8723877073905,0.0,0.0,0.0,events/second
1773148982,1654784,567.9607779685631,0.0,0.0,0.0,events/second
1773149012,1654784,562.1699829940659,0.0,0.0,0.0,events/second
1773149042,1654784,556.4949049792057,0.0,0.0,0.0,events/second
1773149072,1654784,550.9353947849158,0.0,0.0,0.0,events/second
1773149102,1654784,545.4834481517864,0.0,0.0,0.0,events/second
1773149132,1654784,540.1410110425206,0.0,0.0,0.0,events/second
1773149162,1654784,534.9021725875124,0.0,0.0,0.0,events/second
1773149192,1654784,529.7631430461367,0.0,0.0,0.0,events/second
1773149222,1654784,524.7211882173384,0.0,0.0,0.0,events/second
1773149252,1654784,519.7735510677956,0.0,0.0,0.0,events/second
1773149282,1654784,514.9182565053827,0.0,0.0,0.0,events/second
1773149312,1654784,510.1548919121637,0.0,0.0,0.0,events/second
1773149342,1654784,505.4789735832237,0.0,0.0,0.0,events/second
1773149372,1654784,500.8863913608715,0.0,0.0,0.0,events/second
1773149402,1654784,496.376530249848,0.0,0.0,0.0,events/second
1773149432,1654784,491.94806152850606,0.0,0.0,0.0,events/second
1773149462,1654784,487.59840095328224,0.0,0.0,0.0,events/second
1773149492,1654784,483.32389567903766,0.0,0.0,0.0,events/second
1773149522,1654784,479.1235955540783,0.0,0.0,0.0,events/second
1773149552,1654784,474.99653222411905,0.0,0.0,0.0,events/second
1773149582,1654784,470.938785751071,0.0,0.0,0.0,events/second
1773149612,1654784,466.95019903874555,0.0,0.0,0.0,events/second
1773149642,1654784,463.02840660924477,0.0,0.0,0.0,events/second
1773149672,1654784,459.17299017376104,0.0,0.0,0.0,events/second
1773149702,1654784,455.38058556590795,0.0,0.0,0.0,events/second
1773149732,1654784,451.6496751185838,0.0,0.0,0.0,events/second
1773149762,1654784,447.97947609128056,0.0,0.0,0.0,events/second
1773149792,1654784,444.3688675529404,0.0,0.0,0.0,events/second
1773149822,1654784,440.8169640337861,0.0,0.0,0.0,events/second
1773149852,1654784,437.32152831964663,0.0,0.0,0.0,events/second
1773149882,1654784,433.8809448184411,0.0,0.0,0.0,events/second
1773149912,1654784,430.4938218990509,0.0,0.0,0.0,events/second
1773149942,1654784,427.1592936509982,0.0,0.0,0.0,events/second
1773149972,1654784,423.87570491357303,0.0,0.0,0.0,events/second
1773150002,1654784,420.642449802028,0.0,0.0,0.0,events/second
1773150032,1654784,417.4577949197201,0.0,0.0,0.0,events/second
1773150062,1654784,414.3209229930265,0.0,0.0,0.0,events/second
1773150092,1654784,411.23152231333245,0.0,0.0,0.0,events/second
1773150122,1654784,408.1877436987304,0.0,0.0,0.0,events/second
1773150152,1654784,405.1889173503354,0.0,0.0,0.0,events/second
1773150182,1654784,402.23374543956334,0.0,0.0,0.0,events/second
1773150212,1654784,399.3209850298613,0.0,0.0,0.0,events/second
1773150242,1654784,396.449829439034,0.0,0.0,0.0,events/second
1773150272,1654784,393.62049340760296,0.0,0.0,0.0,events/second
1773150302,1654784,390.8311831358832,0.0,0.0,0.0,events/second
1773150333,1654784,388.08003203246557,0.0,0.0,0.0,events/second
1773150363,1654784,385.36847617706997,0.0,0.0,0.0,events/second
1773150393,1654784,382.69399125461206,0.0,0.0,0.0,events/second
1773150423,1654784,380.0557957651412,0.0,0.0,0.0,events/second
1773150453,1654784,377.45473625701817,0.0,0.0,0.0,events/second
1773150483,1654784,374.88872434498387,0.0,0.0,0.0,events/second
1773150513,1654784,372.35748148047867,0.0,0.0,0.0,events/second
1773150543,1654784,369.8603002156766,0.0,0.0,0.0,events/second
1773150573,1654784,367.396002314265,0.0,0.0,0.0,events/second
1773150603,1654784,364.9648218543824,0.0,0.0,0.0,events/second
1773150633,1654784,362.5650798379572,0.0,0.0,0.0,events/second
1773150663,1654784,360.19705015595935,0.0,0.0,0.0,events/second
1773150693,1654784,357.8594639855383,0.0,0.0,0.0,events/second
1773150723,1654784,355.55193965295695,0.0,0.0,0.0,events/second
1773150753,1654784,353.27355639832456,0.0,0.0,0.0,events/second
1773150783,1654784,351.02481018280264,0.0,0.0,0.0,events/second
1773150813,1654784,348.8045504740012,0.0,0.0,0.0,events/second
