t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,48,1.6088569883235562,0.0,0.0,0.0,events/second
1773145560,48,0.801239295513955,0.0,0.0,0.0,events/second
1773145590,48,0.5337748576615948,0.0,0.0,0.0,events/second
1773145620,48,0.40021080470470716,0.0,0.0,0.0,events/second
1773145650,48,0.3200894669265428,0.0,0.0,0.0,events/second
1773145680,48,0.26668637879035495,0.0,0.0,0.0,events/second
1773145710,48,0.22857367011722018,0.0,0.0,0.0,events/second
1773145740,48,0.19999294374896218,0.0,0.0,0.0,events/second
1773145770,48,0.17775741250604343,0.0,0.0,0.0,events/second
1773145800,48,0.15997590336292944,0.0,0.0,0.0,events/second
1773145830,48,0.14541775529124862,0.0,0.0,0.0,events/second
1773145860,48,0.13329769038254918,0.0,0.0,0.0,events/second
1773145890,48,0.1230438583211688,0.0,0.0,0.0,events/second
1773145920,48,0.11425372261770618,0.0,0.0,0.0,events/second
1773145950,48,0.10663616462401608,0.0,0.0,0.0,events/second
1773145980,48,0.09997140659483326,0.0,0.0,0.0,events/second
1773146070,124,82.07010454804721,0.0,0.0,0.0,events/second
1773146100,124,3.7953999428247487,0.0,0.0,0.0,events/second
1773146131,124,1.9783549524824826,0.0,0.0,0.0,events/second
1773146161,124,1.3378143468034818,0.0,0.0,0.0,events/second
1773146191,124,1.0106066147133692,0.0,0.0,0.0,events/second
1773146221,124,0.8119995634821314,0.0,0.0,0.0,events/second
1773146251,124,0.6786451862009086,0.0,0.0,0.0,events/second
1773146281,124,0.582911650775178,0.0,0.0,0.0,events/second
1773146311,124,0.5108500395687962,0.0,0.0,0.0,events/second
1773146341,124,0.4546407352775846,0.0,0.0,0.0,events/second
1773146371,124,0.4095751062892818,0.0,0.0,0.0,events/second
1773146401,124,0.3726352266875209,0.0,0.0,0.0,events/second
1773146431,124,0.34181225536703624,0.0,0.0,0.0,events/second
1773146461,124,0.3156973509460519,0.0,0.0,0.0,events/second
1773146491,124,0.2932905046696735,0.0,0.0,0.0,events/second
1773146521,124,0.2738512780316708,0.0,0.0,0.0,events/second
1773146551,124,0.25682933066033153,0.0,0.0,0.0,events/second
1773146581,124,0.24180070091131872,0.0,0.0,0.0,events/second
1773146611,124,0.22843269758346554,0.0,0.0,0.0,events/second
1773146641,124,0.2164654893056682,0.0,0.0,0.0,events/second
1773146671,124,0.20568943458599626,0.0,0.0,0.0,events/second
1773146701,124,0.19593489310723317,0.0,0.0,0.0,events/second
1773146731,124,0.1870650771559392,0.0,0.0,0.0,events/second
1773146761,124,0.1789627575987299,0.0,0.0,0.0,events/second
1773146791,124,0.17153317500678336,0.0,0.0,0.0,events/second
1773146821,124,0.16469664075877735,0.0,0.0,0.0,events/second
1773146851,124,0.15838463182922402,0.0,0.0,0.0,events/second
1773146881,124,0.15253894510649588,0.0,0.0,0.0,events/second
1773146911,124,0.14710898467493944,0.0,0.0,0.0,events/second
1773146941,124,0.14205252298305546,0.0,0.0,0.0,events/second
1773146971,124,0.1373317929784484,0.0,0.0,0.0,events/second
1773147001,124,0.13291456151099632,0.0,0.0,0.0,events/second
1773147031,124,0.1287727141132463,0.0,0.0,0.0,events/second
1773147061,124,0.12487958953877185,0.0,0.0,0.0,events/second
1773147091,124,0.12121672359664672,0.0,0.0,0.0,events/second
1773147121,124,0.11776213203492807,0.0,0.0,0.0,events/second
1773147151,124,0.11449928157490412,0.0,0.0,0.0,events/second
1773147181,124,0.11141258723282686,0.0,0.0,0.0,events/second
1773147211,124,0.10848796470862991,0.0,0.0,0.0,events/second
1773147241,124,0.10571290656373328,0.0,0.0,0.0,events/second
1773147271,124,0.1030762619349087,0.0,0.0,0.0,events/second
1773147301,124,0.1005677652293936,0.0,0.0,0.0,events/second
1773147331,124,0.09817830508825694,0.0,0.0,0.0,events/second
1773147361,124,0.09589944757804572,0.0,0.0,0.0,events/second
1773147392,124,0.09372440616290895,0.0,0.0,0.0,events/second
1773147422,124,0.09164521045533877,0.0,0.0,0.0,events/second
1773147452,124,0.08965682845619559,0.0,0.0,0.0,events/second
1773147482,124,0.08775291282574574,0.0,0.0,0.0,events/second
1773147512,124,0.08592825965922968,0.0,0.0,0.0,events/second
1773147542,124,0.08417704286045037,0.0,0.0,0.0,events/second
1773147572,124,0.08249628490604853,0.0,0.0,0.0,events/second
1773147602,124,0.08088145057775763,0.0,0.0,0.0,events/second
1773147632,124,0.07932878723698775,0.0,0.0,0.0,events/second
1773147662,124,0.07783460834951186,0.0,0.0,0.0,events/second
1773147692,124,0.07639582575736517,0.0,0.0,0.0,events/second
1773147722,124,0.07500900498378842,0.0,0.0,0.0,events/second
1773147752,124,0.07367158267295161,0.0,0.0,0.0,events/second
1773147782,124,0.07238105046183432,0.0,0.0,0.0,events/second
1773147812,124,0.07113508201625611,0.0,0.0,0.0,events/second
1773147842,124,0.06993105338973515,0.0,0.0,0.0,events/second
1773147872,124,0.0687672452137139,0.0,0.0,0.0,events/second
1773147902,124,0.06764161423672867,0.0,0.0,0.0,events/second
1773147932,124,0.06655237585297843,0.0,0.0,0.0,events/second
1773147962,124,0.06549762139506322,0.0,0.0,0.0,events/second
1773147992,124,0.0644757058040004,0.0,0.0,0.0,events/second
1773148022,124,0.06348524950288578,0.0,0.0,0.0,events/second
1773148052,124,0.06252452413843866,0.0,0.0,0.0,events/second
1773148082,124,0.061592516598244426,0.0,0.0,0.0,events/second
1773148112,124,0.060687645722241966,0.0,0.0,0.0,events/second
1773148142,124,0.059809250602079776,0.0,0.0,0.0,events/second
1773148172,124,0.05895563198435421,0.0,0.0,0.0,events/second
1773148202,124,0.05812616712984134,0.0,0.0,0.0,events/second
1773148232,124,0.0573198350232564,0.0,0.0,0.0,events/second
1773148262,124,0.05653541466227744,0.0,0.0,0.0,events/second
1773148292,124,0.05577245490755529,0.0,0.0,0.0,events/second
1773148322,124,0.05502963365099046,0.0,0.0,0.0,events/second
1773148352,124,0.05430617672922771,0.0,0.0,0.0,events/second
1773148382,124,0.05360184111904738,0.0,0.0,0.0,events/second
1773148412,124,0.05291539573484139,0.0,0.0,0.0,events/second
1773148442,124,0.05224640283389032,0.0,0.0,0.0,events/second
1773148472,124,0.05159394446021358,0.0,0.0,0.0,events/second
1773148502,124,0.05095749125869616,0.0,0.0,0.0,events/second
1773148532,124,0.050336822791019975,0.0,0.0,0.0,events/second
1773148562,124,0.04973100819315649,0.0,0.0,0.0,events/second
1773148592,124,0.049139466492495266,0.0,0.0,0.0,events/second
1773148622,124,0.048561834562798396,0.0,0.0,0.0,events/second
1773148652,124,0.047997810014760674,0.0,0.0,0.0,events/second
1773148682,124,0.04744677037095736,0.0,0.0,0.0,events/second
1773148712,124,0.04690806978371698,0.0,0.0,0.0,events/second
1773148742,124,0.04638162576843598,0.0,0.0,0.0,events/second
1773148772,124,0.045866863201855124,0.0,0.0,0.0,events/second
1773148802,124,0.04536332415643114,0.0,0.0,0.0,events/second
1773148832,124,0.04487066451958477,0.0,0.0,0.0,events/second
1773148862,124,0.04438854463920679,0.0,0.0,0.0,events/second
1773148892,124,0.043916675920642224,0.0,0.0,0.0,events/second
1773148922,124,0.043454849482557734,0.0,0.0,0.0,events/second
1773148952,124,0.04300265462305561,0.0,0.0,0.0,events/second
1773148982,124,0.04255967343278325,0.0,0.0,0.0,events/second
1773149012,124,0.04212574535613899,0.0,0.0,0.0,events/second
1773149042,124,0.04170048852748153,0.0,0.0,0.0,events/second
1773149072,124,0.04128389155902473,0.0,0.0,0.0,events/second
1773149102,124,0.040875354626191525,0.0,0.0,0.0,events/second
1773149132,124,0.0404750240280429,0.0,0.0,0.0,events/second
1773149162,124,0.04008245630250551,0.0,0.0,0.0,events/second
1773149192,124,0.039697367680930934,0.0,0.0,0.0,events/second
1773149222,124,0.03931955318671965,0.0,0.0,0.0,events/second
