t,value
1773145530,19
1773145560,19
1773145590,19
1773145620,19
1773145650,19
1773145680,19
1773145710,19
1773145740,19
1773145770,19
1773145800,19
1773145830,19
1773145860,19
1773145890,19
1773145920,19
1773145950,19
1773145980,19
1773146070,0
1773146100,15
1773146131,15
1773146161,15
1773146191,15
1773146221,15
1773146251,15
1773146281,15
1773146311,15
1773146341,15
1773146371,15
1773146401,15
1773146431,15
1773146461,15
1773146491,15
1773146521,15
1773146551,15
1773146581,15
1773146611,15
1773146641,15
1773146671,16
1773146701,16
1773146731,16
1773146761,16
1773146791,16
1773146821,16
1773146851,16
1773146881,16
1773146911,16
1773146941,16
1773146971,16
1773147001,16
1773147031,16
1773147061,16
1773147091,16
1773147121,16
1773147151,16
1773147181,16
1773147211,16
1773147241,16
1773147271,16
1773147301,16
1773147331,16
1773147361,16
1773147392,16
1773147422,16
1773147452,16
1773147482,16
1773147512,16
1773147542,16
1773147572,16
1773147602,16
1773147632,16
1773147662,16
1773147692,16
1773147722,16
1773147752,16
1773147782,16
1773147812,16
1773147842,16
1773147872,16
1773147902,16
1773147932,16
1773147962,16
1773147992,16
1773148022,16
1773148052,16
1773148082,16
1773148112,16
1773148142,16
1773148172,16
1773148202,16
1773148232,16
1773148262,16
1773148292,16
1773148322,16
1773148352,16
1773148382,16
1773148412,16
1773148442,16
1773148472,16
1773148502,16
1773148532,16
1773148562,16
1773148592,16
1773148622,16
1773148652,16
1773148682,16
1773148712,16
1773148742,16
1773148772,16
1773148802,16
1773148832,16
1773148862,16
1773148892,16
1773148922,16
1773148952,16
1773148982,16
1773149012,16
1773149042,16
1773149072,16
1773149102,16
1773149132,16
1773149162,16
1773149192,16
1773149222,16
1773149252,16
1773149282,16
1773149312,16
1773149342,16
1773149372,16
1773149402,16
1773149432,16
1773149462,16
1773149492,16
1773149522,16
1773149552,16
1773149582,16
1773149612,16
1773149642,16
1773149672,16
1773149702,16
1773149732,16
1773149762,16
1773149792,16
1773149822,16
1773149852,16
1773149882,16
1773149912,16
1773149942,16
1773149972,16
1773150002,16
1773150032,16
1773150062,16
1773150092,16
1773150122,16
1773150152,16
1773150182,16
1773150212,16
1773150242,16
1773150272,16
1773150302,16
1773150333,16
1773150363,16
1773150393,16
1773150423,16
1773150453,16
1773150483,16
1773150513,16
1773150543,16
1773150573,16
1773150603,16
1773150633,16
1773150663,16
1773150693,16
1773150723,16
1773150753,16
1773150783,16
1773150813,16
1773150843,16
1773150873,16
1773150903,16
1773150933,16
1773150963,16
1773150993,16
1773151023,16
1773151053,16
1773151083,16
1773151113,16
1773151143,16
1773151173,16
1773151203,16
1773151233,16
1773151263,16
1773151293,16
1773151323,16
1773151353,16
1773151383,16
1773151413,16
1773151443,16
1773151473,16
1773151503,16
1773151533,16
1773151563,16
1773151593,16
1773151623,16
1773151653,16
1773151683,16
1773151713,16
1773151743,16
1773151773,16
1773151803,16
1773151833,16
1773151863,16
1773151893,16
1773151923,16
1773151953,16
1773151983,16
1773152013,16
1773152043,16
1773152073,16
1773152103,16
1773152133,16
1773152163,16
1773152193,16
1773152223,16
1773152253,16
1773152283,16
1773152313,16
1773152343,16
1773152373,16
1773152403,16
1773152433,16
1773152463,16
1773152493,16
1773152523,16
1773152553,16
1773152583,16
1773152613,16
1773152643,16
1773152673,16
1773152703,16
1773152733,16
1773152763,16
1773152793,16
1773152823,16
1773152853,16
1773152883,16
1773152913,16
1773206880,19
1773206912,19
1773206942,19
1773206972,19
1773207002,19
1773207032,19
1773207062,19
1773207092,19
1773207122,19
1773207152,19
1773207182,19
1773207212,19
1773207242,19
1773207272,19
1773207302,19
1773207332,19
1773207362,19
1773207392,19
1773207422,19
1773207452,20
1773207482,20
1773207512,20
1773207542,20
1773207572,20
1773207602,20
1773207632,20
1773207662,20
1773207693,20
1773207723,20
1773207753,20
1773207783,20
1773207813,20
1773207843,20
1773207873,20
1773207903,20
1773207933,20
1773207963,20
1773207993,20
1773208023,20
1773208053,20
1773208083,20
1773208113,20
1773208143,20
1773208173,20
1773208203,20
1773211140,0
1773211173,19
1773211203,19
1773211233,19
1773211263,19
1773211293,19
1773211323,19
1773211353,19
1773211383,19
1773211413,19
1773211443,19
1773211473,19
1773211503,19
1773211533,19
1773211563,19
1773211593,19
1773211623,19
1773211653,19
1773211683,19
1773211713,19
1773211743,20
1773211773,20
1773211803,20
1773211833,20
1773211863,20
1773211893,20
1773211923,20
1773211953,20
1773211983,20
1773212013,20
1773212043,20
1773212073,20
1773212103,20
1773212133,20
1773212163,20
1773212193,20
1773212223,20
1773212253,20
1773212283,20
1773212313,20
1773212343,20
1773212373,20
1773212403,20
1773212433,20
1773212670,0
1773212820,0
1773212851,19
1773212881,19
1773212911,19
1773212941,19
1773212971,19
1773213001,19
1773213031,19
1773213061,19
1773213091,19
1773213121,19
1773213151,19
1773213181,19
1773213211,19
1773213241,19
1773213271,19
1773213301,19
1773213331,19
1773213361,19
1773213391,19
1773213421,20
1773213451,20
1773213481,20
1773213511,20
1773213541,20
1773213571,20
1773213601,20
1773213631,20
1773213661,20
1773213691,20
1773213721,20
1773213751,20
1773213781,20
1773213811,20
1773213841,20
1773213871,20
1773213901,20
1773213931,20
1773213961,20
1773213991,20
1773214021,20
1773214051,20
1773214081,20
1773214111,20
1773214141,20
1773214171,20
1773214201,20
1773214231,20
1773214261,20
1773214291,20
1773214321,20
1773214352,20
1773214382,20
1773214412,20
1773214442,20
1773214472,20
1773214502,20
1773214532,20
1773214562,20
1773214592,20
1773214622,20
1773214652,20
1773214682,20
1773214712,20
1773214742,20
1773214772,20
1773214802,20
1773214832,20
1773214862,20
1773214892,20
1773214922,20
1773214952,20
1773214982,20
1773215012,20
1773215042,20
1773215072,20
1773215102,20
1773215132,20
1773215162,20
1773215192,20
1773215222,20
1773215252,20
1773215282,20
1773215312,20
1773215342,20
1773215372,20
1773215402,20
1773215432,20
1773215462,20
1773215492,20
1773215522,20
1773215552,20
1773215582,20
1773215612,20
1773215642,20
1773215672,20
1773215702,20
1773215732,20
1773215762,20
1773215792,20
1773215822,20
1773215852,20
1773215882,20
1773215912,20
1773215942,20
1773215972,20
1773216002,20
1773216032,20
1773216062,20
1773216092,20
1773216122,20
1773216152,20
1773216182,20
1773216212,20
1773216242,20
1773216272,20
1773216302,20
1773216332,20
1773216362,20
1773216392,20
1773216422,20
1773216452,20
1773216482,20
1773216512,20
1773216542,20
1773216572,20
1773216602,20
1773216632,20
1773216662,20
1773216692,20
1773243090,0
1773243124,0
1773243154,15
1773243184,15
1773243214,15
1773243244,15
1773243274,15
1773243304,15
1773243334,15
1773243364,15
1773243394,15
1773243427,15
1773243457,15
1773243487,15
1773243517,15
1773243547,15
