t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,42,1.4073113247779772,0.0,0.0,0.0,events/second
1773145560,42,0.7010148580416288,0.0,0.0,0.0,events/second
1773145590,42,0.4670226993458565,0.0,0.0,0.0,events/second
1773145620,42,0.3501673598633915,0.0,0.0,0.0,events/second
1773145650,42,0.2800673802907546,0.0,0.0,0.0,events/second
1773145680,42,0.2333431130024694,0.0,0.0,0.0,events/second
1773145710,42,0.19999646701479196,0.0,0.0,0.0,events/second
1773145740,42,0.1749896273440145,0.0,0.0,0.0,events/second
1773145770,42,0.15553444204307496,0.0,0.0,0.0,events/second
1773145800,43,0.14330898394271993,0.0,0.0,0.0,events/second
1773145830,43,0.1302675388331252,0.0,0.0,0.0,events/second
1773145860,43,0.11941061067518535,0.0,0.0,0.0,events/second
1773145890,43,0.1102251789411576,0.0,0.0,0.0,events/second
1773145920,43,0.10235088325108573,0.0,0.0,0.0,events/second
1773145950,43,0.09552701798402881,0.0,0.0,0.0,events/second
1773145980,43,0.08955662704339296,0.0,0.0,0.0,events/second
1773146070,0,0.0,0.0,0.0,0.0,events/second
1773146100,30,0.9180741786860199,0.0,0.0,0.0,events/second
1773146131,30,0.4785893185478204,0.0,0.0,0.0,events/second
1773146161,30,0.3236440986047856,0.0,0.0,0.0,events/second
1773146191,30,0.24448941935975532,0.0,0.0,0.0,events/second
1773146221,30,0.19644394512002344,0.0,0.0,0.0,events/second
1773146251,30,0.16418307979923105,0.0,0.0,0.0,events/second
1773146281,30,0.1410231168082762,0.0,0.0,0.0,events/second
1773146311,30,0.12358976523443115,0.0,0.0,0.0,events/second
1773146341,30,0.10999135778103471,0.0,0.0,0.0,events/second
1773146371,31,0.10239178878628415,0.0,0.0,0.0,events/second
1773146401,31,0.09315715447071045,0.0,0.0,0.0,events/second
1773146431,31,0.08545168098739948,0.0,0.0,0.0,events/second
1773146461,31,0.0789231564849822,0.0,0.0,0.0,events/second
1773146491,31,0.07332160249977279,0.0,0.0,0.0,events/second
1773146521,31,0.06846193354074719,0.0,0.0,0.0,events/second
1773146551,31,0.06420654870592592,0.0,0.0,0.0,events/second
1773146581,31,0.060449481027604245,0.0,0.0,0.0,events/second
1773146611,31,0.05710755691447764,0.0,0.0,0.0,events/second
1773146641,31,0.054115808665323784,0.0,0.0,0.0,events/second
1773146671,33,0.054739393783763156,0.0,0.0,0.0,events/second
1773146701,33,0.052143477732294774,0.0,0.0,0.0,events/second
1773146731,33,0.049783001943915495,0.0,0.0,0.0,events/second
1773146761,33,0.047626778641044934,0.0,0.0,0.0,events/second
1773146791,33,0.04564958244037828,0.0,0.0,0.0,events/second
1773146821,33,0.043830215018806254,0.0,0.0,0.0,events/second
1773146851,33,0.04215043191030278,0.0,0.0,0.0,events/second
1773146881,33,0.04059474904787996,0.0,0.0,0.0,events/second
1773146911,33,0.03914969604466055,0.0,0.0,0.0,events/second
1773146941,33,0.03780404592570815,0.0,0.0,0.0,events/second
1773146971,33,0.03654773708556336,0.0,0.0,0.0,events/second
1773147001,33,0.0353722013957614,0.0,0.0,0.0,events/second
1773147031,33,0.03426994804451564,0.0,0.0,0.0,events/second
1773147061,33,0.033233887216776996,0.0,0.0,0.0,events/second
1773147091,33,0.03225910392779262,0.0,0.0,0.0,events/second
1773147121,33,0.03133974705194797,0.0,0.0,0.0,events/second
1773147151,33,0.03047141817476273,0.0,0.0,0.0,events/second
1773147181,33,0.029649967865023403,0.0,0.0,0.0,events/second
1773147211,33,0.02887164908711499,0.0,0.0,0.0,events/second
1773147241,33,0.028133132957054642,0.0,0.0,0.0,events/second
1773147271,33,0.027431452163681803,0.0,0.0,0.0,events/second
1773147301,33,0.02676387363098251,0.0,0.0,0.0,events/second
