t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,2,0.06701036506275236,0.0,0.0,0.0,events/second
1773145560,2,0.03338139999007838,0.0,0.0,0.0,events/second
1773145590,2,0.022239069899115775,0.0,0.0,0.0,events/second
1773145620,2,0.016674572998826926,0.0,0.0,0.0,events/second
1773145650,2,0.01333650397156954,0.0,0.0,0.0,events/second
1773145680,2,0.011111552727428094,0.0,0.0,0.0,events/second
1773145710,2,0.009523623223599035,0.0,0.0,0.0,events/second
1773145740,2,0.008332824725488172,0.0,0.0,0.0,events/second
1773145770,2,0.0074063915851411005,0.0,0.0,0.0,events/second
1773145800,2,0.0066655253998513875,0.0,0.0,0.0,events/second
1773145830,2,0.006058944582330825,0.0,0.0,0.0,events/second
1773145860,2,0.005553975907612852,0.0,0.0,0.0,events/second
1773145890,2,0.0051267475807224225,0.0,0.0,0.0,events/second
1773145920,2,0.0047605015224724155,0.0,0.0,0.0,events/second
1773145950,2,0.004443113358771971,0.0,0.0,0.0,events/second
1773145980,2,0.004165420990577066,0.0,0.0,0.0,events/second
1773146070,0,0.0,0.0,0.0,0.0,events/second
1773146100,2,0.06120417076066465,0.0,0.0,0.0,events/second
1773146131,2,0.03190575560496226,0.0,0.0,0.0,events/second
1773146161,2,0.021576182973350254,0.0,0.0,0.0,events/second
1773146191,2,0.016299234849126723,0.0,0.0,0.0,events/second
1773146221,2,0.013096230523689491,0.0,0.0,0.0,events/second
1773146251,2,0.010945515776600192,0.0,0.0,0.0,events/second
1773146281,2,0.009401524070349308,0.0,0.0,0.0,events/second
1773146311,2,0.008239304780513679,0.0,0.0,0.0,events/second
1773146341,2,0.007332746896655849,0.0,0.0,0.0,events/second
1773146371,2,0.006605913565931348,0.0,0.0,0.0,events/second
1773146401,2,0.006010131967015896,0.0,0.0,0.0,events/second
1773146431,2,0.0055130055721193255,0.0,0.0,0.0,events/second
1773146461,2,0.00509181160711018,0.0,0.0,0.0,events/second
1773146491,2,0.004730421466612123,0.0,0.0,0.0,events/second
1773146521,2,0.004416895249940064,0.0,0.0,0.0,events/second
1773146551,2,0.004142354681329476,0.0,0.0,0.0,events/second
1773146581,2,0.0038999636067681104,0.0,0.0,0.0,events/second
1773146611,2,0.003684355917884237,0.0,0.0,0.0,events/second
1773146641,2,0.0034913400176379812,0.0,0.0,0.0,events/second
1773146671,2,0.003317536816536504,0.0,0.0,0.0,events/second
1773146701,2,0.003160208861155269,0.0,0.0,0.0,events/second
1773146731,2,0.003017149724479069,0.0,0.0,0.0,events/second
1773146761,2,0.00288646975811639,0.0,0.0,0.0,events/second
1773146791,2,0.0027666397281261874,0.0,0.0,0.0,events/second
1773146821,2,0.002656375296760868,0.0,0.0,0.0,events/second
1773146851,2,0.0025545703508853086,0.0,0.0,0.0,events/second
1773146881,2,0.0024602866761561596,0.0,0.0,0.0,events/second
1773146911,2,0.0023727077007532466,0.0,0.0,0.0,events/second
1773146941,2,0.002291153287758549,0.0,0.0,0.0,events/second
1773146971,2,0.0022150133711286734,0.0,0.0,0.0,events/second
1773147001,2,0.002143768912505537,0.0,0.0,0.0,events/second
1773147031,2,0.002076965686041881,0.0,0.0,0.0,events/second
1773147061,2,0.002014174191131077,0.0,0.0,0.0,events/second
1773147091,2,0.0019550964835906306,0.0,0.0,0.0,events/second
1773147121,2,0.001899377911131058,0.0,0.0,0.0,events/second
1773147151,2,0.0018467519736036354,0.0,0.0,0.0,events/second
1773147181,2,0.0017969671376438796,0.0,0.0,0.0,events/second
1773147211,2,0.0017497963361518983,0.0,0.0,0.0,events/second
1773147241,2,0.0017050378091102623,0.0,0.0,0.0,events/second
1773147271,2,0.0016625117281619706,0.0,0.0,0.0,events/second
1773147301,2,0.001622052419805764,0.0,0.0,0.0,events/second
1773147331,2,0.0015835131343020694,0.0,0.0,0.0,events/second
1773147361,2,0.0015467577227099227,0.0,0.0,0.0,events/second
1773147392,2,0.0015116767926267336,0.0,0.0,0.0,events/second
1773147422,2,0.0014781417296258798,0.0,0.0,0.0,events/second
1773147452,2,0.0014460712828963766,0.0,0.0,0.0,events/second
1773147482,2,0.0014153632973045705,0.0,0.0,0.0,events/second
1773147512,2,0.0013859332695422065,0.0,0.0,0.0,events/second
1773147542,2,0.0013576883474020814,0.0,0.0,0.0,events/second
1773147572,2,0.0013305797099778145,0.0,0.0,0.0,events/second
1773147602,2,0.0013045341686402678,0.0,0.0,0.0,events/second
1773147632,2,0.0012794914005714675,0.0,0.0,0.0,events/second
1773147662,2,0.0012553919976844245,0.0,0.0,0.0,events/second
1773147692,2,0.0012321859883611605,0.0,0.0,0.0,events/second
1773147722,2,0.0012098180486535973,0.0,0.0,0.0,events/second
1773147752,2,0.0011882469154870163,0.0,0.0,0.0,events/second
1773147782,2,0.0011674319898412168,0.0,0.0,0.0,events/second
1773147812,2,0.0011473358813679133,0.0,0.0,0.0,events/second
1773147842,2,0.0011279162486092088,0.0,0.0,0.0,events/second
1773147872,2,0.0011091452296328023,0.0,0.0,0.0,events/second
1773147902,2,0.0010909900671871413,0.0,0.0,0.0,events/second
1773147932,2,0.0010734217973423148,0.0,0.0,0.0,events/second
