t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,40,1.3401733727345198,0.0,0.0,0.0,events/second
1773145560,40,0.667625599569515,0.0,0.0,0.0,events/second
1773145590,40,0.4447804211964064,0.0,0.0,0.0,events/second
1773145620,40,0.3334908193704187,0.0,0.0,0.0,events/second
1773145650,40,0.26672973562393426,0.0,0.0,0.0,events/second
1773145680,40,0.22223083045690156,0.0,0.0,0.0,events/second
1773145710,40,0.19047230429697626,0.0,0.0,0.0,events/second
1773145740,40,0.16665635362430367,0.0,0.0,0.0,events/second
1773145770,40,0.14812774042476345,0.0,0.0,0.0,events/second
1773145800,41,0.13664319109315048,0.0,0.0,0.0,events/second
1773145830,41,0.12420827528491145,0.0,0.0,0.0,events/second
1773145860,41,0.11385645115432823,0.0,0.0,0.0,events/second
1773145890,41,0.10509828019845317,0.0,0.0,0.0,events/second
1773145920,41,0.09759023828363317,0.0,0.0,0.0,events/second
1773145950,41,0.09108378836302156,0.0,0.0,0.0,events/second
1773145980,41,0.08539109765449975,0.0,0.0,0.0,events/second
1773146070,0,0.0,0.0,0.0,0.0,events/second
1773146100,30,0.918056678432379,0.0,0.0,0.0,events/second
1773146131,30,0.4785844368268727,0.0,0.0,0.0,events/second
1773146161,30,0.3236420613175852,0.0,0.0,0.0,events/second
1773146191,30,0.24448809554823617,0.0,0.0,0.0,events/second
1773146221,30,0.19644321242304466,0.0,0.0,0.0,events/second
1773146251,30,0.16418256484979402,0.0,0.0,0.0,events/second
1773146281,30,0.1410227290027129,0.0,0.0,0.0,events/second
1773146311,30,0.12358947456271052,0.0,0.0,0.0,events/second
1773146341,30,0.1099911257399895,0.0,0.0,0.0,events/second
1773146371,31,0.102391595609049,0.0,0.0,0.0,events/second
1773146401,31,0.09315699053595444,0.0,0.0,0.0,events/second
1773146431,31,0.08545154114274658,0.0,0.0,0.0,events/second
1773146461,31,0.0789230415123645,0.0,0.0,0.0,events/second
1773146491,31,0.07332149709451517,0.0,0.0,0.0,events/second
1773146521,31,0.0684618476168952,0.0,0.0,0.0,events/second
1773146551,31,0.06420647214755745,0.0,0.0,0.0,events/second
1773146581,31,0.06044941322570649,0.0,0.0,0.0,events/second
1773146611,31,0.057107496570469624,0.0,0.0,0.0,events/second
1773146641,31,0.054115751096335235,0.0,0.0,0.0,events/second
1773146671,33,0.05473933919483516,0.0,0.0,0.0,events/second
1773146701,33,0.05214343036506777,0.0,0.0,0.0,events/second
1773146731,33,0.0497829545023856,0.0,0.0,0.0,events/second
1773146761,33,0.04762673722036483,0.0,0.0,0.0,events/second
1773146791,33,0.04564954231616709,0.0,0.0,0.0,events/second
1773146821,33,0.04383018100975801,0.0,0.0,0.0,events/second
1773146851,33,0.04215040041500927,0.0,0.0,0.0,events/second
1773146881,33,0.04059472066349112,0.0,0.0,0.0,events/second
1773146911,33,0.0391496674853956,0.0,0.0,0.0,events/second
1773146941,33,0.03780402092000238,0.0,0.0,0.0,events/second
1773146971,33,0.03654771230158569,0.0,0.0,0.0,events/second
1773147001,33,0.03537217986009528,0.0,0.0,0.0,events/second
1773147031,33,0.034269926662797254,0.0,0.0,0.0,events/second
1773147061,33,0.033233867576925834,0.0,0.0,0.0,events/second
1773147091,33,0.03225908597501705,0.0,0.0,0.0,events/second
1773147121,33,0.03133972975368879,0.0,0.0,0.0,events/second
1773147151,33,0.030471402229767994,0.0,0.0,0.0,events/second
1773147181,33,0.029649952693540906,0.0,0.0,0.0,events/second
1773147211,33,0.028871634754733578,0.0,0.0,0.0,events/second
1773147241,33,0.028133119288559476,0.0,0.0,0.0,events/second
1773147271,33,0.027431439175348262,0.0,0.0,0.0,events/second
1773147301,33,0.026763860563850436,0.0,0.0,0.0,events/second
1773147331,33,0.026127962613754826,0.0,0.0,0.0,events/second
1773147361,33,0.02552149843965445,0.0,0.0,0.0,events/second
1773147392,33,0.024942663375686007,0.0,0.0,0.0,events/second
1773147422,33,0.024389335113992085,0.0,0.0,0.0,events/second
1773147452,33,0.02386017272779021,0.0,0.0,0.0,events/second
1773147482,33,0.02335349123071999,0.0,0.0,0.0,events/second
1773147512,33,0.022867894470757086,0.0,0.0,0.0,events/second
1773147542,33,0.0224018546267897,0.0,0.0,0.0,events/second
1773147572,33,0.021954561993978446,0.0,0.0,0.0,events/second
1773147602,33,0.02152481102793099,0.0,0.0,0.0,events/second
1773147632,33,0.021111605401464426,0.0,0.0,0.0,events/second
1773147662,33,0.020713965499200328,0.0,0.0,0.0,events/second
1773147692,33,0.02033106642930449,0.0,0.0,0.0,events/second
1773147722,33,0.019961995394991237,0.0,0.0,0.0,events/second
1773147752,33,0.019606071849235424,0.0,0.0,0.0,events/second
1773147782,33,0.019262625559987354,0.0,0.0,0.0,events/second
1773147812,33,0.018931039862942346,0.0,0.0,0.0,events/second
1773147842,33,0.018610616105787275,0.0,0.0,0.0,events/second
1773147872,33,0.018300894231703512,0.0,0.0,0.0,events/second
1773147902,33,0.01800133424874831,0.0,0.0,0.0,events/second
1773147932,33,0.017711457795837215,0.0,0.0,0.0,events/second
1773147962,33,0.017430759202442275,0.0,0.0,0.0,events/second
1773147992,33,0.017158799753625217,0.0,0.0,0.0,events/second
1773148022,33,0.016895212305302592,0.0,0.0,0.0,events/second
1773148052,33,0.016639536398393655,0.0,0.0,0.0,events/second
1773148082,33,0.016391504525818404,0.0,0.0,0.0,events/second
1773148112,33,0.016150693527965897,0.0,0.0,0.0,events/second
1773148142,33,0.01591692831174286,0.0,0.0,0.0,events/second
1773148172,33,0.01568975684080032,0.0,0.0,0.0,events/second
1773148202,33,0.015469014010628933,0.0,0.0,0.0,events/second
1773148232,33,0.01525442690630312,0.0,0.0,0.0,events/second
1773148262,33,0.015045670618875219,0.0,0.0,0.0,events/second
1773148292,33,0.014842626469855107,0.0,0.0,0.0,events/second
1773148322,33,0.014644937711578663,0.0,0.0,0.0,events/second
1773148352,33,0.014452409519541236,0.0,0.0,0.0,events/second
1773148382,33,0.014264966313367641,0.0,0.0,0.0,events/second
1773148412,33,0.014082284184648353,0.0,0.0,0.0,events/second
1773148442,33,0.013904246904393736,0.0,0.0,0.0,events/second
1773148472,33,0.013730609795897224,0.0,0.0,0.0,events/second
1773148502,33,0.01356123088127448,0.0,0.0,0.0,events/second
1773148532,33,0.013396054802341633,0.0,0.0,0.0,events/second
1773148562,33,0.013234830892196127,0.0,0.0,0.0,events/second
1773148592,33,0.013077405201132892,0.0,0.0,0.0,events/second
1773148622,33,0.01292368125096899,0.0,0.0,0.0,events/second
1773148652,33,0.012773578947718437,0.0,0.0,0.0,events/second
1773148682,33,0.01262693195849436,0.0,0.0,0.0,events/second
1773148712,33,0.012483568782996815,0.0,0.0,0.0,events/second
1773148742,33,0.012343467515052829,0.0,0.0,0.0,events/second
1773148772,33,0.012206474689913016,0.0,0.0,0.0,events/second
1773148802,33,0.012072468516995071,0.0,0.0,0.0,events/second
1773148832,33,0.011941358516852126,0.0,0.0,0.0,events/second
1773148862,33,0.011813053104147736,0.0,0.0,0.0,events/second
1773148892,33,0.011687475765410278,0.0,0.0,0.0,events/second
1773148922,33,0.011564570970216837,0.0,0.0,0.0,events/second
1773148952,33,0.011444229345876751,0.0,0.0,0.0,events/second
1773148982,33,0.011326339655800457,0.0,0.0,0.0,events/second
1773149012,33,0.011210859216498285,0.0,0.0,0.0,events/second
1773149042,33,0.011097686488623037,0.0,0.0,0.0,events/second
