t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,40,1.340083337571626,0.0,0.0,0.0,events/second
1773145560,40,0.6676208292431196,0.0,0.0,0.0,events/second
1773145590,40,0.44477963729790654,0.0,0.0,0.0,events/second
1773145620,40,0.333490287758181,0.0,0.0,0.0,events/second
1773145650,40,0.2667294661634588,0.0,0.0,0.0,events/second
1773145680,40,0.22223071279352752,0.0,0.0,0.0,events/second
1773145710,40,0.19047220271387405,0.0,0.0,0.0,events/second
1773145740,40,0.166656237666514,0.0,0.0,0.0,events/second
1773145770,40,0.14812761217489284,0.0,0.0,0.0,events/second
1773145800,40,0.1333103791523886,0.0,0.0,0.0,events/second
1773145830,40,0.1211786916831674,0.0,0.0,0.0,events/second
1773145860,40,0.1110794354524543,0.0,0.0,0.0,events/second
1773145890,40,0.10253488614219022,0.0,0.0,0.0,events/second
1773145920,40,0.09520996257568434,0.0,0.0,0.0,events/second
1773145950,40,0.08886221334106605,0.0,0.0,0.0,events/second
1773145980,40,0.08330837185414561,0.0,0.0,0.0,events/second
1773146070,0,0.0,0.0,0.0,0.0,events/second
1773146100,30,0.9180522086559709,0.0,0.0,0.0,events/second
1773146131,30,0.4785838077227528,0.0,0.0,0.0,events/second
1773146161,30,0.3236417519733913,0.0,0.0,0.0,events/second
1773146191,30,0.2444878749807926,0.0,0.0,0.0,events/second
1773146221,30,0.19644311646278473,0.0,0.0,0.0,events/second
1773146251,30,0.16418249629194653,0.0,0.0,0.0,events/second
1773146281,30,0.14102267649996983,0.0,0.0,0.0,events/second
1773146311,30,0.12358943668231376,0.0,0.0,0.0,events/second
1773146341,30,0.10999109267200227,0.0,0.0,0.0,events/second
1773146371,30,0.0990886151219086,0.0,0.0,0.0,events/second
1773146401,30,0.0901519018888319,0.0,0.0,0.0,events/second
1773146431,30,0.08269502219510827,0.0,0.0,0.0,events/second
1773146461,30,0.07637712197488704,0.0,0.0,0.0,events/second
1773146491,30,0.07095627089600239,0.0,0.0,0.0,events/second
1773146521,30,0.06625339019453398,0.0,0.0,0.0,events/second
1773146551,30,0.062135285691557726,0.0,0.0,0.0,events/second
1773146581,30,0.058499423153568125,0.0,0.0,0.0,events/second
1773146611,30,0.055265311473394335,0.0,0.0,0.0,events/second
1773146641,30,0.05237006607317043,0.0,0.0,0.0,events/second
1773146671,32,0.053080562306687507,0.0,0.0,0.0,events/second
1773146701,32,0.05056331884852627,0.0,0.0,0.0,events/second
1773146731,32,0.04827437300847582,0.0,0.0,0.0,events/second
1773146761,32,0.04618349602712674,0.0,0.0,0.0,events/second
1773146791,32,0.04426621522836833,0.0,0.0,0.0,events/second
1773146821,32,0.04250198842265572,0.0,0.0,0.0,events/second
1773146851,32,0.04087311050556965,0.0,0.0,0.0,events/second
1773146881,32,0.039364570359159204,0.0,0.0,0.0,events/second
1773146911,32,0.037963308511675765,0.0,0.0,0.0,events/second
1773146941,32,0.03665844111848953,0.0,0.0,0.0,events/second
1773146971,32,0.03544020132302524,0.0,0.0,0.0,events/second
1773147001,32,0.034300292941673305,0.0,0.0,0.0,events/second
1773147031,32,0.03323144036130776,0.0,0.0,0.0,events/second
1773147061,32,0.03222677761688774,0.0,0.0,0.0,events/second
1773147091,32,0.0312815356339594,0.0,0.0,0.0,events/second
1773147121,32,0.03039003849699343,0.0,0.0,0.0,events/second
1773147151,32,0.029548024429266878,0.0,0.0,0.0,events/second
1773147181,32,0.028751467364380827,0.0,0.0,0.0,events/second
1773147211,32,0.027996735019712123,0.0,0.0,0.0,events/second
1773147241,32,0.02728059878957642,0.0,0.0,0.0,events/second
1773147271,32,0.026600181771128502,0.0,0.0,0.0,events/second
1773147301,32,0.025952832261339605,0.0,0.0,0.0,events/second
1773147331,32,0.025336204317360254,0.0,0.0,0.0,events/second
1773147361,32,0.024748117675995943,0.0,0.0,0.0,events/second
1773147392,32,0.0241868234535674,0.0,0.0,0.0,events/second
1773147422,32,0.02365026275536153,0.0,0.0,0.0,events/second
1773147452,32,0.023137135497612562,0.0,0.0,0.0,events/second
1773147482,32,0.022645808335293387,0.0,0.0,0.0,events/second
1773147512,32,0.02217492458026113,0.0,0.0,0.0,events/second
1773147542,32,0.021723008874932833,0.0,0.0,0.0,events/second
1773147572,32,0.021289270923625564,0.0,0.0,0.0,events/second
1773147602,32,0.02087254283717984,0.0,0.0,0.0,events/second
1773147632,32,0.020471858400218087,0.0,0.0,0.0,events/second
1773147662,32,0.020086268692417305,0.0,0.0,0.0,events/second
1773147692,32,0.019714972598664473,0.0,0.0,0.0,events/second
1773147722,32,0.019357085256307468,0.0,0.0,0.0,events/second
1773147752,32,0.019011947544933794,0.0,0.0,0.0,events/second
1773147782,32,0.01867890845965504,0.0,0.0,0.0,events/second
1773147812,32,0.018357370919407784,0.0,0.0,0.0,events/second
1773147842,32,0.018046657311226882,0.0,0.0,0.0,events/second
1773147872,32,0.01774632061534828,0.0,0.0,0.0,events/second
1773147902,32,0.017455838597350795,0.0,0.0,0.0,events/second
1773147932,32,0.01717474612024345,0.0,0.0,0.0,events/second
1773147962,32,0.016902553654957,0.0,0.0,0.0,events/second
1773147992,32,0.01663883545163384,0.0,0.0,0.0,events/second
1773148022,32,0.01638323546187371,0.0,0.0,0.0,events/second
1773148052,32,0.0161353068576268,0.0,0.0,0.0,events/second
1773148082,32,0.015894791702168398,0.0,0.0,0.0,events/second
1773148112,32,0.015661277995408757,0.0,0.0,0.0,events/second
1773148142,32,0.01543459650980203,0.0,0.0,0.0,events/second
1773148172,32,0.015214308915128746,0.0,0.0,0.0,events/second
1773148202,32,0.01500025551810256,0.0,0.0,0.0,events/second
1773148232,32,0.014792171053871084,0.0,0.0,0.0,events/second
1773148262,32,0.014589740654075005,0.0,0.0,0.0,events/second
1773148292,32,0.014392849428529194,0.0,0.0,0.0,events/second
1773148322,32,0.014201150751659532,0.0,0.0,0.0,events/second
1773148352,32,0.014014457150640584,0.0,0.0,0.0,events/second
1773148382,32,0.013832694114192615,0.0,0.0,0.0,events/second
1773148412,32,0.013655547814849957,0.0,0.0,0.0,events/second
1773148442,32,0.013482905672131128,0.0,0.0,0.0,events/second
1773148472,32,0.013314530319502308,0.0,0.0,0.0,events/second
1773148502,32,0.013150283710586332,0.0,0.0,0.0,events/second
1773148532,32,0.012990113294228275,0.0,0.0,0.0,events/second
1773148562,32,0.012833775014805834,0.0,0.0,0.0,events/second
1773148592,32,0.012681119767381724,0.0,0.0,0.0,events/second
1773148622,32,0.012532054151309263,0.0,0.0,0.0,events/second
1773148652,32,0.012386500441552982,0.0,0.0,0.0,events/second
1773148682,32,0.012244297292690456,0.0,0.0,0.0,events/second
1773148712,32,0.012105278485586408,0.0,0.0,0.0,events/second
1773148742,32,0.01196942272792129,0.0,0.0,0.0,events/second
1773148772,32,0.011836581129138811,0.0,0.0,0.0,events/second
1773148802,32,0.011706635579660766,0.0,0.0,0.0,events/second
1773148832,32,0.011579498815045986,0.0,0.0,0.0,events/second
1773148862,32,0.011455081455152078,0.0,0.0,0.0,events/second
1773148892,32,0.011333309528070835,0.0,0.0,0.0,events/second
1773148922,32,0.011214129134459464,0.0,0.0,0.0,events/second
1773148952,32,0.011097434240889166,0.0,0.0,0.0,events/second
1773148982,32,0.010983116950971194,0.0,0.0,0.0,events/second
1773149012,32,0.010871135436956243,0.0,0.0,0.0,events/second
1773149042,32,0.010761392679278987,0.0,0.0,0.0,events/second
1773149072,32,0.010653884281553614,0.0,0.0,0.0,events/second
1773149102,32,0.010548455432507636,0.0,0.0,0.0,events/second
1773149132,32,0.010445145088862667,0.0,0.0,0.0,events/second
1773149162,32,0.010343837690079986,0.0,0.0,0.0,events/second
1773149192,32,0.010244460097318563,0.0,0.0,0.0,events/second
1773149222,32,0.010146959983759534,0.0,0.0,0.0,events/second
1773149252,32,0.01005128441467406,0.0,0.0,0.0,events/second
1773149282,32,0.009957392831679492,0.0,0.0,0.0,events/second
1773149312,32,0.009865280553742183,0.0,0.0,0.0,events/second
1773149342,32,0.009774858875563569,0.0,0.0,0.0,events/second
1773149372,32,0.00968604876738759,0.0,0.0,0.0,events/second
1773149402,32,0.009598837930604247,0.0,0.0,0.0,events/second
1773149432,32,0.009513201272943994,0.0,0.0,0.0,events/second
1773149462,32,0.009429088569249186,0.0,0.0,0.0,events/second
1773149492,32,0.009346429653296372,0.0,0.0,0.0,events/second
1773149522,32,0.009265204674880798,0.0,0.0,0.0,events/second
1773149552,32,0.009185396948966584,0.0,0.0,0.0,events/second
1773149582,32,0.009106928665341647,0.0,0.0,0.0,events/second
1773149612,32,0.009029798443106961,0.0,0.0,0.0,events/second
1773149642,32,0.00895395942591762,0.0,0.0,0.0,events/second
1773149672,32,0.00887940502157692,0.0,0.0,0.0,events/second
1773149702,32,0.00880606791214961,0.0,0.0,0.0,events/second
1773149732,32,0.008733920826784335,0.0,0.0,0.0,events/second
1773149762,32,0.0086629472389867,0.0,0.0,0.0,events/second
1773149792,32,0.008593126038516741,0.0,0.0,0.0,events/second
1773149822,32,0.00852444038888794,0.0,0.0,0.0,events/second
1773149852,32,0.008456846384567023,0.0,0.0,0.0,events/second
1773149882,32,0.008390313094926114,0.0,0.0,0.0,events/second
1773149912,32,0.008324813764886257,0.0,0.0,0.0,events/second
1773149942,32,0.008260331308785845,0.0,0.0,0.0,events/second
1773149972,32,0.008196834018783008,0.0,0.0,0.0,events/second
1773150002,32,0.008134310108747642,0.0,0.0,0.0,events/second
1773150032,32,0.008072725832420885,0.0,0.0,0.0,events/second
