t,value
1773145530,31
1773145560,31
1773145590,31
1773145620,31
1773145650,31
1773145680,31
1773145710,31
1773145740,31
1773145770,31
1773145800,32
1773145830,32
1773145860,32
1773145890,32
1773145920,32
1773145950,32
1773145980,32
1773146070,0
1773146100,26
1773146131,26
1773146161,26
1773146191,26
1773146221,26
1773146251,26
1773146281,26
1773146311,26
1773146341,26
1773146371,27
1773146401,27
1773146431,27
1773146461,27
1773146491,27
1773146521,27
1773146551,27
1773146581,27
1773146611,27
1773146641,27
1773146671,29
1773146701,29
1773146731,29
1773146761,29
1773146791,29
1773146821,29
1773146851,29
1773146881,29
1773146911,29
1773146941,29
1773146971,29
1773147001,29
1773147031,29
1773147061,29
1773147091,29
1773147121,29
1773147151,29
1773147181,29
1773147211,29
1773147241,29
1773147271,29
1773147301,29
1773147331,29
1773147361,29
1773147392,29
1773147422,29
1773147452,29
1773147482,29
1773147512,29
1773147542,29
1773147572,29
1773147602,29
1773147632,29
1773147662,29
1773147692,29
1773147722,29
1773147752,29
1773147782,29
1773147812,29
1773147842,29
1773147872,29
1773147902,29
1773147932,29
1773147962,29
1773147992,29
1773148022,29
1773148052,29
1773148082,29
1773148112,29
1773148142,29
1773148172,29
1773148202,29
1773148232,29
1773148262,29
1773148292,29
1773148322,29
1773148352,29
1773148382,29
1773148412,29
1773148442,29
1773148472,29
1773148502,29
1773148532,29
1773148562,29
1773148592,29
1773148622,29
1773148652,29
1773148682,29
1773148712,29
1773148742,29
1773148772,29
1773148802,29
1773148832,29
1773148862,29
1773148892,29
1773148922,29
1773148952,29
1773148982,29
1773149012,29
1773149042,29
1773149072,29
1773149102,29
1773149132,29
1773149162,29
1773149192,29
1773149222,29
1773149252,29
1773149282,29
1773149312,29
1773149342,29
1773149372,29
1773149402,29
1773149432,29
1773149462,29
1773149492,29
1773149522,29
1773149552,29
1773149582,29
1773149612,29
1773149642,29
1773149672,29
1773149702,29
1773149732,29
1773149762,29
1773149792,29
1773149822,29
1773149852,29
1773149882,29
1773149912,29
1773149942,29
1773149972,29
1773150002,29
1773150032,29
1773150062,29
1773150092,29
1773150122,29
1773150152,29
1773150182,29
1773150212,29
1773150242,29
1773150272,29
1773150302,29
1773150333,29
1773150363,29
1773150393,29
1773150423,29
1773150453,29
1773150483,29
1773150513,29
1773150543,29
1773150573,29
1773150603,29
1773150633,29
1773150663,29
1773150693,29
1773150723,29
1773150753,29
1773150783,29
1773150813,29
1773150843,29
1773150873,29
1773150903,29
1773150933,29
1773150963,29
1773150993,29
1773151023,29
1773151053,29
1773151083,29
1773151113,29
1773151143,29
1773151173,29
1773151203,29
1773151233,29
1773151263,29
1773151293,29
1773151323,29
1773151353,29
1773151383,29
1773151413,29
1773151443,29
1773151473,29
1773151503,29
1773151533,29
1773151563,29
1773151593,29
1773151623,29
1773151653,29
1773151683,29
1773151713,29
1773151743,29
1773151773,29
1773151803,29
1773151833,29
1773151863,29
1773151893,29
1773151923,29
1773151953,29
1773151983,29
1773152013,29
1773152043,29
1773152073,29
1773152103,29
1773152133,29
1773152163,29
1773152193,29
1773152223,29
1773152253,29
1773152283,29
1773152313,29
1773152343,29
1773152373,29
1773152403,29
1773152433,29
1773152463,29
1773152493,29
1773152523,29
1773152553,29
1773152583,29
1773152613,29
1773152643,29
1773152673,29
1773152703,29
1773152733,29
1773152763,29
1773152793,29
1773152823,29
1773152853,29
1773152883,29
1773152913,29
1773206880,31
1773206912,31
1773206942,31
1773206972,31
1773207002,31
1773207032,31
1773207062,31
1773207092,31
1773207122,31
1773207152,32
1773207182,32
1773207212,32
1773207242,32
1773207272,32
1773207302,32
1773207332,32
1773207362,32
1773207392,32
1773207422,32
1773207452,34
1773207482,34
1773207512,34
1773207542,34
1773207572,34
1773207602,34
1773207632,34
1773207662,34
1773207693,34
1773207723,34
1773207753,34
1773207783,34
1773207813,34
1773207843,34
1773207873,34
1773207903,34
1773207933,34
1773207963,34
1773207993,34
1773208023,34
1773208053,34
1773208083,34
1773208113,34
1773208143,34
1773208173,34
1773208203,34
1773211140,0
1773211173,31
1773211203,31
1773211233,31
1773211263,31
1773211293,31
1773211323,31
1773211353,31
1773211383,31
1773211413,31
1773211443,32
1773211473,32
1773211503,32
1773211533,32
1773211563,32
1773211593,32
1773211623,32
1773211653,32
1773211683,32
1773211713,32
1773211743,34
1773211773,34
1773211803,34
1773211833,34
1773211863,34
1773211893,34
1773211923,34
1773211953,34
1773211983,34
1773212013,34
1773212043,34
1773212073,34
1773212103,34
1773212133,34
1773212163,34
1773212193,34
1773212223,34
1773212253,34
1773212283,34
1773212313,34
1773212343,34
1773212373,34
1773212403,34
1773212433,34
1773212670,0
1773212820,0
1773212851,31
1773212881,31
1773212911,31
1773212941,31
1773212971,31
1773213001,31
1773213031,31
1773213061,31
1773213091,31
1773213121,32
1773213151,32
1773213181,32
1773213211,32
1773213241,32
1773213271,32
1773213301,32
1773213331,32
1773213361,32
1773213391,32
1773213421,34
1773213451,34
1773213481,34
1773213511,34
1773213541,34
1773213571,34
1773213601,34
1773213631,34
1773213661,34
1773213691,34
1773213721,34
1773213751,34
1773213781,34
1773213811,34
1773213841,34
1773213871,34
1773213901,34
1773213931,34
1773213961,34
1773213991,34
1773214021,34
1773214051,34
1773214081,34
1773214111,34
1773214141,34
1773214171,34
1773214201,34
1773214231,34
1773214261,34
1773214291,34
1773214321,34
1773214352,34
1773214382,34
1773214412,34
1773214442,34
1773214472,34
1773214502,34
1773214532,34
1773214562,34
1773214592,34
1773214622,34
1773214652,34
1773214682,34
1773214712,34
1773214742,34
1773214772,34
