t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,2,0.06699320517061999,0.0,0.0,0.0,events/second
1773145560,2,0.0333810448607528,0.0,0.0,0.0,events/second
1773145590,2,0.022239035995966893,0.0,0.0,0.0,events/second
1773145620,2,0.016674472292845608,0.0,0.0,0.0,events/second
1773145650,2,0.013336492454993087,0.0,0.0,0.0,events/second
1773145680,2,0.01111155864765491,0.0,0.0,0.0,events/second
1773145710,2,0.009523625826672507,0.0,0.0,0.0,events/second
1773145740,2,0.008332822958343164,0.0,0.0,0.0,events/second
1773145770,2,0.007406388784812977,0.0,0.0,0.0,events/second
1773145800,2,0.006665523316121206,0.0,0.0,0.0,events/second
1773145830,2,0.006058922891826711,0.0,0.0,0.0,events/second
1773145860,2,0.005553977508554365,0.0,0.0,0.0,events/second
1773145890,2,0.005126749721517711,0.0,0.0,0.0,events/second
1773145920,2,0.004760501835213208,0.0,0.0,0.0,events/second
1773145950,2,0.00444311426785701,0.0,0.0,0.0,events/second
1773145980,2,0.004165421904960845,0.0,0.0,0.0,events/second
1773146070,0,0.0,0.0,0.0,0.0,events/second
1773146100,2,0.06120410988902926,0.0,0.0,0.0,events/second
1773146131,2,0.03190580238108504,0.0,0.0,0.0,events/second
1773146161,2,0.021576182531095178,0.0,0.0,0.0,events/second
1773146191,2,0.01629923705414699,0.0,0.0,0.0,events/second
1773146221,2,0.013096238927746329,0.0,0.0,0.0,events/second
1773146251,2,0.010945508486512441,0.0,0.0,0.0,events/second
1773146281,2,0.009401531300546833,0.0,0.0,0.0,events/second
1773146311,2,0.008239310958157348,0.0,0.0,0.0,events/second
1773146341,2,0.007332751200880998,0.0,0.0,0.0,events/second
1773146371,2,0.006605917506453591,0.0,0.0,0.0,events/second
1773146401,2,0.0060101343095081625,0.0,0.0,0.0,events/second
1773146431,2,0.0055130078804861435,0.0,0.0,0.0,events/second
1773146461,2,0.005091811762669457,0.0,0.0,0.0,events/second
1773146491,2,0.004730422220713343,0.0,0.0,0.0,events/second
1773146521,2,0.004416896911128943,0.0,0.0,0.0,events/second
1773146551,2,0.004142356251387933,0.0,0.0,0.0,events/second
1773146581,2,0.0038999649216485137,0.0,0.0,0.0,events/second
1773146611,2,0.003684357098864248,0.0,0.0,0.0,events/second
1773146641,2,0.00349133991951287,0.0,0.0,0.0,events/second
1773146671,2,0.0033175371456174475,0.0,0.0,0.0,events/second
1773146701,2,0.0031602096161666045,0.0,0.0,0.0,events/second
1773146731,2,0.0030171501259299103,0.0,0.0,0.0,events/second
1773146761,2,0.002886470091384735,0.0,0.0,0.0,events/second
1773146791,2,0.0027666394973492004,0.0,0.0,0.0,events/second
1773146821,2,0.0026563756915625744,0.0,0.0,0.0,events/second
1773146851,2,0.0025545707757168913,0.0,0.0,0.0,events/second
1773146881,2,0.0024602869079864845,0.0,0.0,0.0,events/second
1773146911,2,0.0023727077331242626,0.0,0.0,0.0,events/second
1773146941,2,0.0022911536683389083,0.0,0.0,0.0,events/second
1773146971,2,0.002215013434665056,0.0,0.0,0.0,events/second
1773147001,2,0.002143769366335467,0.0,0.0,0.0,events/second
1773147031,2,0.0020769658331420094,0.0,0.0,0.0,events/second
1773147061,2,0.002014174446309973,0.0,0.0,0.0,events/second
1773147091,2,0.0019550968541726,0.0,0.0,0.0,events/second
1773147121,2,0.001899378178096193,0.0,0.0,0.0,events/second
1773147151,2,0.001846752315505607,0.0,0.0,0.0,events/second
1773147181,2,0.001796967372560273,0.0,0.0,0.0,events/second
1773147211,2,0.0017497962909905382,0.0,0.0,0.0,events/second
1773147241,2,0.0017050380911042401,0.0,0.0,0.0,events/second
1773147271,2,0.0016625119930861647,0.0,0.0,0.0,events/second
1773147301,2,0.001622052512418872,0.0,0.0,0.0,events/second
1773147331,2,0.001583513288138059,0.0,0.0,0.0,events/second
1773147361,2,0.001546757823671718,0.0,0.0,0.0,events/second
1773147392,2,0.0015116769344213422,0.0,0.0,0.0,events/second
