t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,38,1.272839880688813,0.0,0.0,0.0,events/second
1773145560,38,0.6342379522098865,0.0,0.0,0.0,events/second
1773145590,38,0.42254077524318834,0.0,0.0,0.0,events/second
1773145620,38,0.3168140094701443,0.0,0.0,0.0,events/second
1773145650,38,0.25339307024285695,0.0,0.0,0.0,events/second
1773145680,38,0.21111943625421406,0.0,0.0,0.0,events/second
1773145710,38,0.18094875723810208,0.0,0.0,0.0,events/second
1773145740,38,0.15832350988728988,0.0,0.0,0.0,events/second
1773145770,38,0.14072131077605285,0.0,0.0,0.0,events/second
1773145800,38,0.12664487923043835,0.0,0.0,0.0,events/second
1773145830,38,0.11511946331146249,0.0,0.0,0.0,events/second
1773145860,38,0.10552552762179256,0.0,0.0,0.0,events/second
1773145890,38,0.0974082080787631,0.0,0.0,0.0,events/second
1773145920,38,0.09044950037919143,0.0,0.0,0.0,events/second
1773145950,38,0.08441914220782325,0.0,0.0,0.0,events/second
1773145980,38,0.07914299125517828,0.0,0.0,0.0,events/second
1773146070,0,0.0,0.0,0.0,0.0,events/second
1773146100,30,0.9180566615758181,0.0,0.0,0.0,events/second
1773146131,30,0.4785857904752048,0.0,0.0,0.0,events/second
1773146161,30,0.3236421307979088,0.0,0.0,0.0,events/second
1773146191,30,0.24448821669113865,0.0,0.0,0.0,events/second
1773146221,30,0.19644337501544165,0.0,0.0,0.0,events/second
1773146251,30,0.16418243896576937,0.0,0.0,0.0,events/second
1773146281,30,0.14102286297769287,0.0,0.0,0.0,events/second
1773146311,30,0.12358958326532217,0.0,0.0,0.0,events/second
1773146341,30,0.10999120365147214,0.0,0.0,0.0,events/second
1773146371,30,0.09908871029651337,0.0,0.0,0.0,events/second
1773146401,30,0.09015197010457056,0.0,0.0,0.0,events/second
1773146431,30,0.08269508166701642,0.0,0.0,0.0,events/second
1773146461,30,0.07637714490041042,0.0,0.0,0.0,events/second
1773146491,30,0.07095630501512849,0.0,0.0,0.0,events/second
1773146521,30,0.06625343038785395,0.0,0.0,0.0,events/second
1773146551,30,0.062135323257103414,0.0,0.0,0.0,events/second
1773146581,30,0.058499455561654444,0.0,0.0,0.0,events/second
1773146611,30,0.055265339969604935,0.0,0.0,0.0,events/second
1773146641,30,0.052370083095727805,0.0,0.0,0.0,events/second
1773146671,32,0.05308057940567588,0.0,0.0,0.0,events/second
1773146701,32,0.05056334102746792,0.0,0.0,0.0,events/second
1773146731,32,0.04827438987486092,0.0,0.0,0.0,events/second
1773146761,32,0.046183510117702775,0.0,0.0,0.0,events/second
1773146791,32,0.04426622110686254,0.0,0.0,0.0,events/second
1773146821,32,0.04250200176758042,0.0,0.0,0.0,events/second
1773146851,32,0.040873123259645726,0.0,0.0,0.0,events/second
1773146881,32,0.03936458259591886,0.0,0.0,0.0,events/second
1773146911,32,0.03796331585735864,0.0,0.0,0.0,events/second
1773146941,32,0.036658451856624606,0.0,0.0,0.0,events/second
1773146971,32,0.0354402081447193,0.0,0.0,0.0,events/second
1773147001,32,0.03430030405969731,0.0,0.0,0.0,events/second
1773147031,32,0.03323144750148409,0.0,0.0,0.0,events/second
1773147061,32,0.032226785821554874,0.0,0.0,0.0,events/second
1773147091,32,0.031281544823012375,0.0,0.0,0.0,events/second
1773147121,32,0.030390046168269434,0.0,0.0,0.0,events/second
1773147151,32,0.029548032742682567,0.0,0.0,0.0,events/second
1773147181,32,0.028751473652065,0.0,0.0,0.0,events/second
1773147211,32,0.027996736614290273,0.0,0.0,0.0,events/second
1773147241,32,0.02728060577139594,0.0,0.0,0.0,events/second
1773147271,32,0.026600188391328876,0.0,0.0,0.0,events/second
1773147301,32,0.025952836673089598,0.0,0.0,0.0,events/second
1773147331,32,0.0253362092902604,0.0,0.0,0.0,events/second
1773147361,32,0.024748122129797143,0.0,0.0,0.0,events/second
1773147392,32,0.024186827945290007,0.0,0.0,0.0,events/second
1773147422,32,0.023650264269061777,0.0,0.0,0.0,events/second
1773147452,32,0.02313713921311739,0.0,0.0,0.0,events/second
1773147482,32,0.02264581284501627,0.0,0.0,0.0,events/second
1773147512,32,0.022174921772806045,0.0,0.0,0.0,events/second
1773147542,32,0.02172301128894085,0.0,0.0,0.0,events/second
1773147572,32,0.02128927380307222,0.0,0.0,0.0,events/second
1773147602,32,0.020872546404171625,0.0,0.0,0.0,events/second
1773147632,32,0.020471861369258732,0.0,0.0,0.0,events/second
1773147662,32,0.020086272566877485,0.0,0.0,0.0,events/second
1773147692,32,0.0197149762753364,0.0,0.0,0.0,events/second
1773147722,32,0.019357087588795015,0.0,0.0,0.0,events/second
1773147752,32,0.01901195065682862,0.0,0.0,0.0,events/second
1773147782,32,0.018678910707890132,0.0,0.0,0.0,events/second
1773147812,32,0.01835737217365394,0.0,0.0,0.0,events/second
1773147842,32,0.018046660427595528,0.0,0.0,0.0,events/second
1773147872,32,0.01774632257973619,0.0,0.0,0.0,events/second
1773147902,32,0.01745584151586632,0.0,0.0,0.0,events/second
1773147932,32,0.017174748416415673,0.0,0.0,0.0,events/second
1773147962,32,0.016902556127123332,0.0,0.0,0.0,events/second
1773147992,32,0.016638838034998688,0.0,0.0,0.0,events/second
1773148022,32,0.016383237831434656,0.0,0.0,0.0,events/second
1773148052,32,0.01613530832371233,0.0,0.0,0.0,events/second
1773148082,32,0.015894794075447114,0.0,0.0,0.0,events/second
1773148112,32,0.015661280205189185,0.0,0.0,0.0,events/second
1773148142,32,0.015434598472195294,0.0,0.0,0.0,events/second
1773148172,32,0.015214310729315809,0.0,0.0,0.0,events/second
1773148202,32,0.01500025766059773,0.0,0.0,0.0,events/second
1773148232,32,0.014792172759208662,0.0,0.0,0.0,events/second
1773148262,32,0.014589742160063424,0.0,0.0,0.0,events/second
1773148292,32,0.014392851296800608,0.0,0.0,0.0,events/second
1773148322,32,0.01420115005210745,0.0,0.0,0.0,events/second
1773148352,32,0.014014458942836523,0.0,0.0,0.0,events/second
1773148382,32,0.013832695753766795,0.0,0.0,0.0,events/second
1773148412,32,0.013655549374821574,0.0,0.0,0.0,events/second
1773148442,32,0.013482907324704646,0.0,0.0,0.0,events/second
1773148472,32,0.013314532007509268,0.0,0.0,0.0,events/second
1773148502,32,0.013150284307194726,0.0,0.0,0.0,events/second
1773148532,32,0.012990114666847614,0.0,0.0,0.0,events/second
1773148562,32,0.012833776519805084,0.0,0.0,0.0,events/second
1773148592,32,0.012681121136786329,0.0,0.0,0.0,events/second
1773148622,32,0.01253205550932172,0.0,0.0,0.0,events/second
1773148652,32,0.012386501887108025,0.0,0.0,0.0,events/second
1773148682,32,0.01224429870618167,0.0,0.0,0.0,events/second
1773148712,32,0.01210527986533123,0.0,0.0,0.0,events/second
1773148742,32,0.011969424094778936,0.0,0.0,0.0,events/second
1773148772,32,0.011836582228960437,0.0,0.0,0.0,events/second
1773148802,32,0.01170663604689966,0.0,0.0,0.0,events/second
1773148832,32,0.011579499950576687,0.0,0.0,0.0,events/second
1773148862,32,0.011455082536477854,0.0,0.0,0.0,events/second
1773148892,32,0.011333310639913496,0.0,0.0,0.0,events/second
1773148922,32,0.011214130305175792,0.0,0.0,0.0,events/second
1773148952,32,0.011097435418925152,0.0,0.0,0.0,events/second
1773148982,32,0.010983118042662467,0.0,0.0,0.0,events/second
1773149012,32,0.010871136357295419,0.0,0.0,0.0,events/second
1773149042,32,0.010761393653148378,0.0,0.0,0.0,events/second
1773149072,32,0.010653885229322538,0.0,0.0,0.0,events/second
1773149102,32,0.010548456011458929,0.0,0.0,0.0,events/second
1773149132,32,0.010445145945306026,0.0,0.0,0.0,events/second
1773149162,32,0.010343838416977169,0.0,0.0,0.0,events/second
1773149192,32,0.010244460287866526,0.0,0.0,0.0,events/second
1773149222,32,0.010146960483441178,0.0,0.0,0.0,events/second
1773149252,32,0.010051285384861722,0.0,0.0,0.0,events/second
1773149282,32,0.009957393381650359,0.0,0.0,0.0,events/second
1773149312,32,0.009865281145896474,0.0,0.0,0.0,events/second
1773149342,32,0.009774859319861166,0.0,0.0,0.0,events/second
1773149372,32,0.009686049599742898,0.0,0.0,0.0,events/second
1773149402,32,0.009598838555412995,0.0,0.0,0.0,events/second
1773149432,32,0.009513201152747357,0.0,0.0,0.0,events/second
1773149462,32,0.009429088972390108,0.0,0.0,0.0,events/second
1773149492,32,0.00934643040100703,0.0,0.0,0.0,events/second
1773149522,32,0.009265205367534767,0.0,0.0,0.0,events/second
1773149552,32,0.009185397670870435,0.0,0.0,0.0,events/second
1773149582,32,0.009106929031815774,0.0,0.0,0.0,events/second
1773149612,32,0.009029799190192169,0.0,0.0,0.0,events/second
1773149642,32,0.008953959783691385,0.0,0.0,0.0,events/second
1773149672,32,0.008879405701112262,0.0,0.0,0.0,events/second
1773149702,32,0.008806068274681063,0.0,0.0,0.0,events/second
1773149732,32,0.008733921521660023,0.0,0.0,0.0,events/second
1773149762,32,0.00866294785694904,0.0,0.0,0.0,events/second
1773149792,32,0.008593126581484874,0.0,0.0,0.0,events/second
