t,value
1773145530,31
1773145560,31
1773145590,31
1773145620,31
1773145650,31
1773145680,31
1773145710,31
1773145740,31
1773145770,31
1773145800,31
1773145830,31
1773145860,31
1773145890,31
1773145920,31
1773145950,31
1773145980,31
1773146070,0
1773146100,26
1773146131,26
1773146161,26
1773146191,26
1773146221,26
1773146251,26
1773146281,26
1773146311,26
1773146341,26
1773146371,26
1773146401,26
1773146431,26
1773146461,26
1773146491,26
1773146521,26
1773146551,26
1773146581,26
1773146611,26
1773146641,26
1773146671,28
1773146701,28
1773146731,28
1773146761,28
1773146791,28
1773146821,28
1773146851,28
1773146881,28
1773146911,28
1773146941,28
1773146971,28
1773147001,28
1773147031,28
1773147061,28
1773147091,28
1773147121,28
1773147151,28
1773147181,28
1773147211,28
1773147241,28
1773147271,28
1773147301,28
1773147331,28
1773147361,28
1773147392,28
1773147422,28
1773147452,28
1773147482,28
1773147512,28
1773147542,28
1773147572,28
1773147602,28
1773147632,28
1773147662,28
1773147692,28
1773147722,28
1773147752,28
1773147782,28
1773147812,28
1773147842,28
1773147872,28
1773147902,28
1773147932,28
1773147962,28
1773147992,28
1773148022,28
1773148052,28
1773148082,28
1773148112,28
1773148142,28
1773148172,28
1773148202,28
1773148232,28
1773148262,28
1773148292,28
1773148322,28
1773148352,28
1773148382,28
1773148412,28
1773148442,28
1773148472,28
1773148502,28
1773148532,28
1773148562,28
1773148592,28
1773148622,28
1773148652,28
1773148682,28
1773148712,28
1773148742,28
1773148772,28
1773148802,28
1773148832,28
1773148862,28
1773148892,28
1773148922,28
1773148952,28
1773148982,28
1773149012,28
1773149042,28
1773149072,28
1773149102,28
1773149132,28
1773149162,28
1773149192,28
1773149222,28
1773149252,28
1773149282,28
1773149312,28
1773149342,28
1773149372,28
1773149402,28
1773149432,28
1773149462,28
1773149492,28
1773149522,28
1773149552,28
1773149582,28
1773149612,28
1773149642,28
1773149672,28
1773149702,28
1773149732,28
1773149762,28
1773149792,28
1773149822,28
1773149852,28
1773149882,28
1773149912,28
1773149942,28
1773149972,28
1773150002,28
1773150032,28
1773150062,28
1773150092,28
1773150122,28
1773150152,28
1773150182,28
1773150212,28
1773150242,28
1773150272,28
1773150302,28
1773150333,28
1773150363,28
1773150393,28
1773150423,28
1773150453,28
1773150483,28
1773150513,28
1773150543,28
1773150573,28
1773150603,28
1773150633,28
1773150663,28
1773150693,28
1773150723,28
1773150753,28
1773150783,28
1773150813,28
1773150843,28
1773150873,28
1773150903,28
1773150933,28
1773150963,28
1773150993,28
1773151023,28
1773151053,28
1773151083,28
1773151113,28
1773151143,28
1773151173,28
1773151203,28
1773151233,28
1773151263,28
1773151293,28
1773151323,28
1773151353,28
1773151383,28
1773151413,28
1773151443,28
1773151473,28
1773151503,28
1773151533,28
1773151563,28
1773151593,28
1773151623,28
1773151653,28
1773151683,28
1773151713,28
1773151743,28
1773151773,28
1773151803,28
1773151833,28
1773151863,28
1773151893,28
1773151923,28
1773151953,28
1773151983,28
1773152013,28
1773152043,28
1773152073,28
1773152103,28
1773152133,28
1773152163,28
1773152193,28
1773152223,28
1773152253,28
1773152283,28
1773152313,28
1773152343,28
1773152373,28
1773152403,28
1773152433,28
1773152463,28
1773152493,28
1773152523,28
1773152553,28
1773152583,28
1773152613,28
1773152643,28
1773152673,28
1773152703,28
1773152733,28
1773152763,28
1773152793,28
1773152823,28
1773152853,28
1773152883,28
1773152913,28
1773206880,31
1773206912,31
1773206942,31
1773206972,31
1773207002,31
1773207032,31
1773207062,31
1773207092,31
1773207122,31
1773207152,31
1773207182,31
1773207212,31
1773207242,31
1773207272,31
1773207302,31
1773207332,31
1773207362,31
1773207392,31
1773207422,31
1773207452,33
1773207482,33
1773207512,33
1773207542,33
1773207572,33
1773207602,33
1773207632,33
1773207662,33
1773207693,33
1773207723,33
1773207753,33
1773207783,33
1773207813,33
1773207843,33
1773207873,33
1773207903,33
1773207933,33
1773207963,33
1773207993,33
1773208023,33
1773208053,33
1773208083,33
1773208113,33
1773208143,33
1773208173,33
1773208203,33
1773211140,0
1773211173,31
1773211203,31
1773211233,31
1773211263,31
1773211293,31
1773211323,31
1773211353,31
1773211383,31
1773211413,31
1773211443,31
1773211473,31
1773211503,31
1773211533,31
1773211563,31
1773211593,31
1773211623,31
1773211653,31
1773211683,31
1773211713,31
1773211743,33
1773211773,33
1773211803,33
1773211833,33
1773211863,33
1773211893,33
1773211923,33
1773211953,33
1773211983,33
1773212013,33
1773212043,33
1773212073,33
1773212103,33
1773212133,33
1773212163,33
1773212193,33
1773212223,33
1773212253,33
1773212283,33
1773212313,33
1773212343,33
1773212373,33
1773212403,33
1773212433,33
1773212670,0
1773212820,0
1773212851,31
1773212881,31
1773212911,31
1773212941,31
1773212971,31
1773213001,31
1773213031,31
1773213061,31
1773213091,31
1773213121,31
1773213151,31
1773213181,31
1773213211,31
1773213241,31
1773213271,31
1773213301,31
1773213331,31
1773213361,31
1773213391,31
1773213421,33
1773213451,33
1773213481,33
1773213511,33
1773213541,33
1773213571,33
1773213601,33
1773213631,33
1773213661,33
1773213691,33
1773213721,33
1773213751,33
1773213781,33
1773213811,33
1773213841,33
1773213871,33
1773213901,33
1773213931,33
1773213961,33
1773213991,33
1773214021,33
1773214051,33
1773214081,33
1773214111,33
1773214141,33
1773214171,33
1773214201,33
1773214231,33
1773214261,33
1773214291,33
1773214321,33
1773214352,33
1773214382,33
1773214412,33
1773214442,33
1773214472,33
1773214502,33
1773214532,33
1773214562,33
1773214592,33
1773214622,33
1773214652,33
1773214682,33
1773214712,33
1773214742,33
1773214772,33
