t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,2,0.06698862920270415,0.0,0.0,0.0,events/second
1773145560,2,0.03338082802051864,0.0,0.0,0.0,events/second
1773145590,2,0.022238946651402296,0.0,0.0,0.0,events/second
1773145620,2,0.016674393302616546,0.0,0.0,0.0,events/second
1773145650,2,0.01333646309892949,0.0,0.0,0.0,events/second
1773145680,2,0.011111541584578255,0.0,0.0,0.0,events/second
1773145710,2,0.009523612507477066,0.0,0.0,0.0,events/second
1773145740,2,0.00833280938363931,0.0,0.0,0.0,events/second
1773145770,2,0.0074063815961253,0.0,0.0,0.0,events/second
1773145800,3,0.009998275327500831,0.0,0.0,0.0,events/second
1773145830,3,0.009088370364809747,0.0,0.0,0.0,events/second
1773145860,3,0.008330959826679623,0.0,0.0,0.0,events/second
1773145890,3,0.007690119466841577,0.0,0.0,0.0,events/second
1773145920,3,0.007140747723475178,0.0,0.0,0.0,events/second
1773145950,3,0.0066646667319926935,0.0,0.0,0.0,events/second
1773145980,3,0.006248129313988473,0.0,0.0,0.0,events/second
1773146070,0,0.0,0.0,0.0,0.0,events/second
1773146100,0,0.0,0.0,0.0,0.0,events/second
1773146131,0,0.0,0.0,0.0,0.0,events/second
1773146161,0,0.0,0.0,0.0,0.0,events/second
1773146191,0,0.0,0.0,0.0,0.0,events/second
1773146221,0,0.0,0.0,0.0,0.0,events/second
1773146251,0,0.0,0.0,0.0,0.0,events/second
1773146281,0,0.0,0.0,0.0,0.0,events/second
1773146311,0,0.0,0.0,0.0,0.0,events/second
1773146341,0,0.0,0.0,0.0,0.0,events/second
1773146371,1,0.0033029558763845194,0.0,0.0,0.0,events/second
1773146401,1,0.0030050646108844966,0.0,0.0,0.0,events/second
1773146431,1,0.0027565018735032213,0.0,0.0,0.0,events/second
1773146461,1,0.0025459041416646118,0.0,0.0,0.0,events/second
1773146491,1,0.00236520949810253,0.0,0.0,0.0,events/second
1773146521,1,0.002208447181628922,0.0,0.0,0.0,events/second
1773146551,1,0.0020711770030594555,0.0,0.0,0.0,events/second
1773146581,1,0.0019499814489977335,0.0,0.0,0.0,events/second
1773146611,1,0.0018421776423174616,0.0,0.0,0.0,events/second
1773146641,1,0.0017456690473762475,0.0,0.0,0.0,events/second
1773146671,1,0.0016587675789627593,0.0,0.0,0.0,events/second
1773146701,1,0.0015801041274746692,0.0,0.0,0.0,events/second
1773146731,1,0.0015085744134522797,0.0,0.0,0.0,events/second
1773146761,1,0.0014432344426851382,0.0,0.0,0.0,events/second
1773146791,1,0.0013833191476214167,0.0,0.0,0.0,events/second
1773146821,1,0.0013281873546607743,0.0,0.0,0.0,events/second
1773146851,1,0.0012772848816172404,0.0,0.0,0.0,events/second
1773146881,1,0.001230143036335579,0.0,0.0,0.0,events/second
1773146911,1,0.0011863534358870257,0.0,0.0,0.0,events/second
1773146941,1,0.0011455764777363144,0.0,0.0,0.0,events/second
1773146971,1,0.0011075063081485506,0.0,0.0,0.0,events/second
1773147001,1,0.0010718843859378723,0.0,0.0,0.0,events/second
1773147031,1,0.0010384826008018873,0.0,0.0,0.0,events/second
1773147061,1,0.0010070869433304764,0.0,0.0,0.0,events/second
1773147091,1,9.77548178725682E-4,0.0,0.0,0.0,events/second
1773147121,1,9.49688843999385E-4,0.0,0.0,0.0,events/second
1773147151,1,9.233759380317724E-4,0.0,0.0,0.0,events/second
1773147181,1,8.984834625041348E-4,0.0,0.0,0.0,events/second
1773147211,1,8.748979343085575E-4,0.0,0.0,0.0,events/second
1773147241,1,8.525188551335172E-4,0.0,0.0,0.0,events/second
1773147271,1,8.312558170939187E-4,0.0,0.0,0.0,events/second
1773147301,1,8.110260652607112E-4,0.0,0.0,0.0,events/second
1773147331,1,7.917564691699434E-4,0.0,0.0,0.0,events/second
1773147361,1,7.733787546512845E-4,0.0,0.0,0.0,events/second
1773147392,1,7.558383082201998E-4,0.0,0.0,0.0,events/second
1773147422,1,7.390706776214251E-4,0.0,0.0,0.0,events/second
1773147452,1,7.230355377285442E-4,0.0,0.0,0.0,events/second
1773147482,1,7.076815973690053E-4,0.0,0.0,0.0,events/second
1773147512,1,6.929662102721263E-4,0.0,0.0,0.0,events/second
1773147542,1,6.788440442080006E-4,0.0,0.0,0.0,events/second
1773147572,1,6.652897492935148E-4,0.0,0.0,0.0,events/second
1773147602,1,6.522670283731548E-4,0.0,0.0,0.0,events/second
1773147632,1,6.39745626861886E-4,0.0,0.0,0.0,events/second
1773147662,1,6.276959783146948E-4,0.0,0.0,0.0,events/second
1773147692,1,6.160929701158066E-4,0.0,0.0,0.0,events/second
1773147722,1,6.049089434962019E-4,0.0,0.0,0.0,events/second
1773147752,1,5.941234201155566E-4,0.0,0.0,0.0,events/second
1773147782,1,5.837159180532023E-4,0.0,0.0,0.0,events/second
1773147812,1,5.736678348799637E-4,0.0,0.0,0.0,events/second
1773147842,1,5.639581061440205E-4,0.0,0.0,0.0,events/second
1773147872,1,5.545725418653646E-4,0.0,0.0,0.0,events/second
1773147902,1,5.454950154718729E-4,0.0,0.0,0.0,events/second
1773147932,1,5.36710855347149E-4,0.0,0.0,0.0,events/second
1773147962,1,5.282048491195636E-4,0.0,0.0,0.0,events/second
1773147992,1,5.199636607193639E-4,0.0,0.0,0.0,events/second
1773148022,1,5.119761547884112E-4,0.0,0.0,0.0,events/second
1773148052,1,5.042283521656966E-4,0.0,0.0,0.0,events/second
1773148082,1,4.967122899880327E-4,0.0,0.0,0.0,events/second
1773148112,1,4.894149814294921E-4,0.0,0.0,0.0,events/second
1773148142,1,4.823311766188029E-4,0.0,0.0,0.0,events/second
1773148172,1,4.7544718479267486E-4,0.0,0.0,0.0,events/second
1773148202,1,4.687580298323754E-4,0.0,0.0,0.0,events/second
1773148232,1,4.622553768444342E-4,0.0,0.0,0.0,events/second
1773148262,1,4.559294197816111E-4,0.0,0.0,0.0,events/second
1773148292,1,4.497765821073042E-4,0.0,0.0,0.0,events/second
1773148322,1,4.43785907833647E-4,0.0,0.0,0.0,events/second
1773148352,1,4.3795182203543355E-4,0.0,0.0,0.0,events/second
1773148382,1,4.3227171922814446E-4,0.0,0.0,0.0,events/second
1773148412,1,4.267358984416752E-4,0.0,0.0,0.0,events/second
1773148442,1,4.213408356116251E-4,0.0,0.0,0.0,events/second
1773148472,1,4.160791078012962E-4,0.0,0.0,0.0,events/second
1773148502,1,4.109463600789063E-4,0.0,0.0,0.0,events/second
1773148532,1,4.0594106537707896E-4,0.0,0.0,0.0,events/second
1773148562,1,4.0105549962856664E-4,0.0,0.0,0.0,events/second
1773148592,1,3.962850184070141E-4,0.0,0.0,0.0,events/second
1773148622,1,3.916267165684677E-4,0.0,0.0,0.0,events/second
1773148652,1,3.8707816847975403E-4,0.0,0.0,0.0,events/second
1773148682,1,3.8263431976622443E-4,0.0,0.0,0.0,events/second
1773148712,1,3.782899811378215E-4,0.0,0.0,0.0,events/second
1773148742,1,3.740444887470583E-4,0.0,0.0,0.0,events/second
1773148772,1,3.6989317944052184E-4,0.0,0.0,0.0,events/second
1773148802,1,3.658323583847327E-4,0.0,0.0,0.0,events/second
1773148832,1,3.6185935937923483E-4,0.0,0.0,0.0,events/second
1773148862,1,3.5797131537418104E-4,0.0,0.0,0.0,events/second
1773148892,1,3.541659416550432E-4,0.0,0.0,0.0,events/second
1773148922,1,3.5044155937510564E-4,0.0,0.0,0.0,events/second
1773148952,1,3.467948446704242E-4,0.0,0.0,0.0,events/second
1773148982,1,3.4322242648759043E-4,0.0,0.0,0.0,events/second
1773149012,1,3.3972299840094556E-4,0.0,0.0,0.0,events/second
1773149042,1,3.3629354003489055E-4,0.0,0.0,0.0,events/second
1773149072,1,3.3293390130097227E-4,0.0,0.0,0.0,events/second
1773149102,1,3.296392367427391E-4,0.0,0.0,0.0,events/second
1773149132,1,3.264107989218102E-4,0.0,0.0,0.0,events/second
1773149162,1,3.2324493684270106E-4,0.0,0.0,0.0,events/second
1773149192,1,3.201393653940357E-4,0.0,0.0,0.0,events/second
1773149222,1,3.17092496043701E-4,0.0,0.0,0.0,events/second
1773149252,1,3.141026583516842E-4,0.0,0.0,0.0,events/second
1773149282,1,3.1116853103461105E-4,0.0,0.0,0.0,events/second
1773149312,1,3.082900216288877E-4,0.0,0.0,0.0,events/second
