t,value
1773145530,41
1773145560,41
1773145590,41
1773145620,41
1773145650,41
1773145680,41
1773145710,41
1773145740,41
1773145770,41
1773145800,41
1773145830,41
1773145860,41
1773145890,41
1773145920,41
1773145950,41
1773145980,41
1773146070,0
1773146100,30
1773146131,30
1773146161,30
1773146191,30
1773146221,30
1773146251,30
1773146281,30
1773146311,30
1773146341,30
1773146371,30
1773146401,30
1773146431,30
1773146461,30
1773146491,30
1773146521,30
1773146551,30
1773146581,30
1773146611,30
1773146641,30
1773146671,32
1773146701,32
1773146731,32
1773146761,32
1773146791,32
1773146821,32
1773146851,32
1773146881,32
1773146911,32
1773146941,32
1773146971,32
1773147001,32
1773147031,32
1773147061,32
1773147091,32
1773147121,32
1773147151,32
1773147181,32
1773147211,32
1773147241,32
1773147271,32
1773147301,32
1773147331,32
1773147361,32
1773147392,32
1773147422,32
1773147452,32
1773147482,32
1773147512,32
1773147542,32
1773147572,32
1773147602,32
1773147632,32
1773147662,32
1773147692,32
1773147722,32
1773147752,32
1773147782,32
1773147812,32
1773147842,32
1773147872,32
1773147902,32
1773147932,32
1773147962,32
1773147992,32
1773148022,32
1773148052,32
1773148082,32
1773148112,32
1773148142,32
1773148172,32
1773148202,32
1773148232,32
1773148262,32
1773148292,32
1773148322,32
1773148352,32
1773148382,32
1773148412,32
1773148442,32
1773148472,32
1773148502,32
1773148532,32
1773148562,32
1773148592,32
1773148622,32
1773148652,32
1773148682,32
1773148712,32
1773148742,32
1773148772,32
1773148802,32
1773148832,32
1773148862,32
1773148892,32
1773148922,32
1773148952,32
1773148982,32
1773149012,32
1773149042,32
1773149072,32
1773149102,32
1773149132,32
1773149162,32
1773149192,32
1773149222,32
1773149252,32
1773149282,32
1773149312,32
1773149342,32
1773149372,32
1773149402,32
1773149432,32
1773149462,32
1773149492,32
1773149522,32
1773149552,32
1773149582,32
1773149612,32
1773149642,32
1773149672,32
1773149702,32
1773149732,32
1773149762,32
1773149792,32
1773149822,32
1773149852,32
1773149882,32
1773149912,32
1773149942,32
1773149972,32
1773150002,32
1773150032,32
1773150062,32
1773150092,32
1773150122,32
1773150152,32
1773150182,32
1773150212,32
1773150242,32
1773150272,32
1773150302,32
1773150333,32
1773150363,32
1773150393,32
1773150423,32
1773150453,32
1773150483,32
1773150513,32
1773150543,32
1773150573,32
1773150603,32
1773150633,32
1773150663,32
1773150693,32
1773150723,32
1773150753,32
1773150783,32
1773150813,32
1773150843,32
1773150873,32
1773150903,32
1773150933,32
1773150963,32
1773150993,32
1773151023,32
1773151053,32
1773151083,32
1773151113,32
1773151143,32
1773151173,32
1773151203,32
1773151233,32
1773151263,32
1773151293,32
1773151323,32
1773151353,32
1773151383,32
1773151413,32
1773151443,32
1773151473,32
1773151503,32
1773151533,32
1773151563,32
1773151593,32
1773151623,32
1773151653,32
1773151683,32
1773151713,32
1773151743,32
1773151773,32
1773151803,32
1773151833,32
1773151863,32
1773151893,32
1773151923,32
1773151953,32
1773151983,32
1773152013,32
1773152043,32
1773152073,32
1773152103,32
1773152133,32
1773152163,32
1773152193,32
1773152223,32
1773152253,32
1773152283,32
1773152313,32
1773152343,32
1773152373,32
1773152403,32
1773152433,32
1773152463,32
1773152493,32
1773152523,32
1773152553,32
1773152583,32
1773152613,32
1773152643,32
1773152673,32
1773152703,32
1773152733,32
1773152763,32
1773152793,32
1773152823,32
1773152853,32
1773152883,32
1773152913,32
1773206880,41
1773206912,41
1773206942,41
1773206972,41
1773207002,41
1773207032,41
1773207062,41
1773207092,41
1773207122,41
1773207152,41
1773207182,41
1773207212,41
1773207242,41
1773207272,41
1773207302,41
1773207332,41
1773207362,41
1773207392,41
1773207422,41
1773207452,43
1773207482,43
1773207512,43
1773207542,43
1773207572,43
1773207602,43
1773207632,43
1773207662,43
1773207693,43
1773207723,43
1773207753,43
1773207783,43
1773207813,43
1773207843,43
1773207873,43
1773207903,43
1773207933,43
1773207963,43
1773207993,43
1773208023,43
1773208053,43
1773208083,43
1773208113,43
1773208143,43
1773208173,43
1773208203,43
1773211140,0
1773211173,41
1773211203,41
1773211233,41
1773211263,41
1773211293,41
1773211323,41
1773211353,41
1773211383,41
1773211413,41
1773211443,41
1773211473,41
1773211503,41
1773211533,41
1773211563,41
1773211593,41
1773211623,41
1773211653,41
1773211683,41
1773211713,41
1773211743,43
1773211773,43
1773211803,43
1773211833,43
1773211863,43
1773211893,43
1773211923,43
1773211953,43
1773211983,43
1773212013,43
1773212043,43
1773212073,43
1773212103,43
1773212133,43
1773212163,43
1773212193,43
1773212223,43
1773212253,43
1773212283,43
1773212313,43
1773212343,43
1773212373,43
1773212403,43
1773212433,43
1773212670,0
1773212820,0
1773212851,41
1773212881,41
1773212911,41
1773212941,41
1773212971,41
1773213001,41
1773213031,41
1773213061,41
1773213091,41
1773213121,41
1773213151,41
1773213181,41
1773213211,41
1773213241,41
1773213271,41
1773213301,41
1773213331,41
1773213361,41
1773213391,41
1773213421,43
1773213451,43
1773213481,43
1773213511,43
1773213541,43
1773213571,43
1773213601,43
1773213631,43
1773213661,43
1773213691,43
1773213721,43
1773213751,43
1773213781,43
1773213811,43
1773213841,43
1773213871,43
1773213901,43
1773213931,43
1773213961,43
1773213991,43
1773214021,43
1773214051,43
1773214081,43
1773214111,43
1773214141,43
1773214171,43
1773214201,43
1773214231,43
1773214261,43
1773214291,43
1773214321,43
1773214352,43
1773214382,43
1773214412,43
1773214442,43
1773214472,43
1773214502,43
1773214532,43
1773214562,43
1773214592,43
1773214622,43
1773214652,43
1773214682,43
1773214712,43
1773214742,43
1773214772,43
1773214802,43
1773214832,43
1773214862,43
1773214892,43
1773214922,43
1773214952,43
1773214982,43
1773215012,43
1773215042,43
1773215072,43
1773215102,43
1773215132,43
1773215162,43
1773215192,43
1773215222,43
1773215252,43
1773215282,43
1773215312,43
1773215342,43
1773215372,43
1773215402,43
1773215432,43
1773215462,43
1773215492,43
1773215522,43
1773215552,43
1773215582,43
1773215612,43
1773215642,43
1773215672,43
1773215702,43
1773215732,43
1773215762,43
1773215792,43
1773215822,43
1773215852,43
1773215882,43
1773215912,43
1773215942,43
1773215972,43
1773216002,43
1773216032,43
1773216062,43
1773216092,43
1773216122,43
1773216152,43
1773216182,43
1773216212,43
1773216242,43
1773216272,43
1773216302,43
1773216332,43
1773216362,43
1773216392,43
1773216422,43
1773216452,43
1773216482,43
1773216512,43
1773216542,43
1773216572,43
1773216602,43
1773216632,43
1773216662,43
1773216692,43
1773243090,0
1773243124,2
1773243154,30
1773243184,30
1773243214,30
1773243244,30
1773243274,30
1773243304,30
1773243334,30
1773243364,30
1773243394,30
1773243427,30
1773243457,30
1773243487,30
1773243517,30
1773243547,30
1773243577,30
1773243607,30
1773243637,30
