t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,17,0.5693237652022255,0.0,0.0,0.0,events/second
1773145560,18,0.300423382166136,0.0,0.0,0.0,events/second
1773145590,19,0.21126810702360613,0.0,0.0,0.0,events/second
1773145620,20,0.16674277585089456,0.0,0.0,0.0,events/second
1773145650,21,0.14003206276799315,0.0,0.0,0.0,events/second
1773145680,22,0.1222264809323359,0.0,0.0,0.0,events/second
1773145710,23,0.1095211692291841,0.0,0.0,0.0,events/second
1773145740,24,0.0999933814380826,0.0,0.0,0.0,events/second
1773145770,25,0.09257953884332697,0.0,0.0,0.0,events/second
1773145800,26,0.08665151019106462,0.0,0.0,0.0,events/second
1773145830,27,0.08179489186289507,0.0,0.0,0.0,events/second
1773145860,28,0.07775547210869144,0.0,0.0,0.0,events/second
1773145890,29,0.07433769500317022,0.0,0.0,0.0,events/second
1773145920,30,0.07140735249575281,0.0,0.0,0.0,events/second
1773145950,30,0.06664656311597177,0.0,0.0,0.0,events/second
1773145980,31,0.06456391024939345,0.0,0.0,0.0,events/second
1773146070,0,0.0,0.0,0.0,0.0,events/second
1773146100,13,0.3978118305180715,0.0,0.0,0.0,events/second
1773146131,14,0.22333699607602162,0.0,0.0,0.0,events/second
1773146161,15,0.16181937187707154,0.0,0.0,0.0,events/second
1773146191,16,0.13039278596239576,0.0,0.0,0.0,events/second
1773146221,17,0.11131730510118334,0.0,0.0,0.0,events/second
1773146251,18,0.09850895240657848,0.0,0.0,0.0,events/second
1773146281,19,0.08931412503333973,0.0,0.0,0.0,events/second
1773146311,20,0.08239278237117174,0.0,0.0,0.0,events/second
1773146341,21,0.07699361347985355,0.0,0.0,0.0,events/second
1773146371,22,0.07266485983422842,0.0,0.0,0.0,events/second
1773146401,23,0.06911633538545002,0.0,0.0,0.0,events/second
1773146431,24,0.06615591598162283,0.0,0.0,0.0,events/second
1773146461,25,0.06364748941655671,0.0,0.0,0.0,events/second
1773146491,26,0.06149531566812336,0.0,0.0,0.0,events/second
1773146521,27,0.059627982343226874,0.0,0.0,0.0,events/second
1773146551,28,0.057992872438620745,0.0,0.0,0.0,events/second
1773146581,29,0.05654938372905733,0.0,0.0,0.0,events/second
1773146611,30,0.055265257341874076,0.0,0.0,0.0,events/second
1773146641,31,0.05411566736929006,0.0,0.0,0.0,events/second
1773146671,32,0.053080494676862565,0.0,0.0,0.0,events/second
1773146701,33,0.052143377930826046,0.0,0.0,0.0,events/second
1773146731,34,0.05129147275196878,0.0,0.0,0.0,events/second
1773146761,35,0.050513150729757844,0.0,0.0,0.0,events/second
1773146791,36,0.049799413027266495,0.0,0.0,0.0,events/second
1773146821,37,0.049142883691398784,0.0,0.0,0.0,events/second
1773146851,38,0.04853677738070953,0.0,0.0,0.0,events/second
1773146881,39,0.047975534113198944,0.0,0.0,0.0,events/second
1773146911,40,0.04745409340534177,0.0,0.0,0.0,events/second
1773146941,41,0.04696859729875372,0.0,0.0,0.0,events/second
1773146971,42,0.04651522475468176,0.0,0.0,0.0,events/second
1773147001,43,0.0460909905787865,0.0,0.0,0.0,events/second
1773147031,44,0.04569319849070239,0.0,0.0,0.0,events/second
1773147061,45,0.04531887942016599,0.0,0.0,0.0,events/second
1773147091,46,0.044967185600523915,0.0,0.0,0.0,events/second
1773147121,47,0.044635345291519614,0.0,0.0,0.0,events/second
1773147151,48,0.044322016189147724,0.0,0.0,0.0,events/second
1773147181,49,0.04402566109512222,0.0,0.0,0.0,events/second
1773147211,50,0.04374486902159482,0.0,0.0,0.0,events/second
1773147241,51,0.04347843584710324,0.0,0.0,0.0,events/second
1773147271,52,0.04322527749509698,0.0,0.0,0.0,events/second
1773147301,53,0.0429843550687134,0.0,0.0,0.0,events/second
1773147331,54,0.04275482465411463,0.0,0.0,0.0,events/second
1773147361,55,0.04253580848499649,0.0,0.0,0.0,events/second
1773147392,56,0.04232692188994944,0.0,0.0,0.0,events/second
1773147422,57,0.04212700287902819,0.0,0.0,0.0,events/second
1773147452,58,0.04193603847764222,0.0,0.0,0.0,events/second
1773147482,59,0.04175319320957399,0.0,0.0,0.0,events/second
1773147512,60,0.041577942032273954,0.0,0.0,0.0,events/second
1773147542,61,0.041409466100073816,0.0,0.0,0.0,events/second
1773147572,62,0.04124794495602999,0.0,0.0,0.0,events/second
1773147602,63,0.0410928037489962,0.0,0.0,0.0,events/second
1773147632,64,0.04094370072283434,0.0,0.0,0.0,events/second
1773147662,65,0.04080022079141168,0.0,0.0,0.0,events/second
1773147692,66,0.04066211866685293,0.0,0.0,0.0,events/second
1773147722,67,0.04052888085400156,0.0,0.0,0.0,events/second
1773147752,68,0.04040037533624115,0.0,0.0,0.0,events/second
1773147782,69,0.04027638060270077,0.0,0.0,0.0,events/second
1773147812,69,0.03958306192523304,0.0,0.0,0.0,events/second
1773147842,70,0.03947705202825889,0.0,0.0,0.0,events/second
