t,value
1773145530,61
1773145560,61
1773145590,61
1773145620,61
1773145650,61
1773145680,61
1773145710,61
1773145740,61
1773145770,61
1773145800,61
1773145830,61
1773145860,61
1773145890,61
1773145920,61
1773145950,61
1773145980,61
1773146070,61
1773146100,61
1773146131,61
1773146161,61
1773146191,61
1773146221,61
1773146251,61
1773146281,61
1773146311,61
1773146341,61
1773146371,61
1773146401,61
1773146431,61
1773146461,61
1773146491,61
1773146521,61
1773146551,61
1773146581,61
1773146611,61
1773146641,61
1773146671,61
1773146701,61
1773146731,61
1773146761,61
1773146791,61
1773146821,61
1773146851,61
1773146881,61
1773146911,61
1773146941,61
1773146971,61
1773147001,61
1773147031,61
1773147061,61
1773147091,61
1773147121,61
1773147151,61
1773147181,61
1773147211,61
1773147241,61
1773147271,61
1773147301,61
1773147331,61
1773147361,61
1773147392,61
1773147422,61
1773147452,61
1773147482,61
1773147512,61
1773147542,61
1773147572,61
1773147602,61
1773147632,61
1773147662,61
1773147692,61
1773147722,61
1773147752,61
1773147782,61
1773147812,61
1773147842,61
1773147872,61
1773147902,61
1773147932,61
1773147962,61
1773147992,61
1773148022,61
1773148052,61
1773148082,61
1773148112,61
1773148142,61
1773148172,61
1773148202,61
1773148232,61
1773148262,61
1773148292,61
1773148322,61
1773148352,61
1773148382,61
1773148412,61
1773148442,61
1773148472,61
1773148502,61
1773148532,61
1773148562,61
1773148592,61
1773148622,61
1773148652,61
1773148682,61
1773148712,61
1773148742,61
1773148772,61
1773148802,61
1773148832,61
1773148862,61
1773148892,61
1773148922,61
1773148952,61
1773148982,61
1773149012,61
1773149042,61
1773149072,61
1773149102,61
1773149132,61
1773149162,61
1773149192,61
1773149222,61
1773149252,61
1773149282,61
1773149312,61
1773149342,61
1773149372,61
1773149402,61
1773149432,61
1773149462,61
1773149492,61
1773149522,61
1773149552,61
1773149582,61
1773149612,61
1773149642,61
1773149672,61
1773149702,61
1773149732,61
1773149762,61
1773149792,61
1773149822,61
1773149852,61
1773149882,61
1773149912,61
1773149942,61
1773149972,61
1773150002,61
1773150032,61
1773150062,61
1773150092,61
1773150122,61
1773150152,61
1773150182,61
1773150212,61
1773150242,61
1773150272,61
1773150302,61
1773150333,61
1773150363,61
1773150393,61
1773150423,61
1773150453,61
1773150483,61
1773150513,61
1773150543,61
1773150573,61
1773150603,61
1773150633,61
1773150663,61
1773150693,61
1773150723,61
1773150753,61
1773150783,61
1773150813,61
1773150843,61
1773150873,61
1773150903,61
1773150933,61
1773150963,61
1773150993,61
1773151023,61
1773151053,61
1773151083,61
1773151113,61
1773151143,61
1773151173,61
1773151203,61
1773151233,61
1773151263,61
1773151293,61
1773151323,61
1773151353,61
1773151383,61
1773151413,61
1773151443,61
1773151473,61
1773151503,61
1773151533,61
1773151563,61
1773151593,61
1773151623,61
1773151653,61
1773151683,61
1773151713,61
1773151743,61
1773151773,61
1773151803,61
1773151833,61
1773151863,61
1773151893,61
1773151923,61
1773151953,61
1773151983,61
1773152013,61
1773152043,61
1773152073,61
1773152103,61
1773152133,61
1773152163,61
1773152193,61
1773152223,61
1773152253,61
1773152283,61
1773152313,61
1773152343,61
1773152373,61
1773152403,61
1773152433,61
1773152463,61
1773152493,61
1773152523,61
1773152553,61
1773152583,61
1773152613,61
1773152643,61
1773152673,61
1773152703,61
1773152733,61
1773152763,61
1773152793,61
1773152823,61
1773152853,61
1773152883,61
1773152913,61
1773206880,61
1773206912,61
1773206942,61
1773206972,61
1773207002,61
1773207032,61
1773207062,61
1773207092,61
1773207122,61
1773207152,61
1773207182,61
1773207212,61
1773207242,61
1773207272,61
1773207302,61
1773207332,61
1773207362,61
1773207392,61
1773207422,61
1773207452,61
1773207482,61
1773207512,61
1773207542,61
1773207572,61
1773207602,61
1773207632,61
1773207662,61
1773207693,61
1773207723,61
1773207753,61
1773207783,61
1773207813,61
1773207843,61
1773207873,61
1773207903,61
