t,value
1773145530,220
1773145560,220
1773145590,220
1773145620,220
1773145650,220
1773145680,220
1773145710,220
1773145740,220
1773145770,220
1773145800,220
1773145830,220
1773145860,220
1773145890,220
1773145920,220
1773145950,220
1773145980,220
1773146070,220
1773146100,220
1773146131,220
1773146161,220
1773146191,220
1773146221,220
1773146251,220
1773146281,220
1773146311,220
1773146341,220
1773146371,220
1773146401,220
1773146431,220
1773146461,220
1773146491,220
1773146521,220
1773146551,220
1773146581,220
1773146611,220
1773146641,220
1773146671,220
1773146701,220
1773146731,220
1773146761,220
1773146791,220
1773146821,220
1773146851,220
1773146881,220
1773146911,220
1773146941,220
1773146971,220
1773147001,220
1773147031,220
1773147061,220
1773147091,220
1773147121,220
1773147151,220
1773147181,220
1773147211,220
1773147241,220
1773147271,220
1773147301,220
1773147331,220
1773147361,220
1773147392,220
1773147422,220
1773147452,220
1773147482,220
1773147512,220
1773147542,220
1773147572,220
1773147602,220
1773147632,220
1773147662,220
1773147692,220
1773147722,220
1773147752,220
1773147782,220
1773147812,220
1773147842,220
1773147872,220
1773147902,220
1773147932,220
1773147962,220
1773147992,220
1773148022,220
1773148052,220
1773148082,220
1773148112,220
1773148142,220
1773148172,220
1773148202,220
1773148232,220
1773148262,220
1773148292,220
1773148322,220
1773148352,220
1773148382,220
1773148412,220
1773148442,220
1773148472,220
1773148502,220
1773148532,220
1773148562,220
1773148592,220
1773148622,220
1773148652,220
1773148682,220
1773148712,220
1773148742,220
1773148772,220
1773148802,220
1773148832,220
1773148862,220
1773148892,220
1773148922,220
1773148952,220
1773148982,220
1773149012,220
1773149042,220
1773149072,220
1773149102,220
1773149132,220
1773149162,220
1773149192,220
1773149222,220
1773149252,220
1773149282,220
1773149312,220
1773149342,220
1773149372,220
1773149402,220
1773149432,220
1773149462,220
1773149492,220
1773149522,220
1773149552,220
1773149582,220
1773149612,220
1773149642,220
1773149672,220
1773149702,220
1773149732,220
1773149762,220
1773149792,220
1773149822,220
1773149852,220
1773149882,220
1773149912,220
1773149942,220
1773149972,220
1773150002,220
1773150032,220
1773150062,220
1773150092,220
1773150122,220
1773150152,220
1773150182,220
1773150212,220
1773150242,220
1773150272,220
1773150302,220
1773150333,220
1773150363,220
1773150393,220
1773150423,220
1773150453,220
1773150483,220
1773150513,220
1773150543,220
1773150573,220
1773150603,220
1773150633,220
1773150663,220
1773150693,220
1773150723,220
1773150753,220
1773150783,220
1773150813,220
1773150843,220
1773150873,220
1773150903,220
1773150933,220
1773150963,220
1773150993,220
1773151023,220
1773151053,220
1773151083,220
1773151113,220
1773151143,220
1773151173,220
1773151203,220
1773151233,220
1773151263,220
1773151293,220
1773151323,220
1773151353,220
1773151383,220
1773151413,220
1773151443,220
1773151473,220
1773151503,220
1773151533,220
1773151563,220
1773151593,220
1773151623,220
1773151653,220
1773151683,220
1773151713,220
1773151743,220
1773151773,220
1773151803,220
1773151833,220
1773151863,220
1773151893,220
1773151923,220
1773151953,220
1773151983,220
1773152013,220
1773152043,220
1773152073,220
1773152103,220
1773152133,220
1773152163,220
1773152193,220
1773152223,220
1773152253,220
1773152283,220
1773152313,220
1773152343,220
1773152373,220
1773152403,220
1773152433,220
1773152463,220
1773152493,220
1773152523,220
1773152553,220
1773152583,220
1773152613,220
1773152643,220
1773152673,220
1773152703,220
1773152733,220
1773152763,220
1773152793,220
1773152823,220
1773152853,220
1773152883,220
1773152913,220
1773206880,220
1773206912,220
1773206942,220
1773206972,220
1773207002,220
1773207032,220
1773207062,220
1773207092,220
1773207122,220
1773207152,220
1773207182,220
1773207212,220
1773207242,220
1773207272,220
1773207302,220
1773207332,220
1773207362,220
1773207392,220
1773207422,220
1773207452,220
1773207482,220
1773207512,220
1773207542,220
1773207572,220
1773207602,220
1773207632,220
1773207662,220
1773207693,220
1773207723,220
1773207753,220
1773207783,220
1773207813,220
1773207843,220
1773207873,220
1773207903,220
1773207933,220
1773207963,220
1773207993,220
1773208023,220
1773208053,220
1773208083,220
1773208113,220
1773208143,220
1773208173,220
1773208203,220
1773211140,220
1773211173,220
1773211203,220
1773211233,220
1773211263,220
1773211293,220
1773211323,220
1773211353,220
1773211383,220
1773211413,220
1773211443,220
1773211473,220
1773211503,220
1773211533,220
1773211563,220
1773211593,220
1773211623,220
1773211653,220
1773211683,220
1773211713,220
1773211743,220
1773211773,220
1773211803,220
1773211833,220
1773211863,220
1773211893,220
1773211923,220
1773211953,220
1773211983,220
1773212013,220
1773212043,220
1773212073,220
1773212103,220
1773212133,220
1773212163,220
1773212193,220
1773212223,220
1773212253,220
1773212283,220
1773212313,220
1773212343,220
1773212373,220
1773212403,220
1773212433,220
1773212670,220
1773212820,220
1773212851,220
1773212881,220
1773212911,220
1773212941,220
1773212971,220
1773213001,220
1773213031,220
1773213061,220
1773213091,220
1773213121,220
1773213151,220
1773213181,220
1773213211,220
1773213241,220
1773213271,220
1773213301,220
1773213331,220
1773213361,220
1773213391,220
1773213421,220
1773213451,220
1773213481,220
1773213511,220
1773213541,220
1773213571,220
1773213601,220
1773213631,220
1773213661,220
1773213691,220
1773213721,220
1773213751,220
1773213781,220
1773213811,220
1773213841,220
1773213871,220
1773213901,220
1773213931,220
1773213961,220
1773213991,220
1773214021,220
1773214051,220
1773214081,220
1773214111,220
1773214141,220
1773214171,220
1773214201,220
1773214231,220
1773214261,220
1773214291,220
1773214321,220
1773214352,220
1773214382,220
1773214412,220
1773214442,220
1773214472,220
1773214502,220
1773214532,220
1773214562,220
1773214592,220
1773214622,220
1773214652,220
1773214682,220
1773214712,220
1773214742,220
1773214772,220
1773214802,220
1773214832,220
1773214862,220
1773214892,220
1773214922,220
1773214952,220
1773214982,220
1773215012,220
1773215042,220
1773215072,220
1773215102,220
1773215132,220
1773215162,220
1773215192,220
1773215222,220
1773215252,220
1773215282,220
1773215312,220
1773215342,220
1773215372,220
1773215402,220
1773215432,220
1773215462,220
1773215492,220
1773215522,220
1773215552,220
1773215582,220
1773215612,220
1773215642,220
1773215672,220
1773215702,220
1773215732,220
1773215762,220
1773215792,220
1773215822,220
1773215852,220
1773215882,220
1773215912,220
1773215942,220
1773215972,220
1773216002,220
1773216032,220
1773216062,220
1773216092,220
1773216122,220
1773216152,220
1773216182,220
1773216212,220
1773216242,220
1773216272,220
1773216302,220
1773216332,220
1773216362,220
1773216392,220
1773216422,220
1773216452,220
1773216482,220
1773216512,220
1773216542,220
1773216572,220
1773216602,220
1773216632,220
1773216662,220
1773216692,220
1773243090,220
1773243124,220
1773243154,220
1773243184,220
1773243214,220
1773243244,220
1773243274,220
1773243304,220
1773243334,220
1773243364,220
1773243394,220
1773243427,220
1773243457,220
1773243487,220
1773243517,220
1773243547,220
1773243577,220
1773243607,220
1773243637,220
1773243667,220
1773243697,220
1773243727,220
1773243757,220
1773243787,220
1773243930,220
1773243960,220
1773243990,220
1773244020,220
1773244050,220
1773244080,220
1773244110,220
1773244140,220
1773244170,220
1773244200,220
1773244230,220
1773244260,220
1773244290,220
1773244320,220
1773244350,220
1773244380,220
1773244410,220
1773244440,220
1773244470,220
1773244500,220
1773244530,220
1773244560,220
1773244590,220
1773244620,220
1773244650,220
1773244680,220
1773244710,220
1773244740,220
1773244770,220
1773244800,220
1773244830,220
1773244860,220
1773244890,220
1773244920,220
1773244950,220
1773244981,220
1773245011,220
1773245041,220
1773245071,220
1773245101,220
1773245131,220
1773245161,220
1773245191,220
1773245221,220
1773245251,220
1773245281,220
1773245311,220
1773245341,220
1773245371,220
1773245401,220
1773249690,220
1773249722,220
1773249752,220
1773249782,220
1773249812,220
1773249842,220
1773249872,220
1773249902,220
1773249932,220
1773249962,220
1773249992,220
1773250022,220
1773250052,220
1773250082,220
1773250112,220
1773250142,220
1773250173,220
1773250203,220
1773250233,220
1773250263,220
1773250293,220
1773250323,220
1773250353,220
1773250383,220
1773250413,220
1773250443,220
1773250473,220
1773250503,220
1773250533,220
1773250563,220
1773250593,220
1773250623,220
1773250653,220
1773250683,220
1773250713,220
1773250743,220
1773250773,220
1773250803,220
1773250833,220
1773250863,220
1773250893,220
1773250923,220
1773250953,220
1773250983,220
1773251013,220
1773251043,220
1773251073,220
1773251103,220
1773251133,220
1773251163,220
1773251193,220
1773251223,220
1773251253,220
1773251283,220
1773251313,220
1773251343,220
1773251373,220
1773251403,220
1773251433,220
1773251463,220
1773251493,220
1773251523,220
1773251553,220
1773251583,220
1773251613,220
1773251643,220
1773251673,220
1773251703,220
1773251733,220
1773251763,220
1773251793,220
1773251823,220
1773251853,220
1773251883,220
1773251913,220
1773251943,220
1773251973,220
1773252003,220
1773252033,220
1773252063,220
1773252093,220
1773252123,220
1773252153,220
1773252183,220
1773252213,220
1773252243,220
1773252273,220
1773252303,220
1773252333,220
1773252363,220
1773252393,220
1773252423,220
1773252453,220
1773252483,220
1773252513,220
1773252543,220
1773252573,220
1773252603,220
1773252633,220
1773252663,220
1773252693,220
1773252723,220
1773252753,220
1773252783,220
1773252813,220
1773252843,220
1773252873,220
1773252903,220
1773252933,220
1773252963,220
1773252993,220
1773253023,220
1773253053,220
1773253083,220
1773253114,220
1773253144,220
1773253174,220
1773253204,220
1773253234,220
1773253264,220
1773253294,220
1773253324,220
1773253354,220
1773253384,220
1773253414,220
1773253444,220
1773253474,220
1773253504,220
1773253534,220
1773253564,220
1773253594,220
1773253624,220
1773253654,220
1773253684,220
1773253714,220
1773253744,220
1773253774,220
1773253804,220
1773253834,220
1773253864,220
1773253894,220
1773253924,220
1773253954,220
1773253984,220
1773254014,220
1773254044,220
1773254074,220
1773254104,220
1773254134,220
1773254164,220
1773254194,220
1773254224,220
1773254254,220
1773254284,220
1773254314,220
1773254344,220
1773254374,220
1773254404,220
1773254434,220
1773254464,220
1773254494,220
1773254524,220
1773254554,220
1773254584,220
1773254614,220
1773254644,220
1773254674,220
1773254704,220
1773254734,220
1773254764,220
1773254794,220
1773254824,220
1773254854,220
1773254884,220
1773254914,220
1773254944,220
1773254974,220
1773255004,220
1773255034,220
1773255064,220
1773255094,220
1773255124,220
1773255154,220
1773255184,220
1773255214,220
1773255244,220
1773255274,220
1773255304,220
1773255334,220
1773255364,220
1773255394,220
1773255424,220
1773255454,220
1773255484,220
