t,value
1773145530,119
1773145560,119
1773145590,119
1773145620,119
1773145650,119
1773145680,119
1773145710,119
1773145740,119
1773145770,119
1773145800,119
1773145830,119
1773145860,119
1773145890,119
1773145920,119
1773145950,119
1773145980,119
1773146070,119
1773146100,119
1773146131,119
1773146161,119
1773146191,119
1773146221,119
1773146251,119
1773146281,119
1773146311,119
1773146341,119
1773146371,119
1773146401,119
1773146431,119
1773146461,119
1773146491,119
1773146521,119
1773146551,119
1773146581,119
1773146611,119
1773146641,119
1773146671,119
1773146701,119
1773146731,119
1773146761,119
1773146791,119
1773146821,119
1773146851,119
1773146881,119
1773146911,119
1773146941,119
1773146971,119
1773147001,119
1773147031,119
1773147061,119
1773147091,119
1773147121,119
1773147151,119
1773147181,119
1773147211,119
1773147241,119
1773147271,119
1773147301,119
1773147331,119
1773147361,119
1773147392,119
1773147422,119
1773147452,119
1773147482,119
1773147512,119
1773147542,119
1773147572,119
1773147602,119
1773147632,119
1773147662,119
1773147692,119
1773147722,119
1773147752,119
1773147782,119
1773147812,119
1773147842,119
1773147872,119
1773147902,119
1773147932,119
1773147962,119
1773147992,119
1773148022,119
1773148052,119
1773148082,119
1773148112,119
1773148142,119
1773148172,119
1773148202,119
1773148232,119
1773148262,119
1773148292,119
1773148322,119
1773148352,119
1773148382,119
1773148412,119
1773148442,119
1773148472,119
1773148502,119
1773148532,119
1773148562,119
1773148592,119
1773148622,119
1773148652,119
1773148682,119
1773148712,119
1773148742,119
1773148772,119
1773148802,119
1773148832,119
1773148862,119
1773148892,119
1773148922,119
1773148952,119
1773148982,119
1773149012,119
1773149042,119
1773149072,119
1773149102,119
1773149132,119
1773149162,119
1773149192,119
1773149222,119
1773149252,119
1773149282,119
1773149312,119
1773149342,119
1773149372,119
1773149402,119
1773149432,119
1773149462,119
1773149492,119
1773149522,119
1773149552,119
1773149582,119
1773149612,119
1773149642,119
1773149672,119
1773149702,119
1773149732,119
1773149762,119
1773149792,119
1773149822,119
1773149852,119
1773149882,119
1773149912,119
1773149942,119
1773149972,119
1773150002,119
1773150032,119
1773150062,119
1773150092,119
