t,value
1773145530,56
1773145560,56
1773145590,56
1773145620,56
1773145650,56
1773145680,56
1773145710,56
1773145740,56
1773145770,56
1773145800,56
1773145830,56
1773145860,56
1773145890,56
1773145920,56
1773145950,56
1773145980,56
1773146070,56
1773146100,56
1773146131,56
1773146161,56
1773146191,56
1773146221,56
1773146251,56
1773146281,56
1773146311,56
1773146341,56
1773146371,56
1773146401,56
1773146431,56
1773146461,56
1773146491,56
1773146521,56
1773146551,56
1773146581,56
1773146611,56
1773146641,56
1773146671,56
1773146701,56
1773146731,56
1773146761,56
1773146791,56
1773146821,56
1773146851,56
1773146881,56
1773146911,56
1773146941,56
1773146971,56
1773147001,56
1773147031,56
1773147061,56
1773147091,56
1773147121,56
1773147151,56
1773147181,56
1773147211,56
1773147241,56
1773147271,56
1773147301,56
1773147331,56
1773147361,56
1773147392,56
1773147422,56
1773147452,56
1773147482,56
1773147512,56
1773147542,56
1773147572,56
1773147602,56
1773147632,56
1773147662,56
1773147692,56
1773147722,56
1773147752,56
1773147782,56
1773147812,56
1773147842,56
1773147872,56
1773147902,56
1773147932,56
1773147962,56
1773147992,56
1773148022,56
1773148052,56
1773148082,56
1773148112,56
1773148142,56
1773148172,56
1773148202,56
1773148232,56
1773148262,56
1773148292,56
1773148322,56
1773148352,56
1773148382,56
1773148412,56
1773148442,56
1773148472,56
1773148502,56
1773148532,56
1773148562,56
1773148592,56
1773148622,56
1773148652,56
1773148682,56
1773148712,56
1773148742,56
1773148772,56
1773148802,56
1773148832,56
1773148862,56
1773148892,56
1773148922,56
1773148952,56
1773148982,56
1773149012,56
1773149042,56
1773149072,56
1773149102,56
1773149132,56
1773149162,56
1773149192,56
1773149222,56
1773149252,56
1773149282,56
1773149312,56
1773149342,56
1773149372,56
1773149402,56
1773149432,56
1773149462,56
1773149492,56
1773149522,56
1773149552,56
1773149582,56
1773149612,56
1773149642,56
1773149672,56
1773149702,56
1773149732,56
1773149762,56
1773149792,56
1773149822,56
1773149852,56
1773149882,56
1773149912,56
1773149942,56
1773149972,56
1773150002,56
1773150032,56
1773150062,56
1773150092,56
1773150122,56
1773150152,56
1773150182,56
1773150212,56
1773150242,56
1773150272,56
1773150302,56
1773150333,56
1773150363,56
1773150393,56
1773150423,56
1773150453,56
1773150483,56
1773150513,56
1773150543,56
1773150573,56
1773150603,56
1773150633,56
1773150663,56
1773150693,56
1773150723,56
1773150753,56
1773150783,56
1773150813,56
1773150843,56
1773150873,56
1773150903,56
1773150933,56
1773150963,56
1773150993,56
1773151023,56
1773151053,56
1773151083,56
1773151113,56
1773151143,56
1773151173,56
1773151203,56
1773151233,56
1773151263,56
1773151293,56
1773151323,56
1773151353,56
1773151383,56
1773151413,56
1773151443,56
1773151473,56
1773151503,56
1773151533,56
1773151563,56
1773151593,56
1773151623,56
1773151653,56
1773151683,56
1773151713,56
1773151743,56
1773151773,56
1773151803,56
1773151833,56
1773151863,56
1773151893,56
1773151923,56
1773151953,56
1773151983,56
1773152013,56
1773152043,56
1773152073,56
1773152103,56
1773152133,56
1773152163,56
1773152193,56
1773152223,56
1773152253,56
1773152283,56
1773152313,56
1773152343,56
1773152373,56
1773152403,56
1773152433,56
1773152463,56
1773152493,56
1773152523,56
1773152553,56
1773152583,56
1773152613,56
1773152643,56
1773152673,56
1773152703,56
1773152733,56
1773152763,56
1773152793,56
1773152823,56
1773152853,56
1773152883,56
1773152913,56
1773206880,56
1773206912,56
1773206942,56
1773206972,56
1773207002,56
1773207032,56
1773207062,56
1773207092,56
1773207122,56
1773207152,56
1773207182,56
1773207212,56
1773207242,56
1773207272,56
1773207302,56
1773207332,56
1773207362,56
1773207392,56
1773207422,56
1773207452,56
1773207482,56
1773207512,56
1773207542,56
1773207572,56
1773207602,56
1773207632,56
1773207662,56
1773207693,56
1773207723,56
1773207753,56
1773207783,56
1773207813,56
1773207843,56
1773207873,56
1773207903,56
1773207933,56
1773207963,56
1773207993,56
1773208023,56
1773208053,56
1773208083,56
1773208113,56
1773208143,56
1773208173,56
