t,value
1773145530,108
1773145560,108
1773145590,108
1773145620,108
1773145650,108
1773145680,108
1773145710,108
1773145740,108
1773145770,108
1773145800,108
1773145830,108
1773145860,108
1773145890,108
1773145920,108
1773145950,108
1773145980,108
1773146070,108
1773146100,108
1773146131,108
1773146161,108
1773146191,108
1773146221,108
1773146251,108
1773146281,108
1773146311,108
1773146341,108
1773146371,108
1773146401,108
1773146431,108
1773146461,108
1773146491,108
1773146521,108
1773146551,108
1773146581,108
1773146611,108
1773146641,108
1773146671,108
1773146701,108
1773146731,108
1773146761,108
1773146791,108
1773146821,108
1773146851,108
1773146881,108
1773146911,108
1773146941,108
1773146971,108
1773147001,108
1773147031,108
1773147061,108
1773147091,108
1773147121,108
1773147151,108
1773147181,108
1773147211,108
1773147241,108
1773147271,108
1773147301,108
1773147331,108
1773147361,108
1773147392,108
1773147422,108
1773147452,108
1773147482,108
1773147512,108
1773147542,108
1773147572,108
1773147602,108
1773147632,108
1773147662,108
1773147692,108
1773147722,108
1773147752,108
1773147782,108
1773147812,108
1773147842,108
1773147872,108
1773147902,108
1773147932,108
1773147962,108
1773147992,108
1773148022,108
1773148052,108
1773148082,108
1773148112,108
1773148142,108
1773148172,108
1773148202,108
1773148232,108
1773148262,108
1773148292,108
1773148322,108
1773148352,108
1773148382,108
1773148412,108
1773148442,108
1773148472,108
1773148502,108
1773148532,108
1773148562,108
1773148592,108
1773148622,108
1773148652,108
1773148682,108
1773148712,108
1773148742,108
1773148772,108
1773148802,108
1773148832,108
1773148862,108
1773148892,108
1773148922,108
1773148952,108
1773148982,108
1773149012,108
1773149042,108
1773149072,108
1773149102,108
1773149132,108
1773149162,108
1773149192,108
1773149222,108
1773149252,108
1773149282,108
1773149312,108
1773149342,108
1773149372,108
1773149402,108
1773149432,108
1773149462,108
1773149492,108
1773149522,108
1773149552,108
1773149582,108
1773149612,108
1773149642,108
1773149672,108
1773149702,108
1773149732,108
1773149762,108
1773149792,108
1773149822,108
1773149852,108
1773149882,108
1773149912,108
1773149942,108
1773149972,108
1773150002,108
1773150032,108
1773150062,108
1773150092,108
1773150122,108
1773150152,108
1773150182,108
1773150212,108
1773150242,108
1773150272,108
1773150302,108
1773150333,108
1773150363,108
1773150393,108
1773150423,108
1773150453,108
1773150483,108
1773150513,108
1773150543,108
1773150573,108
1773150603,108
1773150633,108
1773150663,108
1773150693,108
1773150723,108
