t,value
1773145530,11
1773145560,11
1773145590,11
1773145620,11
1773145650,11
1773145680,11
1773145710,11
1773145740,11
1773145770,11
1773145800,11
1773145830,11
1773145860,11
1773145890,11
1773145920,11
1773145950,11
1773145980,11
1773146070,11
1773146100,11
1773146131,11
1773146161,11
1773146191,11
1773146221,11
1773146251,11
1773146281,11
1773146311,11
1773146341,11
1773146371,11
1773146401,11
1773146431,11
1773146461,11
1773146491,11
1773146521,11
1773146551,11
1773146581,11
1773146611,11
1773146641,11
1773146671,11
1773146701,11
1773146731,11
1773146761,11
1773146791,11
1773146821,11
1773146851,11
1773146881,11
1773146911,11
1773146941,11
1773146971,11
1773147001,11
1773147031,11
1773147061,11
1773147091,11
1773147121,11
1773147151,11
1773147181,11
1773147211,11
1773147241,11
1773147271,11
1773147301,11
1773147331,11
1773147361,11
1773147392,11
1773147422,11
1773147452,11
1773147482,11
1773147512,11
1773147542,11
1773147572,11
1773147602,11
1773147632,11
1773147662,11
1773147692,11
1773147722,11
1773147752,11
1773147782,11
1773147812,11
1773147842,11
1773147872,11
1773147902,11
1773147932,11
1773147962,11
1773147992,11
1773148022,11
1773148052,11
1773148082,11
1773148112,11
1773148142,11
1773148172,11
1773148202,11
1773148232,11
1773148262,11
1773148292,11
1773148322,11
1773148352,11
1773148382,11
1773148412,11
1773148442,11
1773148472,11
1773148502,11
1773148532,11
1773148562,11
1773148592,11
1773148622,11
1773148652,11
1773148682,11
1773148712,11
1773148742,11
1773148772,11
1773148802,11
1773148832,11
1773148862,11
1773148892,11
1773148922,11
1773148952,11
1773148982,11
1773149012,11
1773149042,11
1773149072,11
1773149102,11
1773149132,11
1773149162,11
1773149192,11
1773149222,11
1773149252,11
1773149282,11
1773149312,11
1773149342,11
1773149372,11
1773149402,11
1773149432,11
1773149462,11
1773149492,11
1773149522,11
1773149552,11
1773149582,11
1773149612,11
1773149642,11
1773149672,11
1773149702,11
1773149732,11
1773149762,11
1773149792,11
1773149822,11
1773149852,11
1773149882,11
1773149912,11
1773149942,11
1773149972,11
1773150002,11
1773150032,11
1773150062,11
1773150092,11
1773150122,11
1773150152,11
1773150182,11
1773150212,11
1773150242,11
1773150272,11
1773150302,11
1773150333,11
1773150363,11
1773150393,11
1773150423,11
1773150453,11
1773150483,11
1773150513,11
1773150543,11
1773150573,11
1773150603,11
1773150633,11
1773150663,11
1773150693,11
1773150723,11
1773150753,11
1773150783,11
1773150813,11
1773150843,11
1773150873,11
1773150903,11
1773150933,11
1773150963,11
1773150993,11
1773151023,11
1773151053,11
1773151083,11
1773151113,11
1773151143,11
1773151173,11
1773151203,11
1773151233,11
1773151263,11
1773151293,11
1773151323,11
1773151353,11
1773151383,11
1773151413,11
1773151443,11
1773151473,11
1773151503,11
1773151533,11
1773151563,11
1773151593,11
1773151623,11
1773151653,11
1773151683,11
1773151713,11
1773151743,11
1773151773,11
1773151803,11
1773151833,11
1773151863,11
1773151893,11
1773151923,11
1773151953,11
1773151983,11
1773152013,11
1773152043,11
1773152073,11
1773152103,11
1773152133,11
1773152163,11
1773152193,11
1773152223,11
1773152253,11
1773152283,11
1773152313,11
1773152343,11
1773152373,11
1773152403,11
1773152433,11
1773152463,11
1773152493,11
1773152523,11
1773152553,11
1773152583,11
1773152613,11
1773152643,11
1773152673,11
1773152703,11
1773152733,11
1773152763,11
1773152793,11
1773152823,11
1773152853,11
1773152883,11
1773152913,11
1773206880,11
1773206912,11
1773206942,11
1773206972,11
1773207002,11
1773207032,11
1773207062,11
1773207092,11
1773207122,11
1773207152,11
1773207182,11
1773207212,11
1773207242,11
1773207272,11
1773207302,11
1773207332,11
1773207362,11
1773207392,11
1773207422,11
1773207452,11
1773207482,11
1773207512,11
1773207542,11
1773207572,11
1773207602,11
1773207632,11
1773207662,11
1773207693,11
1773207723,11
1773207753,11
1773207783,11
1773207813,11
1773207843,11
1773207873,11
1773207903,11
1773207933,11
1773207963,11
1773207993,11
1773208023,11
1773208053,11
1773208083,11
1773208113,11
1773208143,11
1773208173,11
1773208203,11
1773211140,11
1773211173,11
1773211203,11
1773211233,11
1773211263,11
1773211293,11
1773211323,11
1773211353,11
1773211383,11
1773211413,11
1773211443,11
1773211473,11
1773211503,11
1773211533,11
1773211563,11
1773211593,11
1773211623,11
1773211653,11
1773211683,11
1773211713,11
1773211743,11
1773211773,11
1773211803,11
1773211833,11
1773211863,11
1773211893,11
1773211923,11
1773211953,11
1773211983,11
1773212013,11
1773212043,11
1773212073,11
1773212103,11
1773212133,11
1773212163,11
1773212193,11
1773212223,11
1773212253,11
1773212283,11
1773212313,11
1773212343,11
1773212373,11
1773212403,11
1773212433,11
1773212670,11
1773212820,11
1773212851,11
1773212881,11
1773212911,11
1773212941,11
1773212971,11
1773213001,11
1773213031,11
1773213061,11
1773213091,11
1773213121,11
1773213151,11
1773213181,11
1773213211,11
1773213241,11
1773213271,11
1773213301,11
1773213331,11
1773213361,11
1773213391,11
1773213421,11
1773213451,11
1773213481,11
1773213511,11
1773213541,11
1773213571,11
1773213601,11
1773213631,11
1773213661,11
1773213691,11
1773213721,11
1773213751,11
1773213781,11
1773213811,11
1773213841,11
1773213871,11
1773213901,11
1773213931,11
1773213961,11
1773213991,11
1773214021,11
1773214051,11
1773214081,11
1773214111,11
1773214141,11
1773214171,11
1773214201,11
1773214231,11
1773214261,11
1773214291,11
1773214321,11
1773214352,11
1773214382,11
1773214412,11
1773214442,11
1773214472,11
1773214502,11
1773214532,11
1773214562,11
1773214592,11
1773214622,11
1773214652,11
1773214682,11
1773214712,11
1773214742,11
1773214772,11
1773214802,11
1773214832,11
1773214862,11
1773214892,11
1773214922,11
1773214952,11
1773214982,11
1773215012,11
1773215042,11
1773215072,11
1773215102,11
1773215132,11
1773215162,11
1773215192,11
1773215222,11
1773215252,11
1773215282,11
1773215312,11
1773215342,11
1773215372,11
1773215402,11
1773215432,11
1773215462,11
1773215492,11
1773215522,11
1773215552,11
1773215582,11
1773215612,11
1773215642,11
1773215672,11
1773215702,11
1773215732,11
1773215762,11
1773215792,11
1773215822,11
1773215852,11
1773215882,11
1773215912,11
1773215942,11
1773215972,11
1773216002,11
1773216032,11
1773216062,11
1773216092,11
1773216122,11
1773216152,11
1773216182,11
1773216212,11
1773216242,11
1773216272,11
1773216302,11
1773216332,11
1773216362,11
1773216392,11
1773216422,11
1773216452,11
1773216482,11
1773216512,11
1773216542,11
1773216572,11
1773216602,11
1773216632,11
1773216662,11
1773216692,11
1773243090,11
1773243124,11
1773243154,11
1773243184,11
1773243214,11
1773243244,11
1773243274,11
1773243304,11
1773243334,11
1773243364,11
1773243394,11
1773243427,11
1773243457,11
1773243487,11
1773243517,11
1773243547,11
1773243577,11
1773243607,11
1773243637,11
1773243667,11
1773243697,11
1773243727,11
1773243757,11
1773243787,11
1773243930,11
1773243960,11
1773243990,11
1773244020,11
1773244050,11
1773244080,11
1773244110,11
1773244140,11
1773244170,11
1773244200,11
1773244230,11
1773244260,11
1773244290,11
1773244320,11
1773244350,11
1773244380,11
1773244410,11
1773244440,11
1773244470,11
1773244500,11
1773244530,11
1773244560,11
1773244590,11
1773244620,11
1773244650,11
1773244680,11
1773244710,11
1773244740,11
1773244770,11
1773244800,11
1773244830,11
1773244860,11
1773244890,11
1773244920,11
1773244950,11
1773244981,11
1773245011,11
1773245041,11
1773245071,11
1773245101,11
1773245131,11
1773245161,11
1773245191,11
1773245221,11
1773245251,11
1773245281,11
1773245311,11
1773245341,11
1773245371,11
1773245401,11
1773249690,11
1773249722,11
1773249752,11
1773249782,11
1773249812,11
1773249842,11
1773249872,11
1773249902,11
1773249932,11
1773249962,11
1773249992,11
1773250022,11
1773250052,11
1773250082,11
1773250112,11
1773250142,11
1773250173,11
1773250203,11
1773250233,11
1773250263,11
1773250293,11
1773250323,11
1773250353,11
1773250383,11
1773250413,11
1773250443,11
1773250473,11
1773250503,11
1773250533,11
