t,value
1773145530,449
1773145560,449
1773145590,449
1773145620,449
1773145650,449
1773145680,449
1773145710,449
1773145740,449
1773145770,449
1773145800,449
1773145830,449
1773145860,449
1773145890,449
1773145920,449
1773145950,449
1773145980,449
1773146070,449
1773146100,449
1773146131,449
1773146161,449
1773146191,449
1773146221,449
1773146251,449
1773146281,449
1773146311,449
1773146341,449
1773146371,449
1773146401,449
1773146431,449
1773146461,449
1773146491,449
1773146521,449
1773146551,449
1773146581,449
1773146611,449
1773146641,449
1773146671,449
1773146701,449
1773146731,449
1773146761,449
1773146791,449
1773146821,449
1773146851,449
1773146881,449
1773146911,449
1773146941,449
1773146971,449
1773147001,449
1773147031,449
1773147061,449
1773147091,449
1773147121,449
1773147151,449
1773147181,449
1773147211,449
1773147241,449
1773147271,449
1773147301,449
1773147331,449
1773147361,449
1773147392,449
1773147422,449
1773147452,449
1773147482,449
1773147512,449
1773147542,449
1773147572,449
1773147602,449
1773147632,449
1773147662,449
1773147692,449
1773147722,449
1773147752,449
1773147782,449
1773147812,449
1773147842,449
1773147872,449
1773147902,449
1773147932,449
1773147962,449
1773147992,449
1773148022,449
1773148052,449
1773148082,449
1773148112,449
1773148142,449
1773148172,449
1773148202,449
1773148232,449
1773148262,449
1773148292,449
1773148322,449
1773148352,449
1773148382,449
1773148412,449
1773148442,449
1773148472,449
1773148502,449
1773148532,449
1773148562,449
1773148592,449
1773148622,449
1773148652,449
1773148682,449
1773148712,449
1773148742,449
1773148772,449
1773148802,449
1773148832,449
1773148862,449
1773148892,449
1773148922,449
1773148952,449
1773148982,449
1773149012,449
1773149042,449
1773149072,449
1773149102,449
1773149132,449
1773149162,449
1773149192,449
1773149222,449
1773149252,449
1773149282,449
1773149312,449
1773149342,449
1773149372,449
1773149402,449
1773149432,449
1773149462,449
1773149492,449
1773149522,449
1773149552,449
1773149582,449
1773149612,449
1773149642,449
1773149672,449
1773149702,449
1773149732,449
1773149762,449
1773149792,449
1773149822,449
1773149852,449
1773149882,449
1773149912,449
1773149942,449
1773149972,449
1773150002,449
1773150032,449
1773150062,449
1773150092,449
1773150122,449
1773150152,449
1773150182,449
1773150212,449
1773150242,449
1773150272,449
1773150302,449
1773150333,449
1773150363,449
1773150393,449
1773150423,449
1773150453,449
1773150483,449
1773150513,449
1773150543,449
1773150573,449
1773150603,449
1773150633,449
1773150663,449
1773150693,449
1773150723,449
1773150753,449
1773150783,449
1773150813,449
1773150843,449
1773150873,449
1773150903,449
1773150933,449
1773150963,449
1773150993,449
1773151023,449
1773151053,449
1773151083,449
1773151113,449
1773151143,449
1773151173,449
1773151203,449
1773151233,449
1773151263,449
1773151293,449
1773151323,449
1773151353,449
1773151383,449
1773151413,449
1773151443,449
1773151473,449
1773151503,449
1773151533,449
