t,value
1773145530,73728
1773145560,73728
1773145590,73728
1773145620,73728
1773145650,73728
1773145680,73728
1773145710,73728
1773145740,73728
1773145770,73728
1773145800,73728
1773145830,73728
1773145860,73728
1773145890,73728
1773145920,73728
1773145950,73728
1773145980,73728
1773146070,1770606
1773146100,1770606
1773146131,1770606
1773146161,1770606
1773146191,1770606
1773146221,1770606
1773146251,1770606
1773146281,1770606
1773146311,1770606
1773146341,1770606
1773146371,1770606
1773146401,1770606
1773146431,1770606
1773146461,1770606
1773146491,1770606
1773146521,1770606
1773146551,1770606
1773146581,1770606
1773146611,1770606
1773146641,1770606
1773146671,1770606
1773146701,1770606
1773146731,1770606
1773146761,1770606
1773146791,1770606
1773146821,1770606
1773146851,1770606
1773146881,1770606
1773146911,1770606
1773146941,1770606
1773146971,1770606
1773147001,1770606
1773147031,1770606
1773147061,1770606
1773147091,1770606
1773147121,1770606
1773147151,1770606
1773147181,1770606
1773147211,1770606
1773147241,1770606
1773147271,1770606
1773147301,1770606
1773147331,1770606
1773147361,1770606
1773147392,1770606
1773147422,1770606
1773147452,1770606
1773147482,1770606
1773147512,1770606
1773147542,1770606
1773147572,1770606
1773147602,1770606
1773147632,1770606
1773147662,1770606
1773147692,1770606
1773147722,1770606
1773147752,1770606
1773147782,1770606
1773147812,1770606
1773147842,1770606
1773147872,1770606
1773147902,1770606
1773147932,1770606
1773147962,1770606
1773147992,1770606
1773148022,1770606
1773148052,1770606
1773148082,1770606
1773148112,1770606
1773148142,1770606
1773148172,1770606
1773148202,1770606
1773148232,1770606
1773148262,1770606
1773148292,1770606
1773148322,1770606
1773148352,1770606
1773148382,1770606
1773148412,1770606
1773148442,1770606
1773148472,1770606
1773148502,1770606
1773148532,1770606
1773148562,1770606
1773148592,1770606
1773148622,1770606
1773148652,1770606
1773148682,1770606
1773148712,1770606
1773148742,1770606
1773148772,1770606
1773148802,1770606
1773148832,1770606
1773148862,1770606
1773148892,1770606
1773148922,1770606
1773148952,1770606
1773148982,1770606
1773149012,1770606
1773149042,1770606
1773149072,1770606
1773149102,1770606
1773149132,1770606
1773149162,1770606
1773149192,1770606
1773149222,1770606
1773149252,1770606
1773149282,1770606
1773149312,1770606
1773149342,1770606
1773149372,1770606
1773149402,1770606
1773149432,1770606
1773149462,1770606
1773149492,1770606
1773149522,1770606
1773149552,1770606
1773149582,1770606
1773149612,1770606
1773149642,1770606
1773149672,1770606
1773149702,1770606
1773149732,1770606
1773149762,1770606
1773149792,1770606
1773149822,1770606
1773149852,1770606
1773149882,1770606
1773149912,1770606
1773149942,1770606
1773149972,1770606
1773150002,1770606
1773150032,1770606
1773150062,1770606
1773150092,1770606
1773150122,1770606
1773150152,1770606
1773150182,1770606
1773150212,1770606
1773150242,1770606
1773150272,1770606
1773150302,1770606
1773150333,1770606
1773150363,1770606
1773150393,1770606
1773150423,1770606
1773150453,1770606
1773150483,1770606
1773150513,1770606
1773150543,1770606
1773150573,1770606
1773150603,1770606
1773150633,1770606
1773150663,1770606
1773150693,1770606
1773150723,1770606
1773150753,1770606
1773150783,1770606
1773150813,1770606
1773150843,1770606
1773150873,1770606
1773150903,1770606
1773150933,1770606
1773150963,1770606
1773150993,1770606
1773151023,1770606
1773151053,1770606
1773151083,1770606
1773151113,1770606
1773151143,1770606
1773151173,1770606
1773151203,1770606
1773151233,1770606
1773151263,1770606
1773151293,1770606
1773151323,1770606
1773151353,1770606
1773151383,1770606
1773151413,1770606
1773151443,1770606
1773151473,1770606
1773151503,1770606
1773151533,1770606
1773151563,1770606
1773151593,1770606
1773151623,1770606
1773151653,1770606
1773151683,1770606
1773151713,1770606
1773151743,1770606
1773151773,1770606
1773151803,1770606
1773151833,1770606
1773151863,1770606
1773151893,1770606
1773151923,1770606
1773151953,1770606
1773151983,1770606
1773152013,1770606
1773152043,1770606
1773152073,1770606
1773152103,1770606
1773152133,1770606
1773152163,1770606
1773152193,1770606
1773152223,1770606
1773152253,1770606
1773152283,1770606
1773152313,1770606
1773152343,1770606
1773152373,1770606
1773152403,1770606
1773152433,1770606
1773152463,1770606
1773152493,1770606
1773152523,1770606
1773152553,1770606
1773152583,1770606
1773152613,1770606
1773152643,1770606
1773152673,1770606
1773152703,1770606
1773152733,1770606
1773152763,1770606
1773152793,1770606
1773152823,1770606
1773152853,1770606
1773152883,1770606
1773152913,1770606
1773206880,1770606
1773206912,1770606
1773206942,1770606
1773206972,1770606
1773207002,1770606
1773207032,1770606
1773207062,1770606
1773207092,1770606
1773207122,1770606
1773207152,1770606
1773207182,1770606
1773207212,1770606
1773207242,1770606
1773207272,1770606
1773207302,1770606
1773207332,1770606
1773207362,1770606
1773207392,1770606
1773207422,1770606
1773207452,1770606
1773207482,1770606
1773207512,1770606
1773207542,1770606
1773207572,1770606
1773207602,1770606
1773207632,1770606
1773207662,1770606
1773207693,1770606
1773207723,1770606
1773207753,1770606
1773207783,1770606
1773207813,1770606
1773207843,1770606
1773207873,1770606
1773207903,1770606
1773207933,1770606
1773207963,1770606
1773207993,1770606
1773208023,1770606
1773208053,1770606
1773208083,1770606
1773208113,1770606
1773208143,1770606
1773208173,1770606
1773208203,1770606
1773211140,1770606
1773211173,1770606
1773211203,1770606
1773211233,1770606
1773211263,1770606
1773211293,1770606
1773211323,1770606
1773211353,1770606
1773211383,1770606
1773211413,1770606
1773211443,1770606
1773211473,1770606
1773211503,1770606
1773211533,1770606
1773211563,1770606
1773211593,1770606
1773211623,1770606
1773211653,1770606
1773211683,1770606
1773211713,1770606
1773211743,1770606
1773211773,1770606
1773211803,1770606
1773211833,1770606
1773211863,1770606
1773211893,1770606
1773211923,1770606
1773211953,1770606
1773211983,1770606
1773212013,1770606
1773212043,1770606
1773212073,1770606
1773212103,1770606
1773212133,1770606
1773212163,1770606
1773212193,1770606
1773212223,1770606
1773212253,1770606
1773212283,1770606
1773212313,1770606
1773212343,1770606
1773212373,1770606
1773212403,1770606
1773212433,1770606
1773212670,1795182
1773212820,1827951
1773212851,1827951
1773212881,1827951
1773212911,1827951
1773212941,1827951
1773212971,1827951
1773213001,1827951
1773213031,1827951
1773213061,1827951
1773213091,1827951
1773213121,1827951
1773213151,1827951
1773213181,1827951
1773213211,1827951
1773213241,1827951
1773213271,1827951
1773213301,1827951
1773213331,1827951
1773213361,1827951
1773213391,1827951
1773213421,1827951
1773213451,1827951
1773213481,1827951
1773213511,1827951
1773213541,1827951
1773213571,1827951
1773213601,1827951
1773213631,1827951
1773213661,1827951
1773213691,1827951
1773213721,1827951
1773213751,1827951
1773213781,1827951
1773213811,1827951
1773213841,1827951
1773213871,1827951
1773213901,1827951
1773213931,1827951
1773213961,1827951
1773213991,1827951
1773214021,1827951
1773214051,1827951
1773214081,1827951
1773214111,1827951
1773214141,1827951
1773214171,1827951
1773214201,1827951
1773214231,1827951
1773214261,1827951
1773214291,1827951
1773214321,1827951
1773214352,1827951
1773214382,1827951
1773214412,1827951
1773214442,1827951
1773214472,1827951
1773214502,1827951
1773214532,1827951
1773214562,1827951
1773214592,1827951
1773214622,1827951
1773214652,1827951
1773214682,1827951
1773214712,1827951
1773214742,1827951
1773214772,1827951
1773214802,1827951
1773214832,1827951
1773214862,1827951
1773214892,1827951
1773214922,1827951
1773214952,1827951
1773214982,1827951
1773215012,1827951
1773215042,1827951
1773215072,1827951
1773215102,1827951
1773215132,1827951
1773215162,1827951
1773215192,1827951
1773215222,1827951
1773215252,1827951
1773215282,1827951
1773215312,1827951
1773215342,1827951
1773215372,1827951
1773215402,1827951
1773215432,1827951
1773215462,1827951
1773215492,1827951
1773215522,1827951
1773215552,1827951
1773215582,1827951
1773215612,1827951
1773215642,1827951
1773215672,1827951
1773215702,1827951
1773215732,1827951
1773215762,1827951
1773215792,1827951
1773215822,1827951
1773215852,1827951
1773215882,1827951
1773215912,1827951
1773215942,1827951
1773215972,1827951
1773216002,1827951
1773216032,1827951
1773216062,1827951
1773216092,1827951
1773216122,1827951
1773216152,1827951
1773216182,1827951
1773216212,1827951
1773216242,1827951
1773216272,1827951
1773216302,1827951
1773216332,1827951
1773216362,1827951
1773216392,1827951
1773216422,1827951
1773216452,1827951
1773216482,1827951
1773216512,1827951
1773216542,1827951
1773216572,1827951
1773216602,1827951
1773216632,1827951
1773216662,1827951
1773216692,1827951
