t,value
1773145530,73728
1773145560,73728
1773145590,73728
1773145620,73728
1773145650,73728
1773145680,73728
1773145710,73728
1773145740,73728
1773145770,73728
1773145800,73728
1773145830,73728
1773145860,73728
1773145890,73728
1773145920,73728
1773145950,73728
1773145980,73728
1773146070,1847256
1773146100,1847256
1773146131,1847256
1773146161,1847256
1773146191,1847256
1773146221,1847256
1773146251,1847256
1773146281,1847256
1773146311,1847256
1773146341,1847256
1773146371,1847256
1773146401,1847256
1773146431,1847256
1773146461,1847256
1773146491,1847256
1773146521,1847256
1773146551,1847256
1773146581,1847256
1773146611,1847256
1773146641,1847256
1773146671,1847256
1773146701,1847256
1773146731,1847256
1773146761,1847256
1773146791,1847256
1773146821,1847256
1773146851,1847256
1773146881,1847256
1773146911,1847256
1773146941,1847256
1773146971,1847256
1773147001,1847256
1773147031,1847256
1773147061,1847256
1773147091,1847256
1773147121,1847256
1773147151,1847256
1773147181,1847256
1773147211,1847256
1773147241,1847256
1773147271,1847256
1773147301,1847256
1773147331,1847256
1773147361,1847256
1773147392,1847256
1773147422,1847256
1773147452,1847256
1773147482,1847256
1773147512,1847256
1773147542,1847256
1773147572,1847256
1773147602,1847256
1773147632,1847256
1773147662,1847256
1773147692,1847256
1773147722,1847256
1773147752,1847256
1773147782,1847256
1773147812,1847256
1773147842,1847256
1773147872,1847256
1773147902,1847256
1773147932,1847256
1773147962,1847256
1773147992,1847256
1773148022,1847256
1773148052,1847256
1773148082,1847256
1773148112,1847256
1773148142,1847256
1773148172,1847256
1773148202,1847256
1773148232,1847256
1773148262,1847256
1773148292,1847256
1773148322,1847256
1773148352,1847256
1773148382,1847256
1773148412,1847256
1773148442,1847256
1773148472,1847256
1773148502,1847256
1773148532,1847256
1773148562,1847256
1773148592,1847256
1773148622,1847256
1773148652,1847256
1773148682,1847256
1773148712,1847256
1773148742,1847256
1773148772,1847256
1773148802,1847256
1773148832,1847256
1773148862,1847256
1773148892,1847256
1773148922,1847256
1773148952,1847256
1773148982,1847256
1773149012,1847256
1773149042,1847256
1773149072,1847256
1773149102,1847256
1773149132,1847256
1773149162,1847256
1773149192,1847256
1773149222,1847256
1773149252,1847256
1773149282,1847256
1773149312,1847256
1773149342,1847256
1773149372,1847256
1773149402,1847256
1773149432,1847256
1773149462,1847256
1773149492,1847256
1773149522,1847256
1773149552,1847256
1773149582,1847256
1773149612,1847256
1773149642,1847256
1773149672,1847256
1773149702,1847256
1773149732,1847256
1773149762,1847256
1773149792,1847256
1773149822,1847256
1773149852,1847256
1773149882,1847256
1773149912,1847256
1773149942,1847256
1773149972,1847256
1773150002,1847256
1773150032,1847256
1773150062,1847256
1773150092,1847256
1773150122,1847256
1773150152,1847256
1773150182,1847256
1773150212,1847256
1773150242,1847256
1773150272,1847256
1773150302,1847256
1773150333,1847256
1773150363,1847256
1773150393,1847256
1773150423,1847256
1773150453,1847256
1773150483,1847256
1773150513,1847256
1773150543,1847256
1773150573,1847256
1773150603,1847256
1773150633,1847256
1773150663,1847256
1773150693,1847256
1773150723,1847256
1773150753,1847256
1773150783,1847256
1773150813,1847256
1773150843,1847256
1773150873,1847256
1773150903,1847256
1773150933,1847256
1773150963,1847256
1773150993,1847256
1773151023,1847256
1773151053,1847256
1773151083,1847256
1773151113,1847256
1773151143,1847256
1773151173,1847256
1773151203,1847256
1773151233,1847256
1773151263,1847256
1773151293,1847256
1773151323,1847256
1773151353,1847256
1773151383,1847256
1773151413,1847256
1773151443,1847256
1773151473,1847256
1773151503,1847256
1773151533,1847256
1773151563,1847256
1773151593,1847256
1773151623,1847256
1773151653,1847256
1773151683,1847256
1773151713,1847256
1773151743,1847256
1773151773,1847256
1773151803,1847256
1773151833,1847256
1773151863,1847256
1773151893,1847256
1773151923,1847256
1773151953,1847256
1773151983,1847256
1773152013,1847256
1773152043,1847256
1773152073,1847256
1773152103,1847256
1773152133,1847256
1773152163,1847256
1773152193,1847256
1773152223,1847256
1773152253,1847256
1773152283,1847256
1773152313,1847256
1773152343,1847256
1773152373,1847256
1773152403,1847256
1773152433,1847256
1773152463,1847256
1773152493,1847256
1773152523,1847256
1773152553,1847256
1773152583,1847256
1773152613,1847256
1773152643,1847256
1773152673,1847256
1773152703,1847256
1773152733,1847256
1773152763,1847256
1773152793,1847256
1773152823,1847256
1773152853,1847256
1773152883,1847256
1773152913,1847256
1773206880,1847256
1773206912,1847256
1773206942,1847256
1773206972,1847256
1773207002,1847256
1773207032,1847256
1773207062,1847256
1773207092,1847256
1773207122,1847256
1773207152,1847256
1773207182,1847256
1773207212,1847256
1773207242,1847256
1773207272,1847256
1773207302,1847256
1773207332,1847256
1773207362,1847256
1773207392,1847256
1773207422,1847256
1773207452,1847256
1773207482,1847256
1773207512,1847256
1773207542,1847256
1773207572,1847256
1773207602,1847256
1773207632,1847256
1773207662,1847256
1773207693,1847256
1773207723,1847256
1773207753,1847256
1773207783,1847256
1773207813,1847256
1773207843,1847256
1773207873,1847256
1773207903,1847256
1773207933,1847256
1773207963,1847256
1773207993,1847256
1773208023,1847256
1773208053,1847256
1773208083,1847256
1773208113,1847256
1773208143,1847256
1773208173,1847256
1773208203,1847256
1773211140,1847256
1773211173,1847256
1773211203,1847256
1773211233,1847256
1773211263,1847256
1773211293,1847256
1773211323,1847256
1773211353,1847256
1773211383,1847256
1773211413,1847256
1773211443,1847256
1773211473,1847256
1773211503,1847256
1773211533,1847256
1773211563,1847256
1773211593,1847256
1773211623,1847256
1773211653,1847256
1773211683,1847256
1773211713,1847256
1773211743,1847256
1773211773,1847256
1773211803,1847256
1773211833,1847256
1773211863,1847256
1773211893,1847256
1773211923,1847256
1773211953,1847256
1773211983,1847256
1773212013,1847256
1773212043,1847256
1773212073,1847256
1773212103,1847256
1773212133,1847256
1773212163,1847256
1773212193,1847256
1773212223,1847256
1773212253,1847256
1773212283,1847256
1773212313,1847256
1773212343,1847256
1773212373,1847256
1773212403,1847256
1773212433,1847256
1773212670,1872064
1773212820,1905065
1773212851,1905065
1773212881,1905065
1773212911,1905065
1773212941,1905065
1773212971,1905065
1773213001,1905065
1773213031,1905065
1773213061,1905065
1773213091,1905065
1773213121,1905065
1773213151,1905065
1773213181,1905065
1773213211,1905065
1773213241,1905065
1773213271,1905065
1773213301,1905065
1773213331,1905065
1773213361,1905065
1773213391,1905065
1773213421,1905065
1773213451,1905065
1773213481,1905065
1773213511,1905065
1773213541,1905065
1773213571,1905065
1773213601,1905065
1773213631,1905065
1773213661,1905065
1773213691,1905065
1773213721,1905065
1773213751,1905065
1773213781,1905065
1773213811,1905065
1773213841,1905065
1773213871,1905065
1773213901,1905065
1773213931,1905065
1773213961,1905065
1773213991,1905065
1773214021,1905065
1773214051,1905065
1773214081,1905065
1773214111,1905065
1773214141,1905065
1773214171,1905065
1773214201,1905065
1773214231,1905065
1773214261,1905065
1773214291,1905065
1773214321,1905065
1773214352,1905065
1773214382,1905065
1773214412,1905065
1773214442,1905065
1773214472,1905065
1773214502,1905065
1773214532,1905065
1773214562,1905065
1773214592,1905065
1773214622,1905065
1773214652,1905065
1773214682,1905065
1773214712,1905065
1773214742,1905065
1773214772,1905065
1773214802,1905065
1773214832,1905065
1773214862,1905065
1773214892,1905065
1773214922,1905065
1773214952,1905065
1773214982,1905065
1773215012,1905065
1773215042,1905065
1773215072,1905065
1773215102,1905065
1773215132,1905065
1773215162,1905065
1773215192,1905065
1773215222,1905065
1773215252,1905065
1773215282,1905065
1773215312,1905065
1773215342,1905065
1773215372,1905065
1773215402,1905065
1773215432,1905065
1773215462,1905065
1773215492,1905065
1773215522,1905065
1773215552,1905065
1773215582,1905065
1773215612,1905065
1773215642,1905065
1773215672,1905065
1773215702,1905065
1773215732,1905065
1773215762,1905065
1773215792,1905065
1773215822,1905065
1773215852,1905065
1773215882,1905065
1773215912,1905065
1773215942,1905065
1773215972,1905065
1773216002,1905065
1773216032,1905065
1773216062,1905065
1773216092,1905065
1773216122,1905065
1773216152,1905065
1773216182,1905065
1773216212,1905065
1773216242,1905065
1773216272,1905065
1773216302,1905065
1773216332,1905065
1773216362,1905065
1773216392,1905065
1773216422,1905065
1773216452,1905065
1773216482,1905065
1773216512,1905065
1773216542,1905065
1773216572,1905065
1773216602,1905065
1773216632,1905065
1773216662,1905065
1773216692,1905065
