t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,212,7.104567592859429,0.0,0.0,0.0,events/second
1773145560,216,3.6067147651468647,0.0,0.0,0.0,events/second
1773145590,220,2.4469854049644506,0.0,0.0,0.0,events/second
1773145620,224,1.8679377718579642,0.0,0.0,0.0,events/second
1773145650,228,1.52062210170803,0.0,0.0,0.0,events/second
1773145680,232,1.2891287012040782,0.0,0.0,0.0,events/second
1773145710,236,1.1239287116325551,0.0,0.0,0.0,events/second
1773145740,240,1.0000477064424627,0.0,0.0,0.0,events/second
1773145770,244,0.9036681339871824,0.0,0.0,0.0,events/second
1773145800,248,0.8265974096516341,0.0,0.0,0.0,events/second
1773145830,252,0.7634808046537732,0.0,0.0,0.0,events/second
1773145860,256,0.7109612578570078,0.0,0.0,0.0,events/second
1773145890,260,0.6665228146365527,0.0,0.0,0.0,events/second
1773145920,264,0.6284255695004961,0.0,0.0,0.0,events/second
1773145950,267,0.5931905037374624,0.0,0.0,0.0,events/second
1773145980,271,0.5644457480359494,0.0,0.0,0.0,events/second
1773146070,4,2.291611059292056,0.0,0.0,0.0,events/second
1773146100,28,0.8574721885862594,0.0,0.0,0.0,events/second
1773146131,32,0.5106863537298681,0.0,0.0,0.0,events/second
1773146161,36,0.38847081048782356,0.0,0.0,0.0,events/second
1773146191,40,0.3260479024508236,0.0,0.0,0.0,events/second
1773146221,44,0.28816238063317906,0.0,0.0,0.0,events/second
1773146251,48,0.2627262118044959,0.0,0.0,0.0,events/second
1773146281,52,0.24446714574717704,0.0,0.0,0.0,events/second
1773146311,56,0.23072348939375945,0.0,0.0,0.0,events/second
1773146341,60,0.22000185416096008,0.0,0.0,0.0,events/second
1773146371,64,0.21140609337368477,0.0,0.0,0.0,events/second
1773146401,68,0.2043592270020758,0.0,0.0,0.0,events/second
1773146431,71,0.19572469517427984,0.0,0.0,0.0,events/second
1773146461,75,0.1909545852279668,0.0,0.0,0.0,events/second
1773146491,79,0.186862124038418,0.0,0.0,0.0,events/second
1773146521,83,0.1833109299033735,0.0,0.0,0.0,events/second
1773146551,87,0.1802014415617803,0.0,0.0,0.0,events/second
1773146581,91,0.1774566841260539,0.0,0.0,0.0,events/second
1773146611,95,0.17501468203694387,0.0,0.0,0.0,events/second
1773146641,99,0.17282848002185783,0.0,0.0,0.0,events/second
1773146671,103,0.17085987737464234,0.0,0.0,0.0,events/second
1773146701,109,0.17223793250756117,0.0,0.0,0.0,events/second
1773146731,113,0.1704750905487797,0.0,0.0,0.0,events/second
1773146761,117,0.16886427054117845,0.0,0.0,0.0,events/second
1773146791,121,0.16738711466488626,0.0,0.0,0.0,events/second
1773146821,125,0.16602873955436212,0.0,0.0,0.0,events/second
1773146851,129,0.16477479866336917,0.0,0.0,0.0,events/second
1773146881,133,0.16361388086362633,0.0,0.0,0.0,events/second
1773146911,137,0.16253504527258744,0.0,0.0,0.0,events/second
1773146941,141,0.16153076063743765,0.0,0.0,0.0,events/second
1773146971,145,0.1605926849134918,0.0,0.0,0.0,events/second
1773147001,149,0.15971490822851422,0.0,0.0,0.0,events/second
1773147031,153,0.15889180769562541,0.0,0.0,0.0,events/second
1773147061,157,0.1581164963625793,0.0,0.0,0.0,events/second
1773147091,161,0.15738898685853675,0.0,0.0,0.0,events/second
1773147121,165,0.15670225559008352,0.0,0.0,0.0,events/second
1773147151,169,0.15605402301216614,0.0,0.0,0.0,events/second
1773147181,173,0.15544101039213534,0.0,0.0,0.0,events/second
1773147211,177,0.1548602091988245,0.0,0.0,0.0,events/second
1773147241,181,0.15430910011214766,0.0,0.0,0.0,events/second
1773147271,185,0.15378542620020572,0.0,0.0,0.0,events/second
1773147301,191,0.1549090016004018,0.0,0.0,0.0,events/second
1773147331,195,0.1543954626321616,0.0,0.0,0.0,events/second
1773147361,199,0.1539052561892544,0.0,0.0,0.0,events/second
1773147392,203,0.15343797499375367,0.0,0.0,0.0,events/second
1773147422,207,0.1529903193818901,0.0,0.0,0.0,events/second
1773147452,211,0.15256315564006195,0.0,0.0,0.0,events/second
1773147482,215,0.15215415027628457,0.0,0.0,0.0,events/second
1773147512,219,0.15176205561204828,0.0,0.0,0.0,events/second
1773147542,223,0.15138470562447967,0.0,0.0,0.0,events/second
1773147572,227,0.1510232042535485,0.0,0.0,0.0,events/second
1773147602,231,0.1506760589082966,0.0,0.0,0.0,events/second
1773147632,235,0.1503425497385808,0.0,0.0,0.0,events/second
1773147662,239,0.1500216231720672,0.0,0.0,0.0,events/second
1773147692,243,0.1497128284213374,0.0,0.0,0.0,events/second
1773147722,247,0.1494146860001926,0.0,0.0,0.0,events/second
1773147752,251,0.1491271217961438,0.0,0.0,0.0,events/second
1773147782,255,0.14884964969151102,0.0,0.0,0.0,events/second
1773147812,258,0.14800832175871206,0.0,0.0,0.0,events/second
1773147842,262,0.14775904524338818,0.0,0.0,0.0,events/second
1773147872,266,0.1475182615949198,0.0,0.0,0.0,events/second
1773147902,270,0.1472856034247134,0.0,0.0,0.0,events/second
1773147932,276,0.1481341036992866,0.0,0.0,0.0,events/second
1773147962,280,0.14789924770599733,0.0,0.0,0.0,events/second
1773147992,284,0.14767151541494464,0.0,0.0,0.0,events/second
1773148022,288,0.14745096129725738,0.0,0.0,0.0,events/second
1773148052,291,0.1467322124549109,0.0,0.0,0.0,events/second
1773148082,295,0.1465318832773145,0.0,0.0,0.0,events/second
