t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,17,0.5696817891903464,0.0,0.0,0.0,events/second
1773145560,17,0.2838678892135297,0.0,0.0,0.0,events/second
1773145590,17,0.18908766982295921,0.0,0.0,0.0,events/second
1773145620,17,0.1417646964817348,0.0,0.0,0.0,events/second
1773145650,17,0.11338067392198714,0.0,0.0,0.0,events/second
1773145680,17,0.09446270938657646,0.0,0.0,0.0,events/second
1773145710,17,0.08096149201171413,0.0,0.0,0.0,events/second
1773145740,17,0.0708370921265343,0.0,0.0,0.0,events/second
1773145770,17,0.06296082492994247,0.0,0.0,0.0,events/second
1773145800,17,0.05666218842726651,0.0,0.0,0.0,events/second
1773145830,17,0.05150487867980836,0.0,0.0,0.0,events/second
1773145860,17,0.047212456718987036,0.0,0.0,0.0,events/second
1773145890,17,0.04358050016565845,0.0,0.0,0.0,events/second
1773145920,17,0.04046693083307725,0.0,0.0,0.0,events/second
1773145950,17,0.03776880282752028,0.0,0.0,0.0,events/second
1773145980,17,0.03540814108707903,0.0,0.0,0.0,events/second
1773146070,1,0.5533321440381117,0.0,0.0,0.0,events/second
1773146100,13,0.3981232421365898,0.0,0.0,0.0,events/second
1773146131,13,0.20746952399568097,0.0,0.0,0.0,events/second
1773146161,13,0.14028266369705963,0.0,0.0,0.0,events/second
1773146191,13,0.10596643308635262,0.0,0.0,0.0,events/second
1773146221,13,0.08513945119730622,0.0,0.0,0.0,events/second
1773146251,13,0.07115539312893289,0.0,0.0,0.0,events/second
1773146281,13,0.06111706517477804,0.0,0.0,0.0,events/second
1773146311,13,0.05356103331659428,0.0,0.0,0.0,events/second
1773146341,13,0.04766724791949889,0.0,0.0,0.0,events/second
1773146371,13,0.042942008804663666,0.0,0.0,0.0,events/second
1773146401,13,0.03906879350366506,0.0,0.0,0.0,events/second
1773146431,13,0.03583701074888051,0.0,0.0,0.0,events/second
1773146461,13,0.033098880982872926,0.0,0.0,0.0,events/second
1773146491,13,0.030749534415149514,0.0,0.0,0.0,events/second
1773146521,13,0.028711416147949587,0.0,0.0,0.0,events/second
1773146551,13,0.02692670977836579,0.0,0.0,0.0,events/second
1773146581,13,0.02535100557704338,0.0,0.0,0.0,events/second
1773146611,13,0.02394942239095341,0.0,0.0,0.0,events/second
1773146641,13,0.022694686985498078,0.0,0.0,0.0,events/second
1773146671,14,0.023223710761077297,0.0,0.0,0.0,events/second
1773146701,25,0.03950417664449466,0.0,0.0,0.0,events/second
1773146731,25,0.037715771627756224,0.0,0.0,0.0,events/second
1773146761,25,0.03608214062769904,0.0,0.0,0.0,events/second
1773146791,25,0.0345841639018871,0.0,0.0,0.0,events/second
1773146821,25,0.033205791967283294,0.0,0.0,0.0,events/second
1773146851,25,0.031933138613050124,0.0,0.0,0.0,events/second
1773146881,25,0.03075452707336648,0.0,0.0,0.0,events/second
1773146911,25,0.02965971340575377,0.0,0.0,0.0,events/second
1773146941,25,0.028640239135365522,0.0,0.0,0.0,events/second
1773146971,25,0.027688423503348283,0.0,0.0,0.0,events/second
1773147001,25,0.026797826931242098,0.0,0.0,0.0,events/second
1773147031,25,0.025962739923776127,0.0,0.0,0.0,events/second
1773147061,25,0.025177811564142727,0.0,0.0,0.0,events/second
1773147091,25,0.024439308408211683,0.0,0.0,0.0,events/second
1773147121,25,0.023742788948645063,0.0,0.0,0.0,events/second
1773147151,25,0.023084935995296048,0.0,0.0,0.0,events/second
1773147181,25,0.022462594193098186,0.0,0.0,0.0,events/second
1773147211,25,0.02187292983983625,0.0,0.0,0.0,events/second
1773147241,25,0.0213134302079144,0.0,0.0,0.0,events/second
1773147271,25,0.02078183194979545,0.0,0.0,0.0,events/second
1773147301,35,0.028386488819428207,0.0,0.0,0.0,events/second
1773147331,35,0.027712028092362534,0.0,0.0,0.0,events/second
1773147361,35,0.027068785216330053,0.0,0.0,0.0,events/second
1773147392,35,0.02645484329872813,0.0,0.0,0.0,events/second
1773147422,35,0.02586794604817391,0.0,0.0,0.0,events/second
1773147452,35,0.02530670282425509,0.0,0.0,0.0,events/second
1773147482,35,0.02476929824308558,0.0,0.0,0.0,events/second
1773147512,35,0.024254219418336147,0.0,0.0,0.0,events/second
1773147542,35,0.023759947337855327,0.0,0.0,0.0,events/second
1773147572,35,0.023285531741268822,0.0,0.0,0.0,events/second
1773147602,35,0.02282972106497301,0.0,0.0,0.0,events/second
1773147632,35,0.022391458473283266,0.0,0.0,0.0,events/second
1773147662,35,0.021969708125886226,0.0,0.0,0.0,events/second
1773147692,35,0.02156358987504581,0.0,0.0,0.0,events/second
1773147722,35,0.021172134172205953,0.0,0.0,0.0,events/second
1773147752,35,0.020794631223478733,0.0,0.0,0.0,events/second
1773147782,35,0.020430355875777104,0.0,0.0,0.0,events/second
1773147812,35,0.020078659398808475,0.0,0.0,0.0,events/second
1773147842,35,0.019738815340091243,0.0,0.0,0.0,events/second
1773147872,35,0.019410308025291468,0.0,0.0,0.0,events/second
1773147902,35,0.019092589065872172,0.0,0.0,0.0,events/second
1773147932,38,0.020395284138467654,0.0,0.0,0.0,events/second
1773147962,38,0.02007205160094164,0.0,0.0,0.0,events/second
1773147992,38,0.019758874782505785,0.0,0.0,0.0,events/second
1773148022,38,0.019455345445727478,0.0,0.0,0.0,events/second
1773148052,38,0.019160917038147377,0.0,0.0,0.0,events/second
1773148082,38,0.018875300978117245,0.0,0.0,0.0,events/second
1773148112,38,0.018597999116968862,0.0,0.0,0.0,events/second
1773148142,38,0.018328806745587636,0.0,0.0,0.0,events/second
1773148172,38,0.018067208765214664,0.0,0.0,0.0,events/second
1773148202,38,0.01781301632085454,0.0,0.0,0.0,events/second
1773148232,38,0.017565909596134594,0.0,0.0,0.0,events/second
1773148262,38,0.017325516976319906,0.0,0.0,0.0,events/second
1773148292,38,0.017091704054409084,0.0,0.0,0.0,events/second
1773148322,38,0.01686404860175209,0.0,0.0,0.0,events/second
1773148352,38,0.016642353362128465,0.0,0.0,0.0,events/second
1773148382,38,0.01642650438580621,0.0,0.0,0.0,events/second
1773148412,38,0.016216138554752773,0.0,0.0,0.0,events/second
