t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,17,0.5696775835992639,0.0,0.0,0.0,events/second
1773145560,17,0.2838704877368709,0.0,0.0,0.0,events/second
1773145590,17,0.18908866105929803,0.0,0.0,0.0,events/second
1773145620,17,0.1417653515362135,0.0,0.0,0.0,events/second
1773145650,17,0.11338109164116703,0.0,0.0,0.0,events/second
1773145680,17,0.09446299786937652,0.0,0.0,0.0,events/second
1773145710,17,0.08096171271504808,0.0,0.0,0.0,events/second
1773145740,17,0.0708372585734085,0.0,0.0,0.0,events/second
1773145770,17,0.06296096402231188,0.0,0.0,0.0,events/second
1773145800,17,0.05666229811680645,0.0,0.0,0.0,events/second
1773145830,17,0.051504956077880776,0.0,0.0,0.0,events/second
1773145860,17,0.04721253356771909,0.0,0.0,0.0,events/second
1773145890,17,0.043580566997368515,0.0,0.0,0.0,events/second
1773145920,17,0.04046698626016561,0.0,0.0,0.0,events/second
1773145950,17,0.03776885230135347,0.0,0.0,0.0,events/second
1773145980,17,0.03540818454016291,0.0,0.0,0.0,events/second
1773146070,1,0.5494683920780065,0.0,0.0,0.0,events/second
1773146100,13,0.3981270632935055,0.0,0.0,0.0,events/second
1773146131,13,0.2074706034024279,0.0,0.0,0.0,events/second
1773146161,13,0.14028303699782732,0.0,0.0,0.0,events/second
1773146191,13,0.10596673030713306,0.0,0.0,0.0,events/second
1773146221,13,0.085139643567781,0.0,0.0,0.0,events/second
1773146251,13,0.07115552149796867,0.0,0.0,0.0,events/second
1773146281,13,0.06111715726432123,0.0,0.0,0.0,events/second
1773146311,13,0.053561109030538984,0.0,0.0,0.0,events/second
1773146341,13,0.04766730767755339,0.0,0.0,0.0,events/second
1773146371,13,0.04294205791228758,0.0,0.0,0.0,events/second
1773146401,13,0.039068832872325564,0.0,0.0,0.0,events/second
1773146431,13,0.03583704336991021,0.0,0.0,0.0,events/second
1773146461,13,0.033098909997745896,0.0,0.0,0.0,events/second
1773146491,13,0.030749558380815046,0.0,0.0,0.0,events/second
1773146521,13,0.028711438157989096,0.0,0.0,0.0,events/second
1773146551,13,0.026926729098112192,0.0,0.0,0.0,events/second
1773146581,13,0.02535102264250768,0.0,0.0,0.0,events/second
1773146611,13,0.02394943754657493,0.0,0.0,0.0,events/second
1773146641,13,0.02269469507572931,0.0,0.0,0.0,events/second
1773146671,14,0.023223723385509945,0.0,0.0,0.0,events/second
1773146701,25,0.03950419806814813,0.0,0.0,0.0,events/second
1773146731,25,0.03771579027931572,0.0,0.0,0.0,events/second
1773146761,25,0.03608215643823304,0.0,0.0,0.0,events/second
1773146791,25,0.034584180426720644,0.0,0.0,0.0,events/second
1773146821,25,0.03320580661014471,0.0,0.0,0.0,events/second
1773146851,25,0.03193315150646255,0.0,0.0,0.0,events/second
1773146881,25,0.030754539834657674,0.0,0.0,0.0,events/second
1773146911,25,0.029659724528667032,0.0,0.0,0.0,events/second
1773146941,25,0.02864025032048022,0.0,0.0,0.0,events/second
1773146971,25,0.02768843328579038,0.0,0.0,0.0,events/second
1773147001,25,0.02679783618354883,0.0,0.0,0.0,events/second
1773147031,25,0.025962748716268153,0.0,0.0,0.0,events/second
1773147061,25,0.02517782006631008,0.0,0.0,0.0,events/second
1773147091,25,0.02443931666262125,0.0,0.0,0.0,events/second
1773147121,25,0.023742796642298485,0.0,0.0,0.0,events/second
1773147151,25,0.02308494314274445,0.0,0.0,0.0,events/second
1773147181,25,0.022462601006788388,0.0,0.0,0.0,events/second
1773147211,25,0.021872936304317567,0.0,0.0,0.0,events/second
1773147241,25,0.021313436445846226,0.0,0.0,0.0,events/second
1773147271,25,0.02078183794780966,0.0,0.0,0.0,events/second
1773147301,35,0.028386496285675543,0.0,0.0,0.0,events/second
1773147331,35,0.02771203543402863,0.0,0.0,0.0,events/second
1773147361,35,0.027068792422101275,0.0,0.0,0.0,events/second
1773147392,35,0.02645485003137087,0.0,0.0,0.0,events/second
1773147422,35,0.025867951873609445,0.0,0.0,0.0,events/second
1773147452,35,0.025306708913823424,0.0,0.0,0.0,events/second
1773147482,35,0.024769304245047308,0.0,0.0,0.0,events/second
1773147512,35,0.024254223900932733,0.0,0.0,0.0,events/second
1773147542,35,0.023759952867074653,0.0,0.0,0.0,events/second
1773147572,35,0.02328553695428942,0.0,0.0,0.0,events/second
1773147602,35,0.022829726148870435,0.0,0.0,0.0,events/second
1773147632,35,0.022391463469868426,0.0,0.0,0.0,events/second
1773147662,35,0.02196971294843088,0.0,0.0,0.0,events/second
1773147692,35,0.021563594477103497,0.0,0.0,0.0,events/second
1773147722,35,0.021172138371755734,0.0,0.0,0.0,events/second
1773147752,35,0.02079463544016003,0.0,0.0,0.0,events/second
1773147782,35,0.020430359795754895,0.0,0.0,0.0,events/second
1773147812,35,0.02007866330017418,0.0,0.0,0.0,events/second
1773147842,35,0.019738819149470503,0.0,0.0,0.0,events/second
1773147872,35,0.019410310171747575,0.0,0.0,0.0,events/second
1773147902,35,0.0190925926871878,0.0,0.0,0.0,events/second
1773147932,38,0.020395287744250725,0.0,0.0,0.0,events/second
1773147962,38,0.020072055223746905,0.0,0.0,0.0,events/second
1773147992,38,0.019758878130812667,0.0,0.0,0.0,events/second
1773148022,38,0.01945534886726348,0.0,0.0,0.0,events/second
1773148052,38,0.01916092026125717,0.0,0.0,0.0,events/second
1773148082,38,0.018875303945529987,0.0,0.0,0.0,events/second
1773148112,38,0.01859800222629862,0.0,0.0,0.0,events/second
1773148142,38,0.01832880973284782,0.0,0.0,0.0,events/second
1773148172,38,0.018067211612835293,0.0,0.0,0.0,events/second
1773148202,38,0.017813019230027566,0.0,0.0,0.0,events/second
1773148232,38,0.017565912407289795,0.0,0.0,0.0,events/second
1773148262,38,0.017325519405356114,0.0,0.0,0.0,events/second
1773148292,38,0.01709170668969665,0.0,0.0,0.0,events/second
1773148322,38,0.016864050816300182,0.0,0.0,0.0,events/second
1773148352,38,0.016642355803090883,0.0,0.0,0.0,events/second
1773148382,38,0.01642650681214675,0.0,0.0,0.0,events/second
1773148412,38,0.01621614089581715,0.0,0.0,0.0,events/second
1773148442,38,0.01601112448209948,0.0,0.0,0.0,events/second
1773148472,38,0.015811174701279924,0.0,0.0,0.0,events/second
1773148502,38,0.01561612415076185,0.0,0.0,0.0,events/second
1773148532,41,0.01664375455750552,0.0,0.0,0.0,events/second
1773148562,41,0.016443444426683818,0.0,0.0,0.0,events/second
1773148592,41,0.01624785001052917,0.0,0.0,0.0,events/second
1773148622,41,0.01605685395370688,0.0,0.0,0.0,events/second
1773148652,41,0.015870362067075785,0.0,0.0,0.0,events/second
1773148682,41,0.01568816099113088,0.0,0.0,0.0,events/second
1773148712,41,0.015510039652298552,0.0,0.0,0.0,events/second
1773148742,41,0.01533597106951169,0.0,0.0,0.0,events/second
