t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,2,0.07209529637020946,0.0,0.0,0.0,events/second
1773145560,2,0.03461109782458365,0.0,0.0,0.0,events/second
1773145590,2,0.022778111427124884,0.0,0.0,0.0,events/second
1773145620,2,0.016975777337162233,0.0,0.0,0.0,events/second
1773145650,2,0.013528570080739318,0.0,0.0,0.0,events/second
1773145680,2,0.011244602180525368,0.0,0.0,0.0,events/second
1773145710,2,0.009621201950253235,0.0,0.0,0.0,events/second
1773145740,2,0.00840741812867156,0.0,0.0,0.0,events/second
1773145770,2,0.007465276043008336,0.0,0.0,0.0,events/second
1773145800,2,0.00671317621384289,0.0,0.0,0.0,events/second
1773145830,2,0.006098233209141757,0.0,0.0,0.0,events/second
1773145860,2,0.0055870243070099135,0.0,0.0,0.0,events/second
1773145890,2,0.005154897692048406,0.0,0.0,0.0,events/second
1773145920,2,0.004784757985015253,0.0,0.0,0.0,events/second
1773145950,2,0.004464238178120972,0.0,0.0,0.0,events/second
1773145980,2,0.004183982989412989,0.0,0.0,0.0,events/second
1773146070,0,0.0,0.0,0.0,0.0,events/second
1773146100,1,0.0315083539296091,0.0,0.0,0.0,events/second
1773146131,1,0.016195855076113562,0.0,0.0,0.0,events/second
1773146161,1,0.010898648224639686,0.0,0.0,0.0,events/second
1773146191,1,0.008212560122243235,0.0,0.0,0.0,events/second
1773146221,1,0.006588699423809011,0.0,0.0,0.0,events/second
1773146251,1,0.005501061033374942,0.0,0.0,0.0,events/second
1773146281,1,0.004721637149604633,0.0,0.0,0.0,events/second
1773146311,1,0.0041356815049703975,0.0,0.0,0.0,events/second
1773146341,1,0.0036790634785568437,0.0,0.0,0.0,events/second
1773146371,1,0.0033132527400021997,0.0,0.0,0.0,events/second
1773146401,1,0.003013584393739271,0.0,0.0,0.0,events/second
1773146431,1,0.0027636688872958058,0.0,0.0,0.0,events/second
1773146461,1,0.0025520172671223665,0.0,0.0,0.0,events/second
1773146491,1,0.002370482690372237,0.0,0.0,0.0,events/second
1773146521,1,0.002213045885489023,0.0,0.0,0.0,events/second
1773146551,1,0.0020752211830503266,0.0,0.0,0.0,events/second
1773146581,1,0.001953565611079792,0.0,0.0,0.0,events/second
1773146611,1,0.0018453761494535241,0.0,0.0,0.0,events/second
1773146641,1,0.001748539211154949,0.0,0.0,0.0,events/second
1773146671,1,0.0016613598477597485,0.0,0.0,0.0,events/second
1773146701,1,0.0015824566786548878,0.0,0.0,0.0,events/second
1773146731,1,0.0015107176679796806,0.0,0.0,0.0,events/second
1773146761,1,0.0014451954070785272,0.0,0.0,0.0,events/second
1773146791,1,0.0013851210627590454,0.0,0.0,0.0,events/second
1773146821,1,0.001329848977763436,0.0,0.0,0.0,events/second
1773146851,1,0.0012788211339811876,0.0,0.0,0.0,events/second
1773146881,1,0.001231568315643625,0.0,0.0,0.0,events/second
1773146911,1,0.0011876786192854664,0.0,0.0,0.0,events/second
1773146941,1,0.0011468125313886532,0.0,0.0,0.0,events/second
1773146971,1,0.0011086611929619341,0.0,0.0,0.0,events/second
1773147001,1,0.0010729661510831836,0.0,0.0,0.0,events/second
1773147031,1,0.001039498023876211,0.0,0.0,0.0,events/second
1773147061,1,0.001008042016671867,0.0,0.0,0.0,events/second
1773147091,1,9.784481607088423E-4,0.0,0.0,0.0,events/second
1773147121,1,9.505381427257384E-4,0.0,0.0,0.0,events/second
1773147151,1,9.241788235356362E-4,0.0,0.0,0.0,events/second
1773147181,1,8.992435774079312E-4,0.0,0.0,0.0,events/second
1773147211,1,8.756186565190212E-4,0.0,0.0,0.0,events/second
1773147241,1,8.532032361030188E-4,0.0,0.0,0.0,events/second
1773147271,1,8.3190648988776E-4,0.0,0.0,0.0,events/second
1773147301,1,8.116452640526194E-4,0.0,0.0,0.0,events/second
1773147331,1,7.923466582749697E-4,0.0,0.0,0.0,events/second
1773147361,1,7.739419362086322E-4,0.0,0.0,0.0,events/second
1773147392,1,7.56376140890617E-4,0.0,0.0,0.0,events/second
1773147422,1,7.395846381956073E-4,0.0,0.0,0.0,events/second
1773147452,1,7.235276566679184E-4,0.0,0.0,0.0,events/second
1773147482,1,7.081531162405029E-4,0.0,0.0,0.0,events/second
1773147512,1,6.934176326733697E-4,0.0,0.0,0.0,events/second
1773147542,1,6.792778724180655E-4,0.0,0.0,0.0,events/second
1773147572,1,6.657064346632238E-4,0.0,0.0,0.0,events/second
1773147602,1,6.526675530677848E-4,0.0,0.0,0.0,events/second
1773147632,1,6.401309427685182E-4,0.0,0.0,0.0,events/second
1773147662,1,6.28066936188001E-4,0.0,0.0,0.0,events/second
1773147692,1,6.164503294031308E-4,0.0,0.0,0.0,events/second
1773147722,1,6.05253352373122E-4,0.0,0.0,0.0,events/second
1773147752,1,5.944557119419595E-4,0.0,0.0,0.0,events/second
1773147782,1,5.840366022831191E-4,0.0,0.0,0.0,events/second
1773147812,1,5.739774809833004E-4,0.0,0.0,0.0,events/second
1773147842,1,5.642575324626014E-4,0.0,0.0,0.0,events/second
1773147872,1,5.548619341496474E-4,0.0,0.0,0.0,events/second
1773147902,1,5.457751551055783E-4,0.0,0.0,0.0,events/second
1773147932,1,5.369818368922785E-4,0.0,0.0,0.0,events/second
1773147962,1,5.284674793051316E-4,0.0,0.0,0.0,events/second
1773147992,1,5.202180614882596E-4,0.0,0.0,0.0,events/second
1773148022,1,5.122229024915151E-4,0.0,0.0,0.0,events/second
1773148052,1,5.044675685707694E-4,0.0,0.0,0.0,events/second
1773148082,1,4.969444539852534E-4,0.0,0.0,0.0,events/second
1773148112,1,4.89640449690323E-4,0.0,0.0,0.0,events/second
1773148142,1,4.8255013547270054E-4,0.0,0.0,0.0,events/second
1773148172,1,4.7565993454473226E-4,0.0,0.0,0.0,events/second
1773148202,1,4.689648790920836E-4,0.0,0.0,0.0,events/second
1773148232,1,4.624565226928274E-4,0.0,0.0,0.0,events/second
1773148262,1,4.5612506989993544E-4,0.0,0.0,0.0,events/second
1773148292,1,4.4996700045286107E-4,0.0,0.0,0.0,events/second
1773148322,1,4.4397114399444824E-4,0.0,0.0,0.0,events/second
1773148352,1,4.38132362742776E-4,0.0,0.0,0.0,events/second
1773148382,1,4.324475981873716E-4,0.0,0.0,0.0,events/second
1773148412,1,4.269072978489187E-4,0.0,0.0,0.0,events/second
1773148442,1,4.2150793939698875E-4,0.0,0.0,0.0,events/second
1773148472,1,4.162420679841783E-4,0.0,0.0,0.0,events/second
1773148502,1,4.11105270234319E-4,0.0,0.0,0.0,events/second
1773148532,1,4.0609611912069117E-4,0.0,0.0,0.0,events/second
1773148562,1,4.01206900326666E-4,0.0,0.0,0.0,events/second
1773148592,1,3.964328211068618E-4,0.0,0.0,0.0,events/second
1773148622,1,3.917710117467009E-4,0.0,0.0,0.0,events/second
1773148652,1,3.872191895981987E-4,0.0,0.0,0.0,events/second
1773148682,1,3.82772131401273E-4,0.0,0.0,0.0,events/second
1773148712,1,3.7842468119913766E-4,0.0,0.0,0.0,events/second
1773148742,1,3.741761803261698E-4,0.0,0.0,0.0,events/second
1773148772,1,3.7002194048463304E-4,0.0,0.0,0.0,events/second
1773148802,1,3.659582754349084E-4,0.0,0.0,0.0,events/second
1773148832,1,3.6198259721410684E-4,0.0,0.0,0.0,events/second
1773148862,1,3.5809191719281415E-4,0.0,0.0,0.0,events/second
1773148892,1,3.5428395757215226E-4,0.0,0.0,0.0,events/second
1773148922,1,3.505571533299542E-4,0.0,0.0,0.0,events/second
1773148952,1,3.469080455410035E-4,0.0,0.0,0.0,events/second
1773148982,1,3.433333013322663E-4,0.0,0.0,0.0,events/second
1773149012,1,3.398316163029804E-4,0.0,0.0,0.0,events/second
1773149042,1,3.363999683287369E-4,0.0,0.0,0.0,events/second
1773149072,1,3.330382135962932E-4,0.0,0.0,0.0,events/second
1773149102,1,3.297414782173672E-4,0.0,0.0,0.0,events/second
1773149132,1,3.265110647284519E-4,0.0,0.0,0.0,events/second
1773149162,1,3.233432638817246E-4,0.0,0.0,0.0,events/second
1773149192,1,3.20235777910827E-4,0.0,0.0,0.0,events/second
1773149222,1,3.171870807176834E-4,0.0,0.0,0.0,events/second
1773149252,1,3.1419551670381057E-4,0.0,0.0,0.0,events/second
1773149282,1,3.112596278540173E-4,0.0,0.0,0.0,events/second
1773149312,1,3.083794413253904E-4,0.0,0.0,0.0,events/second
1773149342,1,3.055521320060288E-4,0.0,0.0,0.0,events/second
1773149372,1,3.0277526385587213E-4,0.0,0.0,0.0,events/second
1773149402,1,3.0004834938595476E-4,0.0,0.0,0.0,events/second
1773149432,1,2.97370656723887E-4,0.0,0.0,0.0,events/second
1773149462,1,2.9474069537509565E-4,0.0,0.0,0.0,events/second
1773149492,1,2.9215622230153776E-4,0.0,0.0,0.0,events/second
1773149522,1,2.896165443533908E-4,0.0,0.0,0.0,events/second
1773149552,1,2.871212012411022E-4,0.0,0.0,0.0,events/second
1773149582,1,2.8466772054522603E-4,0.0,0.0,0.0,events/second
1773149612,1,2.8225614312572247E-4,0.0,0.0,0.0,events/second
1773149642,1,2.79884876508786E-4,0.0,0.0,0.0,events/second
1773149672,1,2.7755388588263785E-4,0.0,0.0,0.0,events/second
1773149702,1,2.752608611486654E-4,0.0,0.0,0.0,events/second
1773149732,10,0.002730051456390419,0.0,0.0,0.0,events/second
1773149762,10,0.002707860796810035,0.0,0.0,0.0,events/second
1773149792,10,0.0026860306014313004,0.0,0.0,0.0,events/second
1773149822,10,0.002664555639065853,0.0,0.0,0.0,events/second
1773149852,10,0.0026434218457861997,0.0,0.0,0.0,events/second
1773149882,10,0.002622620007715585,0.0,0.0,0.0,events/second
1773149912,10,0.002602141398196411,0.0,0.0,0.0,events/second
1773149942,10,0.002581980634036336,0.0,0.0,0.0,events/second
1773149972,10,0.0025621281870704784,0.0,0.0,0.0,events/second
1773150002,10,0.002542580046597955,0.0,0.0,0.0,events/second
1773150032,10,0.0025233257698323076,0.0,0.0,0.0,events/second
1773150062,10,0.002504360673131425,0.0,0.0,0.0,events/second
1773150092,10,0.0024856824008285356,0.0,0.0,0.0,events/second
1773150122,10,0.00246727975246899,0.0,0.0,0.0,events/second
1773150152,10,0.0024491492822743648,0.0,0.0,0.0,events/second
1773150182,10,0.0024312828415017896,0.0,0.0,0.0,events/second
1773150212,10,0.0024136732350421124,0.0,0.0,0.0,events/second
1773150242,10,0.002396314579404214,0.0,0.0,0.0,events/second
1773150272,10,0.0023792093162392372,0.0,0.0,0.0,events/second
1773150302,10,0.0023623456893899697,0.0,0.0,0.0,events/second
1773150333,10,0.002345712985208382,0.0,0.0,0.0,events/second
1773150363,10,0.002329319705322075,0.0,0.0,0.0,events/second
1773150393,10,0.00231315016855785,0.0,0.0,0.0,events/second
1773150423,10,0.002297200947107998,0.0,0.0,0.0,events/second
1773150453,10,0.002281475730221866,0.0,0.0,0.0,events/second
1773150483,10,0.0022659621689251775,0.0,0.0,0.0,events/second
1773150513,10,0.002250659631156995,0.0,0.0,0.0,events/second
1773150543,10,0.0022355625917003757,0.0,0.0,0.0,events/second
1773150573,10,0.0022206645503973334,0.0,0.0,0.0,events/second
1773150603,10,0.0022059666438836393,0.0,0.0,0.0,events/second
1773150633,10,0.0021914589057546443,0.0,0.0,0.0,events/second
1773150663,10,0.0021771426585950357,0.0,0.0,0.0,events/second
1773150693,10,0.0021630109015902794,0.0,0.0,0.0,events/second
1773150723,10,0.0021490606758674397,0.0,0.0,0.0,events/second
1773150753,10,0.0021352867781328317,0.0,0.0,0.0,events/second
1773150783,10,0.002121691660213307,0.0,0.0,0.0,events/second
1773150813,10,0.0021082695471176184,0.0,0.0,0.0,events/second
1773150843,10,0.0020950166665058847,0.0,0.0,0.0,events/second
1773150873,10,0.002081929946688846,0.0,0.0,0.0,events/second
1773150903,10,0.002069003307972062,0.0,0.0,0.0,events/second
1773150933,10,0.0020562329330299322,0.0,0.0,0.0,events/second
1773150963,10,0.002043621355325718,0.0,0.0,0.0,events/second
1773150993,10,0.002031164971752796,0.0,0.0,0.0,events/second
1773151023,10,0.0020188617282855,0.0,0.0,0.0,events/second
1773151053,10,0.002006705901701125,0.0,0.0,0.0,events/second
1773151083,10,0.0019946925863549036,0.0,0.0,0.0,events/second
1773151113,10,0.0019828216630805614,0.0,0.0,0.0,events/second
1773151143,10,0.0019710943377013648,0.0,0.0,0.0,events/second
1773151173,10,0.0019595043163263496,0.0,0.0,0.0,events/second
1773151203,10,0.001948050835626373,0.0,0.0,0.0,events/second
1773151233,10,0.001936730130667217,0.0,0.0,0.0,events/second
1773151263,10,0.0019255383827086264,0.0,0.0,0.0,events/second
1773151293,10,0.0019144739755560575,0.0,0.0,0.0,events/second
1773151323,10,0.0019035394041861803,0.0,0.0,0.0,events/second
1773151353,10,0.0018927270457357185,0.0,0.0,0.0,events/second
1773151383,10,0.0018820385343905513,0.0,0.0,0.0,events/second
1773151413,10,0.0018714710924431167,0.0,0.0,0.0,events/second
1773151443,10,0.0018610210794475263,0.0,0.0,0.0,events/second
1773151473,10,0.0018506843692431044,0.0,0.0,0.0,events/second
1773151503,10,0.0018404646567716028,0.0,0.0,0.0,events/second
1773151533,10,0.001830357314537305,0.0,0.0,0.0,events/second
1773151563,10,0.0018203600967526502,0.0,0.0,0.0,events/second
1773151593,10,0.001810472054607965,0.0,0.0,0.0,events/second
1773151623,10,0.001800686485468576,0.0,0.0,0.0,events/second
1773151653,10,0.0017910088299413233,0.0,0.0,0.0,events/second
1773151683,10,0.0017814329824607372,0.0,0.0,0.0,events/second
1773151713,10,0.0017719618116743812,0.0,0.0,0.0,events/second
1773151743,10,0.0017625890127412754,0.0,0.0,0.0,events/second
1773151773,10,0.001753312191155619,0.0,0.0,0.0,events/second
1773151803,10,0.0017441354227781753,0.0,0.0,0.0,events/second
1773151833,10,0.0017350550869119105,0.0,0.0,0.0,events/second
1773151863,10,0.0017260687308309041,0.0,0.0,0.0,events/second
1773151893,10,0.001717174188069161,0.0,0.0,0.0,events/second
1773151923,10,0.0017083725807361665,0.0,0.0,0.0,events/second
1773151953,10,0.00169966078264771,0.0,0.0,0.0,events/second
1773151983,10,0.0016910332609316704,0.0,0.0,0.0,events/second
1773152013,10,0.0016824965902895934,0.0,0.0,0.0,events/second
1773152043,10,0.001674045902241076,0.0,0.0,0.0,events/second
1773152073,10,0.001665679155759116,0.0,0.0,0.0,events/second
1773152103,10,0.0016573953535446823,0.0,0.0,0.0,events/second
1773152133,10,0.0016491931307427018,0.0,0.0,0.0,events/second
1773152163,10,0.0016410717263323472,0.0,0.0,0.0,events/second
1773152193,10,0.0016330286711497004,0.0,0.0,0.0,events/second
1773152223,10,0.0016250659800270094,0.0,0.0,0.0,events/second
