t,value
1773145530,9
1773145560,9
1773145590,9
1773145620,9
1773145650,9
1773145680,9
1773145710,9
1773145740,9
1773145770,9
1773145800,9
1773145830,9
1773145860,9
1773145890,9
1773145920,9
1773145950,9
1773145980,9
1773146070,0
1773146100,9
1773146131,9
1773146161,9
1773146191,9
1773146221,9
1773146251,9
1773146281,9
1773146311,9
1773146341,9
1773146371,9
1773146401,9
1773146431,9
1773146461,9
1773146491,9
1773146521,9
1773146551,9
1773146581,9
1773146611,9
1773146641,9
1773146671,9
1773146701,9
1773146731,9
1773146761,9
1773146791,9
1773146821,9
1773146851,9
1773146881,9
1773146911,9
1773146941,9
1773146971,9
1773147001,9
1773147031,9
1773147061,9
1773147091,9
1773147121,9
1773147151,9
1773147181,9
1773147211,9
1773147241,9
1773147271,9
1773147301,9
1773147331,9
1773147361,9
1773147392,9
1773147422,9
1773147452,9
1773147482,9
1773147512,9
1773147542,9
1773147572,9
1773147602,9
1773147632,9
1773147662,9
1773147692,9
1773147722,9
1773147752,9
1773147782,9
1773147812,9
1773147842,9
1773147872,9
1773147902,9
1773147932,9
1773147962,9
1773147992,9
1773148022,9
1773148052,9
1773148082,9
1773148112,9
1773148142,9
1773148172,9
1773148202,9
1773148232,9
1773148262,9
1773148292,9
1773148322,9
1773148352,9
1773148382,9
1773148412,9
1773148442,9
1773148472,9
1773148502,9
1773148532,9
1773148562,9
1773148592,9
1773148622,9
1773148652,9
1773148682,9
1773148712,9
1773148742,9
1773148772,9
1773148802,9
1773148832,9
1773148862,9
1773148892,9
1773148922,9
1773148952,9
1773148982,9
1773149012,9
1773149042,9
1773149072,9
1773149102,9
1773149132,9
1773149162,9
1773149192,9
1773149222,9
1773149252,9
1773149282,9
1773149312,9
1773149342,9
1773149372,9
1773149402,9
1773149432,9
1773149462,9
1773149492,9
1773149522,9
1773149552,9
1773149582,9
1773149612,9
1773149642,9
1773149672,9
1773149702,9
1773149732,1
1773149762,1
1773149792,1
1773149822,4
1773149852,4
1773149882,4
1773149912,4
1773149942,4
1773149972,4
1773150002,4
1773150032,4
1773150062,4
1773150092,4
1773150122,4
1773150152,4
1773150182,4
1773150212,4
1773150242,4
1773150272,4
1773150302,4
1773150333,4
1773150363,4
1773150393,4
1773150423,4
1773150453,4
1773150483,4
1773150513,4
1773150543,4
1773150573,4
1773150603,4
1773150633,4
1773150663,4
1773150693,4
1773150723,4
1773150753,4
1773150783,4
1773150813,4
1773150843,4
1773150873,4
1773150903,4
1773150933,4
1773150963,4
1773150993,4
1773151023,4
1773151053,4
1773151083,4
1773151113,4
1773151143,4
1773151173,4
1773151203,4
1773151233,4
1773151263,4
1773151293,4
1773151323,4
1773151353,4
1773151383,4
1773151413,4
1773151443,4
1773151473,4
1773151503,4
1773151533,4
1773151563,4
1773151593,4
1773151623,4
1773151653,4
1773151683,4
1773151713,4
1773151743,4
1773151773,4
1773151803,4
1773151833,4
1773151863,4
1773151893,4
1773151923,4
1773151953,4
1773151983,4
1773152013,4
1773152043,4
1773152073,4
1773152103,4
1773152133,4
1773152163,4
1773152193,4
1773152223,4
1773152253,4
1773152283,4
1773152313,4
1773152343,4
1773152373,4
1773152403,4
1773152433,4
1773152463,4
1773152493,4
1773152523,4
1773152553,4
1773152583,4
1773152613,4
1773152643,4
1773152673,4
1773152703,4
1773152733,4
1773152763,4
1773152793,4
1773152823,4
1773152853,4
1773152883,4
1773152913,4
1773206880,9
1773206912,9
1773206942,9
1773206972,9
1773207002,9
1773207032,9
1773207062,9
1773207092,9
1773207122,9
1773207152,9
1773207182,9
1773207212,9
1773207242,9
1773207272,9
1773207302,9
1773207332,9
1773207362,9
1773207392,9
1773207422,9
1773207452,9
1773207482,9
1773207512,9
1773207542,9
1773207572,9
1773207602,9
1773207632,9
1773207662,9
1773207693,9
1773207723,9
1773207753,9
1773207783,9
1773207813,9
1773207843,9
1773207873,9
1773207903,9
1773207933,9
1773207963,9
1773207993,9
1773208023,9
1773208053,9
1773208083,9
1773208113,9
1773208143,9
1773208173,0
1773208203,9
1773211140,0
1773211173,9
1773211203,9
1773211233,9
1773211263,9
1773211293,9
1773211323,9
1773211353,9
1773211383,9
1773211413,9
1773211443,9
1773211473,9
1773211503,9
1773211533,9
1773211563,9
1773211593,9
1773211623,9
1773211653,9
1773211683,9
1773211713,9
1773211743,9
1773211773,9
1773211803,9
1773211833,9
1773211863,9
1773211893,9
1773211923,9
1773211953,9
1773211983,9
1773212013,9
1773212043,9
1773212073,9
1773212103,9
1773212133,9
1773212163,9
1773212193,9
1773212223,9
1773212253,9
1773212283,9
1773212313,9
1773212343,9
1773212373,9
1773212403,9
1773212433,9
1773212670,0
1773212820,0
1773212851,9
1773212881,9
1773212911,9
1773212941,9
1773212971,9
1773213001,9
1773213031,9
1773213061,9
1773213091,9
1773213121,9
1773213151,8
1773213181,9
1773213211,9
1773213241,9
1773213271,9
1773213301,9
1773213331,9
1773213361,9
1773213391,9
1773213421,9
1773213451,9
1773213481,9
1773213511,9
1773213541,9
1773213571,9
1773213601,9
1773213631,9
1773213661,9
1773213691,9
1773213721,9
1773213751,9
1773213781,9
1773213811,9
1773213841,9
1773213871,9
1773213901,9
1773213931,9
1773213961,9
1773213991,9
1773214021,9
1773214051,9
1773214081,9
1773214111,9
1773214141,9
1773214171,9
1773214201,9
1773214231,9
1773214261,9
1773214291,9
1773214321,9
1773214352,9
1773214382,9
1773214412,9
1773214442,9
1773214472,9
1773214502,9
1773214532,9
1773214562,9
1773214592,9
1773214622,9
1773214652,9
1773214682,9
1773214712,9
1773214742,9
1773214772,9
1773214802,9
1773214832,9
1773214862,9
1773214892,9
1773214922,9
1773214952,9
1773214982,9
1773215012,9
1773215042,9
1773215072,9
1773215102,9
1773215132,9
1773215162,9
1773215192,9
1773215222,9
1773215252,9
1773215282,9
1773215312,9
1773215342,9
1773215372,9
1773215402,9
1773215432,9
1773215462,9
1773215492,9
1773215522,9
1773215552,9
1773215582,9
1773215612,9
1773215642,9
1773215672,9
1773215702,9
1773215732,9
1773215762,9
1773215792,9
1773215822,9
1773215852,9
1773215882,9
1773215912,9
1773215942,9
1773215972,9
1773216002,9
1773216032,9
1773216062,9
1773216092,9
1773216122,9
1773216152,9
1773216182,9
1773216212,9
1773216242,9
1773216272,9
1773216302,9
1773216332,9
1773216362,9
1773216392,9
1773216422,9
1773216452,1
1773216482,1
1773216512,1
1773216542,1
1773216572,1
1773216602,0
1773216632,0
1773216662,0
1773216692,9
1773243090,0
1773243124,0
1773243154,9
1773243184,9
1773243214,9
1773243244,9
1773243274,9
1773243304,9
1773243334,9
1773243364,9
1773243394,9
1773243427,2
1773243457,2
1773243487,2
1773243517,2
1773243547,2
