t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,11,0.39650033092097847,0.0,0.0,0.0,events/second
1773145560,11,0.1903590117314625,0.0,0.0,0.0,events/second
1773145590,11,0.12527872023915024,0.0,0.0,0.0,events/second
1773145620,11,0.0933662909097284,0.0,0.0,0.0,events/second
1773145650,11,0.07440682706664976,0.0,0.0,0.0,events/second
1773145680,11,0.0618450988108055,0.0,0.0,0.0,events/second
1773145710,11,0.05291645862681222,0.0,0.0,0.0,events/second
1773145740,11,0.04624068399186131,0.0,0.0,0.0,events/second
1773145770,11,0.041058918204997547,0.0,0.0,0.0,events/second
1773145800,11,0.036922395795244,0.0,0.0,0.0,events/second
1773145830,11,0.03354022095196834,0.0,0.0,0.0,events/second
1773145860,11,0.03072858265627674,0.0,0.0,0.0,events/second
1773145890,11,0.028351894235532894,0.0,0.0,0.0,events/second
1773145920,11,0.026316131142688305,0.0,0.0,0.0,events/second
1773145950,11,0.02455327754556952,0.0,0.0,0.0,events/second
1773145980,11,0.023011877783640947,0.0,0.0,0.0,events/second
1773146070,0,0.0,0.0,0.0,0.0,events/second
1773146100,10,0.31507856854323946,0.0,0.0,0.0,events/second
1773146131,10,0.16195725865345934,0.0,0.0,0.0,events/second
1773146161,10,0.10898590711409051,0.0,0.0,0.0,events/second
1773146191,10,0.08212527613330627,0.0,0.0,0.0,events/second
1773146221,10,0.06588678473746283,0.0,0.0,0.0,events/second
1773146251,10,0.05501046286901467,0.0,0.0,0.0,events/second
1773146281,10,0.04721626125317903,0.0,0.0,0.0,events/second
1773146311,10,0.04135673254084065,0.0,0.0,0.0,events/second
1773146341,10,0.03679056940918059,0.0,0.0,0.0,events/second
1773146371,10,0.03313247445493094,0.0,0.0,0.0,events/second
1773146401,10,0.030135799755031268,0.0,0.0,0.0,events/second
1773146431,10,0.027636651332899043,0.0,0.0,0.0,events/second
1773146461,10,0.025520141279604204,0.0,0.0,0.0,events/second
1773146491,10,0.02370479867295455,0.0,0.0,0.0,events/second
1773146521,10,0.02213043527310574,0.0,0.0,0.0,events/second
1773146551,10,0.0207521910643739,0.0,0.0,0.0,events/second
1773146581,10,0.01953563770041196,0.0,0.0,0.0,events/second
1773146611,10,0.01845374497829633,0.0,0.0,0.0,events/second
1773146641,10,0.017485376023581408,0.0,0.0,0.0,events/second
1773146671,10,0.01661358496131777,0.0,0.0,0.0,events/second
1773146701,10,0.015824554678900354,0.0,0.0,0.0,events/second
1773146731,10,0.015107165508103836,0.0,0.0,0.0,events/second
1773146761,10,0.014451943281138602,0.0,0.0,0.0,events/second
1773146791,10,0.01385120138780993,0.0,0.0,0.0,events/second
1773146821,10,0.01329848115621072,0.0,0.0,0.0,events/second
1773146851,10,0.01278820322013799,0.0,0.0,0.0,events/second
1773146881,10,0.01231567578953483,0.0,0.0,0.0,events/second
1773146911,10,0.011876779186505438,0.0,0.0,0.0,events/second
1773146941,10,0.011468118937902371,0.0,0.0,0.0,events/second
1773146971,10,0.01108660587247178,0.0,0.0,0.0,events/second
1773147001,10,0.010729655896157498,0.0,0.0,0.0,events/second
1773147031,10,0.010394974858675864,0.0,0.0,0.0,events/second
1773147061,10,0.010080415214012303,0.0,0.0,0.0,events/second
1773147091,10,0.009784476992611528,0.0,0.0,0.0,events/second
1773147121,10,0.009505377047884579,0.0,0.0,0.0,events/second
1773147151,10,0.009241784066464427,0.0,0.0,0.0,events/second
1773147181,10,0.008992431841669517,0.0,0.0,0.0,events/second
