t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,175,6.308147967263841,0.0,0.0,0.0,events/second
1773145560,179,3.097792539168805,0.0,0.0,0.0,events/second
1773145590,183,2.084244473712906,0.0,0.0,0.0,events/second
1773145620,187,1.5872623860568842,0.0,0.0,0.0,events/second
1773145650,191,1.2919960972328908,0.0,0.0,0.0,events/second
1773145680,195,1.0963611689591244,0.0,0.0,0.0,events/second
1773145710,199,0.9573190896773305,0.0,0.0,0.0,events/second
1773145740,203,0.8533603707493157,0.0,0.0,0.0,events/second
1773145770,207,0.7726616620791006,0.0,0.0,0.0,events/second
1773145800,211,0.7082450379321323,0.0,0.0,0.0,events/second
1773145830,216,0.6586133308866254,0.0,0.0,0.0,events/second
1773145860,220,0.6145762346402719,0.0,0.0,0.0,events/second
1773145890,224,0.5773516531147117,0.0,0.0,0.0,events/second
1773145920,228,0.5454650969418202,0.0,0.0,0.0,events/second
1773145950,228,0.5089255194658469,0.0,0.0,0.0,events/second
1773145980,232,0.4853441339998268,0.0,0.0,0.0,events/second
1773146070,0,0.0,0.0,0.0,0.0,events/second
1773146100,84,2.646845391036462,0.0,0.0,0.0,events/second
1773146131,140,2.267483588095507,0.0,0.0,0.0,events/second
1773146161,160,1.7438174065534244,0.0,0.0,0.0,events/second
1773146191,204,1.6753867329483605,0.0,0.0,0.0,events/second
1773146221,224,1.475885928415528,0.0,0.0,0.0,events/second
1773146251,248,1.3642763412671606,0.0,0.0,0.0,events/second
1773146281,268,1.265409161213301,0.0,0.0,0.0,events/second
1773146311,288,1.1910850115710807,0.0,0.0,0.0,events/second
1773146341,308,1.1331589346301352,0.0,0.0,0.0,events/second
1773146371,328,1.0867533025449652,0.0,0.0,0.0,events/second
1773146401,354,1.0668145375283535,0.0,0.0,0.0,events/second
1773146431,374,1.0336171857086374,0.0,0.0,0.0,events/second
1773146461,394,1.0054993682522755,0.0,0.0,0.0,events/second
1773146491,414,0.9813838709679331,0.0,0.0,0.0,events/second
1773146521,434,0.9604656984272009,0.0,0.0,0.0,events/second
1773146551,454,0.9421538926287556,0.0,0.0,0.0,events/second
1773146581,474,0.9259933144056315,0.0,0.0,0.0,events/second
1773146611,494,0.9116188008482145,0.0,0.0,0.0,events/second
1773146641,514,0.8987518051873701,0.0,0.0,0.0,events/second
1773146671,534,0.8871687473257531,0.0,0.0,0.0,events/second
1773146701,556,0.8798483851212813,0.0,0.0,0.0,events/second
1773146731,576,0.8701756797861206,0.0,0.0,0.0,events/second
1773146761,596,0.8613386204841409,0.0,0.0,0.0,events/second
1773146791,616,0.8532366785641883,0.0,0.0,0.0,events/second
1773146821,636,0.8457859324853194,0.0,0.0,0.0,events/second
1773146851,656,0.8389085242583301,0.0,0.0,0.0,events/second
1773146881,676,0.8325419930348021,0.0,0.0,0.0,events/second
1773146911,696,0.8266260217977256,0.0,0.0,0.0,events/second
1773146941,716,0.8211194396069554,0.0,0.0,0.0,events/second
1773146971,736,0.8159762172520678,0.0,0.0,0.0,events/second
1773147001,758,0.8133098807482102,0.0,0.0,0.0,events/second
1773147031,778,0.8087309254328655,0.0,0.0,0.0,events/second
1773147061,798,0.804418958899887,0.0,0.0,0.0,events/second
1773147091,818,0.8003719887913856,0.0,0.0,0.0,events/second
1773147121,838,0.7965523048256101,0.0,0.0,0.0,events/second
1773147151,858,0.792946721244205,0.0,0.0,0.0,events/second
1773147181,878,0.7895371149417543,0.0,0.0,0.0,events/second
1773147211,898,0.7863067686963374,0.0,0.0,0.0,events/second
1773147241,918,0.7832417595849459,0.0,0.0,0.0,events/second
1773147271,938,0.7803294431513589,0.0,0.0,0.0,events/second
1773147301,960,0.7791805525701139,0.0,0.0,0.0,events/second
1773147331,980,0.7765008059328805,0.0,0.0,0.0,events/second
1773147361,984,0.7615599124808167,0.0,0.0,0.0,events/second
1773147392,988,0.7473006241143563,0.0,0.0,0.0,events/second
1773147422,992,0.7336688943254006,0.0,0.0,0.0,events/second
1773147452,996,0.7206344553610309,0.0,0.0,0.0,events/second
1773147482,1000,0.7081540059187719,0.0,0.0,0.0,events/second
1773147512,1004,0.6961921491302385,0.0,0.0,0.0,events/second
1773147542,1008,0.6847129118520832,0.0,0.0,0.0,events/second
1773147572,1012,0.6736956950211734,0.0,0.0,0.0,events/second
1773147602,1017,0.6637636700835571,0.0,0.0,0.0,events/second
1773147632,1021,0.6535744382332496,0.0,0.0,0.0,events/second
1773147662,1025,0.6437693301496052,0.0,0.0,0.0,events/second
1773147692,1029,0.6343280855006909,0.0,0.0,0.0,events/second
1773147722,1033,0.6252273756543871,0.0,0.0,0.0,events/second
1773147752,1037,0.6164512225285044,0.0,0.0,0.0,events/second
1773147782,1041,0.607982725155201,0.0,0.0,0.0,events/second
1773147812,1041,0.5975111636074304,0.0,0.0,0.0,events/second
1773147842,1045,0.5896497135883161,0.0,0.0,0.0,events/second
1773147872,1049,0.5820507129453679,0.0,0.0,0.0,events/second
1773147902,1053,0.5747017976724188,0.0,0.0,0.0,events/second
1773147932,1058,0.5681273229860017,0.0,0.0,0.0,events/second
1773147962,1062,0.5612329889414364,0.0,0.0,0.0,events/second
1773147992,1066,0.5545529598437422,0.0,0.0,0.0,events/second
1773148022,1070,0.5480790042296335,0.0,0.0,0.0,events/second
1773148052,1074,0.5417986470094011,0.0,0.0,0.0,events/second
1773148082,1078,0.535706584319829,0.0,0.0,0.0,events/second
1773148112,1082,0.5297914272204354,0.0,0.0,0.0,events/second
1773148142,1086,0.5240498922180507,0.0,0.0,0.0,events/second
