t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,3439,123.84576217807899,0.0,0.0,0.0,events/second
1773145560,3534,61.132985614308296,0.0,0.0,0.0,events/second
1773145590,3935,44.804041593717585,0.0,0.0,0.0,events/second
1773145620,4030,34.19943382523313,0.0,0.0,0.0,events/second
1773145650,4431,29.96782881548362,0.0,0.0,0.0,events/second
1773145680,4526,25.443205131931578,0.0,0.0,0.0,events/second
1773145710,4927,23.69918368616344,0.0,0.0,0.0,events/second
1773145740,5022,21.10896769668613,0.0,0.0,0.0,events/second
1773145770,5423,20.24033027029594,0.0,0.0,0.0,events/second
1773145800,5518,18.520211344099938,0.0,0.0,0.0,events/second
1773145830,5919,18.046443788077557,0.0,0.0,0.0,events/second
1773145860,6014,16.799093242712843,0.0,0.0,0.0,events/second
1773145890,6415,16.533346579391853,0.0,0.0,0.0,events/second
1773145920,6510,15.573522000378777,0.0,0.0,0.0,events/second
1773145950,6897,15.394128516849175,0.0,0.0,0.0,events/second
1773145980,6992,14.626494657971024,0.0,0.0,0.0,events/second
1773146070,4019,4092.177129871793,0.0,0.0,0.0,events/second
1773146100,5415,170.54628763250287,0.0,0.0,0.0,events/second
1773146131,5889,95.35689128490039,0.0,0.0,0.0,events/second
1773146161,5988,65.25169641579373,0.0,0.0,0.0,events/second
1773146191,6514,53.490807906850605,0.0,0.0,0.0,events/second
1773146221,6612,43.56068051514942,0.0,0.0,0.0,events/second
1773146251,7014,38.58162997307227,0.0,0.0,0.0,events/second
1773146281,7112,33.57817886353214,0.0,0.0,0.0,events/second
1773146311,7513,31.06966362935471,0.0,0.0,0.0,events/second
1773146341,7611,27.99998917083588,0.0,0.0,0.0,events/second
1773146371,8012,26.544618029279565,0.0,0.0,0.0,events/second
1773146401,8112,24.44522084338209,0.0,0.0,0.0,events/second
1773146431,8486,23.451635469565737,0.0,0.0,0.0,events/second
1773146461,8584,21.9057770649211,0.0,0.0,0.0,events/second
1773146491,8985,21.298116775642875,0.0,0.0,0.0,events/second
1773146521,9083,20.100507756994517,0.0,0.0,0.0,events/second
1773146551,9484,19.68085764452881,0.0,0.0,0.0,events/second
1773146581,9582,18.718582084824614,0.0,0.0,0.0,events/second
1773146611,9983,18.42194029993558,0.0,0.0,0.0,events/second
1773146641,10081,17.626608360039995,0.0,0.0,0.0,events/second
1773146671,10497,17.43891033168982,0.0,0.0,0.0,events/second
1773146701,10668,16.88129448955046,0.0,0.0,0.0,events/second
1773146731,11069,16.721798595762632,0.0,0.0,0.0,events/second
1773146761,11167,16.138187542198835,0.0,0.0,0.0,events/second
1773146791,11568,16.02278704039365,0.0,0.0,0.0,events/second
1773146821,11666,15.51374493225822,0.0,0.0,0.0,events/second
1773146851,12067,15.431272509055606,0.0,0.0,0.0,events/second
1773146881,12165,14.981784300573723,0.0,0.0,0.0,events/second
1773146911,12566,14.924134110812613,0.0,0.0,0.0,events/second
1773146941,12664,14.523013499590018,0.0,0.0,0.0,events/second
1773146971,13065,14.484445436805293,0.0,0.0,0.0,events/second
1773147001,13163,14.123252750149668,0.0,0.0,0.0,events/second
1773147031,13564,14.09955667237128,0.0,0.0,0.0,events/second
1773147061,13662,13.77168617831107,0.0,0.0,0.0,events/second
1773147091,14063,13.759738488548992,0.0,0.0,0.0,events/second
1773147121,14161,13.460401344500967,0.0,0.0,0.0,events/second
1773147151,14562,13.457727303132804,0.0,0.0,0.0,events/second
1773147181,14660,13.18275391128307,0.0,0.0,0.0,events/second
1773147211,15061,13.187539690928554,0.0,0.0,0.0,events/second
1773147241,15159,12.933561958506278,0.0,0.0,0.0,events/second
1773147271,15560,12.944322619225716,0.0,0.0,0.0,events/second
1773147301,15727,12.764607541583771,0.0,0.0,0.0,events/second
1773147331,16128,12.778832723629034,0.0,0.0,0.0,events/second
1773147361,16223,12.555531524336839,0.0,0.0,0.0,events/second
1773147392,16621,12.57160192617657,0.0,0.0,0.0,events/second
1773147422,16716,12.362775191310858,0.0,0.0,0.0,events/second
1773147452,17114,12.38233348097608,0.0,0.0,0.0,events/second
1773147482,17209,12.186492815849794,0.0,0.0,0.0,events/second
1773147512,17607,12.208892022327765,0.0,0.0,0.0,events/second
1773147542,17812,12.099188604216542,0.0,0.0,0.0,events/second
1773147572,18214,12.125069942278353,0.0,0.0,0.0,events/second
1773147602,18309,11.94958705472174,0.0,0.0,0.0,events/second
1773147632,18711,11.977388733352113,0.0,0.0,0.0,events/second
1773147662,18806,11.811328749762582,0.0,0.0,0.0,events/second
1773147692,19208,11.840681434777158,0.0,0.0,0.0,events/second
1773147722,19303,11.683111700425268,0.0,0.0,0.0,events/second
1773147752,19705,11.713657670260872,0.0,0.0,0.0,events/second
1773147782,19800,11.563835182585148,0.0,0.0,0.0,events/second
1773147812,20188,11.587369340291247,0.0,0.0,0.0,events/second
1773147842,20283,11.444750152543882,0.0,0.0,0.0,events/second
1773147872,20685,11.477234191324623,0.0,0.0,0.0,events/second
1773147902,20780,11.341125915004106,0.0,0.0,0.0,events/second
1773147932,21223,11.396284540055301,0.0,0.0,0.0,events/second
1773147962,21318,11.265790957643894,0.0,0.0,0.0,events/second
1773147992,21720,11.299058395907789,0.0,0.0,0.0,events/second
1773148022,21815,11.174066917919369,0.0,0.0,0.0,events/second
1773148052,22190,11.194060497322608,0.0,0.0,0.0,events/second
1773148082,22285,11.074334091014457,0.0,0.0,0.0,events/second
1773148112,22687,11.108400945378868,0.0,0.0,0.0,events/second
1773148142,22782,10.993386926116152,0.0,0.0,0.0,events/second
1773148172,23184,11.027630470740052,0.0,0.0,0.0,events/second
1773148202,23279,10.91696574188446,0.0,0.0,0.0,events/second
1773148232,23681,10.951365954210187,0.0,0.0,0.0,events/second
1773148262,23776,10.844764229717532,0.0,0.0,0.0,events/second
1773148292,24178,10.879237392229882,0.0,0.0,0.0,events/second
1773148322,24273,10.776448099290475,0.0,0.0,0.0,events/second
1773148352,24675,10.810853362926451,0.0,0.0,0.0,events/second
1773148382,24770,10.711665712453005,0.0,0.0,0.0,events/second
1773148412,25172,10.746049728575972,0.0,0.0,0.0,events/second
1773148442,25267,10.650181707187718,0.0,0.0,0.0,events/second
1773148472,25669,10.684458854391016,0.0,0.0,0.0,events/second
1773148502,25764,10.591658586860982,0.0,0.0,0.0,events/second
1773148532,26207,10.64250289952894,0.0,0.0,0.0,events/second
1773148562,26302,10.552487906380453,0.0,0.0,0.0,events/second
1773148592,26704,10.58628657839985,0.0,0.0,0.0,events/second
1773148622,26799,10.499016687460175,0.0,0.0,0.0,events/second
1773148652,27201,10.532695108094323,0.0,0.0,0.0,events/second
1773148682,27296,10.448095227580815,0.0,0.0,0.0,events/second
1773148712,27698,10.4815543857795,0.0,0.0,0.0,events/second
1773148742,27793,10.399427005603528,0.0,0.0,0.0,events/second
1773148772,28181,10.42753721278972,0.0,0.0,0.0,events/second
1773148802,28276,10.34778600366785,0.0,0.0,0.0,events/second
1773148832,28678,10.380887204394917,0.0,0.0,0.0,events/second
1773148862,28773,10.303329891269518,0.0,0.0,0.0,events/second
1773148892,29175,10.336185852413285,0.0,0.0,0.0,events/second
1773148922,29270,10.260760326572806,0.0,0.0,0.0,events/second
1773148952,29672,10.293408323655754,0.0,0.0,0.0,events/second
1773148982,29818,10.237465708424457,0.0,0.0,0.0,events/second
1773149012,30220,10.269665258585874,0.0,0.0,0.0,events/second
1773149042,30315,10.197919674240708,0.0,0.0,0.0,events/second
1773149072,30717,10.229889498087436,0.0,0.0,0.0,events/second
1773149102,30812,10.159949966230995,0.0,0.0,0.0,events/second
1773149132,31214,10.191672210280826,0.0,0.0,0.0,events/second
1773149162,31350,10.13676763580477,0.0,0.0,0.0,events/second
1773149192,31752,10.168083104511263,0.0,0.0,0.0,events/second
1773149222,31847,10.101414442350109,0.0,0.0,0.0,events/second
1773149252,32249,10.132449095410403,0.0,0.0,0.0,events/second
1773149282,32317,10.058935853603462,0.0,0.0,0.0,events/second
1773149312,32719,10.08982569941746,0.0,0.0,0.0,events/second
1773149342,32814,10.026347012482793,0.0,0.0,0.0,events/second
1773149372,33216,10.056942813809597,0.0,0.0,0.0,events/second
1773149402,33311,9.994870778499449,0.0,0.0,0.0,events/second
1773149432,33713,10.025217509081566,0.0,0.0,0.0,events/second
1773149462,33808,9.964554380012627,0.0,0.0,0.0,events/second
1773149492,34210,9.994625745412076,0.0,0.0,0.0,events/second
1773149522,34305,9.935257389738121,0.0,0.0,0.0,events/second
1773149552,34707,9.965077610472704,0.0,0.0,0.0,events/second
1773149582,34802,9.906968453889762,0.0,0.0,0.0,events/second
1773149612,35204,9.936508120744344,0.0,0.0,0.0,events/second
1773149642,35299,9.879619571110641,0.0,0.0,0.0,events/second
1773149672,35701,9.908914923412564,0.0,0.0,0.0,events/second
1773149702,35782,9.849348112872702,0.0,0.0,0.0,events/second
1773149732,36189,9.879747560684983,0.0,0.0,0.0,events/second
1773149762,36284,9.82516684146033,0.0,0.0,0.0,events/second
1773149792,36727,9.864949520890931,0.0,0.0,0.0,events/second
1773149822,36853,9.819652280079698,0.0,0.0,0.0,events/second
1773149852,37278,9.854113486376903,0.0,0.0,0.0,events/second
1773149882,37396,9.807515780523222,0.0,0.0,0.0,events/second
1773149912,37821,9.841524883938877,0.0,0.0,0.0,events/second
1773149942,37939,9.795742757349764,0.0,0.0,0.0,events/second
1773149972,38364,9.82931524640232,0.0,0.0,0.0,events/second
1773150002,38482,9.784323643131831,0.0,0.0,0.0,events/second
1773150032,38907,9.817470804380232,0.0,0.0,0.0,events/second
1773150062,39025,9.77323517441792,0.0,0.0,0.0,events/second
1773150092,39450,9.805984812264526,0.0,0.0,0.0,events/second
1773150122,39568,9.76250060905095,0.0,0.0,0.0,events/second
1773150152,39993,9.794850889928375,0.0,0.0,0.0,events/second
1773150182,40111,9.752087159577137,0.0,0.0,0.0,events/second
1773150212,40536,9.784034609467644,0.0,0.0,0.0,events/second
1773150242,40654,9.741946394776102,0.0,0.0,0.0,events/second
1773150272,41079,9.773523216813803,0.0,0.0,0.0,events/second
1773150302,41197,9.732125054894759,0.0,0.0,0.0,events/second
1773150333,41622,9.763296227829924,0.0,0.0,0.0,events/second
