t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1773145530,422,15.19504996258453,0.0,0.0,0.0,events/second
1773145560,422,7.299588563533945,0.0,0.0,0.0,events/second
1773145590,422,4.804738266192412,0.0,0.0,0.0,events/second
1773145620,422,3.581088238727874,0.0,0.0,0.0,events/second
1773145650,422,2.8540197595501606,0.0,0.0,0.0,events/second
1773145680,422,2.3722597167926645,0.0,0.0,0.0,events/second
1773145710,422,2.029817077810381,0.0,0.0,0.0,events/second
1773145740,422,1.7737694444110952,0.0,0.0,0.0,events/second
1773145770,422,1.5750177286533482,0.0,0.0,0.0,events/second
1773145800,422,1.4163554305879278,0.0,0.0,0.0,events/second
1773145830,422,1.2866241740475717,0.0,0.0,0.0,events/second
1773145860,422,1.1787756802989382,0.0,0.0,0.0,events/second
1773145890,422,1.0876099082098707,0.0,0.0,0.0,events/second
1773145920,422,1.0095204727613272,0.0,0.0,0.0,events/second
1773145950,422,0.9418990989380525,0.0,0.0,0.0,events/second
1773145980,422,0.8827719403751063,0.0,0.0,0.0,events/second
1773146070,672,672.9841046562387,0.0,0.0,0.0,events/second
1773146100,781,24.592894545334406,0.0,0.0,0.0,events/second
1773146131,782,12.661159950420258,0.0,0.0,0.0,events/second
1773146161,782,8.520937090906486,0.0,0.0,0.0,events/second
1773146191,783,6.4294082809867215,0.0,0.0,0.0,events/second
1773146221,783,5.1582904701244985,0.0,0.0,0.0,events/second
1773146251,783,4.306869477718754,0.0,0.0,0.0,events/second
1773146281,783,3.6967015047735075,0.0,0.0,0.0,events/second
1773146311,783,3.2379756988774173,0.0,0.0,0.0,events/second
1773146341,783,2.8805006397520185,0.0,0.0,0.0,events/second
1773146371,783,2.5941098381217054,0.0,0.0,0.0,events/second
1773146401,783,2.3594981848791794,0.0,0.0,0.0,events/second
1773146431,783,2.163836319432014,0.0,0.0,0.0,events/second
1773146461,783,1.9981304190335265,0.0,0.0,0.0,events/second
1773146491,783,1.8560021495529488,0.0,0.0,0.0,events/second
1773146521,783,1.7327404160298585,0.0,0.0,0.0,events/second
1773146551,783,1.6248326499928771,0.0,0.0,0.0,events/second
1773146581,783,1.5295837866787863,0.0,0.0,0.0,events/second
1773146611,783,1.4448776758532524,0.0,0.0,0.0,events/second
1773146641,783,1.369059015654212,0.0,0.0,0.0,events/second
1773146671,783,1.3008026714025267,0.0,0.0,0.0,events/second
1773146701,783,1.239025458789215,0.0,0.0,0.0,events/second
1773146731,783,1.1828570553684512,0.0,0.0,0.0,events/second
1773146761,783,1.1315561297257943,0.0,0.0,0.0,events/second
1773146791,783,1.084520586968138,0.0,0.0,0.0,events/second
1773146821,783,1.0412447982358746,0.0,0.0,0.0,events/second
1773146851,783,1.0012919652324346,0.0,0.0,0.0,events/second
1773146881,783,0.9642948854188567,0.0,0.0,0.0,events/second
1773146911,783,0.9299308100230242,0.0,0.0,0.0,events/second
1773146941,783,0.8979341843357509,0.0,0.0,0.0,events/second
1773146971,783,0.8680629552279217,0.0,0.0,0.0,events/second
1773147001,783,0.8401149493556177,0.0,0.0,0.0,events/second
1773147031,783,0.8139104564193358,0.0,0.0,0.0,events/second
1773147061,783,0.789281414446244,0.0,0.0,0.0,events/second
1773147091,783,0.7661103426478084,0.0,0.0,0.0,events/second
1773147121,783,0.7442576085617862,0.0,0.0,0.0,events/second
1773147151,783,0.723619002748033,0.0,0.0,0.0,events/second
1773147181,783,0.7040954026703596,0.0,0.0,0.0,events/second
1773147211,783,0.6855977271058546,0.0,0.0,0.0,events/second
1773147241,783,0.6680470563091069,0.0,0.0,0.0,events/second
1773147271,783,0.6513722515375923,0.0,0.0,0.0,events/second
1773147301,783,0.6355081842347751,0.0,0.0,0.0,events/second
1773147331,783,0.6203978616240602,0.0,0.0,0.0,events/second
1773147361,783,0.6059874196473025,0.0,0.0,0.0,events/second
1773147392,783,0.5922338009568591,0.0,0.0,0.0,events/second
1773147422,783,0.5790864054905506,0.0,0.0,0.0,events/second
1773147452,783,0.5665141683673037,0.0,0.0,0.0,events/second
1773147482,783,0.5544762556428746,0.0,0.0,0.0,events/second
1773147512,783,0.5429386727530934,0.0,0.0,0.0,events/second
1773147542,787,0.534584615059582,0.0,0.0,0.0,events/second
1773147572,787,0.5239041715059768,0.0,0.0,0.0,events/second
1773147602,787,0.5136428455945875,0.0,0.0,0.0,events/second
1773147632,787,0.5037767865957339,0.0,0.0,0.0,events/second
1773147662,787,0.4942826471598739,0.0,0.0,0.0,events/second
1773147692,787,0.48514059771788526,0.0,0.0,0.0,events/second
1773147722,787,0.47632877209755925,0.0,0.0,0.0,events/second
1773147752,787,0.46783123713039,0.0,0.0,0.0,events/second
1773147782,787,0.45963157653844156,0.0,0.0,0.0,events/second
1773147812,787,0.4517152332991005,0.0,0.0,0.0,events/second
1773147842,787,0.4440658088203898,0.0,0.0,0.0,events/second
1773147872,787,0.43667160237818015,0.0,0.0,0.0,events/second
1773147902,787,0.429520492537447,0.0,0.0,0.0,events/second
1773147932,787,0.42260029230253776,0.0,0.0,0.0,events/second
1773147962,787,0.41589963082519715,0.0,0.0,0.0,events/second
1773147992,787,0.4094074666896857,0.0,0.0,0.0,events/second
1773148022,787,0.4031154102967244,0.0,0.0,0.0,events/second
1773148052,787,0.39701207677876865,0.0,0.0,0.0,events/second
1773148082,787,0.39109149476655497,0.0,0.0,0.0,events/second
1773148112,787,0.38534336604840685,0.0,0.0,0.0,events/second
1773148142,787,0.3797633902572339,0.0,0.0,0.0,events/second
1773148172,787,0.3743409036550182,0.0,0.0,0.0,events/second
1773148202,787,0.369071996398694,0.0,0.0,0.0,events/second
1773148232,787,0.363950012435832,0.0,0.0,0.0,events/second
