t,value
1773145530,88094808
1773145560,88094208
1773145590,88094208
1773145620,88094272
1773145650,88094336
1773145680,88094336
1773145710,88094400
1773145740,88094400
1773145770,88094464
1773145800,88094528
1773145830,88094528
1773145860,88094592
1773145890,88094656
1773145920,88094656
1773145950,88094656
1773145980,88094720
1773146070,0
1773146100,75510168
1773146131,75510808
1773146161,75510936
1773146191,75511384
1773146221,75511576
1773146251,75511832
1773146281,75512088
1773146311,75512216
1773146341,75512408
1773146371,75512664
1773146401,75512856
1773146431,75513048
1773146461,75513304
1773146491,75513496
1773146521,75513752
1773146551,75513880
1773146581,75514072
1773146611,75514264
1773146641,75514520
1773146671,75514776
1773146701,75514904
1773146731,75515160
1773146761,75515288
1773146791,75515480
1773146821,75515736
1773146851,75515928
1773146881,75516120
1773146911,75516376
1773146941,75516504
1773146971,75516696
1773147001,75516888
1773147031,75517144
1773147061,75517336
1773147091,75517528
1773147121,75517720
1773147151,75517912
1773147181,75518104
1773147211,75518296
1773147241,75518552
1773147271,75518744
1773147301,75518936
1773147331,75519128
1773147361,75519192
1773147392,75519192
1773147422,75519256
1773147452,75519320
1773147482,75519320
1773147512,75519384
1773147542,75519384
1773147572,75519448
1773147602,75519512
1773147632,75519512
1773147662,75519576
1773147692,75519640
1773147722,75519640
1773147752,75519704
1773147782,75519704
1773147812,75519704
1773147842,75519768
1773147872,75519832
1773147902,75519832
1773147932,75519896
1773147962,75519960
1773147992,75519960
1773148022,75520024
1773148052,75520024
1773148082,75520088
1773148112,75520152
1773148142,75520152
1773148172,75520216
1773148202,75520280
1773148232,75520280
1773148262,75520344
1773148292,75520344
1773148322,75520408
1773148352,75520472
1773148382,75520472
1773148412,75520536
1773148442,75520600
1773148472,75520600
1773148502,75520664
1773148532,75520664
1773148562,75520728
1773148592,75520792
1773148622,75520792
1773148652,75520856
1773148682,75520920
1773148712,75520920
1773148742,75520984
1773148772,75520984
1773148802,75520984
1773148832,75521048
1773148862,75521112
1773148892,75521112
1773148922,75521176
1773148952,75521240
1773148982,75521432
1773149012,75521432
1773149042,75521496
1773149072,75521560
1773149102,75521560
1773149132,75521624
1773149162,75521688
1773149192,75521688
1773149222,75521752
1773149252,75521752
1773149282,75521816
1773149312,75521880
1773149342,75521880
1773149372,75521944
1773149402,75522008
1773149432,75522008
1773149462,75522072
1773149492,75522072
1773149522,75522136
1773149552,75522200
1773149582,75522200
1773149612,75522264
1773149642,75522328
1773149672,75522328
1773149702,75522328
1773149732,79695432
1773149762,79695496
1773149792,79695560
1773149822,92282568
1773149852,92282824
1773149882,92283016
1773149912,92283208
1773149942,92283400
1773149972,92283656
1773150002,92283784
1773150032,92284040
1773150062,92284232
1773150092,92284424
1773150122,92284616
1773150152,92284808
1773150182,92285000
1773150212,92285192
1773150242,92285384
1773150272,92285640
1773150302,92285832
1773150333,92286024
1773150363,92286216
1773150393,92286408
1773150423,92286600
1773150453,92286792
1773150483,92286984
1773150513,92287304
1773150543,92287368
1773150573,92287560
1773150603,92287880
1773150633,92288008
1773150663,92288200
1773150693,92288392
1773150723,92288584
1773150753,92288840
1773150783,92288968
1773150813,92289224
1773150843,92289416
1773150873,92289608
1773150903,92289800
1773150933,92289992
1773150963,92290184
1773150993,92290376
1773151023,92290632
1773151053,92290824
1773151083,92291016
1773151113,92291208
1773151143,92291400
1773151173,92291656
1773151203,92291784
1773151233,92292040
1773151263,92292232
1773151293,92292424
1773151323,92292552
1773151353,92292808
1773151383,92293064
1773151413,92293192
1773151443,92293448
1773151473,92293640
1773151503,92293768
1773151533,92294024
1773151563,92294216
1773151593,92294472
1773151623,92294600
1773151653,92294856
1773151683,92294984
1773151713,92295240
1773151743,92295432
1773151773,92295560
1773151803,92295816
1773151833,92296008
1773151863,92296200
1773151893,92296456
1773151923,92296584
1773151953,92296776
1773151983,92297032
1773152013,92297224
1773152043,92297480
1773152073,92297608
1773152103,92297800
1773152133,92297992
1773152163,92298248
1773152193,92298376
1773152223,92298696
1773152253,92298824
1773152283,92298952
1773152313,92299272
1773152343,92299336
1773152373,92299656
1773152403,92299784
1773152433,92299976
1773152463,92300232
1773152493,92300488
1773152523,92300616
1773152553,92300872
1773152583,92300936
1773152613,92300936
1773152643,92301000
1773152673,92301064
1773152703,92301064
1773152733,92301128
1773152763,92301192
1773152793,92301192
1773152823,92301256
1773152853,92301256
1773152883,92301320
1773152913,92301384
1773206880,88094552
1773206912,88094936
1773206942,88095000
1773206972,92290160
1773207002,92290224
1773207032,92290288
1773207062,92290352
1773207092,92290352
1773207122,92290480
1773207152,92290480
1773207182,92290544
1773207212,92290608
1773207242,92290608
1773207272,92290672
1773207302,92290736
1773207332,92290992
1773207362,92290992
1773207392,92291056
1773207422,92291120
1773207452,92291120
1773207482,92291184
1773207512,92291248
1773207542,92291248
1773207572,96486408
1773207602,96486536
1773207632,100681760
1773207662,100682080
1773207693,100682336
1773207723,100682592
1773207753,100682720
1773207783,104878008
1773207813,104878200
1773207843,104878456
1773207873,104878648
1773207903,104878648
1773207933,104878712
1773207963,104878968
1773207993,104879096
1773208023,104879096
1773208053,104879672
1773208083,104880440
1773208113,104880760
1773208143,104880952
1773208173,109054928
1773208203,134233424
1773211140,8388560
1773211173,100677264
1773211203,100677328
1773211233,100677392
1773211263,100677520
1773211293,100677648
1773211323,100677712
1773211353,100677840
1773211383,100677904
1773211413,100677968
1773211443,100678032
1773211473,100678160
1773211503,100678224
1773211533,100678288
1773211563,100678352
1773211593,100678352
1773211623,100678416
1773211653,100678480
1773211683,100678544
1773211713,100678608
1773211743,100678672
1773211773,100678800
1773211803,100678928
1773211833,100678992
1773211863,100679120
1773211893,100679120
1773211923,100679248
1773211953,100679312
1773211983,100679376
1773212013,100679632
1773212043,100679696
1773212073,100679824
1773212103,100679824
1773212133,100679952
1773212163,100680016
1773212193,100680080
1773212223,100680144
1773212253,100680272
1773212283,100680336
1773212313,100680464
1773212343,104874808
1773212373,125846272
1773212403,134234784
1773212433,134234728
1773212670,16777120
1773212820,12582840
1773212851,104871288
1773212881,104871672
1773212911,104871736
1773212941,104871800
1773212971,104871864
1773213001,104871864
1773213031,104871928
1773213061,104871928
1773213091,104871992
1773213121,104872056
1773213151,109067088
1773213181,125844272
1773213211,125844272
1773213241,125844336
1773213271,125844400
1773213301,130039368
1773213331,130039368
1773213361,130039432
1773213391,130039496
1773213421,130039496
1773213451,130039560
1773213481,130039624
1773213511,130039688
1773213541,130039816
1773213571,130039880
1773213601,130040008
1773213631,130040136
1773213661,130040264
1773213691,130040328
1773213721,130040328
1773213751,130040392
1773213781,130040520
1773213811,130040584
1773213841,130040712
1773213871,130040840
1773213901,130040904
1773213931,130041032
1773213961,130041096
1773213991,130041224
1773214021,130041352
1773214051,130041480
1773214081,130041480
1773214111,130041544
1773214141,130041608
1773214171,130041672
1773214201,130041672
1773214231,130041800
1773214261,134236896
1773214291,134236960
1773214321,134236960
1773214352,134237280
1773214382,134237472
1773214412,134237600
1773214442,134237728
1773214472,134237792
1773214502,134237792
1773214532,134237856
1773214562,134237920
1773214592,134237984
1773214622,134238584
1773214652,134238648
1773214682,134238712
1773214712,134238712
1773214742,134238776
1773214772,134238776
1773214802,134238840
1773214832,134238904
1773214862,134238904
1773214892,134238968
1773214922,134239096
1773214952,134239160
1773214982,134239224
1773215012,134239352
1773215042,134239416
1773215072,134239480
1773215102,134239544
1773215132,134239672
1773215162,134239736
1773215192,134239864
1773215222,134239992
1773215252,134240056
1773215282,134240120
1773215312,134240184
1773215342,134240312
1773215372,134240376
1773215402,134240440
1773215432,134240504
1773215462,134240632
1773215492,134240696
1773215522,134240760
1773215552,134240824
1773215582,134240952
1773215612,134241016
1773215642,134241080
1773215672,134241144
1773215702,134241272
1773215732,134241336
1773215762,134241400
1773215792,134241464
1773215822,134241592
1773215852,134241656
1773215882,134241720
1773215912,134241784
1773215942,134241912
1773215972,134241976
1773216002,134242040
1773216032,134242104
1773216062,134242232
1773216092,134242296
1773216122,134242424
1773216152,134242488
1773216182,134242552
1773216212,134242680
1773216242,134242744
1773216272,134242808
1773216302,134242872
1773216332,134243000
1773216362,134243064
1773216392,134243128
1773216422,134243192
1773216452,134221992
1773216482,134222056
1773216512,134222120
1773216542,134222248
1773216572,134222312
1773216602,134220824
1773216632,134220824
1773216662,134220728
1773216692,134233400
1773243090,4194920
1773243124,12584360
1773243154,83898792
1773243184,83898920
1773243214,83898984
1773243244,83899048
1773243274,83899176
1773243304,83899240
1773243334,83899304
1773243364,83899368
1773243394,83899496
1773243427,92279640
1773243457,92279768
1773243487,92279832
1773243517,92279896
1773243547,92280024
1773243577,92280088
1773243607,92280152
1773243637,92280216
1773243667,92280344
1773243697,92280408
1773243727,92280472
1773243757,92280536
1773243787,92280664
1773243930,96473080
1773243960,96473080
1773243990,96473208
1773244020,96473272
1773244050,96473336
1773244080,96473400
1773244110,96473528
1773244140,96473592
1773244170,96473656
1773244200,96473720
1773244230,96473848
1773244260,96473912
1773244290,96473976
1773244320,96474040
1773244350,96474232
1773244380,96474360
1773244410,96474488
1773244440,96474552
1773244470,96474680
1773244500,96474744
1773244530,96474872
1773244560,96474936
1773244590,96475000
1773244620,96475128
1773244650,96475192
1773244680,96475256
1773244710,96475320
1773244740,96475448
1773244770,96475512
1773244800,96475576
1773244830,100671416
1773244860,100671480
1773244890,100671480
1773244920,100671544
1773244950,100671736
1773244981,100671800
1773245011,100671928
1773245041,100671992
1773245071,100672056
1773245101,100672248
1773245131,100672312
1773245161,100672376
1773245191,100672440
1773245221,100672568
1773245251,100672568
1773245281,100672632
1773245311,100672696
1773245341,100672760
1773245371,100672760
1773245401,100672824
1773249690,67121560
1773249722,75510296
1773249752,75510360
1773249782,75510424
1773249812,75510552
1773249842,75510616
1773249872,75510680
1773249902,75510744
1773249932,75510872
1773249962,75511000
1773249992,75511064
1773250022,75511192
1773250052,75511256
1773250082,75511256
1773250112,75511384
1773250142,75511576
1773250173,75511576
1773250203,75511576
1773250233,75511640
1773250263,75511704
1773250293,75511704
1773250323,75511768
1773250353,75511832
1773250383,75511832
1773250413,75511896
1773250443,75511896
1773250473,75512024
1773250503,75512152
1773250533,75512216
1773250563,75512344
1773250593,75512472
1773250623,75512536
1773250653,75512664
1773250683,75512728
1773250713,75512792
1773250743,75512856
1773250773,75512984
1773250803,75513048
1773250833,75513112
1773250863,75513176
1773250893,75513304
1773250923,75513368
1773250953,75513496
1773250983,75513560
1773251013,75513688
1773251043,75513752
1773251073,75513816
1773251103,75513944
1773251133,75514008
1773251163,75514136
1773251193,75514200
1773251223,75514264
1773251253,75514264
1773251283,75514328
1773251313,75514392
1773251343,75514392
1773251373,75514456
1773251403,75514456
1773251433,75514520
1773251463,75514584
1773251493,75514584
1773251523,75514648
1773251553,75514712
1773251583,75514776
1773251613,75514840
1773251643,75514904
1773251673,75515032
1773251703,75515096
1773251733,75515224
1773251763,75515224
1773251793,75515416
1773251823,75515544
1773251853,75515672
1773251883,75515736
1773251913,75515800
1773251943,75515864
1773251973,75516120
1773252003,75516184
1773252033,75516248
1773252063,75516312
1773252093,75516376
1773252123,75516504
1773252153,75516568
1773252183,75516632
1773252213,75516696
1773252243,75516760
1773252273,75516824
1773252303,75516888
1773252333,75516952
1773252363,75517016
1773252393,75517144
1773252423,75517144
1773252453,75517272
